record_audit_id,input_batch,proposal_id,candidate_id,normalized_url,url_group_id,cross_batch_duplicate,current_source_ids,merge_disposition,suggested_source_id_if_merged,snapshot_state,provisional_merged_source_ids,title,publisher,input_source_type,suggested_source_type,publication_or_record_date,suggested_year,locator,support_scope,suggested_evidence_level,input_approval_field,relation_or_claim_approved,caveat,metadata_issue_codes,web_review_flags
NW2FR011,NW2-B_R09,R9EC_S011,,https://ryukyushimpo.jp/news/entry-789039.html,NW2FS011,no,,unique_proposed_new,S258,postmerge_provisional_batch_match,S258,沖縄県知事選 出遅れ危機感『結束優先』 玉城氏、出馬要請受諾,琉球新報,local_news,local_news,2018-08-24,2018,"Reports 8/23 request by the adjustment council composed of assembly caucuses, parties, unions and firms",2018 candidate-selection request by a temporary mixed coalition,E3,relation_or_claim_approved,no,"The temporary council is an event node, not an NGO or stable alliance.",,
NW2FR012,NW2-B_R09,R9EC_S012,,https://www.jstage.jst.go.jp/article/isvsjapan/19/0/19_45/_pdf/-char/en,NW2FS012,no,,unique_proposed_new,S259,postmerge_provisional_batch_match,S259,主体的な主権者教育を育むための一考察―#みんなごと実践記録,国際ボランティア学会 / 玉城直美,academic_participant_record,academic_article,2019,2019,"pp.4-5 activity table: 9/5 debate, 9/13 workshop, 9/19 publication; p.7 identifies an informal eight-student group","2018 nonpartisan civic-learning, public-meeting, policy-proposal and observation windows",E4,relation_or_claim_approved,no,First-party academic record; candidates are kept as generic event nodes as the paper masks names.,,verify_pdf_content_type_for_extensionless_jstage_endpoint
NW2FR013,NW2-B_R09,R9EC_S013,,https://www.shinfujin.gr.jp/wp-content/uploads/2018/11/20181003_seimei_okinawatidisen.pdf,NW2FS013,no,,unique_proposed_new,S260,postmerge_provisional_batch_match,S260,声明：沖縄県知事選挙で歴史的勝利！新基地建設はただちに中止を,新日本婦人の会,organization_statement,organization_statement,2018-10-03,2018,"Official statement, lines 13-16 self-report organization-wide activity for Tamaki",2018 post-result public interpretation and bounded self-report,E4,relation_or_claim_approved,no,Does not independently prove participation scale or effect on votes.,,
NW2FR014,NW2-B_R09,R9EC_S014,,https://www.pref.okinawa.jp/kensei/senkyo/1005009/1023802/1025046/index.html,NW2FS014,no,,unique_proposed_new,S261,postmerge_provisional_batch_match,S261,令和4年沖縄県知事選挙 特設ページ,沖縄県選挙管理委員会,official_election_record,official_data,2022-09,2022,"Official election administration, final records and 9/11 vote date",2022 election-window date and institutional context only,E4,relation_or_claim_approved,no,Does not support any civic-actor role or causal effect.,,
NW2FR015,NW2-B_R09,R9EC_S015,,https://ryukyushimpo.jp/news/entry-1499534.html,NW2FS015,no,,unique_proposed_new,S262,postmerge_provisional_batch_match,S262,沖縄県知事選、女性団体有志が玉城氏に出馬要請,琉球新報,local_news,local_news,2022-04-10,2022,Reports 4/9 gathering and first public request to incumbent Tamaki to stand,2022 women-led candidate-entry request,E3,relation_or_claim_approved,no,Ad hoc body; membership and continuity are not inferred.,,
NW2FR016,NW2-B_R09,R9EC_S016,,https://www.min-iren.gr.jp/news-press/shinbun/20220816_46093.html,NW2FS016,no,,unique_proposed_new,S263,postmerge_provisional_batch_match,S263,全国の連帯で平和な沖縄―沖縄県知事選集会ひらく,全日本民主医療機関連合会,organization_event_report,organization_action_record,2022-08-16,2022,"Reports 7/29 online support gathering, 436 access points, and explicit re-election call",2022 mainland/medical-network endorsement meeting,E4,relation_or_claim_approved,no,Self-reported attendance/access; does not prove voter reach or effect.,,
NW2FR017,NW2-B_R09,R9EC_S017,,https://all-okinawa.jp/2005,NW2FS017,no,,unique_proposed_new,S264,postmerge_provisional_batch_match,S264,7月30日オンライン配信『復帰50年！新たな基地負担を許さない県民大会』,辺野古新基地を造らせないオール沖縄会議,organization_event_record,organization_event_record,2022-07-30,2022,"Official event page, speakers and issue statements",2022 election-adjacent issue campaign,E4,relation_or_claim_approved,no,Organizer framing is issue campaign; classification remains HR-026 because election framing was disputed.,,
NW2FR018,NW2-B_R09,R9EC_S018,,https://www.okinawatimes.co.jp/articles/-/1000372,NW2FS018,no,,unique_proposed_new,S265,postmerge_provisional_batch_match,S265,『知事選を前にいい発信』与野党の受け止め,沖縄タイムス,local_news,local_news,2022-07-31,2022,Contrasting political interpretations of the 7/30 online event,Classification dispute for 2022 All Okinawa issue event,E3,relation_or_claim_approved,no,"Quoted partisan interpretations are observations, not adjudicated event purpose.",,verify_accessible_text_and_paywall_boundary
NW2FR019,NW2-B_R09,R9EC_S019,,https://www.shinfujin.gr.jp/up/newspaper/12908,NW2FS019,no,,unique_proposed_new,S266,postmerge_provisional_batch_match,S266,沖縄県知事選挙―二度と戦場にしない平和で誇りある豊かな沖縄を,新日本婦人の会,organization_campaign_statement,organization_statement,2022-08-01,2022,Official page explicitly calls for Tamaki re-election and nationwide support,2022 organization endorsement/campaign call,E4,relation_or_claim_approved,no,Endorsement is observable; audience reach and electoral effect are not.,,
NW2FR020,NW2-B_R09,R9EC_S020,,https://ryukyushimpo.jp/news/entry-1579341.html,NW2FS020,no,,unique_proposed_new,S267,postmerge_provisional_batch_match,S267,候補者アンケートを基に沖縄知事選の争点考える,琉球新報,local_news,local_news,2022-09-07,2022,"Reports August 26-theme/74-question survey and 9/8, 9/10 public online talks",2022 multi-issue candidate observation and public deliberation,E3,relation_or_claim_approved,no,Named individuals do not transfer roles to their organizations; original response sheet was not located.,,
NW2FR021,NW2-B_R09,R9EC_S021,,https://www.jcp.or.jp/akahata/aik22/2022-08-14/2022081403_01_0.html,NW2FS021,no,,unique_proposed_new,S268,postmerge_provisional_batch_match,S268,優しい県政 デニーさんと／沖縄知事選必勝へ女性集会,しんぶん赤旗,party_media,party_news,2022-08-14,2022,Reports 8/13 women gathering and explicit support call,2022 women public endorsement meeting,E2,relation_or_claim_approved,no,Organizer identity is not named on the available page; no stable coalition inferred.,,
NW2FR022,NW2-C_registry_gate,RV2SP001,RV2C001,https://miyakojima-tikasui.com/about_us.html,NW2FS022,no,S158,reuse_existing_source,,postmerge_reuse_existing,,宮古島地下水研究会・研究会について,宮古島地下水研究会,organization_website,organization_website,2018-03-31 profile; accessed 2026-07-13,2018,"設立趣旨; lines/paragraphs naming 2018 co-representatives, rules and secretariat","Exact identity, founding purpose, formal rules, named leadership and local secretariat",E4,relation_or_claim_approved,no,"The profile's 2018 representatives are a dated leadership observation, not a permanent roster.",existing_source_metadata_diff,
NW2FR023,NW2-C_registry_gate,RV2SP002,RV2C001,https://miyakojima-tikasui.com/,NW2FS023,no,S204,reuse_existing_source,,postmerge_reuse_existing,,宮古島地下水研究会 公式サイト,宮古島地下水研究会,organization_website,organization_website,2019-2025 activity archive; accessed 2026-07-13,2019,"top page activity, report and news indexes","Current operation and repeated research, petition and public-learning outputs",E4,relation_or_claim_approved,no,Self-published continuity evidence; individual scientific claims require claim-level review.,existing_source_metadata_diff;activity_range_vs_access_year;locator_is_broad_index,
NW2FR024,NW2-C_registry_gate,RV2SP003,RV2C001,https://miyakojima-tikasui.com/crisis.html,NW2FS024,no,,unique_proposed_new,S269,postmerge_provisional_batch_match,S269,地下水の危機とは？,宮古島地下水研究会,organization_issue_page,organization_site,current page; accessed 2026-07-13,2026,自衛隊施設の排水 section,The group's explicit framing of SDF-facility water use/wastewater as a groundwater-risk category,E3,relation_or_claim_approved,no,"Supports the group's public position, not a finding that contamination or a health effect occurred.",publication_date_unavailable_access_date_only,snapshot_current_page_and_record_access_date
NW2FR025,NW2-C_registry_gate,RV2SP004,RV2C001,https://miyakojima-tikasui.com/report_activity/2021-10-08-04.pdf,NW2FS025,no,,unique_proposed_new,S270,postmerge_provisional_batch_match,S270,水道水源保全区域を宮古島市全域に拡大する理由,宮古島地下水研究会,organization_policy_document,organization_program_document,2021-10-08,2021,"p.1, items 1 and 3-5",A dated ordinance/monitoring proposal explicitly covering SDF-facility wastewater risks,E3,relation_or_claim_approved,no,Policy advocacy evidence; it does not independently verify the asserted environmental risk level.,,
NW2FR026,NW2-C_registry_gate,RV2SP005,RV2C001,https://www.city.miyakojima.lg.jp/kurashi/seikatsu/kankyohozen/files/tikasui.pdf,NW2FS026,no,,unique_proposed_new,S271,postmerge_provisional_batch_match,S271,宮古島地下水研究会の見解に対する回答書,宮古島市,municipal_official_response,local_official,2023-02,2023,title and response sections,Independent municipal recognition of the group as a repeated administrative interlocutor,E4,relation_or_claim_approved,no,"Supports identity and recipient-side procedure, not agreement with the group's scientific interpretation.",pdf_locator_needs_page_pinpoint,
NW2FR027,NW2-C_registry_gate,RV2SP006,RV2C001,https://ryukyushimpo.jp/news/entry-1254033.html,NW2FS027,no,,unique_proposed_new,S272,postmerge_provisional_batch_match,S272,宮古島の地下水施策 市長選立候補予定者の回答公表,琉球新報,local_news,local_news,2020-12-27,2020,lead naming three co-representatives and three-question questionnaire,"Independent 2020 identity, leadership and local-policy intervention",E3,relation_or_claim_approved,no,"An election questionnaire is a dated public intervention, not proof of later policy effect.",,
NW2FR028,NW2-C_registry_gate,RV2SP007,RV2C002,https://www.city.ginowan.lg.jp/material/files/group/61/hukusi_202212.pdf,NW2FS028,no,,unique_proposed_new,S273,postmerge_provisional_batch_match,S273,宜野湾市議会 福祉教育常任委員会審査記録（請願第1号）,宜野湾市議会,municipal_legislative_record,official_legislative_record,2022-12 hearings; report dated 2023-08-31,2023,"pp.5-8, especially testimony naming 町田直美・仲松典子 and activity history","Exact identity, named co-representatives, PFAS work history and health-investigation request",E4,relation_or_claim_approved,no,The testimony says work began with the 2016 PFOS disclosure; it does not give a precise legal formation date.,hearing_date_vs_report_date_choose_source_log_year,
NW2FR029,NW2-C_registry_gate,RV2SP008,RV2C002,https://www.city.ginowan.lg.jp/material/files/group/61/ikensyo1.pdf,NW2FS029,no,,unique_proposed_new,S274,postmerge_provisional_batch_match,S274,有機フッ素化合物PFOS及びPFOA汚染の対策を求める意見書,宜野湾市議会,municipal_resolution,official_legislative_record,2022-11-25,2022,full one-page resolution,Official recognition of the group's sampling and its consequence for a municipal opinion,E4,relation_or_claim_approved,no,The resolution uses probability language for a base source; do not strengthen it to established causation.,,
NW2FR030,NW2-C_registry_gate,RV2SP009,RV2C002,https://www.asahi.com/articles/ASQ9S5J0LQ96TPOB004.html,NW2FS030,no,,unique_proposed_new,S275,postmerge_provisional_batch_match,S275,学校敷地から化学物質PFOS 沖縄米軍基地に隣接,朝日新聞,national_news,news,2022-09-25,2022,"paragraphs describing fundraising, commissioned sampling and published results",Independent direct-role evidence for resident-funded field sampling,E3,relation_or_claim_approved,no,Paywalled after the visible evidence; preserve the visible locator and do not infer beyond it.,,preserve_visible_locator_under_paywall_boundary
NW2FR031,NW2-C_registry_gate,RV2SP010,RV2C002,https://ryukyushimpo.jp/news/entry-1421139.html,NW2FS031,no,,unique_proposed_new,S276,postmerge_provisional_batch_match,S276,米軍PFAS汚染で血液検査を要請 宜野湾ちゅら水会,琉球新報,local_news,local_news,2021-11-09,2021,lead naming 仲松典子共同代表 and city request,2021 organization identity and request for disclosure/health investigation,E3,relation_or_claim_approved,no,A request does not establish that the requested blood testing was performed.,,
NW2FR032,NW2-C_registry_gate,RV2SP011,RV2C002,https://ryukyushimpo.jp/news/entry-1730706.html,NW2FS032,no,,unique_proposed_new,S277,postmerge_provisional_batch_match,S277,PFAS汚染 米軍との意見交換に市民の参加を,琉球新報,local_news,local_news,2023-06-17,2023,lead and image caption naming 町田直美共同代表,2023 continuity and request for citizen participation in a city-base meeting,E3,relation_or_claim_approved,no,"Documents a request, not its acceptance or an institutional partnership.",,
NW2FR033,NW2-C_registry_gate,RV2SP012,RV2C002,https://newsdig.tbs.co.jp/articles/-/2642471?display=1,NW2FS033,no,,unique_proposed_new,S278,postmerge_provisional_batch_match,S278,泡が消えた後に残った白い粉からPFAS検出,琉球放送／TBS NEWS DIG,broadcast_news,news,2026-05-05,2026,paragraph naming 照屋正史事務局長 and commissioned expert analysis,Current 2026 identity/continuity and a bounded sampling role,E3,relation_or_claim_approved,no,The expert explicitly says the sample cannot be converted to foam volume or sewer concentration.,,verify_dynamic_query_page_and_final_url
NW2FR034,NW2-C_registry_gate,RV2SP013,RV2C002,https://www.jcp.or.jp/akahata/aik25/2026-02-16/2026021611_01_0.php,NW2FS034,no,,unique_proposed_new,S279,postmerge_provisional_batch_match,S279,沖縄の米軍基地PFAS汚染 全国交流集会,しんぶん赤旗,party_news,party_news,2026-02-16,2026,paragraph separately naming A099 and 宜野湾ちゅら水会,Name-level evidence that the two PFAS groups were treated as separate organizations in one event,E3,relation_or_claim_approved,no,Use only for identity separation and attributed participation; co-participation is not an alliance.,,
NW2FR035,NW2-C_registry_gate,RV2SP014,RV2C003,https://www.shinfujin.gr.jp/about/organization,NW2FS035,no,,unique_proposed_new,S280,postmerge_provisional_batch_match,S280,新婦人の紹介,新日本婦人の会中央本部,organization_website,organization_website,current page; accessed 2026-07-13,2026,"name, purposes, 1962 formation and nationwide structure",National association identity and prefectural-headquarters organizational structure,E4,relation_or_claim_approved,no,National identity alone does not transfer every national action to the Okinawa headquarters.,publication_date_unavailable_access_date_only,snapshot_current_page_and_record_access_date
NW2FR036,NW2-C_registry_gate,RV2SP015,RV2C003,https://www.shinfujin.gr.jp/2943,NW2FS007,yes,,cross_batch_duplicate_proposed_new,S254,postmerge_provisional_batch_match,S254,沖縄県知事選で圧勝の民意に応え ただちに新基地建設中止を,新日本婦人の会中央本部,organization_statement,organization_statement,2014-11-19,2014,paragraph explicitly describing Okinawa-headquarters member action,Official national-body attribution of dated Okinawa-headquarters anti-new-base activity,E4,relation_or_claim_approved,no,Supports the branch's attributed activity; election commentary must not become a causal claim.,,
NW2FR037,NW2-C_registry_gate,RV2SP016,RV2C003,https://www.shinfujin.gr.jp/wp-content/uploads/2024/06/%E7%B1%B3%E5%85%B5%E5%B0%91%E5%A5%B3%E6%9A%B4%E8%A1%8C%E4%BA%8B%E4%BB%B6%E3%80%80%E5%86%85%E9%96%A3%E7%B7%8F%E7%90%86%E5%A4%A7%E8%87%A3%E5%B2%B8%E7%94%B0%E6%96%87%E9%9B%84%E6%A7%981.pdf,NW2FS036,no,,unique_proposed_new,S281,postmerge_provisional_batch_match,S281,沖縄米兵少女暴行事件とその隠蔽につよく抗議し根本的対策を求める要請,新日本婦人の会中央本部・沖縄県本部,organization_request,organization_statement,2024-06-27,2024,signature block and request text,"Exact local-unit name, chair and direct military-violence/human-rights request role",E4,relation_or_claim_approved,no,"Joint signature with the central body proves a bounded request, not all-purpose identity equivalence.",,
NW2FR038,NW2-C_registry_gate,RV2SP017,RV2C003,https://www.pref.okinawa.lg.jp/_res/projects/default_project/_page_/001/014/905/h20gyouseikiroku.pdf,NW2FS037,no,,unique_proposed_new,S282,postmerge_provisional_batch_match,S282,沖縄県行政記録 平成20年,沖縄県,prefectural_administrative_record,prefectural_official,2008,2008,"p.4, 2008-02-14 entry",Independent official record of an Okinawa-headquarters request over a U.S.-Marine sexual-assault case,E4,relation_or_claim_approved,no,"An administrative diary entry confirms a request, not the full content or outcome.",,domain_archive_history_has_material_failure_share
NW2FR039,NW2-C_registry_gate,RV2SP018,RV2C003,https://www.jcp.or.jp/akahata/aik18/2018-06-18/2018061801_03_1.html,NW2FS038,no,,unique_proposed_new,S283,postmerge_provisional_batch_match,S283,沖縄県民投票条例へ 新婦人が署名開始,しんぶん赤旗,party_news,party_news,2018-06-18,2018,lead and chair quotation,Okinawa-headquarters organization identity and Henoko referendum-signature campaign role,E3,relation_or_claim_approved,no,Use for the dated public role only; do not code party affiliation or a stable alliance.,,
NW2FR040,NW2-C_registry_gate,RV2SP019,RV2C004,https://www.mhlw.go.jp/churoi/meirei_db/mei/pdf/m11367.pdf,NW2FS039,no,,unique_proposed_new,S284,postmerge_provisional_batch_match,S284,中央労働委員会命令書 沖縄セメント工業事件,中央労働委員会／厚生労働省,official_labor_decision,legal_source,2014-03-13,2014,"pp.1-2, party identity",Formal exact identity and regional-union party status,E4,relation_or_claim_approved,no,Use for identity and legal procedure only; the merits are unrelated to Phase-1 issue coding.,,
NW2FR041,NW2-C_registry_gate,RV2SP020,RV2C004,https://www.pref.okinawa.lg.jp/shigoto/koyorodo/1012030/1012056.html,NW2FS040,no,,unique_proposed_new,S285,postmerge_provisional_batch_match,S285,争議行為の届出と予告,沖縄県,prefectural_labor_record,prefectural_official,2020-2026 records; accessed 2026-07-13,2026,沖縄県公表 list naming the headquarters repeatedly,Current exact identity and repeated organizational operation through official notices,E4,relation_or_claim_approved,no,"Generic strike notices establish continuity, not Phase-1 political positions.",rolling_record_range_vs_access_year;locator_needs_named_entry_or_snapshot_date,snapshot_rolling_official_page;domain_archive_history_has_material_failure_share
NW2FR042,NW2-C_registry_gate,RV2SP021,RV2C004,https://ryukyushimpo.jp/news/prentry-249100.html,NW2FS041,no,,unique_proposed_new,S286,postmerge_provisional_batch_match,S286,全港湾沖縄が安保法案反対訴え抗議集会,琉球新報,local_news,local_news,2015-09-18,2015,lead naming the Okinawa headquarters and workplace action,Direct anti-Henoko/security-law labor action and port-workplace framing,E3,relation_or_claim_approved,no,Participant count is organizer-reported; the event does not establish alliance ties.,,
NW2FR043,NW2-C_registry_gate,RV2SP022,RV2C004,https://www.city.ishigaki.okinawa.jp/material/files/group/33/giin-2024-3.pdf,NW2FS042,no,,unique_proposed_new,S287,postmerge_provisional_batch_match,S287,米海軍ミサイル駆逐艦ラファエル・ペラルタ寄港反対決議,石垣市議会,municipal_resolution,official_legislative_record,2024-03-04,2024,"p.2, paragraph naming the union strike decision and worker-safety rationale",Official recipient-side record of the union's Ishigaki/Naha port action plan and stated safety frame,E4,relation_or_claim_approved,no,The resolution recounts the plan; it is not a union membership record or legal judgment.,,
NW2FR044,NW2-C_registry_gate,RV2SP023,RV2C004,https://kokkai.ndl.go.jp/simple/detail?minId=121315359X00520240524,NW2FS043,no,,unique_proposed_new,S288,postmerge_provisional_batch_match,S288,第213回国会参議院特別委員会 第5号,国立国会図書館 国会会議録検索システム,official_parliamentary_record,official_legislative_record,2024-05-24,2024,statements 133-134,Independent official acknowledgment that the Okinawa headquarters carried out the Ishigaki Port strike,E4,relation_or_claim_approved,no,The record contains contested characterizations of legality; this gate records occurrence and attributed rationale only.,,verify_dynamic_query_page_and_final_url
NW2FR045,NW2-C_registry_gate,RV2SP024,RV2C004,https://www.zenkowan.org/wp-content/uploads/2025/06/%E6%B2%96%E7%B8%84%E5%9C%B0%E6%96%B9%E3%80%80%E6%AF%94%E5%98%89%E5%8B%81%E5%B8%8C.pdf,NW2FS044,no,,unique_proposed_new,S289,postmerge_provisional_batch_match,S289,2025 5.15平和行進 全港湾沖縄地方本部報告,全日本港湾労働組合,union_activity_report,organization_report,2025-05-17 to 2025-05-18,2025,full one-page participant report,Current branch-level peace-march and base-issue learning activity,E3,relation_or_claim_approved,no,"A participant report supports a bounded activity observation, not the position of every union member.",,
NW2FR046,NW2-C_registry_gate,RV2SP025,RV2C005,https://yaimatime.com/schedule/archive/2302/12/23,NW2FS045,no,,unique_proposed_new,S290,postmerge_provisional_batch_match,S290,やいまタイム地域年表 2015年12月23日,やいまタイム,local_chronology,community_site,2015-12-23 event entry; accessed 2026-07-13,2015,entry stating 八重山大地会 was formed to oppose SDF deployment through cultural activity,A formation-date lead and issue purpose,E2,relation_or_claim_approved,no,Archive URL metadata is unusual; verify the original local-newspaper record before freezing the formation date.,source_type_human_choice;archive_path_date_alignment_needs_confirmation,verify_unusual_archive_path_against_displayed_event_date
NW2FR047,NW2-C_registry_gate,RV2SP026,RV2C005,https://ryukyushimpo.jp/news/entry-209354.html,NW2FS046,no,,unique_proposed_new,S291,postmerge_provisional_batch_match,S291,陸自配備反対を決議 石垣、住民180人が緊急集会,琉球新報,local_news,local_news,2016-01-24,2016,paragraph naming 八重山大地会 and 八重洋一郎代表,"Exact identity, representative and anti-deployment organizer role",E3,relation_or_claim_approved,no,The wider meeting had multiple organizers; do not infer a stable alliance.,,
NW2FR048,NW2-C_registry_gate,RV2SP027,RV2C005,https://www.kinyobi.co.jp/kinyobinews/2017/01/25/%E9%99%B8%E8%87%AA%E9%85%8D%E5%82%99%E3%81%A7%E3%80%8C%E5%8F%97%E3%81%91%E5%85%A5%E3%82%8C%E3%80%8D%E8%A1%A8%E6%98%8E%E2%80%95%E2%80%95%E4%BD%8F%E6%B0%91%E8%A3%8F%E5%88%87%E3%82%8A%E3%81%AE%E7%9F%B3,NW2FS047,no,,unique_proposed_new,S292,postmerge_provisional_batch_match,S292,陸自配備で受け入れ表明 住民裏切りの石垣市長,週刊金曜日,magazine_news,magazine_news,2017-01-25,2017,paragraph naming 潮平正道共同代表,2017 identity/leadership and war-memory framing of SDF deployment,E3,relation_or_claim_approved,no,Attributed statement only; publisher has an advocacy position.,,
NW2FR049,NW2-C_registry_gate,RV2SP028,RV2C005,https://iwj.co.jp/wj/open/archives/374937,NW2FS048,no,,unique_proposed_new,S293,postmerge_provisional_batch_match,S293,石垣島市政と陸自ミサイル部隊配備を語るバガケーラの集い,IWJ Independent Web Journal,event_report,event_report,2017-04-21,2017,event metadata naming 八重山大地会 as co-organizer,A second 2017 organizer observation tied directly to SDF deployment,E3,relation_or_claim_approved,no,Co-organization is event-level and does not establish a permanent alliance.,,
NW2FR050,NW2-C_registry_gate,RV2SP029,RV2C005,https://researchmap.jp/teppy/presentations/10378736/attachment_file.pdf,NW2FS049,no,,unique_proposed_new,S294,postmerge_provisional_batch_match,S294,石垣島への陸上自衛隊配備をめぐる組織関係図,researchmap academic presentation attachment,academic_presentation_material,academic_article,undated attachment; accessed 2026-07-13,2026,organization map listing やいま大地会 and A010's component composition,Alias lead and possible component relation to A010,E2,relation_or_claim_approved,no,"Analytical diagram, not an official membership roster; the component relation needs human or primary confirmation.",source_type_human_choice;undated_attachment_use_access_year_only,verify_attachment_date_and_parent_presentation_metadata
