record_id,record_scope,event_id,event_name,event_year,actor_or_counterpart_id,actor_or_counterpart_name,entity_type,action_type,venue_id,target_type,target_id_or_name,role,pathway_stage,evidence_level,source_id,reviewer_status,interpretation_limit,notes
AEV0012,event,EV2015_NACSJ_31,NACSJ / Peace Boat 31-NGO emergency Henoko statement,2015,A026,ピース・ニュース,registry_actor,co_signing,V002,policy_project,Henoko base construction plan,co_signer_or_participant,transnational_environmental_statement,E4,S004,ai_seeded,"co-signing is one-off event participation, not stable alliance",Mapped from actor_relation_events_v1; venue/target mapping requires human review.
AEV0013,event,EV2015_NACSJ_31,NACSJ / Peace Boat 31-NGO emergency Henoko statement,2015,A027,公共事業改革市民会議,registry_actor,co_signing,V002,policy_project,Henoko base construction plan,co_signer_or_participant,transnational_environmental_statement,E4,S004,ai_seeded,"co-signing is one-off event participation, not stable alliance",Mapped from actor_relation_events_v1; venue/target mapping requires human review.
AEV0014,event,EV2015_NACSJ_31,NACSJ / Peace Boat 31-NGO emergency Henoko statement,2015,A028,沖縄のための日米市民ネットワーク（JUCON）,registry_actor,co_signing,V002,policy_project,Henoko base construction plan,co_signer_or_participant,transnational_environmental_statement,E4,S004,ai_seeded,"co-signing is one-off event participation, not stable alliance",Mapped from actor_relation_events_v1; venue/target mapping requires human review.
AEV0015,event,EV2015_NACSJ_31,NACSJ / Peace Boat 31-NGO emergency Henoko statement,2015,A029,沖縄・生物多様性市民ネットワーク,registry_actor,co_signing,V002,policy_project,Henoko base construction plan,co_signer_or_participant,transnational_environmental_statement,E4,S004,ai_seeded,"co-signing is one-off event participation, not stable alliance",Mapped from actor_relation_events_v1; venue/target mapping requires human review.
AEV0016,event,EV2015_NACSJ_31,NACSJ / Peace Boat 31-NGO emergency Henoko statement,2015,A030,市川三番瀬を守る会,registry_actor,co_signing,V002,policy_project,Henoko base construction plan,co_signer_or_participant,transnational_environmental_statement,E4,S004,ai_seeded,"co-signing is one-off event participation, not stable alliance",Mapped from actor_relation_events_v1; venue/target mapping requires human review.
AEV0017,event,EV2015_NACSJ_31,NACSJ / Peace Boat 31-NGO emergency Henoko statement,2015,A031,三番瀬のラムサール条約登録を実現する会,registry_actor,co_signing,V002,policy_project,Henoko base construction plan,co_signer_or_participant,transnational_environmental_statement,E4,S004,ai_seeded,"co-signing is one-off event participation, not stable alliance",Mapped from actor_relation_events_v1; venue/target mapping requires human review.
AEV0018,event,EV2015_NACSJ_31,NACSJ / Peace Boat 31-NGO emergency Henoko statement,2015,A032,Peace Philosophy Centre,registry_actor,co_signing,V002,policy_project,Henoko base construction plan,co_signer_or_participant,transnational_environmental_statement,E4,S004,ai_seeded,"co-signing is one-off event participation, not stable alliance",Mapped from actor_relation_events_v1; venue/target mapping requires human review.
AEV0019,event,EV2015_NACSJ_31,NACSJ / Peace Boat 31-NGO emergency Henoko statement,2015,A033,Friends of the Earth U.S.,registry_actor,co_signing,V002,policy_project,Henoko base construction plan,co_signer_or_participant,transnational_environmental_statement,E4,S004,ai_seeded,"co-signing is one-off event participation, not stable alliance",Mapped from actor_relation_events_v1; venue/target mapping requires human review.
AEV0020,event,EV2015_NACSJ_31,NACSJ / Peace Boat 31-NGO emergency Henoko statement,2015,A034,Korea Federation for Environmental Movements (KFEM),registry_actor,co_signing,V002,policy_project,Henoko base construction plan,co_signer_or_participant,transnational_environmental_statement,E4,S004,ai_seeded,"co-signing is one-off event participation, not stable alliance",Mapped from actor_relation_events_v1; venue/target mapping requires human review.
AEV0021,event,EV2015_NACSJ_31,NACSJ / Peace Boat 31-NGO emergency Henoko statement,2015,A035,Russian Social Ecological Union,registry_actor,co_signing,V002,policy_project,Henoko base construction plan,co_signer_or_participant,transnational_environmental_statement,E4,S004,ai_seeded,"co-signing is one-off event participation, not stable alliance",Mapped from actor_relation_events_v1; venue/target mapping requires human review.
AEV0022,event,EV2015_NACSJ_31,NACSJ / Peace Boat 31-NGO emergency Henoko statement,2015,A036,Friends of the Siberian Forests,registry_actor,co_signing,V002,policy_project,Henoko base construction plan,co_signer_or_participant,transnational_environmental_statement,E4,S004,ai_seeded,"co-signing is one-off event participation, not stable alliance",Mapped from actor_relation_events_v1; venue/target mapping requires human review.
AEV0023,event,EV2015_NACSJ_31,NACSJ / Peace Boat 31-NGO emergency Henoko statement,2015,A037,Centre for Environmental Justice,registry_actor,co_signing,V002,policy_project,Henoko base construction plan,co_signer_or_participant,transnational_environmental_statement,E4,S004,ai_seeded,"co-signing is one-off event participation, not stable alliance",Mapped from actor_relation_events_v1; venue/target mapping requires human review.
AEV0024,event,EV2015_NACSJ_31,NACSJ / Peace Boat 31-NGO emergency Henoko statement,2015,A038,Sahabat Alam Malaysia,registry_actor,co_signing,V002,policy_project,Henoko base construction plan,co_signer_or_participant,transnational_environmental_statement,E4,S004,ai_seeded,"co-signing is one-off event participation, not stable alliance",Mapped from actor_relation_events_v1; venue/target mapping requires human review.
AEV0025,event,EV2015_NACSJ_31,NACSJ / Peace Boat 31-NGO emergency Henoko statement,2015,A039,The Legal Rights and Natural Resources Center-Kasama sa Kalikasan,registry_actor,co_signing,V002,policy_project,Henoko base construction plan,co_signer_or_participant,transnational_environmental_statement,E4,S004,ai_seeded,"co-signing is one-off event participation, not stable alliance",Mapped from actor_relation_events_v1; venue/target mapping requires human review.
AEV0026,event,EV2015_NACSJ_31,NACSJ / Peace Boat 31-NGO emergency Henoko statement,2015,A040,Forum for Protection of Public Interest (Pro Public),registry_actor,co_signing,V002,policy_project,Henoko base construction plan,co_signer_or_participant,transnational_environmental_statement,E4,S004,ai_seeded,"co-signing is one-off event participation, not stable alliance",Mapped from actor_relation_events_v1; venue/target mapping requires human review.
AEV0027,event,EV2015_NACSJ_31,NACSJ / Peace Boat 31-NGO emergency Henoko statement,2015,A041,Friends of the Earth Brisbane,registry_actor,co_signing,V002,policy_project,Henoko base construction plan,co_signer_or_participant,transnational_environmental_statement,E4,S004,ai_seeded,"co-signing is one-off event participation, not stable alliance",Mapped from actor_relation_events_v1; venue/target mapping requires human review.
AEV0028,event,EV2015_NACSJ_31,NACSJ / Peace Boat 31-NGO emergency Henoko statement,2015,A042,Pacific Environment,registry_actor,co_signing,V002,policy_project,Henoko base construction plan,co_signer_or_participant,transnational_environmental_statement,E4,S004,ai_seeded,"co-signing is one-off event participation, not stable alliance",Mapped from actor_relation_events_v1; venue/target mapping requires human review.
AEV0029,event,EV2015_NACSJ_31,NACSJ / Peace Boat 31-NGO emergency Henoko statement,2015,A043,PENGON-FoE Palestine,registry_actor,co_signing,V002,policy_project,Henoko base construction plan,co_signer_or_participant,transnational_environmental_statement,E4,S004,ai_seeded,"co-signing is one-off event participation, not stable alliance",Mapped from actor_relation_events_v1; venue/target mapping requires human review.
AEV0030,event,EV2015_NACSJ_31,NACSJ / Peace Boat 31-NGO emergency Henoko statement,2015,A044,Naturvernforbundet / Norwegian Society for the Conservation of Nature,registry_actor,co_signing,V002,policy_project,Henoko base construction plan,co_signer_or_participant,transnational_environmental_statement,E4,S004,ai_seeded,"co-signing is one-off event participation, not stable alliance",Mapped from actor_relation_events_v1; venue/target mapping requires human review.
AEV0031,event,EV2015_NACSJ_31,NACSJ / Peace Boat 31-NGO emergency Henoko statement,2015,A045,Center for Biological Diversity,registry_actor,co_signing,V002,policy_project,Henoko base construction plan,co_signer_or_participant,transnational_environmental_statement,E4,S004,ai_seeded,"co-signing is one-off event participation, not stable alliance",Mapped from actor_relation_events_v1; venue/target mapping requires human review.
AEV0032,event,EV2015_NACSJ_31,NACSJ / Peace Boat 31-NGO emergency Henoko statement,2015,A046,Pro Natura,registry_actor,co_signing,V002,policy_project,Henoko base construction plan,co_signer_or_participant,transnational_environmental_statement,E4,S004,ai_seeded,"co-signing is one-off event participation, not stable alliance",Mapped from actor_relation_events_v1; venue/target mapping requires human review.
AEV0033,event,EV2015_NACSJ_31,NACSJ / Peace Boat 31-NGO emergency Henoko statement,2015,A061,日本野鳥の会,registry_actor,co_signing,V002,policy_project,Henoko base construction plan,co_signer_or_participant,transnational_environmental_statement,E4,S004,ai_seeded,"co-signing is one-off event participation, not stable alliance",Mapped from actor_relation_events_v1; venue/target mapping requires human review.
AEV0034,event,EV2020_OEJP_MMC_71,OEJP / MMC civil-society request and report,2020,A001,Okinawa Environmental Justice Project,registry_actor,request_letter,V004,institution,U.S. Marine Mammal Commission,co_signer_or_participant,international_institution_request,E4,S006,ai_seeded,"co-signing is one-off event participation, not stable alliance",Mapped from actor_relation_events_v1; venue/target mapping requires human review.
AEV0035,event,EV2020_OEJP_MMC_71,OEJP / MMC civil-society request and report,2020,A020,日本環境法律家連盟（JELF）,registry_actor,request_letter,V004,institution,U.S. Marine Mammal Commission,co_signer_or_participant,international_institution_request,E4,S006,ai_seeded,"co-signing is one-off event participation, not stable alliance",Mapped from actor_relation_events_v1; venue/target mapping requires human review.
AEV0036,event,EV2020_OEJP_MMC_71,OEJP / MMC civil-society request and report,2020,A077,Diving Team Rainbow,registry_actor,request_letter,V004,institution,U.S. Marine Mammal Commission,co_signer_or_participant,international_institution_request,E2,S006,ai_seeded,"co-signing is one-off event participation, not stable alliance",Mapped from actor_relation_events_v1; venue/target mapping requires human review.
AEV0037,event,EV2020_OEJP_MMC_71,OEJP / MMC civil-society request and report,2020,A078,Dugong no Sato,registry_actor,request_letter,V004,institution,U.S. Marine Mammal Commission,co_signer_or_participant,international_institution_request,E2,S006,ai_seeded,"co-signing is one-off event participation, not stable alliance",Mapped from actor_relation_events_v1; venue/target mapping requires human review.
AEV0038,event,EV2020_OEJP_MMC_71,OEJP / MMC civil-society request and report,2020,A079,Okinawa Reefcheck and Research Group,registry_actor,request_letter,V004,institution,U.S. Marine Mammal Commission,co_signer_or_participant,international_institution_request,E2,S006,ai_seeded,"co-signing is one-off event participation, not stable alliance",Mapped from actor_relation_events_v1; venue/target mapping requires human review.
AEV0039,event,EV2020_OEJP_MMC_71,OEJP / MMC civil-society request and report,2020,A080,Okumagawa Basin Protection Foundation,registry_actor,request_letter,V004,institution,U.S. Marine Mammal Commission,co_signer_or_participant,international_institution_request,E2,S006,ai_seeded,"co-signing is one-off event participation, not stable alliance",Mapped from actor_relation_events_v1; venue/target mapping requires human review.
AEV0040,event,EV2020_OEJP_MMC_71,OEJP / MMC civil-society request and report,2020,A081,Protect Northernmost Dugong Team Zan,registry_actor,request_letter,V004,institution,U.S. Marine Mammal Commission,co_signer_or_participant,international_institution_request,E2,S006,ai_seeded,"co-signing is one-off event participation, not stable alliance",Mapped from actor_relation_events_v1; venue/target mapping requires human review.
AEV0041,event,EV2020_OEJP_MMC_71,OEJP / MMC civil-society request and report,2020,A082,East Asian Community Institute Ryukyu Okinawa Center,registry_actor,request_letter,V004,institution,U.S. Marine Mammal Commission,co_signer_or_participant,international_institution_request,E2,S006,ai_seeded,"co-signing is one-off event participation, not stable alliance",Mapped from actor_relation_events_v1; venue/target mapping requires human review.
AEV0042,event,EV2020_OEJP_MMC_71,OEJP / MMC civil-society request and report,2020,A083,Henoko Blue,registry_actor,request_letter,V004,institution,U.S. Marine Mammal Commission,co_signer_or_participant,international_institution_request,E2,S006,ai_seeded,"co-signing is one-off event participation, not stable alliance",Mapped from actor_relation_events_v1; venue/target mapping requires human review.
AEV0043,event,EV2020_OEJP_MMC_71,OEJP / MMC civil-society request and report,2020,A084,Nago Democracy,registry_actor,request_letter,V004,institution,U.S. Marine Mammal Commission,co_signer_or_participant,international_institution_request,E2,S006,ai_seeded,"co-signing is one-off event participation, not stable alliance",Mapped from actor_relation_events_v1; venue/target mapping requires human review.
AEV0044,event,EV2020_OEJP_MMC_71,OEJP / MMC civil-society request and report,2020,A085,No Heliport Base Association of 10 Districts North of Futamai,registry_actor,request_letter,V004,institution,U.S. Marine Mammal Commission,co_signer_or_participant,international_institution_request,E2,S006,ai_seeded,"co-signing is one-off event participation, not stable alliance",Mapped from actor_relation_events_v1; venue/target mapping requires human review.
AEV0045,event,EV2003_DUGONG_LAWSUIT,Okinawa Dugong v. Rumsfeld NHPA lawsuit (C 03-4350 MHP),2003,A045,Center for Biological Diversity,registry_actor,litigation,V005,defendant_institution,U.S. Department of Defense,named_plaintiff,transnational_litigation,E4,S060,ai_seeded,US NHPA suit party role; not a stable alliance,Mapped from actor_relation_events_v1; venue/target mapping requires human review.
AEV0046,event,EV2003_DUGONG_LAWSUIT,Okinawa Dugong v. Rumsfeld NHPA lawsuit (C 03-4350 MHP),2003,A086,Turtle Island Restoration Network,registry_actor,litigation,V005,defendant_institution,U.S. Department of Defense,named_plaintiff,transnational_litigation,E4,S060,ai_seeded,US NHPA suit party role; not a stable alliance,Mapped from actor_relation_events_v1; venue/target mapping requires human review.
AEV0047,event,EV2003_DUGONG_LAWSUIT,Okinawa Dugong v. Rumsfeld NHPA lawsuit (C 03-4350 MHP),2003,A020,日本環境法律家連盟（JELF）,registry_actor,litigation,V005,defendant_institution,U.S. Department of Defense,named_plaintiff,transnational_litigation,E4,S061,ai_seeded,US NHPA suit party role; not a stable alliance,Mapped from actor_relation_events_v1; venue/target mapping requires human review.
AEV0048,event,EV2003_DUGONG_LAWSUIT,Okinawa Dugong v. Rumsfeld NHPA lawsuit (C 03-4350 MHP),2003,A076,ジュゴン保護基金委員会（Save the Dugong Foundation）,registry_actor,litigation,V005,defendant_institution,U.S. Department of Defense,named_plaintiff,transnational_litigation,E4,S060,ai_seeded,US NHPA suit party role; not a stable alliance,Mapped from actor_relation_events_v1; venue/target mapping requires human review.
AEV0049,event,EV2003_DUGONG_LAWSUIT,Okinawa Dugong v. Rumsfeld NHPA lawsuit (C 03-4350 MHP),2003,A009,Earthjustice,registry_actor,litigation,V005,defendant_institution,U.S. Department of Defense,legal_counsel,transnational_litigation,E4,S009,ai_seeded,US NHPA suit party role; not a stable alliance,Mapped from actor_relation_events_v1; venue/target mapping requires human review.
AEV0050,event,EV2019_PREF_REFERENDUM,2019 Henoko prefectural referendum,2019,A051,「辺野古」県民投票の会,registry_actor,referendum,V007,referendum_question,Henoko reclamation and base-construction question,referendum_initiator,prefectural_autonomy_process,E4,S025,ai_seeded,referendum/opinion-ad participation; E2 rows are leads,Mapped from actor_relation_events_v1; venue/target mapping requires human review.
AEV0051,event,EV1997_NAGO_REFERENDUM,1997 Nago city referendum,1997,A068,名護市民投票の会,registry_actor,referendum,V008,referendum_question,Nago base-relocation referendum question,referendum_initiator,municipal_autonomy_process,E3,S042,ai_seeded,referendum/opinion-ad participation; E2 rows are leads,Mapped from actor_relation_events_v1; venue/target mapping requires human review.
AEV0052,event,EV_ISHIGAKI_REFERENDUM,Ishigaki referendum drive (2018-2019),2019,A011,石垣市住民投票を求める会,registry_actor,referendum,V008,municipal_process,Ishigaki referendum ordinance and JSDF-deployment question,referendum_initiator,municipal_autonomy_process,E4,S018,ai_seeded,referendum/opinion-ad participation; E2 rows are leads,Mapped from actor_relation_events_v1; venue/target mapping requires human review.
AEV0053,event,EV2015_YONAGUNI_REFERENDUM,2015 Yonaguni SDF-deployment referendum,2015,A014,住民投票を成功させるための実行委員会,registry_actor,referendum,V008,referendum_question,Yonaguni JSDF-deployment question,referendum_committee,municipal_autonomy_process,E2,S069,ai_seeded,referendum/opinion-ad participation; E2 rows are leads,Mapped from actor_relation_events_v1; venue/target mapping requires human review.
AEV0054,event,EV2012_YONAGUNI_OPINION_AD,2012 Yonaguni anti-deployment opinion ad,2012,A015,与那国自衛隊配備反対意見広告実行委員会,registry_actor,opinion_ad,V009,public_opinion,Public opinion on Yonaguni JSDF deployment,opinion_ad_committee,public_opinion_mobilization,E2,S015,ai_seeded,referendum/opinion-ad participation; E2 rows are leads,Mapped from actor_relation_events_v1; venue/target mapping requires human review.
AEV0055,lawsuit_role,EV2003_DUGONG_LAWSUIT,Okinawa Dugong v. Rumsfeld NHPA lawsuit (C 03-4350 MHP),2003,,Anna Shimabukuro,individual,litigation,V005,defendant_institution,U.S. Department of Defense,named_plaintiff_individual,transnational_litigation,E4,S060,ai_seeded,Party/counsel/non-party roles must remain distinct.,Court-caption party role.
AEV0056,lawsuit_role,EV2003_DUGONG_LAWSUIT,Okinawa Dugong v. Rumsfeld NHPA lawsuit (C 03-4350 MHP),2003,,東恩納琢磨（Takuma Higashionna）,individual,litigation,V005,defendant_institution,U.S. Department of Defense,named_plaintiff_individual,transnational_litigation,E4,S060,ai_seeded,Party/counsel/non-party roles must remain distinct.,Person-level plaintiff; do not transfer party status to A003.
AEV0057,lawsuit_role,EV2003_DUGONG_LAWSUIT,Okinawa Dugong v. Rumsfeld NHPA lawsuit (C 03-4350 MHP),2003,,真喜志好一（Yoshikazu Makishi）,individual,litigation,V005,defendant_institution,U.S. Department of Defense,named_plaintiff_individual,transnational_litigation,E4,S060,ai_seeded,Party/counsel/non-party roles must remain distinct.,Individual plaintiff.
AEV0058,lawsuit_role,EV2003_DUGONG_LAWSUIT,Okinawa Dugong v. Rumsfeld NHPA lawsuit (C 03-4350 MHP),2003,DoD_US,U.S. Department of Defense,institution,litigation,V005,defendant_institution,U.S. Department of Defense,defendant,transnational_litigation,E4,S093,ai_seeded,Party/counsel/non-party roles must remain distinct.,Defendant institution in the NHPA suit.
AEV0059,lawsuit_role,EV2003_DUGONG_LAWSUIT,Okinawa Dugong v. Rumsfeld NHPA lawsuit (C 03-4350 MHP),2003,A002,ジュゴン保護キャンペーンセンター（SDCC）,registry_actor,litigation,V005,defendant_institution,U.S. Department of Defense,not_plaintiff_advocacy,transnational_litigation,E3,S060,ai_seeded,Party/counsel/non-party roles must remain distinct.,Negative party-role inference from caption plus identity sources; needs human legal review.
AEV0060,lawsuit_role,EV2003_DUGONG_LAWSUIT,Okinawa Dugong v. Rumsfeld NHPA lawsuit (C 03-4350 MHP),2003,A019,ヘリ基地反対協議会,registry_actor,litigation,V005,defendant_institution,U.S. Department of Defense,not_plaintiff_onsite_movement,transnational_litigation,E3,S060,ai_seeded,Party/counsel/non-party roles must remain distinct.,Organization is not named in caption; person-level overlap must not be transferred; needs human legal review.
AEV0061,pathway_seed,,Henoko/Oura Bay transnational pathway analytical seed,,A019,ヘリ基地反対協議会,registry_actor,pathway_role,V001,policy_project,Henoko base construction plan,onsite_actor,local_site_and_action,E4,S049,ai_seeded,Analytical pathway mapping is not an observed stable chain.,Official organization site supports on-site role; not an alliance claim.
AEV0062,pathway_seed,,Henoko/Oura Bay transnational pathway analytical seed,,A003,ジュゴンネットワーク沖縄,registry_actor,pathway_role,V002,environmental_frame,Dugong habitat and Henoko construction,local_environmental_advocacy,local_environmental_translation,E3,S003,ai_seeded,Analytical pathway mapping is not an observed stable chain.,Current source is a co-signatory statement; organization continuity needs a second source.
AEV0063,pathway_seed,,Henoko/Oura Bay transnational pathway analytical seed,,A004,日本自然保護協会,registry_actor,pathway_role,V002,policy_project,Henoko base construction plan,domestic_environmental_advocacy,domestic_environmental_translation,E4,S004,ai_seeded,Analytical pathway mapping is not an observed stable chain.,Statement role only; not stable alliance.
AEV0064,pathway_seed,,Henoko/Oura Bay transnational pathway analytical seed,,A005,WWFジャパン,registry_actor,pathway_role,V002,policy_project,Henoko base construction plan,statement_host,domestic_environmental_translation,E4,S003,ai_seeded,Analytical pathway mapping is not an observed stable chain.,Statement-host role only; not stable alliance.
