evidence_id,object_type,object_id,claim,source_id,evidence_summary_or_short_quote,source_locator,evidence_level,reviewer_status,notes
EN0014,actor_issue_edge,AI026,The Ishigaki drive used a local-autonomy/direct-request channel.,S019,"The report records 14,263 valid signatures and the direct-request procedure.",source_docs/source_archive/S019/raw.html — signature-count/direct-request article body,E3,ai_seeded,
EN0015,actor_issue_edge,AI028,Miyako deployment opposition was connected to groundwater protection.,S020,The article reports a Miyako rally calling both for stopping deployment and protecting groundwater.,source_docs/source_archive/S020/raw.html — Miyako rally and groundwater paragraph,E3,ai_seeded,Persistent organization identity still needs a second source.
EN0016,actor_issue_edge,AI030,The Miyako case translated deployment into a life-safety/water concern.,S020,Groundwater preservation appears as a public concern in the anti-deployment event.,source_docs/source_archive/S020/raw.html — Miyako rally and groundwater paragraph,E3,ai_seeded,
EN0017,actor_issue_edge,AI034,A Yonaguni referendum committee opposed JSDF deployment.,S069,The article identifies an opposition-side referendum committee and discusses the vote process.,source_docs/source_archive/S069/raw.html — referendum opposition-committee passage,E2,ai_seeded,Organization name/continuity requires local or primary confirmation.
EN0018,actor_issue_edge,AI035,The Yonaguni case used referendum and local-autonomy framing.,S010,Mainstream local coverage confirms the municipal vote on JSDF deployment.,source_docs/source_archive/S010/raw.html — referendum result article body,E3,ai_seeded,"This source supports event context, not the committee’s full identity."
EN0019,actor_issue_edge,AI122,The Okinawa Bar Association used formal legal statements on Henoko.,S037,The association page collects president statements/resolutions concerning the Henoko new-base project.,source_docs/source_archive/S037/raw.html — Henoko president-statement/resolution page,E3,ai_seeded,
EN0020,actor_issue_edge,AI123,The bar-association intervention invokes prefectural decision and autonomy issues.,S037,The formal statements address the relationship between Henoko construction and Okinawa’s public/prefectural position.,source_docs/source_archive/S037/raw.html — Henoko president-statement/resolution page,E3,ai_seeded,
EN0021,actor_issue_edge,AI157,ND treats Okinawa base policy through legal and policy alternatives.,S032,The organization site presents research and policy advocacy on Okinawa base issues.,source_docs/source_archive/S032/raw.html — organization profile and Okinawa policy materials; exact page section needs pinpointing,E4,ai_seeded,Homepage-level locator is insufficient for a final evidence note.
EN0022,event,EV2010_WWF_67,The 2010 source records a 67-group joint statement.,S003,The statement page contains a multi-organization participant list around Henoko/dugong protection.,source_docs/source_archive/S003/raw.html — article body and organization list,E4,ai_seeded,One-off co-signing only.
EN0023,event,EV2015_NACSJ_31,The 2015 source records a 31-NGO emergency statement.,S004,The statement page lists domestic and international NGO participants.,source_docs/source_archive/S004/raw.html — emergency statement and 31-organization list,E4,ai_seeded,One-off co-signing only.
EN0024,event,EV2020_OEJP_MMC_71,The 2020 source records a 71-organization request/report context.,S006,OEJP material documents a civil-society request to the Marine Mammal Commission and the participant context.,source_docs/source_archive/S006/raw_post.html — request/report description and participant material,E4,ai_seeded,Request participation does not establish stable alliance.
EN0025,actor_event_role,AEV0045,Center for Biological Diversity was a named plaintiff.,S093,The federal case caption identifies the organization among plaintiffs.,source_docs/source_archive/S093/raw.pdf — case caption; scanned PDF page needs human pinpointing,E4,ai_seeded,Scanned caption locator needs human confirmation.
EN0026,actor_event_role,AEV0046,Turtle Island Restoration Network was a named plaintiff.,S093,The federal case caption identifies the organization among plaintiffs.,source_docs/source_archive/S093/raw.pdf — case caption; scanned PDF page needs human pinpointing,E4,ai_seeded,Scanned caption locator needs human confirmation.
EN0027,actor_event_role,AEV0047,"JELF was a named plaintiff, not counsel.",S093,The case caption identifies JELF among plaintiffs.,source_docs/source_archive/S093/raw.pdf — case caption; scanned PDF page needs human pinpointing,E4,ai_seeded,Cross-check with JELF material during human review.
EN0028,actor_event_role,AEV0048,Save the Dugong Foundation was a named plaintiff.,S093,The case caption identifies Save the Dugong Foundation among plaintiffs.,source_docs/source_archive/S093/raw.pdf — case caption; scanned PDF page needs human pinpointing,E4,ai_seeded,Must remain distinct from SDCC A002.
EN0029,actor_event_role,AEV0049,Earthjustice served as plaintiff-side counsel.,S060,The legal press release attributes representation/counsel work to Earthjustice.,source_docs/source_archive/S060/raw.html — lawsuit press release and named parties/counsel,E4,ai_seeded,Do not code Earthjustice as named plaintiff.
EN0030,actor_event_role,AEV0058,The U.S. Department of Defense was the defendant institution.,S093,The case caption names the U.S. defense-side defendant.,source_docs/source_archive/S093/raw.pdf — case caption; scanned PDF page needs human pinpointing,E4,ai_seeded,Exact caption page needs human pinpointing.
EN0031,actor_event_role,AEV0059,SDCC A002 was not a named plaintiff in the caption.,S060,The named-party material distinguishes Save the Dugong Foundation from SDCC advocacy activity.,source_docs/source_archive/S060/raw.html — lawsuit press release and named parties/counsel,E3,ai_seeded,Negative inference requires human legal review.
EN0032,actor_event_role,AEV0060,A019 was not a named organizational plaintiff.,S060,The named-party material lists individual Okinawan plaintiffs but not A019 as an organization.,source_docs/source_archive/S060/raw.html — lawsuit press release and named parties/counsel,E3,ai_seeded,Person-level overlap must not be transferred to the organization.
EN0033,funding_support_edge,F012,"The Okinawa Youth Council document is an opportunity, not proof of an award.",S056,The official NOFO states an open funding opportunity and eligibility; no recipient is identified in this record.,source_docs/source_archive/S056/raw.pdf — NOFO award range/eligibility sections; exact PDF page needs pinpointing,E4,ai_seeded,Do not infer an Okinawa NGO recipient.
EN0034,funding_support_edge,F021,OESC made a dated donation to USO Okinawa.,S053,"The report gives a December 2025 donation of USD 3,250.",source_docs/source_archive/S053/raw.html — donation amount/date paragraph,E4,ai_seeded,Upstream edge is verified; note row remains AI-seeded.
EN0035,funding_support_edge,F026,AWWA supported a named USO Kinser kitchen-refresh project.,S077,The USO story identifies an AWWA grant for the Kinser kitchen refresh.,source_docs/source_archive/S077/raw.html — USO Kinser kitchen-refresh grant story,E3,ai_seeded,Amount is not established in this source.
EN0036,funding_support_edge,F027,"AWWA has a reported aggregate donation history, not an annual recipient table.",S078,The article reports an aggregate long-term donation amount to Okinawa welfare facilities.,source_docs/source_archive/S078/raw_manual.html — aggregate donation-history article,E3,ai_seeded,Do not convert aggregate history into named annual edges.
EN0037,funding_support_edge,F028,AWWA donated a wheelchair van to a named Yomitan facility.,S094,"The report names the recipient facility, the wheelchair van and a reported two-million-yen value.","source_docs/source_archive/S094/raw.html — recipient, item and amount paragraph",E3,ai_seeded,Military public-affairs source.
EN0038,funding_support_edge,F031,ONC’s FY2024 report lists the MOFA NGO-consultant project and project cost.,S099,The statutory report records the NGO-consultant activity and a JPY 2.894m project cost.,source_docs/source_archive/S099/raw.pdf — FY2024 project statements/costs; project pages need human pinpointing,E4,ai_seeded,Project cost is not automatically contract payment or movement funding.
EN0039,funding_support_edge,F032,ONC’s FY2024 report lists a prefectural multicultural project and project cost.,S099,The statutory report records the prefecture-commissioned project and a JPY 5.53m project cost.,source_docs/source_archive/S099/raw.pdf — FY2024 project statements/costs; project pages need human pinpointing,E4,ai_seeded,Project cost is not automatically cash paid.
EN0040,funding_support_edge,F033,ONC’s FY2024 report lists the Okinawa City KIP management project and cost.,S099,The statutory report records the city-commissioned program and a JPY 16.04m project cost.,source_docs/source_archive/S099/raw.pdf — FY2024 project statements/costs; project pages need human pinpointing,E4,ai_seeded,"Administrative service relation, not anti-base movement funding."
EN0041,funding_support_edge,F002,AEC has a documented long-running USO relationship and named donation/project activity.,S098,"The report describes a 52-year relationship, the Camp Schwab center project and a USD 16,000 donation.","source_docs/source_archive/S098/raw.html — AEC partnership, project and donation paragraph",E4,ai_seeded,
EN0042,funding_support_edge,F034,MBC appears in a named USO sponsor tier.,S097,The USO page lists MBC as a Platinum sponsor.,source_docs/source_archive/S097/raw.html — sponsor tiers and center list,E3,ai_seeded,Sponsor tier does not establish amount or year.
EN0043,funding_support_edge,F035,Matson appears as a USO Mission Partner.,S097,The USO page lists Matson in the Mission Partner tier.,source_docs/source_archive/S097/raw.html — sponsor tiers and center list,E3,ai_seeded,Sponsor tier does not establish amount or year.
EN0044,funding_support_edge,F036,NOSCO participated in a joint in-kind donation event.,S102,The report names NOSCO among multiple contributors delivering three cooling fans to a childcare center.,"source_docs/source_archive/S102/raw.html — joint donors, recipient and donated items paragraph",E3,ai_seeded,Do not attribute the whole donation or value to NOSCO.
EN0045,funding_support_edge,F006,NOSCO is an AWWA member club; membership is not funding.,S055,The NOSCO page identifies AWWA and its member-club structure.,source_docs/source_archive/S055/raw.html — AWWA member-club section,E4,ai_seeded,Upstream relation is verified; this note remains AI-seeded.
EN0046,funding_support_edge,F011,ONC had a documented JICA contractor/collaboration role.,S100,The JICA report names ONC as contractor for the program/report work.,"source_docs/source_archive/S100/raw.pdf — p. 103 (PDF index 102), contractor attribution",E4,ai_seeded,Contractor role is confirmed; amount is not stated.
EN0047,actor_place_edge,AP029,USO publicly lists a Camp Schwab center/service presence.,S097,The USO page lists Okinawa centers including Camp Schwab.,source_docs/source_archive/S097/raw.html — sponsor tiers and center list,E4,ai_seeded,Service presence does not imply a political stance.
EN0048,actor_issue_edge,AI055,AWWA functions as a spouse-club umbrella network.,S055,The official member page identifies the five-club umbrella structure.,source_docs/source_archive/S055/raw.html — AWWA member-club section,E4,ai_seeded,Umbrella membership is not evidence of specific grants.
EN0049,actor_issue_edge,AI056,AWWA has a welfare/grantmaking role but incomplete annual recipient evidence.,S077,The USO story confirms one named grant project while not establishing a full annual recipient table.,source_docs/source_archive/S077/raw.html — USO Kinser kitchen-refresh grant story,E3,ai_seeded,
