fact_id,schema_version,selection_frame_id,regime_id,subject_raw,subject_type,subject_actor_id,relation_type,object_raw,object_type,object_actor_id,rule_summary,condition_or_trigger,source_id,locator,document_date,evidence_level,review_status,human_decision,claim_status,confirmed_scope,missing_scope,interpretation_limit,graph_eligibility,network_metric_eligibility,package_scope,frontend_status,central_writeback,provenance_lead_ids
BGR-F011,BGR-1.0.0,BGR-SF01,BGR-RG01,"CG MCIPAC-MCBB / designee","installation_command",,reimbursable_support_terms,"private organization","private_organization_class",,"Limited logistical support may be approved only when lawful, mission-compatible, within installation capability, SOFA-compatible and legally reviewed","case-specific approval; no entitlement",BGR-SR001,"enclosure pp.1-7 to 1-8 paras 19.a-b and 19.e",2022-11-08,E4,ai_seeded,,supported_bounded,"conditions for limited logistical support","named approval, resource, value and reimbursement","Conditional authority is not proof of actual support, subsidy, endorsement or command control",administrative_record,not_eligible,research_only,not_frontend_ready,no,"UF-BPG-006"
BGR-F012,BGR-1.0.0,BGR-SF01,BGR-RG01,"NAF Instrumentality","government_instrumentality_class",,reimbursable_support_terms,"private organization","private_organization_class",,"MCIPAC POs must be generally self-sustaining and may not receive NAFI financial assistance through contributions, repairs, services, dividends or donated assets","general sustainment rule",BGR-SR001,"enclosure p.1-6 para 16.a",2022-11-08,E4,ai_seeded,,supported_bounded,"NAFI-assistance prohibition within this regime","other statutorily authorized support and named transactions","This clause does not prove that no appropriated-fund or legally authorized support can ever occur",administrative_record,not_eligible,research_only,not_frontend_ready,no,"UF-BPG-006"
BGR-F013,BGR-1.0.0,BGR-SF01,BGR-RG01,"authorized private organization operation","private_organization_operation",,continuous_resale_exception,"thrift shop / authorized gift shop / community theater / occasional approved fundraiser","permitted_operation_class",,"The general bar on continuous resale contains defined exceptions for used-goods thrift shops, authorized gift shops, community theater and approved occasional sales","subject to specific authorization and noncompetition restrictions",BGR-SR001,"enclosure p.1-6 para 16.c",2022-11-08,E4,ai_seeded,,supported_bounded,"category-level resale exceptions","named authorization, facility, sales scope, fees and revenue","A resale exception is not a government grant, exclusive franchise, endorsement or proof of revenue amount",administrative_record,not_eligible,research_only,not_frontend_ready,no,"UF-BPG-007"
BGR-F014,BGR-1.0.0,BGR-SF01,BGR-RG01,"CG MCIPAC-MCBB / designee and MCCS Director","authorization_and_program_authority",,sanction_authority,"private organization operating status","status_object",,"Late reporting or rule violations can produce probation, suspension or revocation; repeated offenses can permanently revoke authorization","triggered by reporting or compliance violations",BGR-SR001,"enclosure pp.1-6 to 1-7 para 17",2022-11-08,E4,ai_seeded,,supported_bounded,"status categories and sanction authority","named sanctions, dates and remedial outcomes","Power to suspend installation operations is not ownership of the organization or control of its internal governance",administrative_record,not_eligible,research_only,not_frontend_ready,no,"UF-BPG-002"
BGR-F015,BGR-1.0.0,BGR-SF01,BGR-RG02,"private organization on Kadena Air Base","private_organization_class",,legal_status_boundary,"self-sustained private activity outside federal official capacity","legal_status",,"Kadena POs are self-sustained groups established by individuals outside federal official capacity and their functions remain separate from official military duties","general Kadena PO rule",BGR-SR002,"p.1 paras 3.1-3.2",2024-02-05,E4,ai_seeded,,supported_bounded,"Kadena local private-status wording","local order does not use the full non-NAFI formula and named actor status remains separate","Do not paraphrase the Kadena local order as expressly saying not-NAFI; that language comes from higher-level policy",administrative_record,not_eligible,research_only,not_frontend_ready,no,"UF-BPG-001"
BGR-F016,BGR-1.0.0,BGR-SF01,BGR-RG02,"18 MSG/CC or Deputy Director","installation_command",,installation_authorization,"private organization on Kadena Air Base","private_organization_class",,"PO establishment and operation require written consent; 18 MSG may withdraw authorization","authorization is installation-specific",BGR-SR002,"p.1 paras 3.1 and 4.1.1",2024-02-05,E4,ai_seeded,,supported_bounded,"authorization and withdrawal authority","named authorization letters and effective periods","Authorization is not funding, affiliation, ownership or a permanent right to operate",administrative_record,not_eligible,research_only,not_frontend_ready,no,"UF-BPG-001;UF-BPG-002"
BGR-F017,BGR-1.0.0,BGR-SF01,BGR-RG02,"18 FSS Commander/Director and FSR PO Monitor","program_administrator",,administrative_monitoring,"private organization program","private_organization_class",,"18 FSS monitors and administers the PO program, maintains files and advises on continued permission","general Kadena PO program administration",BGR-SR002,"pp.2-3 paras 5.1-6.1 and 7.1",2024-02-05,E4,ai_seeded,,supported_bounded,"program administration, review and coordination roles","actor-specific monitoring events and decisions","Program administration is not internal organizational control, affiliation or financial sponsorship",administrative_record,not_eligible,research_only,not_frontend_ready,no,"UF-BPG-002;UF-BPG-003"
BGR-F018,BGR-1.0.0,BGR-SF01,BGR-RG02,"private organization","private_organization_class",,compliance_reporting,"18 FSS/FSR electronic PO file","administrative_file",,"The file must include signed bylaws, revalidation, quarterly bank and income/expense reports, fundraiser receipts, applicable audits/insurance, officer lists, minutes and tax status","subject to revenue thresholds and applicable-document rules",BGR-SR002,"pp.2-3 paras 6.1.1-6.1.10; p.5 paras 9-10",2024-02-05,E4,ai_seeded,,supported_bounded,"minimum file classes and recurring reporting","named file contents, retention periods and public accessibility","The rule proves a recordkeeping obligation, not that a complete file for any named PO has been obtained or is publicly releasable",administrative_record,not_eligible,research_only,not_frontend_ready,no,"UF-BPG-003"
BGR-F019,BGR-1.0.0,BGR-SF01,BGR-RG02,"private organization members","private_person_collective",,private_liability_boundary,"private organization obligations","liability_object",,"Bylaws must notify members that they are jointly and severally liable and that personal assets may be at risk without insurance","applies through PO constitution/bylaws",BGR-SR002,"p.3 para 7.2.2",2024-02-05,E4,ai_seeded,,supported_bounded,"Kadena member-liability clause","named bylaws, insurance and actual liabilities","This does not establish liability for any named person or transaction",administrative_record,not_eligible,research_only,not_frontend_ready,no,"UF-BPG-001"
BGR-F020,BGR-1.0.0,BGR-SF01,BGR-RG02,"18 MSG/CC","installation_command",,legal_status_boundary,"private organization internal activities and structure","internal_governance",,"Kadena describes command supervision as limited to authorization and withdrawal and expressly says 18 MSG does not control or dictate PO internal activities or structure","general Kadena PO rule",BGR-SR002,"p.3 para 8.1",2024-02-05,E4,ai_seeded,,supported_bounded,"local rule's access-versus-internal-governance boundary","possible actor-specific legal instruments outside this order","Do not encode installation permission or monitoring as governance_control",administrative_record,not_eligible,research_only,not_frontend_ready,no,"UF-BPG-002"
BGR-F021,BGR-1.0.0,BGR-SF01,BGR-RG02,"18 MSG/CC","installation_command",,continuous_resale_exception,"Kadena Officers' Spouses Club Gift Corner","named_private_operation",X006,"The order expressly authorizes KOSC Gift Corner to conduct continuous resale operations","authorization recorded in the 2024 order",BGR-SR002,"p.3 paras 8.2 and 8.2.2",2024-02-05,E4,ai_seeded,,supported_bounded,"named 2024 continuous-resale authorization","room, lease, fees, current post-2025 classification and revenue","The exception is not funding, exclusive privilege, free space, endorsement or internal command control",administrative_record,not_eligible,research_only,not_frontend_ready,no,"UF-BPG-007;UF-BPG-008"
BGR-F022,BGR-1.0.0,BGR-SF01,BGR-RG02,"18 MSG/CC","installation_command",,continuous_resale_exception,"Kadena Enlisted Spouses Club Thrift Store","named_private_operation",,"The order expressly authorizes the named thrift store to conduct continuous resale operations","authorization recorded in the 2024 order",BGR-SR002,"p.3 paras 8.2 and 8.2.1",2024-02-05,E4,ai_seeded,,supported_bounded,"raw named 2024 continuous-resale authorization","identity crosswalk to X007, room, lease, fees, current classification and revenue","Keep the raw rule entity unresolved; do not transfer this authorization to Okinawa Enlisted Spouses' Club without identity review",administrative_record,not_eligible,research_only,not_frontend_ready,no,"UF-BPG-007;UF-BPG-010"
BGR-F023,BGR-1.0.0,BGR-SF01,BGR-RG02,"private organization fundraiser","private_organization_operation",,facility_license_requirement,"Kadena facility manager / building custodian","facility_authority",,"A fundraiser request must state its location and receive facility-manager approval; events are coordinated with the building custodian","event-specific use request",BGR-SR002,"pp.5-6 paras 11.2 and 11.4.2-11.4.5",2024-02-05,E4,ai_seeded,,supported_bounded,"event-level facility approval requirement","permanent-room or lease terms for named organizations","Event approval is not a continuing facility license, free room or government sponsorship",administrative_record,not_eligible,research_only,not_frontend_ready,no,"UF-BPG-005"
BGR-F024,BGR-1.0.0,BGR-SF01,BGR-RG02,"18 FSS equipment, services or support","installation_service_interface",,reimbursable_support_terms,"private organization / unofficial activity","private_organization_class",,"Any use of 18 FSS equipment, services or support is assessed normal fees and charges","when such resources are used for fundraising or other PO/UA efforts",BGR-SR002,"p.6 para 12.1",2024-02-05,E4,ai_seeded,,supported_bounded,"normal-fee rule","named service, fee schedule, waiver and actual payment","The rule neither proves actual support nor permits describing the relationship as subsidy or grant",administrative_record,not_eligible,research_only,not_frontend_ready,no,"UF-BPG-006"
BGR-F025,BGR-1.0.0,BGR-SF01,BGR-RG02,"18 MSG/CC / 18 FSS PO program","authorization_and_program_authority",,sanction_authority,"private organization sanctions, including rule-stated PO dissolution","status_object",,"Missing required documents trigger escalating sanctions: suspension of all activities for the first through third occurrences, while the fourth occurrence is stated as 'Dissolution of the PO'; 18 MSG also holds authorization-withdrawal authority","triggered by missing documents or failure to maintain the PO file",BGR-SR002,"pp.4-5 paras 8.3.10 and 8.4.1-8.4.4",2024-02-05,E4,ai_seeded,,supported_bounded,"rule-stated sanction sequence, including fourth-occurrence 'Dissolution of the PO,' and withdrawal authority","actual execution, procedural records, and the clause's legal effect outside installation recognition/status","Preserve the rule's PO-dissolution wording: do not reduce it to operating-status revocation, but do not infer an actual dissolution or proved extinction of the legal entity outside the installation regime",administrative_record,not_eligible,research_only,not_frontend_ready,no,"UF-BPG-002"
