claim_id,report_locator,module,claim_type,claim_text,report_excerpt,report_cited_source_ids,audit_support_source_ids,audit_support_formal_tables,evidence_level_or_layer,review_layer,source_id_check,formal_table_check,numeric_check_status,reported_value,verified_value,publish_status,limitations,audit_note,hr031_group
RCA011,L018;P009,scope,method,"Registry eligibility is based on observability for a research question, not membership in one political camp.",研究采用宽口径 actor 定义。除 NPO 法人外，还纳入市民团体、住民の会、执行委员会、联络会、律师与法律支援网络、日本本土及国际 NGO，以及与冲绳基地社会发生实质联系的行政协作、国际交流、基地社区服务、军属慈善、公共机构和企业赞助节点。纳入 registry 只表示某 actor 对至少一个研究问题具有可观察性，不表示它属于统一政治阵营。,,,data/metadata/coding_schema_v0.md,methodological,schema rule,pass,pass,not_applicable,,,safe,,,
RCA012,L020;P010,scope,method,"1972–1997 is background; emphasis increases after 1998, 2013 and 2020; core places are explicitly bounded.",时间上，本期不追求 1972 年以来的连续、全量组织史。1972—1997 年主要作为组织源流和事件背景；1998 年 NPO 法施行以后，组织法律身份和公开报告较易追踪；2013 年以后重点关注边野古、县民投票、环保倡议、法律行动与全县性政治化；2020 年以后重点观察国际倡议、环境正义、先岛安全化与生活安全。空间上以边野古／大浦湾、普天间、嘉手纳、与那国、石垣和宫古为核心，同时保留高江、名护、泡濑和基地服务场域等比较节点。,,,source_docs/current/复归后冲绳民间组织 _ NGO 分类与议题网络一期研究方案 (3).docx,methodological,research design,pass,pass,not_applicable,,,safe,,,
RCA013,L026;P013,foundation,quantitative,"Actor origins: Okinawa 56, Japan 24, US 17, international 13.",项目按照“资料—名册—候选关系—证据—事件／模块—报告”的顺序推进。主要表包括 actor registry、actor alias、议题和地点词表、source log、组织—议题候选/人审边、组织—地点候选边、支持／资助／非资金关系样本、evidence note、actor—event—venue、R8 case registry 与角色表。当前 118 个 actor 中，56 个为冲绳本地来源，24 个为日本国内来源，17 个为美国来源，13 个为国际来源，其余为跨域网络、公共机构或企业。按现有证据标签，88 个 actor 为 E4、26 个为 E3、4 个为 E2；review status 包括 74 个 `ai_seeded`、22 个 `human_checked`、4 个 `human_revised`、14 个 `needs_second_source`、2 个 `needs_local_retrieval` 和 2 个 `watchlist_only`，所以证据等级分布不能替代逐项人工复核。,,,data/interim/01_actor_registry_initial_v0.csv,registry metadata,mechanical count,pass,pass,match,"{""international"":13,""japan_domestic"":24,""okinawa_local"":56,""us_based"":17}","{""international"":13,""japan_domestic"":24,""okinawa_local"":56,""us_based"":17}",safe,,,
RCA014,L026;P013,foundation,quantitative,"Actor evidence levels are 88 E4, 26 E3, 4 E2; review statuses are 74/22/4/14/2/2 across the six named states.",项目按照“资料—名册—候选关系—证据—事件／模块—报告”的顺序推进。主要表包括 actor registry、actor alias、议题和地点词表、source log、组织—议题候选/人审边、组织—地点候选边、支持／资助／非资金关系样本、evidence note、actor—event—venue、R8 case registry 与角色表。当前 118 个 actor 中，56 个为冲绳本地来源，24 个为日本国内来源，17 个为美国来源，13 个为国际来源，其余为跨域网络、公共机构或企业。按现有证据标签，88 个 actor 为 E4、26 个为 E3、4 个为 E2；review status 包括 74 个 `ai_seeded`、22 个 `human_checked`、4 个 `human_revised`、14 个 `needs_second_source`、2 个 `needs_local_retrieval` 和 2 个 `watchlist_only`，所以证据等级分布不能替代逐项人工复核。,,,data/interim/01_actor_registry_initial_v0.csv,registry metadata,mechanical count,pass,pass,match,"{""E2"":4,""E3"":26,""E4"":88,""ai_seeded"":74,""human_checked"":22,""human_revised"":4,""needs_local_retrieval"":2,""needs_second_source"":14,""watchlist_only"":2}","{""E2"":4,""E3"":26,""E4"":88,""ai_seeded"":74,""human_checked"":22,""human_revised"":4,""needs_local_retrieval"":2,""needs_second_source"":14,""watchlist_only"":2}",safe,Evidence level is not human acceptance.,,
RCA015,L028;P014,foundation,evidence_policy,"E4 may be stated directly, E3 needs limiting language, E2 remains a lead, and E1/E0 do not support conclusions.",证据等级遵循 `data/metadata/coding_schema_v0.md`：E4 为组织官网、政府名单、正式项目报告、法院记录、财报、grant／award／contract 等明确材料；E3 为官方或组织页面已确认关系但缺金额、年度或完整链条；E2 为具体但尚需补强的地方新闻、活动页、军方社区报道或二手线索；E1 不进入正文结论；E0 为排除或误配。只有 E4 且相应身份、关系或解释已经通过适用人工复核的主张，才可不加候选限定直接表述；E4 来源强度本身不能代替人审。E3 使用“公开资料显示”“基本确认”等限制语，E2 只作为线索或证据缺口。,,,data/metadata/coding_schema_v0.md,methodological,coding schema,pass,pass,not_applicable,,,safe,Sensitive relationships also require human review; evidence level alone is insufficient.,,
RCA016,L030;P015,foundation,candidate_boundary,"Actor–issue and actor–place tables are candidate layers and cannot by themselves establish durable roles, presence or alliances.",组织—议题与组织—地点表目前仍是候选边。它们用于识别值得检查的模式，不能自动证明 actor 的长期核心议题、持续在场或组织间稳定关系。共同署名和共同请求另行放入事件表，按 `event_id`、`action_type`、`role` 和 `relation_strength` 区分一次性联署、请求参与、诉讼原告／律师、公投发起和意见广告委员会。敏感资金、委托、赞助与政治立场判断需要人工复核，不能以 AI 生成内容作为 AI 复核证据。,,,data/interim/07_actor_issue_edges_initial_v0.csv;data/interim/08_actor_place_edges_initial_v0.csv,candidate/human mixed,schema hard rule,pass,pass,not_applicable,,,safe,,,
RCA017,L054;P019,R01,quantitative,"Largest classes are citizen networks 24, citizen groups 16, international NGOs 16, Japan-domestic NGOs 11 and international advocacy actors 7.",当前 registry 的最大类别是市民网络（24），其次是市民团体和国际 NGO（各 16）、日本国内 NGO（11）与国际倡议 actor（7）。此外还包括执行委员会、律师网络、劳工／教育组织、女性／人权组织、国际合作 NGO、公共机构伙伴、基地社区服务组织、军属配偶俱乐部、慈善网络、公共外交项目与企业赞助节点。这个构成首先说明研究对象在组织形态上高度异质：有持续运营的法人，也有围绕单一争议或公投成立的委员会；有在地行动组织，也有把地方材料带入国内外法律和倡议渠道的外部节点；还有完全不以抗争为主要功能的服务或行政协作 actor。,,,data/interim/01_actor_registry_initial_v0.csv,registry metadata,mechanical count,pass,pass,match,"{""citizen_group"":16,""citizen_network"":24,""international_advocacy_actor"":7,""international_ngo"":16,""japan_domestic_ngo"":11}","{""citizen_group"":16,""citizen_network"":24,""international_advocacy_actor"":7,""international_ngo"":16,""japan_domestic_ngo"":11}",safe,,,
RCA018,L056;P020,R01,quantitative,R1 retains 25 actor_class values and maps them to 10 analysis families; six out-of-schema terms affect nine actors.,R1 v1 不再把这些主体压成五个粗类，而采用“两层分类”。Registry 保留 25 个具体 `actor_class` 值，解释图另映射为 10 个 `analysis_family_v1` 功能层，覆盖本地公民行动、环保／国际倡议、法律、劳工／教育、女性／人权／社区、国内声援、国际合作／行政协作、基地社区服务、慈善和公共外交／资助节点。这样既保留法人身份与行动形态，也避免把它们直接当作政治立场。当前 25 个分类值中有 6 个超出既有 schema 建议词表，涉及 9 个 actor；它们进入 HR-019，由人决定扩充词表还是映射到现有宽类，主线程不自动合并。,,,outputs/R01_R02_actor_issue_v1/validation_metrics_v1.csv;outputs/R01_R02_actor_issue_v1/actor_class_controlled_mapping_v1.csv;outputs/R01_R02_actor_issue_v1/actor_class_audit_118_v1.csv,mechanical classification audit,R1 candidate governance,pass,pass,match,"{""actor_classes"":25,""analysis_families"":10,""out_schema_actors"":9,""out_schema_terms"":6}","{""actor_classes"":25,""analysis_families"":10,""out_schema_actors"":9,""out_schema_terms"":6}",safe,,,
RCA019,L060;P022,R01,quantitative_interpretation,The functional-ecology figure covers all 118 actors and keeps identity-only actors in a pending-classification layer.,新的组织功能生态图 `outputs/phase1_visuals_v1/fig1_functional_ecology.png` 将 118 个 actor 按功能层和来源层交叉展示；已人审 actor 使用审定分类，A087–A093、A095–A101 统一单列为“待人工分类”。本地公民行动主要集中于冲绳本地来源；环保／国际倡议横跨日本国内、国际和美国来源；服务／慈善主要位于美国来源；行政／国际协作则集中于冲绳本地和公共机构节点。透明度提示 E2 占比，提醒读者功能层构成同时受公开资料可见度影响。该图是 registry 样本构成，不是复归后全部 NGO 的总体分布，也不把不同功能层解释为同一关系网络。,,,outputs/phase1_visuals_v1/functional_ecology_matrix.csv,registry + bounded mapping,mechanical visualization,pass,pass,not_applicable,,,safe,"Figure describes sample composition, not population prevalence.",,
RCA020,L062;P023,R01/R02,organization_role,"A111 is a human-approved women/peace/anti-base/human-rights core-support actor; its 2024 rally role is event-specific, not an alliance.",HR-013 为这一分类补了一个有解释力的边界案例。冲绳县女性团体联络协议会（A111）有 1967 年以来的组织身份，并有 1995 年基地撤去游行和 2024 年反美军性暴力县民大会等有日期的直接连接，因而可作 women–peace–anti_base–human_rights 的 core-support 桥梁。但县民大会只生成事件级角色，不因共同动员而生成稳定联盟边。同一复核将ひめゆり平和祈念财团（C010）与冲绳县珊瑚礁保全推进协议会（C034）仅保留为战争记忆／一般珊瑚保全背景，不赋予反基地立场；C029–C033 因缺一期直接连接而剔除，C015 因组织边界存疑继续 defer。这些决定同时说明，一般公益法人或行政协作平台不能只因议题词汇相近就进入政治行动网络。,,S200;S201,data/interim/01_actor_registry_initial_v0.csv;data/interim/07_actor_issue_edges_initial_v0.csv;data/interim/09_actor_event_venue_edges_v0.csv,E4,HR-013 human_checked,pass,pass,not_applicable,,,safe,C010/C034 remain background only; C029–C033 are out of scope; C015 is deferred.,,
RCA021,L066;P025,R02,quantitative,"There are 222 actor–issue edges, including four human-checked A111 issue edges.",222 条组织—议题候选/人审边中，HR-010/011 的人审边补入全国噪音诉讼协调、嘉手纳／普天间律师团、本地与全国 YWCA、全县反战网络及本土声援层；HR-013 再增加 A111 的 women、peace、anti_base 和 human_rights 四条人审边。总体计数只反映当前资料中被编码的公开连接，不能据此衡量社会支持度或组织投入强度；但它们足以显示，基地争议在组织话语和行动中通常不是单一的“赞成／反对”轴。,,,data/interim/07_actor_issue_edges_initial_v0.csv,mixed candidate/human,mechanical + HR-013,pass,pass,match,"{""edges"":222}","{""edges"":222}",safe,Counts do not measure support or intensity.,,
