dimension_id,dimension_label,facet,category,subcategory,count,denominator,share_pct,unit,inclusion_rule,interpretive_limit
D2,地点,actor_place_pair,JICA Okinawa,,2,130,1.5,distinct actor-place observations,Current rows only (graph_eligibility != excluded); exact place_name values; one row per actor-place pair.,Presence in the table is not frequency or intensity of activity. Describes the working sample only; no population denominator or overall-distribution estimate.
D2,地点,actor_place_pair,Awase,,1,130,0.8,distinct actor-place observations,Current rows only (graph_eligibility != excluded); exact place_name values; one row per actor-place pair.,Presence in the table is not frequency or intensity of activity. Describes the working sample only; no population denominator or overall-distribution estimate.
D2,地点,actor_place_pair,Camp Hansen,,1,130,0.8,distinct actor-place observations,Current rows only (graph_eligibility != excluded); exact place_name values; one row per actor-place pair.,Presence in the table is not frequency or intensity of activity. Describes the working sample only; no population denominator or overall-distribution estimate.
D2,地点,actor_place_pair,Camp Kinser,,1,130,0.8,distinct actor-place observations,Current rows only (graph_eligibility != excluded); exact place_name values; one row per actor-place pair.,Presence in the table is not frequency or intensity of activity. Describes the working sample only; no population denominator or overall-distribution estimate.
D2,地点,actor_place_pair,Camp Schwab,,1,130,0.8,distinct actor-place observations,Current rows only (graph_eligibility != excluded); exact place_name values; one row per actor-place pair.,Presence in the table is not frequency or intensity of activity. Describes the working sample only; no population denominator or overall-distribution estimate.
D2,地点,actor_place_pair,MCAS Futenma,,1,130,0.8,distinct actor-place observations,Current rows only (graph_eligibility != excluded); exact place_name values; one row per actor-place pair.,Presence in the table is not frequency or intensity of activity. Describes the working sample only; no population denominator or overall-distribution estimate.
D2,地点,actor_place_pair,Nago,,1,130,0.8,distinct actor-place observations,Current rows only (graph_eligibility != excluded); exact place_name values; one row per actor-place pair.,Presence in the table is not frequency or intensity of activity. Describes the working sample only; no population denominator or overall-distribution estimate.
D2,地点,actor_place_pair,Sakishima Islands,,1,130,0.8,distinct actor-place observations,Current rows only (graph_eligibility != excluded); exact place_name values; one row per actor-place pair.,Presence in the table is not frequency or intensity of activity. Describes the working sample only; no population denominator or overall-distribution estimate.
D2,地点,actor_place_pair,Takae,,1,130,0.8,distinct actor-place observations,Current rows only (graph_eligibility != excluded); exact place_name values; one row per actor-place pair.,Presence in the table is not frequency or intensity of activity. Describes the working sample only; no population denominator or overall-distribution estimate.
D2,地点,actor_place_pair,U.S. Consulate General Naha,,1,130,0.8,distinct actor-place observations,Current rows only (graph_eligibility != excluded); exact place_name values; one row per actor-place pair.,Presence in the table is not frequency or intensity of activity. Describes the working sample only; no population denominator or overall-distribution estimate.
D3,actor 功能／来源层,actor_class,citizen_network,,23,121,19.0,registry actors,Exact actor_class values from active registry actors; merged-duplicate tombstones excluded; no new recoding.,"Registry composition reflects discoverability and inclusion choices, not the population of Okinawa civil society."
D3,actor 功能／来源层,actor_class,citizen_group,,19,121,15.7,registry actors,Exact actor_class values from active registry actors; merged-duplicate tombstones excluded; no new recoding.,"Registry composition reflects discoverability and inclusion choices, not the population of Okinawa civil society."
D3,actor 功能／来源层,actor_class,international_ngo,,16,121,13.2,registry actors,Exact actor_class values from active registry actors; merged-duplicate tombstones excluded; no new recoding.,"Registry composition reflects discoverability and inclusion choices, not the population of Okinawa civil society."
D3,actor 功能／来源层,actor_class,domestic_japan_ngo,,11,121,9.1,registry actors,Exact actor_class values from active registry actors; merged-duplicate tombstones excluded; no new recoding.,"Registry composition reflects discoverability and inclusion choices, not the population of Okinawa civil society."
D3,actor 功能／来源层,actor_class,international_advocacy_actor,,7,121,5.8,registry actors,Exact actor_class values from active registry actors; merged-duplicate tombstones excluded; no new recoding.,"Registry composition reflects discoverability and inclusion choices, not the population of Okinawa civil society."
D3,actor 功能／来源层,actor_class,labor_union,,6,121,5.0,registry actors,Exact actor_class values from active registry actors; merged-duplicate tombstones excluded; no new recoding.,"Registry composition reflects discoverability and inclusion choices, not the population of Okinawa civil society."
D3,actor 功能／来源层,actor_class,base_spouse_club,,5,121,4.1,registry actors,Exact actor_class values from active registry actors; merged-duplicate tombstones excluded; no new recoding.,"Registry composition reflects discoverability and inclusion choices, not the population of Okinawa civil society."
D3,actor 功能／来源层,actor_class,lawyers_network,,5,121,4.1,registry actors,Exact actor_class values from active registry actors; merged-duplicate tombstones excluded; no new recoding.,"Registry composition reflects discoverability and inclusion choices, not the population of Okinawa civil society."
D3,actor 功能／来源层,actor_class,local_civic_actor,,5,121,4.1,registry actors,Exact actor_class values from active registry actors; merged-duplicate tombstones excluded; no new recoding.,"Registry composition reflects discoverability and inclusion choices, not the population of Okinawa civil society."
D3,actor 功能／来源层,actor_class,womens_organization,,4,121,3.3,registry actors,Exact actor_class values from active registry actors; merged-duplicate tombstones excluded; no new recoding.,"Registry composition reflects discoverability and inclusion choices, not the population of Okinawa civil society."
D3,actor 功能／来源层,actor_class,base_community_service_actor,,3,121,2.5,registry actors,Exact actor_class values from active registry actors; merged-duplicate tombstones excluded; no new recoding.,"Registry composition reflects discoverability and inclusion choices, not the population of Okinawa civil society."
D3,actor 功能／来源层,actor_class,executive_committee,,3,121,2.5,registry actors,Exact actor_class values from active registry actors; merged-duplicate tombstones excluded; no new recoding.,"Registry composition reflects discoverability and inclusion choices, not the population of Okinawa civil society."
D3,actor 功能／来源层,actor_class,local_npo,,3,121,2.5,registry actors,Exact actor_class values from active registry actors; merged-duplicate tombstones excluded; no new recoding.,"Registry composition reflects discoverability and inclusion choices, not the population of Okinawa civil society."
D3,actor 功能／来源层,actor_class,public_institution_partner,,3,121,2.5,registry actors,Exact actor_class values from active registry actors; merged-duplicate tombstones excluded; no new recoding.,"Registry composition reflects discoverability and inclusion choices, not the population of Okinawa civil society."
D3,actor 功能／来源层,actor_class,local_international_cooperation_ngo,,2,121,1.7,registry actors,Exact actor_class values from active registry actors; merged-duplicate tombstones excluded; no new recoding.,"Registry composition reflects discoverability and inclusion choices, not the population of Okinawa civil society."
D3,actor 功能／来源层,actor_class,base_spouse_charity_network,,1,121,0.8,registry actors,Exact actor_class values from active registry actors; merged-duplicate tombstones excluded; no new recoding.,"Registry composition reflects discoverability and inclusion choices, not the population of Okinawa civil society."
D3,actor 功能／来源层,actor_class,corporate_sponsor,,1,121,0.8,registry actors,Exact actor_class values from active registry actors; merged-duplicate tombstones excluded; no new recoding.,"Registry composition reflects discoverability and inclusion choices, not the population of Okinawa civil society."
D3,actor 功能／来源层,actor_class,funder_or_intermediary,,1,121,0.8,registry actors,Exact actor_class values from active registry actors; merged-duplicate tombstones excluded; no new recoding.,"Registry composition reflects discoverability and inclusion choices, not the population of Okinawa civil society."
D3,actor 功能／来源层,actor_class,local_business_sponsor,,1,121,0.8,registry actors,Exact actor_class values from active registry actors; merged-duplicate tombstones excluded; no new recoding.,"Registry composition reflects discoverability and inclusion choices, not the population of Okinawa civil society."
D3,actor 功能／来源层,actor_class,public_diplomacy_grant_program,,1,121,0.8,registry actors,Exact actor_class values from active registry actors; merged-duplicate tombstones excluded; no new recoding.,"Registry composition reflects discoverability and inclusion choices, not the population of Okinawa civil society."
D3,actor 功能／来源层,actor_class,public_diplomacy_or_exchange_actor,,1,121,0.8,registry actors,Exact actor_class values from active registry actors; merged-duplicate tombstones excluded; no new recoding.,"Registry composition reflects discoverability and inclusion choices, not the population of Okinawa civil society."
D3,actor 功能／来源层,origin_type,okinawa_local,,57,121,47.1,registry actors,Exact origin_type values from active registry actors; merged-duplicate tombstones excluded; no new recoding.,"Registry composition reflects discoverability and inclusion choices, not the population of Okinawa civil society."
D3,actor 功能／来源层,origin_type,japan_domestic,,26,121,21.5,registry actors,Exact origin_type values from active registry actors; merged-duplicate tombstones excluded; no new recoding.,"Registry composition reflects discoverability and inclusion choices, not the population of Okinawa civil society."
D3,actor 功能／来源层,origin_type,us_origin,,17,121,14.0,registry actors,Exact origin_type values from active registry actors; merged-duplicate tombstones excluded; no new recoding.,"Registry composition reflects discoverability and inclusion choices, not the population of Okinawa civil society."
D3,actor 功能／来源层,origin_type,international,,13,121,10.7,registry actors,Exact origin_type values from active registry actors; merged-duplicate tombstones excluded; no new recoding.,"Registry composition reflects discoverability and inclusion choices, not the population of Okinawa civil society."
D3,actor 功能／来源层,origin_type,mixed_or_network,,3,121,2.5,registry actors,Exact origin_type values from active registry actors; merged-duplicate tombstones excluded; no new recoding.,"Registry composition reflects discoverability and inclusion choices, not the population of Okinawa civil society."
D3,actor 功能／来源层,origin_type,public_institution,,3,121,2.5,registry actors,Exact origin_type values from active registry actors; merged-duplicate tombstones excluded; no new recoding.,"Registry composition reflects discoverability and inclusion choices, not the population of Okinawa civil society."
D3,actor 功能／来源层,origin_type,corporate,,2,121,1.7,registry actors,Exact origin_type values from active registry actors; merged-duplicate tombstones excluded; no new recoding.,"Registry composition reflects discoverability and inclusion choices, not the population of Okinawa civil society."
D4,议题,unique_actor_by_issue_group,base_politics,,42,121,34.7,unique registry actors,Distinct actor_id within each analysis_inclusion=active issue_group.,"Actors may appear in multiple groups; percentages do not sum to 100%. Labels are evidence-bounded, not activity volumes."
D4,议题,unique_actor_by_issue_group,environment,,37,121,30.6,unique registry actors,Distinct actor_id within each analysis_inclusion=active issue_group.,"Actors may appear in multiple groups; percentages do not sum to 100%. Labels are evidence-bounded, not activity volumes."
D4,议题,unique_actor_by_issue_group,peace_human_rights,,28,121,23.1,unique registry actors,Distinct actor_id within each analysis_inclusion=active issue_group.,"Actors may appear in multiple groups; percentages do not sum to 100%. Labels are evidence-bounded, not activity volumes."
D4,议题,unique_actor_by_issue_group,transnational,,24,121,19.8,unique registry actors,Distinct actor_id within each analysis_inclusion=active issue_group.,"Actors may appear in multiple groups; percentages do not sum to 100%. Labels are evidence-bounded, not activity volumes."
D4,议题,unique_actor_by_issue_group,life_safety,,18,121,14.9,unique registry actors,Distinct actor_id within each analysis_inclusion=active issue_group.,"Actors may appear in multiple groups; percentages do not sum to 100%. Labels are evidence-bounded, not activity volumes."
D4,议题,unique_actor_by_issue_group,place_issue,,18,121,14.9,unique registry actors,Distinct actor_id within each analysis_inclusion=active issue_group.,"Actors may appear in multiple groups; percentages do not sum to 100%. Labels are evidence-bounded, not activity volumes."
D4,议题,unique_actor_by_issue_group,security_politics,,18,121,14.9,unique registry actors,Distinct actor_id within each analysis_inclusion=active issue_group.,"Actors may appear in multiple groups; percentages do not sum to 100%. Labels are evidence-bounded, not activity volumes."
D4,议题,unique_actor_by_issue_group,legal_policy,,16,121,13.2,unique registry actors,Distinct actor_id within each analysis_inclusion=active issue_group.,"Actors may appear in multiple groups; percentages do not sum to 100%. Labels are evidence-bounded, not activity volumes."
D4,议题,unique_actor_by_issue_group,base_community,,11,121,9.1,unique registry actors,Distinct actor_id within each analysis_inclusion=active issue_group.,"Actors may appear in multiple groups; percentages do not sum to 100%. Labels are evidence-bounded, not activity volumes."
D4,议题,unique_actor_by_issue_group,governance,,10,121,8.3,unique registry actors,Distinct actor_id within each analysis_inclusion=active issue_group.,"Actors may appear in multiple groups; percentages do not sum to 100%. Labels are evidence-bounded, not activity volumes."
D4,议题,unique_actor_by_issue_group,external_network,,6,121,5.0,unique registry actors,Distinct actor_id within each analysis_inclusion=active issue_group.,"Actors may appear in multiple groups; percentages do not sum to 100%. Labels are evidence-bounded, not activity volumes."
D4,议题,unique_actor_by_issue_group,collective_action,,5,121,4.1,unique registry actors,Distinct actor_id within each analysis_inclusion=active issue_group.,"Actors may appear in multiple groups; percentages do not sum to 100%. Labels are evidence-bounded, not activity volumes."
D5,source type／archive,source_type_x_archive,organization_site,archived,40,295,13.6,source-log records,Seven most frequent exact source_type values; all remaining exact types mechanically pooled as other.,"Archive failure is a capture status, not evidence absence; archived status does not guarantee evidentiary sufficiency."
D5,source type／archive,source_type_x_archive,organization_site,manual_archived,0,295,0.0,source-log records,Seven most frequent exact source_type values; all remaining exact types mechanically pooled as other.,"Archive failure is a capture status, not evidence absence; archived status does not guarantee evidentiary sufficiency."
D5,source type／archive,source_type_x_archive,organization_site,failed,5,295,1.7,source-log records,Seven most frequent exact source_type values; all remaining exact types mechanically pooled as other.,"Archive failure is a capture status, not evidence absence; archived status does not guarantee evidentiary sufficiency."
D5,source type／archive,source_type_x_archive,organization_site,skipped_non_url_reference,0,295,0.0,source-log records,Seven most frequent exact source_type values; all remaining exact types mechanically pooled as other.,"Archive failure is a capture status, not evidence absence; archived status does not guarantee evidentiary sufficiency."
D5,source type／archive,source_type_x_archive,local_news,archived,38,295,12.9,source-log records,Seven most frequent exact source_type values; all remaining exact types mechanically pooled as other.,"Archive failure is a capture status, not evidence absence; archived status does not guarantee evidentiary sufficiency."
D5,source type／archive,source_type_x_archive,local_news,manual_archived,0,295,0.0,source-log records,Seven most frequent exact source_type values; all remaining exact types mechanically pooled as other.,"Archive failure is a capture status, not evidence absence; archived status does not guarantee evidentiary sufficiency."
D5,source type／archive,source_type_x_archive,local_news,failed,1,295,0.3,source-log records,Seven most frequent exact source_type values; all remaining exact types mechanically pooled as other.,"Archive failure is a capture status, not evidence absence; archived status does not guarantee evidentiary sufficiency."
D5,source type／archive,source_type_x_archive,local_news,skipped_non_url_reference,0,295,0.0,source-log records,Seven most frequent exact source_type values; all remaining exact types mechanically pooled as other.,"Archive failure is a capture status, not evidence absence; archived status does not guarantee evidentiary sufficiency."
D5,source type／archive,source_type_x_archive,official_legislative_record,archived,13,295,4.4,source-log records,Seven most frequent exact source_type values; all remaining exact types mechanically pooled as other.,"Archive failure is a capture status, not evidence absence; archived status does not guarantee evidentiary sufficiency."
D5,source type／archive,source_type_x_archive,official_legislative_record,manual_archived,0,295,0.0,source-log records,Seven most frequent exact source_type values; all remaining exact types mechanically pooled as other.,"Archive failure is a capture status, not evidence absence; archived status does not guarantee evidentiary sufficiency."
D5,source type／archive,source_type_x_archive,official_legislative_record,failed,2,295,0.7,source-log records,Seven most frequent exact source_type values; all remaining exact types mechanically pooled as other.,"Archive failure is a capture status, not evidence absence; archived status does not guarantee evidentiary sufficiency."
D5,source type／archive,source_type_x_archive,official_legislative_record,skipped_non_url_reference,0,295,0.0,source-log records,Seven most frequent exact source_type values; all remaining exact types mechanically pooled as other.,"Archive failure is a capture status, not evidence absence; archived status does not guarantee evidentiary sufficiency."
D5,source type／archive,source_type_x_archive,local_official,archived,14,295,4.7,source-log records,Seven most frequent exact source_type values; all remaining exact types mechanically pooled as other.,"Archive failure is a capture status, not evidence absence; archived status does not guarantee evidentiary sufficiency."
D5,source type／archive,source_type_x_archive,local_official,manual_archived,0,295,0.0,source-log records,Seven most frequent exact source_type values; all remaining exact types mechanically pooled as other.,"Archive failure is a capture status, not evidence absence; archived status does not guarantee evidentiary sufficiency."
D5,source type／archive,source_type_x_archive,local_official,failed,0,295,0.0,source-log records,Seven most frequent exact source_type values; all remaining exact types mechanically pooled as other.,"Archive failure is a capture status, not evidence absence; archived status does not guarantee evidentiary sufficiency."
D5,source type／archive,source_type_x_archive,local_official,skipped_non_url_reference,0,295,0.0,source-log records,Seven most frequent exact source_type values; all remaining exact types mechanically pooled as other.,"Archive failure is a capture status, not evidence absence; archived status does not guarantee evidentiary sufficiency."
D5,source type／archive,source_type_x_archive,court_record,archived,11,295,3.7,source-log records,Seven most frequent exact source_type values; all remaining exact types mechanically pooled as other.,"Archive failure is a capture status, not evidence absence; archived status does not guarantee evidentiary sufficiency."
D5,source type／archive,source_type_x_archive,court_record,manual_archived,0,295,0.0,source-log records,Seven most frequent exact source_type values; all remaining exact types mechanically pooled as other.,"Archive failure is a capture status, not evidence absence; archived status does not guarantee evidentiary sufficiency."
D5,source type／archive,source_type_x_archive,court_record,failed,0,295,0.0,source-log records,Seven most frequent exact source_type values; all remaining exact types mechanically pooled as other.,"Archive failure is a capture status, not evidence absence; archived status does not guarantee evidentiary sufficiency."
D5,source type／archive,source_type_x_archive,court_record,skipped_non_url_reference,0,295,0.0,source-log records,Seven most frequent exact source_type values; all remaining exact types mechanically pooled as other.,"Archive failure is a capture status, not evidence absence; archived status does not guarantee evidentiary sufficiency."
D5,source type／archive,source_type_x_archive,official_data,archived,9,295,3.1,source-log records,Seven most frequent exact source_type values; all remaining exact types mechanically pooled as other.,"Archive failure is a capture status, not evidence absence; archived status does not guarantee evidentiary sufficiency."
D5,source type／archive,source_type_x_archive,official_data,manual_archived,0,295,0.0,source-log records,Seven most frequent exact source_type values; all remaining exact types mechanically pooled as other.,"Archive failure is a capture status, not evidence absence; archived status does not guarantee evidentiary sufficiency."
D5,source type／archive,source_type_x_archive,official_data,failed,0,295,0.0,source-log records,Seven most frequent exact source_type values; all remaining exact types mechanically pooled as other.,"Archive failure is a capture status, not evidence absence; archived status does not guarantee evidentiary sufficiency."
D5,source type／archive,source_type_x_archive,official_data,skipped_non_url_reference,0,295,0.0,source-log records,Seven most frequent exact source_type values; all remaining exact types mechanically pooled as other.,"Archive failure is a capture status, not evidence absence; archived status does not guarantee evidentiary sufficiency."
D5,source type／archive,source_type_x_archive,party_news,archived,9,295,3.1,source-log records,Seven most frequent exact source_type values; all remaining exact types mechanically pooled as other.,"Archive failure is a capture status, not evidence absence; archived status does not guarantee evidentiary sufficiency."
D5,source type／archive,source_type_x_archive,party_news,manual_archived,0,295,0.0,source-log records,Seven most frequent exact source_type values; all remaining exact types mechanically pooled as other.,"Archive failure is a capture status, not evidence absence; archived status does not guarantee evidentiary sufficiency."
D5,source type／archive,source_type_x_archive,party_news,failed,0,295,0.0,source-log records,Seven most frequent exact source_type values; all remaining exact types mechanically pooled as other.,"Archive failure is a capture status, not evidence absence; archived status does not guarantee evidentiary sufficiency."
D5,source type／archive,source_type_x_archive,party_news,skipped_non_url_reference,0,295,0.0,source-log records,Seven most frequent exact source_type values; all remaining exact types mechanically pooled as other.,"Archive failure is a capture status, not evidence absence; archived status does not guarantee evidentiary sufficiency."
D5,source type／archive,source_type_x_archive,other source types,archived,139,295,47.1,source-log records,Seven most frequent exact source_type values; all remaining exact types mechanically pooled as other.,"Archive failure is a capture status, not evidence absence; archived status does not guarantee evidentiary sufficiency."
D5,source type／archive,source_type_x_archive,other source types,manual_archived,2,295,0.7,source-log records,Seven most frequent exact source_type values; all remaining exact types mechanically pooled as other.,"Archive failure is a capture status, not evidence absence; archived status does not guarantee evidentiary sufficiency."
D5,source type／archive,source_type_x_archive,other source types,failed,10,295,3.4,source-log records,Seven most frequent exact source_type values; all remaining exact types mechanically pooled as other.,"Archive failure is a capture status, not evidence absence; archived status does not guarantee evidentiary sufficiency."
D5,source type／archive,source_type_x_archive,other source types,skipped_non_url_reference,2,295,0.7,source-log records,Seven most frequent exact source_type values; all remaining exact types mechanically pooled as other.,"Archive failure is a capture status, not evidence absence; archived status does not guarantee evidentiary sufficiency."
D6,review／evidence,actor_registry_evidence_level,E4,,92,121,76.0,actor_registry,Exact evidence_level values in current-layer actor_registry.,Evidence level and review state are different axes; E4 does not itself mean a claim was human accepted.
D6,review／evidence,actor_registry_evidence_level,E3,,25,121,20.7,actor_registry,Exact evidence_level values in current-layer actor_registry.,Evidence level and review state are different axes; E4 does not itself mean a claim was human accepted.
D6,review／evidence,actor_registry_evidence_level,E2,,4,121,3.3,actor_registry,Exact evidence_level values in current-layer actor_registry.,Evidence level and review state are different axes; E4 does not itself mean a claim was human accepted.
D6,review／evidence,actor_registry_review_status_exact,ai_seeded,,74,121,61.2,actor_registry,Exact review_status values in current-layer actor_registry.,Evidence level and review state are different axes; E4 does not itself mean a claim was human accepted.
D6,review／evidence,actor_registry_review_status_exact,human_checked,,28,121,23.1,actor_registry,Exact review_status values in current-layer actor_registry.,Evidence level and review state are different axes; E4 does not itself mean a claim was human accepted.
D6,review／evidence,actor_registry_review_status_exact,needs_second_source,,13,121,10.7,actor_registry,Exact review_status values in current-layer actor_registry.,Evidence level and review state are different axes; E4 does not itself mean a claim was human accepted.
D6,review／evidence,actor_registry_review_status_exact,human_revised,,4,121,3.3,actor_registry,Exact review_status values in current-layer actor_registry.,Evidence level and review state are different axes; E4 does not itself mean a claim was human accepted.
D6,review／evidence,actor_registry_review_status_exact,needs_local_retrieval,,2,121,1.7,actor_registry,Exact review_status values in current-layer actor_registry.,Evidence level and review state are different axes; E4 does not itself mean a claim was human accepted.
D6,review／evidence,actor_registry_review_bucket,human-reviewed,,32,121,26.4,actor_registry,Deterministic display bucket: human_checked/revised; ai_seeded; all remaining follow-up statuses.,Display aggregation only; exact statuses remain in companion rows.
D6,review／evidence,actor_registry_review_bucket,ai-seeded,,74,121,61.2,actor_registry,Deterministic display bucket: human_checked/revised; ai_seeded; all remaining follow-up statuses.,Display aggregation only; exact statuses remain in companion rows.
D6,review／evidence,actor_registry_review_bucket,follow-up/limited,,15,121,12.4,actor_registry,Deterministic display bucket: human_checked/revised; ai_seeded; all remaining follow-up statuses.,Display aggregation only; exact statuses remain in companion rows.
D6,review／evidence,actor_issue_observations_evidence_level,E4,,204,283,72.1,actor_issue_observations,Exact evidence_level values in current-layer actor_issue_observations.,Evidence level and review state are different axes; E4 does not itself mean a claim was human accepted.
D6,review／evidence,actor_issue_observations_evidence_level,E3,,67,283,23.7,actor_issue_observations,Exact evidence_level values in current-layer actor_issue_observations.,Evidence level and review state are different axes; E4 does not itself mean a claim was human accepted.
D6,review／evidence,actor_issue_observations_evidence_level,E2,,12,283,4.2,actor_issue_observations,Exact evidence_level values in current-layer actor_issue_observations.,Evidence level and review state are different axes; E4 does not itself mean a claim was human accepted.
D6,review／evidence,actor_issue_observations_review_status_exact,ai_seeded,,128,283,45.2,actor_issue_observations,Exact review_status values in current-layer actor_issue_observations.,Evidence level and review state are different axes; E4 does not itself mean a claim was human accepted.
D6,review／evidence,actor_issue_observations_review_status_exact,human_checked,,113,283,39.9,actor_issue_observations,Exact review_status values in current-layer actor_issue_observations.,Evidence level and review state are different axes; E4 does not itself mean a claim was human accepted.
D6,review／evidence,actor_issue_observations_review_status_exact,needs_second_source,,25,283,8.8,actor_issue_observations,Exact review_status values in current-layer actor_issue_observations.,Evidence level and review state are different axes; E4 does not itself mean a claim was human accepted.
D6,review／evidence,actor_issue_observations_review_status_exact,human_revised,,12,283,4.2,actor_issue_observations,Exact review_status values in current-layer actor_issue_observations.,Evidence level and review state are different axes; E4 does not itself mean a claim was human accepted.
D6,review／evidence,actor_issue_observations_review_status_exact,needs_local_retrieval,,5,283,1.8,actor_issue_observations,Exact review_status values in current-layer actor_issue_observations.,Evidence level and review state are different axes; E4 does not itself mean a claim was human accepted.
D6,review／evidence,actor_issue_observations_review_bucket,human-reviewed,,125,283,44.2,actor_issue_observations,Deterministic display bucket: human_checked/revised; ai_seeded; all remaining follow-up statuses.,Display aggregation only; exact statuses remain in companion rows.
D6,review／evidence,actor_issue_observations_review_bucket,ai-seeded,,128,283,45.2,actor_issue_observations,Deterministic display bucket: human_checked/revised; ai_seeded; all remaining follow-up statuses.,Display aggregation only; exact statuses remain in companion rows.
D6,review／evidence,actor_issue_observations_review_bucket,follow-up/limited,,30,283,10.6,actor_issue_observations,Deterministic display bucket: human_checked/revised; ai_seeded; all remaining follow-up statuses.,Display aggregation only; exact statuses remain in companion rows.
