edge_id,source_actor_id,target_actor_id,relation_type,event_or_program,place,evidence_level,funding_relation_confidence,source_ref,review_status,needs_local_retrieval,notes,human_decision,review_task_id,human_reviewer,review_date,review_scope,reviewed_fields,claim_status,confirmed_scope,missing_scope,graph_eligibility,source_role,target_role,amount,currency,amount_semantics,event_date,publication_date,interpretation_limit
F017,A063,A048,solidarity_branch,Kanto branch of anti-war landowner movement,Tokyo; Okinawa,E3,not_funding_relation,S038,ai_seeded,no,Mainland branch of Okinawa-origin movement.,,,,,,,,,,,,,,,,,,
F018,A067,A025,coordination,Henoko soil council and Henoko construction opposition coordination,Henoko; Japan,E3,not_funding_relation,S040,ai_seeded,yes,Cross-prefecture anti-Henoko coordination. Verify linkage.,,,,,,,,,,,,,,,,,,
F019,X010,A074,administrative_collaboration,ONC international cooperation coordination with prefectural government,Okinawa,E2,not_supported,S043;X010,needs_second_source,yes,MT-006: ONC's confirmed administrative links are the multicultural/international-cooperation side (MOFA consultant F031; prefecture multicultural project F032; Okinawa City F033; JICA F011) NOT the base-affairs division A074; this ONC-A074 edge is unsupported and likely an AI-seeded conflation.,,,,,,,,,,,,,,,,,,
F020,A051,A050,legal_support,Bar association support for referendum legal process,Okinawa,E3,not_funding_relation,S025;S037,ai_seeded,yes,Verify direct legal support for referendum initiative.,,,,,,,,,,,,,,,,,,
F021,X007,X001,donation,OESC donates $3250 to USO Okinawa Dec 2025,Okinawa,E4,confirmed_donation,S053,human_revised,no,Stripes Okinawa confirms amount and date. Direct charitable donation.,revise,HR-033,project_principal_user,2026-07-20,endpoint_identity;relation_existence;direction;amount;time_period;interpretation_boundary,source_actor_id;target_actor_id;relation_type;funding_relation_confidence;amount;currency;amount_semantics;event_date;publication_date;source_ref;evidence_level;interpretation_limit,supported,"OESC donated USD 3,250 to USO Okinawa on 2025-12-02 for its Okinawa service programs.","Settlement date, accounting classification, and program-level expenditure detail were not reviewed.",dyadic_relation,donor,recipient_service_organization,3250,USD,direct_charitable_donation,2025-12-02,2025-12-12,"One charitable donation does not establish long-term sponsorship, a stable alliance, a base-policy position, or political influence."
F022,X004,X007,network_membership,OESC as AWWA member club,Okinawa bases,E4,not_funding_relation,S041;S055,human_checked,no,OESC confirmed as one of 5 AWWA member clubs.,accept,HR-033,project_principal_user,2026-07-20,endpoint_identity;relation_existence;direction;time_period;interpretation_boundary,source_actor_id;target_actor_id;relation_type;source_role;target_role;duplicate_crosswalk;source_ref;evidence_level;date_or_period;interpretation_limit,supported,AWWA is an umbrella coordination association and OESC is a named member club; F008 is a rejected duplicate and must not generate a second relation.,Formal charter terms and exact membership period were not reviewed.,dyadic_relation,umbrella_coordination_association,member_club,,,not_applicable_membership,,,Membership is not funding; F008 must not be restored; this relation does not show political alliance or a common policy position.
F023,X004,X016,network_membership,MOSCO as AWWA member club,Okinawa bases,E4,not_funding_relation,S041;S055;S079,human_checked,no,HR-005 supplemental: MOSCO confirmed as AWWA member club; membership only and not recipient evidence.,accept,HR-033,project_principal_user,2026-07-20,endpoint_identity;relation_existence;direction;time_period;interpretation_boundary,source_actor_id;target_actor_id;relation_type;source_role;target_role;actor_alias;source_ref;evidence_level;date_or_period;interpretation_limit,supported,AWWA is an umbrella coordination association and MOSCO or MOSC is a named member club.,"Formal charter terms, representative seats, and exact membership period were not reviewed.",dyadic_relation,umbrella_coordination_association,member_club,,,not_applicable_membership,,,"MOSC and MOSCO are name forms of the same organization and do not create another actor; membership is not funding, control, or political alliance."
F024,X004,X017,network_membership,Army Community Group as AWWA member club,Okinawa bases,E3,not_funding_relation,S041;S072;S081,needs_second_source,yes,HR-005 supplemental: ACGO member/gift shop lead supported by AWWA/community sources; independent identity needs confirmation.,,,,,,,,,,,,,,,,,,
F025,X006,X004,funding_contribution,KOSC reported prior-year donations to scholarships and AWWA,Kadena; Okinawa,E4,confirmed_contribution,S075,human_revised,no,HR-005: KOSC charity page reports $102000 to scholarships and AWWA; split amount/recipient details need annual records.,revise,HR-033,project_principal_user,2026-07-20,endpoint_identity;relation_existence;direction;amount;time_period;interpretation_boundary,source_actor_id;target_actor_id;relation_type;source_role;target_role;amount;currency;amount_semantics;date_or_period;source_ref;evidence_level;claim_status;graph_eligibility;interpretation_limit,supported_bounded,"KOSC's official page states that KOSC charitable funds are distributed to or through AWWA, supporting a named KOSC→AWWA contribution relation.","AWWA allocation, scholarship recipients and itemized amounts, the exact fiscal year denoted by 'last year', transfer date, and full annual detail.",dyadic_relation,contributing_member_club,umbrella_coordination_association,,USD,named_contribution_amount_unknown,,,"The graph may show a KOSC→AWWA contribution with amount not public; USD 102,000 must not be attached to this edge, scholarships are not one actor, and the contribution does not imply alliance or control."
F026,X004,X001,grant,AWWA grant to USO Kinser kitchen refresh project,Camp Kinser,E3,confirmed_grant,S077,human_checked,no,HR-005: USO official story confirms AWWA grant to USO Kinser; amount not recorded in edge.,,,,,,,,,,,,,,,,,,
F027,X004,unknown_okinawa_welfare_facilities,donation,Aggregate long-term donations to Okinawa welfare facilities,Okinawa,E3,probable_funding,S078,human_checked,yes,HR-005: Ryukyu Shimpo English reports aggregate 800 million yen over 40 years; not a named recipient edge and not annual table.,,,,,,,,,,,,,,,,,,
F028,X004,R_yomitan_quegoen,in_kind_donation,Wheelchair van to Yomitan Quegoen disability facility,Yomitan/Okinawa,E3,confirmed_in_kind_donation,S094,ai_seeded,no,MT-005: named Okinawan recipient (facility for impaired adults); DVIDS reports 2 million yen wheelchair van 2015-12-02; military-PA source so E3 not E4.,,,,,,,,,,,,,,,,,,
F029,X004,R_uruma_social_welfare,in_kind_donation,Wheelchair-accessible van to Uruma City Social Welfare Meeting,Uruma/Okinawa,E3,confirmed_in_kind_donation,S072,ai_seeded,no,MT-005: named Okinawan recipient (elderly welfare serving ~300/day); DVIDS 40-year article; military-PA source E3.,,,,,,,,,,,,,,,,,,
F030,X004,R_boy_scouts_far_east,in_kind_donation,Kayaks to Boy Scouts of America Far East Council,Okinawa,E3,confirmed_in_kind_donation,S072,ai_seeded,no,MT-005: named recipient is a US military-community group (not Okinawan local); DVIDS 40-year article; coded by observed function.,,,,,,,,,,,,,,,,,,
F031,X010,MOFA_ngo_consultant_program,ngo_consultant_commission,ONC as MOFA-designated NGO consultant (NGO相談員) FY2024 project cost JPY 2894000,Okinawa/Japan,E4,confirmed_commission,S095;S096;S099;S101,ai_seeded,no,W1 T1-E: ONC FY2024 statutory report lists NGO相談員（外務省委託） project cost JPY 2.894m and 490 users/participants; FY2026 MOFA list confirms continuity. Project cost is not the same as year-end MOFA receivable JPY 412413; administrative not movement network.,,,,,,,,,,,,,,,,,,
F032,X010,Okinawa_Pref_multicultural_project,commission,Okinawa Prefecture multicultural coexistence policy-conference support commission FY2024 project cost JPY 5530000,Okinawa,E4,confirmed_commission,S095;S099,ai_seeded,no,W1 T1-E: ONC FY2024 statutory report names the prefecture-commissioned multicultural coexistence policy-conference support work and JPY 5.53m project cost. Project cost is not the same as year-end Okinawa Prefecture receivable JPY 3038265; administrative not base-affairs movement network.,,,,,,,,,,,,,,,,,,
F033,X010,Okinawa_City,commission,Okinawa City Koza International Plaza management commission FY2024 project cost JPY 16040000,Okinawa,E4,confirmed_commission,S095;S099,ai_seeded,no,W1 T1-E: ONC FY2024 statutory report lists the Okinawa City-commissioned KIP management program and JPY 16.04m project cost. Project cost is not the same as year-end Okinawa City receivable JPY 1392307; administrative service relation.,,,,,,,,,,,,,,,,,,
F034,Mediatti_Broadband_MBC,X001,sponsorship,Mediatti Broadband (MBC) USO Okinawa Platinum sponsor,Okinawa,E3,confirmed_sponsorship,S097,ai_seeded,no,LR-T1B: MBC listed as Platinum sponsor on USO Okinawa sponsors page; amount/year not specified; corporate sponsor node not in registry.,,,,,,,,,,,,,,,,,,
F035,Matson,X001,sponsorship,Matson USO Okinawa Mission Partner,Okinawa,E3,confirmed_sponsorship,S097,ai_seeded,no,LR-T1B: Matson listed as Mission Partner on USO Okinawa sponsors page; representative of the wider sponsor list (UMGC/AIG/Billabong/AK Kogyo/Dominos); amount/year not specified.,,,,,,,,,,,,,,,,,,
F036,X005,R_heshikiya_after_school_childcare,co_in_kind_donation,NOSCO joined delivery of three industrial cooling fans to an after-school childcare center in Heshikiya,Heshikiya/Uruma/Okinawa,E3,confirmed_in_kind_donation,S102,needs_second_source,no,W1 T1-A: DVIDS names NOSCO among four contributing groups; recipient legal name item value and NOSCO share are not stated. Record as joint event contribution and do not attribute the whole donation to NOSCO alone.,,,,,,,,,,,,,,,,,,
F037,A103,A052,network_membership,全国基地爆音訴訟原告団連絡会議 membership — Kadena plaintiffs,Japan;Kadena,E4,not_funding_relation,S122;S123,human_checked,no,"HR-010 batch 5: named member-group relationship; organizational coordination, not funding or alliance inference.",,,,,,,,,,,,,,,,,,
F038,A103,A053,network_membership,全国基地爆音訴訟原告団連絡会議 membership — Futenma plaintiffs,Japan;Futenma,E4,not_funding_relation,S122;S123,human_checked,no,"HR-010 batch 5: named member-group relationship; organizational coordination, not funding or alliance inference.",,,,,,,,,,,,,,,,,,
F039,A104,A053,legal_counsel,Futenma base noise litigation,Futenma;Ginowan,E4,not_funding_relation,S124,human_checked,no,HR-010 batch 5: counsel-team to plaintiff-group role; A104 and A053 are distinct actors. Litigation generation crosswalk remains HR-011/HR-012.,,,,,,,,,,,,,,,,,,
F040,A106,A025,event_affiliation,Metropolitan Henoko soil-reclamation opposition actions from 2018,Tokyo;Henoko,E4,not_funding_relation,S126,human_checked,no,"HR-010 batch 5: publicly described action linkage; event-level affiliation only, not a stable alliance.",,,,,,,,,,,,,,,,,,
F041,A106,A062,partner_action,JAWAN-recorded metropolitan Henoko campaign action,Tokyo;Henoko,E4,not_funding_relation,S127,human_checked,no,"HR-010 batch 5: partner-action record; event-level public cooperation, not a stable alliance.",,,,,,,,,,,,,,,,,,
F042,A109,A052,legal_counsel,Fourth Kadena Base Noise Injunction Lawsuit,Kadena;Okinawa,E4,not_funding_relation,S149;S151;S152,human_checked,no,HR-011/012: case-specific counsel-team to plaintiff-group role for the fourth round; neither funding nor a stable alliance.,,,,,,,,,,,,,,,,,,
F043,A105,A107,organizational_affiliation,Japan YWCA regional-YWCA structure — Okinawa YWCA,Japan;Okinawa,E3,not_funding_relation,S144;S145,human_checked,no,"HR-011: parent/regional organizational affiliation only; not funding, not a movement alliance, and no automatic transfer of A105 actions to A107.",,,,,,,,,,,,,,,,,,
