relation_observation_id,source_record_ids,fiscal_year,period_start,period_end,source_entity_id,source_entity_name,source_entity_kind,target_entity_id,target_entity_name,target_entity_kind,program_name,relation_type,official_mechanism_code,mechanism_label,mechanism_detail,financial_semantics,relation_scope,source_refs,source_locators,evidence_level,review_status,merge_disposition,interpretation_limit,human_decision,human_reviewer,review_date,decision_source_report,review_scope
R10R011,R10A013,2024,2024-05-15,2025-02-28,PUB_OKINAWA_PREF,冲绳县,public_authority_provisional,P_R10_IC_HRD_JV,国际协力人才培养事业共同企业体,provisional_composite_actor,冲绳国际协力人才培养事业,commission,C2,提案型公募委託,JV 由青年海外协力协会冲绳事务所与 JTB 冲绳组成,confirmed_contract_plus_project_cost,public_to_composite,S002;R10S12;R10S13,S002 PDF p.59 row 432; R10S12 PDF p.2; R10S13 PDF No.91,E4,human_revised,module_only_pending_actor_crosswalk,21.799m 是事业费；27.199m 是该 JV 的实际合同额；合同额不得拆给成员。,revise,项目负责人,2026-07-20,docs/human_review_return_HR018_relations_batch20_v1.md,"C2 委托；实际合同 27,199,000 円；边界：21.799m 是事业费；JV 为项目复合主体；合同额不得拆给成员"
R10R012,R10A014;R10V012,2024,2024-04-01,2025-03-31,PUB_OKINAWA_PREF,冲绳县,public_authority_provisional,P_R10_WYUR,世界若者ウチナーンチュ连合会,provisional_actor,次世代ウチナーネットワーク继承基础建设（UNC 运营）,commission,C1,委託,修正原 service 关系错分；service 只保留为功能,commission_relation_project_cost_only,public_to_actor,S002;R10S12,S002 PDF pp.59-60 row 433; R10S12 PDF p.2,E4,human_checked,module_only_pending_actor_crosswalk,10.329m 是事业费／提案上限，不是实际合同额；registry crosswalk 留给 HR-032,accept,项目负责人,2026-07-20,docs/human_review_return_HR018_relations_batch20_v1.md,委托关系、对象、期间和 S002 C1 成立；边界：10.329m 是事业费／提案上限，不是实际合同额；registry crosswalk 留给 HR-032
R10R013,R10A015,2024,2024-04-01,2025-03-31,PUB_OKINAWA_PREF,冲绳县,public_authority_provisional,P_R10_TEAM_OKIYUA,Team OKIYUA,provisional_composite_actor,次世代ウチナーネットワーク继承基础建设（留学生接收）,commission,C1,委託,共同企业体含冲绳映像中心与世界若者ウチナーンチュ连合会,confirmed_contract_plus_project_cost,public_to_composite,S002;R10S12;R10S13,S002 PDF p.60 row 434; R10S12 PDF p.2; R10S13 PDF No.90,E4,human_revised,module_only_pending_actor_crosswalk,"39.739m 是事业费；37,220,999 円是该复合主体的实际合同额；不得拆给成员。",revise,项目负责人,2026-07-20,docs/human_review_return_HR018_relations_batch20_v1.md,"委托关系；实际合同 37,220,999 円；边界：39.739m 是事业费；C1 是 S002 分类，proposal 是合同采购程序；不得拆额"
R10R014,R10A016;R10V014,2024,2024-05-24,2025-02-28,PUB_OKINAWA_PREF,冲绳县,public_authority_provisional,P_R10_JOCA_OKINAWA,青年海外协力协会冲绳事务所,provisional_actor,Let's Study! Uchina Network,commission,C2,提案型公募委託,修正原 service 关系错分；教育服务保留为功能,commission_relation_project_cost_only,public_to_actor,S002;R10S12,S002 PDF p.60 row 435; R10S12 PDF p.2,E4,human_checked,module_only_pending_actor_crosswalk,7.171m 只是事业费；事务所不是独立法人；registry crosswalk 留给 HR-032,accept,项目负责人,2026-07-20,docs/human_review_return_HR018_relations_batch20_v1.md,C2 委托关系、期间和教育功能成立；边界：7.171m 只是事业费；事务所不是独立法人；registry crosswalk 留给 HR-032
R10R015,R10A017,2024,2024-04-30,2025-02-28,PUB_OKINAWA_PREF,冲绳县,public_authority_provisional,P_R10_JUNIOR_STUDY_JV,Uchina Junior Study 共同企业体,provisional_composite_actor,Uchina Junior Study 事业,commission,C2,提案型公募委託,JV 由青年海外协力协会冲绳事务所与东武 Top Tours 冲绳支店组成,commission_relation_project_cost_only,public_to_composite,S002;R10S12,S002 PDF p.60 row 436; R10S12 PDF p.2,E4,human_checked,module_only_pending_actor_crosswalk,15.442m 只是事业费；JV 为项目复合主体；不得拆额,accept,项目负责人,2026-07-20,docs/human_review_return_HR018_relations_batch20_v1.md,C2 委托关系、期间、JV 和成员构成成立；边界：15.442m 只是事业费；JV 为项目复合主体；不得拆额
R10R016,R10A018,2024,2024-04-01,2025-03-31,PUB_OKINAWA_PREF,冲绳县,public_authority_provisional,P_R10_OIHF,冲绳县国际交流·人才育成财团,provisional_actor,国际交流·协力推进事业,grant,C4,補助,官方 C=4 且叙述说明支付补助金,grant_relation_project_cost_not_award,public_to_actor,S002;R10S12,S002 PDF p.60 row 437; R10S12 PDF p.2,E4,human_checked,module_only_pending_award_record,17.932m 是事业费；21.127m 是初始预算；均不是 award 或 paid amount,accept,项目负责人,2026-07-20,docs/human_review_return_HR018_relations_batch20_v1.md,C4 补助关系成立；边界：17.932m 是事业费；21.127m 是初始预算；均不是 award 或 paid amount
R10R017,F011,,,,X010,沖縄NGOセンター,registered_actor,X011,JICA沖縄,registered_actor,国际协力 festival 协作,event_collaboration,,活动协作,官方页面公开列名,non_funding_collaboration,actor_to_actor,S095,ONC/JICA official program pages,E4,human_checked,already_in_main_F011,共同参与活动不是资金关系或稳定联盟。,,,,,
R10R018,F003;F004;F005,,,,X001,USO Okinawa,registered_actor,BENEF_US_MIL_FAMILIES,美军现役人员、预备役/国民警卫队、配偶及家属,beneficiary_group,USO Okinawa 基地社区服务,service_presence,,服务存在,8 个公开服务点；不含金额语义,service_presence_no_funding,actor_to_beneficiary_group,S097,USO Okinawa centers and audience page,E4,human_checked,module_only_consolidated_service_relation,不生成资金、政治立场或八条组织关系,accept,项目负责人,2026-07-20,docs/human_review_return_HR018_relations_batch21_v1.md,一条服务关系＋8 个 site/function observations；边界：不生成资金、政治立场或八条组织关系
R10R019,F002,2026,,,X003,American Engineering Corporation (AEC),registered_actor,X001,USO Okinawa,registered_actor,USO Okinawa 长期企业伙伴,sponsorship,,企业赞助,"Silver sponsor；另有一笔公开 16,000 美元捐赠",sponsor_tier_plus_named_donation,actor_to_actor,S097;S098,S097 sponsors page; S098 named donation report,E4,human_checked,already_in_main_F002,赞助与捐赠可确认；不据此推断企业或 USO 的基地政策立场。,,,,,
R10R020,F034,,,,P_R10_MBC,"Mediatti Broadband Communications, Inc. (MBC Okinawa)",provisional_corporate_actor,X001,USO Okinawa,registered_actor,USO Okinawa sponsor tier,sponsorship,,企业赞助,USO Okinawa Platinum Sponsor；公开材料概括现金与实物支持，但没有金额或估值。,sponsor_tier_and_support_types_no_amount,direct_okinawa_service_sponsorship,S097,USO Okinawa sponsors page,E3,human_checked,already_in_main_F034,Platinum 层级和支持类型不能换算金额；赞助不证明基地政策立场。,accept,项目负责人,2026-07-20,docs/human_review_return_HR018_relations_batch21_v1.md,MBC 是现行 Platinum Sponsor；边界：无公开 relation amount；现金与实物支持不估值、不合并
R10R021,F035,,,,P_R10_MATSON,Matson,provisional_corporate_actor,P_R10_USO_INDO_PACIFIC,USO Indo-Pacific,regional_service_network,Matson — USO Indo-Pacific Mission Partner,sponsorship,,企业赞助,USO Indo-Pacific Mission Partner；USO Okinawa 页面只构成本地展示 context。,sponsor_tier_no_amount_or_local_allocation,regional_context_not_okinawa_direct,S097,USO Okinawa sponsors page,E3,human_revised,already_in_main_F035,不写成 Matson 对 USO Okinawa 的本地定向资助；无金额、无本地 allocation、无政治立场推断。,revise,项目负责人,2026-07-20,docs/human_review_return_HR018_relations_batch21_v1.md,Matson 是 USO Indo-Pacific Mission Partner；边界：不写成本地定向资助；USO Okinawa 页面只是公开展示入口
R10R022,F021,2025,2025-12,2025-12,X007,Okinawa Enlisted Spouses' Club (OESC),registered_actor,X001,USO Okinawa,registered_actor,OESC 向 USO Okinawa 捐赠,donation,,直接捐赠,"公开报道给出日期与 3,250 美元",named_donation,actor_to_actor,S053,"Stripes Okinawa, Dec. 2025 report",E4,human_revised,hr033_merged_main_F021,直接慈善捐赠，不代表政治立场或运动关系。,,,,,
R10R023,F026,,,,X004,American Welfare & Works Association (AWWA),registered_actor,X001,USO Okinawa,registered_actor,USO Kinser kitchen refresh,grant,,慈善 grant,USO 官方故事确认 grant；金额未公开,named_grant_no_amount,actor_to_actor,S077,USO official story,E3,human_checked,already_in_main_F026,只确认这项 grant，不外推完整年度 recipient 网络。,,,,,
R10R024,F006,,,,X004,AWWA,registered_actor,X005,NOSCO,registered_actor,AWWA umbrella membership,network_membership,,成员关系,军属配偶俱乐部伞状成员,membership_no_funding,actor_to_actor,S041;S055;S072,AWWA/NOSCO membership pages,E4,human_checked,hr033_merged_main_F006,成员关系不构成资助。,,,,,
R10R025,F007,,,,X004,AWWA,registered_actor,X006,KOSC,registered_actor,AWWA umbrella membership,network_membership,,成员关系,军属配偶俱乐部伞状成员,membership_no_funding,actor_to_actor,S041;S055;S072;S075,AWWA/KOSC membership pages,E4,human_checked,hr033_merged_main_F007,成员关系不构成资助。,,,,,
R10R026,F022,,,,X004,AWWA,registered_actor,X007,OESC,registered_actor,AWWA umbrella membership,network_membership,,成员关系,军属配偶俱乐部伞状成员,membership_no_funding,actor_to_actor,S041;S055,AWWA/OESC membership pages,E4,human_checked,hr033_merged_main_F022,成员关系不构成资助。,,,,,
R10R027,F023,,,,X004,AWWA,registered_actor,X016,MOSCO,registered_actor,AWWA umbrella membership,network_membership,,成员关系,军属配偶俱乐部伞状成员,membership_no_funding,actor_to_actor,S041;S055;S079,AWWA/MOSCO membership pages,E4,human_checked,hr033_merged_main_F023,成员关系不构成资助。,,,,,
R10R028,F024,2012;2015,2012,2015,X017,Army Community Group of Okinawa,historical_provisional_organization,X004,AWWA,registered_actor,ACGO 的 AWWA 历史成员关系,network_membership,,成员关系,2012 与 2015 两个时点可观察为成员；当前名单未列 ACGO；精确退出日未知。,membership_no_funding,historical_actor_to_umbrella,S072;S094;S081,2012/2015 membership mentions; ACGO-operated gift-shop identity,E3,human_revised,already_in_main_F024,历史 membership 不是资助；不写精确退出年份，也不因当前未列名推定组织解散。,revise,项目负责人,2026-07-20,docs/human_review_return_HR018_relations_batch21_v1.md,ACGO 在 2012、2015 被列为 AWWA 成员；边界：改成历史 membership；当前名单不含 ACGO；不推断精确退出日
R10R029,F025,,,,X006,KOSC,registered_actor,P_R10_KOSC_MIXED_RECIPIENTS,scholarships 与 AWWA 混合口径,composite_recipient_scope,KOSC prior-year contribution report,aggregate_financial_contribution,,汇总资金贡献,"KOSC reports a prior-year aggregate USD 102,000 donation to scholarships and AWWA.",aggregate_mixed_recipient_no_allocation,actor_to_composite,S075,KOSC charity page,E4,human_revised,hr033_accepted_aggregate_observation,"The aggregate cannot be allocated to AWWA, any scholarship recipient, or any single actor; it does not enter the organization relation graph.",,,,,
R10R030,F027,,,,X004,AWWA,registered_actor,UNKNOWN_OKINAWA_WELFARE,冲绳福利设施（未逐一列名）,aggregate_recipient_scope,AWWA long-term donation history,aggregate_financial_history_observation,,长期累计口径,40 年约 8 亿日元；不是年度 recipient 表,aggregate_history_no_allocation,actor_to_aggregate,S078,Ryukyu Shimpo English long-term aggregate,E3,needs_local_retrieval,already_in_main_F027,累计口径不能拆给任何具体 recipient 或年度。,,,,,
R10R031,F028,2015,2015-12-02,2015-12-02,X004,AWWA,registered_actor,R_YOMITAN_QUEGOEN,よみたん救護園,welfare_facility,无障碍车辆实物捐赠,in_kind_donation,,实物捐赠,2015-12-02 向よみたん救護園捐赠无障碍车辆；运营法人=社会福祉法人沖縄県社会福祉事業団。,named_in_kind_item_value,actor_to_recipient,S094,"DVIDS, 2015-12-02",E3,human_revised,already_in_main_F028,"2,000,000 円是实物价值，不是现金、付款或长期资助。",revise,项目负责人,2026-07-20,docs/human_review_return_HR018_relations_batch21_v1.md,2015-12-02 捐赠一辆价值 2m 円的无障碍车辆；边界：校正设施名和运营法人；2m 是实物价值，不是现金
R10R032,F029,2012,,,X004,AWWA,registered_actor,R_URUMA_SOCIAL_WELFARE,社会福祉法人うるま市社会福祉協議会,welfare_operator_specific_facility_unresolved,无障碍车辆实物捐赠,in_kind_donation,,实物捐赠,2012 年报道点名社会福祉法人；具体下属设施 unresolved。,named_in_kind_no_amount,actor_to_recipient,S072,DVIDS 40-year AWWA article,E3,human_revised,already_in_main_F029,只确认 2012 年报道中的法人 recipient 与实物支持；不补金额或具体下属设施。,revise,项目负责人,2026-07-20,docs/human_review_return_HR018_relations_batch21_v1.md,2012 年捐赠无障碍车辆；边界：校正法人名；具体下属设施 unresolved；无金额
R10R033,F030,,,,X004,AWWA,registered_actor,R_BSA_FAR_EAST,Boy Scouts of America Far East Council,overseas_scouting_council,AWWA 帮助 Far East Council 获得皮划艇,in_kind_acquisition_assistance,,实物取得协助,"历史名称=Boy Scouts of America Far East Council；现行 crosswalk=Far East Council, Scouting America；报道日 2012-04-23。",no_amount_no_quantity_no_share_allocation,actor_to_recipient,S072,DVIDS 40-year AWWA article,E3,human_revised,already_in_main_F030,事件日期、数量、金额与 AWWA 份额均未知；不得改写成“2012 年 AWWA 独自捐赠皮划艇”。,revise,项目负责人,2026-07-20,docs/human_review_return_HR018_relations_batch22_v1.md,AWWA 曾帮助当时的 Boy Scouts of America Far East Council 获得皮划艇；边界：事件日期不明；2012 只是报道时点；不补数量、金额、份额或冲绳专属配置
R10R034,F036,2025,2025-08-15,2025-08-15,X005,NOSCO,registered_actor,R_HESHIKIYA_CHILDCARE,平敷屋地区の放課後児童クラブ（正式名称未確認）,provisional_descriptive_recipient,三台工业冷风机共同交付（事件级）,joint_in_kind_contribution,,共同实物贡献,NOSCO 是四个点名贡献团体之一；きむたかこどもセンター学童クラブ仅为未批准 locator candidate。,no_amount_no_contributor_share_allocation,actor_to_recipient,S102,DVIDS joint donation report,E3,human_revised,already_in_main_F036,recipient 正式名称未确认；不把三台设备或全部价值归给 NOSCO，也不从共同交付推定联盟。,revise,项目负责人,2026-07-20,docs/human_review_return_HR018_relations_batch22_v1.md,NOSCO 是 2025-08-15 三台工业冷风机共同交付事件的四个贡献团体之一；边界：recipient 正式名称未确认；不把三台设备或全部价值归给 NOSCO
R10R035,F012,2024,,2024-04-15,X013,U.S. Consulate General Naha Okinawa Youth Council Program,registered_program_actor,UNKNOWN_RECIPIENT,未公开 recipient,unknown_recipient,Okinawa Youth Council Program NOFO,grant_opportunity,,NOFO／机会公告,机会存在且已截止；未发现 award 或 recipient,opportunity_only_no_award,program_to_unknown,S056;S082;S083;S084,NOFO and award-search records,E4,human_checked,do_not_merge_as_award_or_recipient,不得写成已拨款、已有 recipient 或与 TOFU 项目相同。,,,,,
