observation_id,source_module,source_record_id,observation_scope,canonical_case_or_event_id,event_or_case_name,date_start,date_end,stage_order,actor_or_entity_id,actor_or_entity_name,entity_kind,role,action_family,action_family_zh,action_scope,action_detail,venue_id,venue_label,venue_group,venue_group_zh,place,target_type,target_id_or_name,repertoire_unit_id,counting_unit_rule,evidence_level,source_refs,review_status,review_layer,new_fact_status,sequence_limit,interpretation_limit,derivation_or_formal_inclusion_status
HET_AEV0011,AEV_HR015,AEV0011,actor_event_role,EV2015_NACSJ_31,NACSJ / Peace Boat 31-NGO emergency Henoko statement,2015,,,A025,辺野古への基地建設を許さない実行委員会,registry_actor,co_signer_or_participant,joint_statement,共同声明／署名,event_or_process_action,transnational_environmental_statement,V002,public_statement_forum,civic_public_communication,公民公开传播,Henoko; Oura Bay,policy_project,Henoko base construction plan,RU_2EF871483E,unique canonical_case_or_event_id x action_family x venue_group,E4,S004,human_checked,human_reviewed,existing_formal_fact_only,"ordered display, when used, is chronology/composition only and does not establish causal effect","co-signing is one-off event participation, not stable alliance",
HET_AEV0012,AEV_HR015,AEV0012,actor_event_role,EV2015_NACSJ_31,NACSJ / Peace Boat 31-NGO emergency Henoko statement,2015,,,A026,ピース・ニュース,registry_actor,co_signer_or_participant,joint_statement,共同声明／署名,event_or_process_action,transnational_environmental_statement,V002,public_statement_forum,civic_public_communication,公民公开传播,Henoko; Oura Bay,policy_project,Henoko base construction plan,RU_2EF871483E,unique canonical_case_or_event_id x action_family x venue_group,E4,S004,human_checked,human_reviewed,existing_formal_fact_only,"ordered display, when used, is chronology/composition only and does not establish causal effect","co-signing is one-off event participation, not stable alliance",
HET_AEV0013,AEV_HR015,AEV0013,actor_event_role,EV2015_NACSJ_31,NACSJ / Peace Boat 31-NGO emergency Henoko statement,2015,,,A027,公共事業改革市民会議,registry_actor,co_signer_or_participant,joint_statement,共同声明／署名,event_or_process_action,transnational_environmental_statement,V002,public_statement_forum,civic_public_communication,公民公开传播,Henoko; Oura Bay,policy_project,Henoko base construction plan,RU_2EF871483E,unique canonical_case_or_event_id x action_family x venue_group,E4,S004,human_checked,human_reviewed,existing_formal_fact_only,"ordered display, when used, is chronology/composition only and does not establish causal effect","co-signing is one-off event participation, not stable alliance",
HET_AEV0014,AEV_HR015,AEV0014,actor_event_role,EV2015_NACSJ_31,NACSJ / Peace Boat 31-NGO emergency Henoko statement,2015,,,A028,沖縄のための日米市民ネットワーク（JUCON）,registry_actor,co_signer_or_participant,joint_statement,共同声明／署名,event_or_process_action,transnational_environmental_statement,V002,public_statement_forum,civic_public_communication,公民公开传播,Henoko; Oura Bay,policy_project,Henoko base construction plan,RU_2EF871483E,unique canonical_case_or_event_id x action_family x venue_group,E4,S004,human_checked,human_reviewed,existing_formal_fact_only,"ordered display, when used, is chronology/composition only and does not establish causal effect","co-signing is one-off event participation, not stable alliance",
HET_AEV0015,AEV_HR015,AEV0015,actor_event_role,EV2015_NACSJ_31,NACSJ / Peace Boat 31-NGO emergency Henoko statement,2015,,,A029,沖縄・生物多様性市民ネットワーク,registry_actor,co_signer_or_participant,joint_statement,共同声明／署名,event_or_process_action,transnational_environmental_statement,V002,public_statement_forum,civic_public_communication,公民公开传播,Henoko; Oura Bay,policy_project,Henoko base construction plan,RU_2EF871483E,unique canonical_case_or_event_id x action_family x venue_group,E4,S004,human_checked,human_reviewed,existing_formal_fact_only,"ordered display, when used, is chronology/composition only and does not establish causal effect","co-signing is one-off event participation, not stable alliance",
HET_AEV0016,AEV_HR015,AEV0016,actor_event_role,EV2015_NACSJ_31,NACSJ / Peace Boat 31-NGO emergency Henoko statement,2015,,,A030,市川三番瀬を守る会,registry_actor,co_signer_or_participant,joint_statement,共同声明／署名,event_or_process_action,transnational_environmental_statement,V002,public_statement_forum,civic_public_communication,公民公开传播,Henoko; Oura Bay,policy_project,Henoko base construction plan,RU_2EF871483E,unique canonical_case_or_event_id x action_family x venue_group,E4,S004,human_checked,human_reviewed,existing_formal_fact_only,"ordered display, when used, is chronology/composition only and does not establish causal effect","co-signing is one-off event participation, not stable alliance",
HET_AEV0017,AEV_HR015,AEV0017,actor_event_role,EV2015_NACSJ_31,NACSJ / Peace Boat 31-NGO emergency Henoko statement,2015,,,A031,三番瀬のラムサール条約登録を実現する会,registry_actor,co_signer_or_participant,joint_statement,共同声明／署名,event_or_process_action,transnational_environmental_statement,V002,public_statement_forum,civic_public_communication,公民公开传播,Henoko; Oura Bay,policy_project,Henoko base construction plan,RU_2EF871483E,unique canonical_case_or_event_id x action_family x venue_group,E4,S004,human_checked,human_reviewed,existing_formal_fact_only,"ordered display, when used, is chronology/composition only and does not establish causal effect","co-signing is one-off event participation, not stable alliance",
HET_AEV0018,AEV_HR015,AEV0018,actor_event_role,EV2015_NACSJ_31,NACSJ / Peace Boat 31-NGO emergency Henoko statement,2015,,,A032,Peace Philosophy Centre,registry_actor,co_signer_or_participant,joint_statement,共同声明／署名,event_or_process_action,transnational_environmental_statement,V002,public_statement_forum,civic_public_communication,公民公开传播,Henoko; Oura Bay,policy_project,Henoko base construction plan,RU_2EF871483E,unique canonical_case_or_event_id x action_family x venue_group,E4,S004,human_checked,human_reviewed,existing_formal_fact_only,"ordered display, when used, is chronology/composition only and does not establish causal effect","co-signing is one-off event participation, not stable alliance",
HET_AEV0019,AEV_HR015,AEV0019,actor_event_role,EV2015_NACSJ_31,NACSJ / Peace Boat 31-NGO emergency Henoko statement,2015,,,A033,Friends of the Earth U.S.,registry_actor,co_signer_or_participant,joint_statement,共同声明／署名,event_or_process_action,transnational_environmental_statement,V002,public_statement_forum,civic_public_communication,公民公开传播,Henoko; Oura Bay,policy_project,Henoko base construction plan,RU_2EF871483E,unique canonical_case_or_event_id x action_family x venue_group,E4,S004,human_checked,human_reviewed,existing_formal_fact_only,"ordered display, when used, is chronology/composition only and does not establish causal effect","co-signing is one-off event participation, not stable alliance",
HET_AEV0020,AEV_HR015,AEV0020,actor_event_role,EV2015_NACSJ_31,NACSJ / Peace Boat 31-NGO emergency Henoko statement,2015,,,A034,Korea Federation for Environmental Movements (KFEM),registry_actor,co_signer_or_participant,joint_statement,共同声明／署名,event_or_process_action,transnational_environmental_statement,V002,public_statement_forum,civic_public_communication,公民公开传播,Henoko; Oura Bay,policy_project,Henoko base construction plan,RU_2EF871483E,unique canonical_case_or_event_id x action_family x venue_group,E4,S004,human_checked,human_reviewed,existing_formal_fact_only,"ordered display, when used, is chronology/composition only and does not establish causal effect","co-signing is one-off event participation, not stable alliance",
HET_AEV0021,AEV_HR015,AEV0021,actor_event_role,EV2015_NACSJ_31,NACSJ / Peace Boat 31-NGO emergency Henoko statement,2015,,,A035,Russian Social Ecological Union,registry_actor,co_signer_or_participant,joint_statement,共同声明／署名,event_or_process_action,transnational_environmental_statement,V002,public_statement_forum,civic_public_communication,公民公开传播,Henoko; Oura Bay,policy_project,Henoko base construction plan,RU_2EF871483E,unique canonical_case_or_event_id x action_family x venue_group,E4,S004,human_checked,human_reviewed,existing_formal_fact_only,"ordered display, when used, is chronology/composition only and does not establish causal effect","co-signing is one-off event participation, not stable alliance",
HET_AEV0022,AEV_HR015,AEV0022,actor_event_role,EV2015_NACSJ_31,NACSJ / Peace Boat 31-NGO emergency Henoko statement,2015,,,A036,Friends of the Siberian Forests,registry_actor,co_signer_or_participant,joint_statement,共同声明／署名,event_or_process_action,transnational_environmental_statement,V002,public_statement_forum,civic_public_communication,公民公开传播,Henoko; Oura Bay,policy_project,Henoko base construction plan,RU_2EF871483E,unique canonical_case_or_event_id x action_family x venue_group,E4,S004,human_checked,human_reviewed,existing_formal_fact_only,"ordered display, when used, is chronology/composition only and does not establish causal effect","co-signing is one-off event participation, not stable alliance",
HET_AEV0023,AEV_HR015,AEV0023,actor_event_role,EV2015_NACSJ_31,NACSJ / Peace Boat 31-NGO emergency Henoko statement,2015,,,A037,Centre for Environmental Justice,registry_actor,co_signer_or_participant,joint_statement,共同声明／署名,event_or_process_action,transnational_environmental_statement,V002,public_statement_forum,civic_public_communication,公民公开传播,Henoko; Oura Bay,policy_project,Henoko base construction plan,RU_2EF871483E,unique canonical_case_or_event_id x action_family x venue_group,E4,S004,human_checked,human_reviewed,existing_formal_fact_only,"ordered display, when used, is chronology/composition only and does not establish causal effect","co-signing is one-off event participation, not stable alliance",
HET_AEV0024,AEV_HR015,AEV0024,actor_event_role,EV2015_NACSJ_31,NACSJ / Peace Boat 31-NGO emergency Henoko statement,2015,,,A038,Sahabat Alam Malaysia,registry_actor,co_signer_or_participant,joint_statement,共同声明／署名,event_or_process_action,transnational_environmental_statement,V002,public_statement_forum,civic_public_communication,公民公开传播,Henoko; Oura Bay,policy_project,Henoko base construction plan,RU_2EF871483E,unique canonical_case_or_event_id x action_family x venue_group,E4,S004,human_checked,human_reviewed,existing_formal_fact_only,"ordered display, when used, is chronology/composition only and does not establish causal effect","co-signing is one-off event participation, not stable alliance",
HET_AEV0025,AEV_HR015,AEV0025,actor_event_role,EV2015_NACSJ_31,NACSJ / Peace Boat 31-NGO emergency Henoko statement,2015,,,A039,The Legal Rights and Natural Resources Center-Kasama sa Kalikasan,registry_actor,co_signer_or_participant,joint_statement,共同声明／署名,event_or_process_action,transnational_environmental_statement,V002,public_statement_forum,civic_public_communication,公民公开传播,Henoko; Oura Bay,policy_project,Henoko base construction plan,RU_2EF871483E,unique canonical_case_or_event_id x action_family x venue_group,E4,S004,human_checked,human_reviewed,existing_formal_fact_only,"ordered display, when used, is chronology/composition only and does not establish causal effect","co-signing is one-off event participation, not stable alliance",
HET_AEV0026,AEV_HR015,AEV0026,actor_event_role,EV2015_NACSJ_31,NACSJ / Peace Boat 31-NGO emergency Henoko statement,2015,,,A040,Forum for Protection of Public Interest (Pro Public),registry_actor,co_signer_or_participant,joint_statement,共同声明／署名,event_or_process_action,transnational_environmental_statement,V002,public_statement_forum,civic_public_communication,公民公开传播,Henoko; Oura Bay,policy_project,Henoko base construction plan,RU_2EF871483E,unique canonical_case_or_event_id x action_family x venue_group,E4,S004,human_checked,human_reviewed,existing_formal_fact_only,"ordered display, when used, is chronology/composition only and does not establish causal effect","co-signing is one-off event participation, not stable alliance",
HET_AEV0027,AEV_HR015,AEV0027,actor_event_role,EV2015_NACSJ_31,NACSJ / Peace Boat 31-NGO emergency Henoko statement,2015,,,A041,Friends of the Earth Brisbane,registry_actor,co_signer_or_participant,joint_statement,共同声明／署名,event_or_process_action,transnational_environmental_statement,V002,public_statement_forum,civic_public_communication,公民公开传播,Henoko; Oura Bay,policy_project,Henoko base construction plan,RU_2EF871483E,unique canonical_case_or_event_id x action_family x venue_group,E4,S004,human_checked,human_reviewed,existing_formal_fact_only,"ordered display, when used, is chronology/composition only and does not establish causal effect","co-signing is one-off event participation, not stable alliance",
HET_AEV0028,AEV_HR015,AEV0028,actor_event_role,EV2015_NACSJ_31,NACSJ / Peace Boat 31-NGO emergency Henoko statement,2015,,,A042,Pacific Environment,registry_actor,co_signer_or_participant,joint_statement,共同声明／署名,event_or_process_action,transnational_environmental_statement,V002,public_statement_forum,civic_public_communication,公民公开传播,Henoko; Oura Bay,policy_project,Henoko base construction plan,RU_2EF871483E,unique canonical_case_or_event_id x action_family x venue_group,E4,S004,human_checked,human_reviewed,existing_formal_fact_only,"ordered display, when used, is chronology/composition only and does not establish causal effect","co-signing is one-off event participation, not stable alliance",
HET_AEV0029,AEV_HR015,AEV0029,actor_event_role,EV2015_NACSJ_31,NACSJ / Peace Boat 31-NGO emergency Henoko statement,2015,,,A043,PENGON-FoE Palestine,registry_actor,co_signer_or_participant,joint_statement,共同声明／署名,event_or_process_action,transnational_environmental_statement,V002,public_statement_forum,civic_public_communication,公民公开传播,Henoko; Oura Bay,policy_project,Henoko base construction plan,RU_2EF871483E,unique canonical_case_or_event_id x action_family x venue_group,E4,S004,human_checked,human_reviewed,existing_formal_fact_only,"ordered display, when used, is chronology/composition only and does not establish causal effect","co-signing is one-off event participation, not stable alliance",
HET_AEV0030,AEV_HR015,AEV0030,actor_event_role,EV2015_NACSJ_31,NACSJ / Peace Boat 31-NGO emergency Henoko statement,2015,,,A044,Naturvernforbundet / Norwegian Society for the Conservation of Nature,registry_actor,co_signer_or_participant,joint_statement,共同声明／署名,event_or_process_action,transnational_environmental_statement,V002,public_statement_forum,civic_public_communication,公民公开传播,Henoko; Oura Bay,policy_project,Henoko base construction plan,RU_2EF871483E,unique canonical_case_or_event_id x action_family x venue_group,E4,S004,human_checked,human_reviewed,existing_formal_fact_only,"ordered display, when used, is chronology/composition only and does not establish causal effect","co-signing is one-off event participation, not stable alliance",
HET_AEV0031,AEV_HR015,AEV0031,actor_event_role,EV2015_NACSJ_31,NACSJ / Peace Boat 31-NGO emergency Henoko statement,2015,,,A045,Center for Biological Diversity,registry_actor,co_signer_or_participant,joint_statement,共同声明／署名,event_or_process_action,transnational_environmental_statement,V002,public_statement_forum,civic_public_communication,公民公开传播,Henoko; Oura Bay,policy_project,Henoko base construction plan,RU_2EF871483E,unique canonical_case_or_event_id x action_family x venue_group,E4,S004,human_checked,human_reviewed,existing_formal_fact_only,"ordered display, when used, is chronology/composition only and does not establish causal effect","co-signing is one-off event participation, not stable alliance",
HET_AEV0032,AEV_HR015,AEV0032,actor_event_role,EV2015_NACSJ_31,NACSJ / Peace Boat 31-NGO emergency Henoko statement,2015,,,A046,Pro Natura,registry_actor,co_signer_or_participant,joint_statement,共同声明／署名,event_or_process_action,transnational_environmental_statement,V002,public_statement_forum,civic_public_communication,公民公开传播,Henoko; Oura Bay,policy_project,Henoko base construction plan,RU_2EF871483E,unique canonical_case_or_event_id x action_family x venue_group,E4,S004,human_checked,human_reviewed,existing_formal_fact_only,"ordered display, when used, is chronology/composition only and does not establish causal effect","co-signing is one-off event participation, not stable alliance",
HET_AEV0033,AEV_HR015,AEV0033,actor_event_role,EV2015_NACSJ_31,NACSJ / Peace Boat 31-NGO emergency Henoko statement,2015,,,A061,日本野鳥の会,registry_actor,co_signer_or_participant,joint_statement,共同声明／署名,event_or_process_action,transnational_environmental_statement,V002,public_statement_forum,civic_public_communication,公民公开传播,Henoko; Oura Bay,policy_project,Henoko base construction plan,RU_2EF871483E,unique canonical_case_or_event_id x action_family x venue_group,E4,S004,human_checked,human_reviewed,existing_formal_fact_only,"ordered display, when used, is chronology/composition only and does not establish causal effect","co-signing is one-off event participation, not stable alliance",
HET_AEV0034,AEV_HR015,AEV0034,actor_event_role,EV2020_OEJP_MMC_71,OEJP / MMC civil-society request and report,2020,,,A001,Okinawa Environmental Justice Project,registry_actor,co_signer_or_participant,institutional_request,正式请求／请愿,event_or_process_action,international_institution_request,V004,us_federal_advisory_or_scientific_body,international_institution,国际／美国机构,Henoko; Oura Bay,institution,U.S. Marine Mammal Commission,RU_0565950559,unique canonical_case_or_event_id x action_family x venue_group,E4,S006,human_checked,human_reviewed,existing_formal_fact_only,"ordered display, when used, is chronology/composition only and does not establish causal effect","co-signing is one-off event participation, not stable alliance",
HET_AEV0035,AEV_HR015,AEV0035,actor_event_role,EV2020_OEJP_MMC_71,OEJP / MMC civil-society request and report,2020,,,A020,日本環境法律家連盟（JELF）,registry_actor,co_signer_or_participant,institutional_request,正式请求／请愿,event_or_process_action,international_institution_request,V004,us_federal_advisory_or_scientific_body,international_institution,国际／美国机构,Henoko; Oura Bay,institution,U.S. Marine Mammal Commission,RU_0565950559,unique canonical_case_or_event_id x action_family x venue_group,E4,S006,human_checked,human_reviewed,existing_formal_fact_only,"ordered display, when used, is chronology/composition only and does not establish causal effect","co-signing is one-off event participation, not stable alliance",
HET_AEV0036,AEV_HR015,AEV0036,actor_event_role,EV2020_OEJP_MMC_71,OEJP / MMC civil-society request and report,2020,,,A077,Diving Team Rainbow,unverified_event_participant,co_signer_or_participant,institutional_request,正式请求／请愿,event_or_process_action,international_institution_request,V004,us_federal_advisory_or_scientific_body,international_institution,国际／美国机构,Henoko; Oura Bay,institution,U.S. Marine Mammal Commission,RU_0565950559,unique canonical_case_or_event_id x action_family x venue_group,E2,S006,human_checked,human_reviewed,existing_formal_fact_only,"ordered display, when used, is chronology/composition only and does not establish causal effect","E2 signatory-only evidence: one-off public participation only; do not infer organizational continuity, a stable alliance, or a definite conclusion.",
HET_AEV0037,AEV_HR015,AEV0037,actor_event_role,EV2020_OEJP_MMC_71,OEJP / MMC civil-society request and report,2020,,,A078,Dugong no Sato,unverified_event_participant,co_signer_or_participant,institutional_request,正式请求／请愿,event_or_process_action,international_institution_request,V004,us_federal_advisory_or_scientific_body,international_institution,国际／美国机构,Henoko; Oura Bay,institution,U.S. Marine Mammal Commission,RU_0565950559,unique canonical_case_or_event_id x action_family x venue_group,E2,S006,human_checked,human_reviewed,existing_formal_fact_only,"ordered display, when used, is chronology/composition only and does not establish causal effect","E2 signatory-only evidence: one-off public participation only; do not infer organizational continuity, a stable alliance, or a definite conclusion.",
HET_AEV0038,AEV_HR015,AEV0038,actor_event_role,EV2020_OEJP_MMC_71,OEJP / MMC civil-society request and report,2020,,,A079,Okinawa Reefcheck and Research Group,unverified_event_participant,co_signer_or_participant,institutional_request,正式请求／请愿,event_or_process_action,international_institution_request,V004,us_federal_advisory_or_scientific_body,international_institution,国际／美国机构,Henoko; Oura Bay,institution,U.S. Marine Mammal Commission,RU_0565950559,unique canonical_case_or_event_id x action_family x venue_group,E2,S006,human_checked,human_reviewed,existing_formal_fact_only,"ordered display, when used, is chronology/composition only and does not establish causal effect","E2 signatory-only evidence: one-off public participation only; do not infer organizational continuity, a stable alliance, or a definite conclusion.",
HET_AEV0039,AEV_HR015,AEV0039,actor_event_role,EV2020_OEJP_MMC_71,OEJP / MMC civil-society request and report,2020,,,A080,Okumagawa Basin Protection Foundation,unverified_event_participant,co_signer_or_participant,institutional_request,正式请求／请愿,event_or_process_action,international_institution_request,V004,us_federal_advisory_or_scientific_body,international_institution,国际／美国机构,Henoko; Oura Bay,institution,U.S. Marine Mammal Commission,RU_0565950559,unique canonical_case_or_event_id x action_family x venue_group,E2,S006,human_checked,human_reviewed,existing_formal_fact_only,"ordered display, when used, is chronology/composition only and does not establish causal effect","E2 signatory-only evidence: one-off public participation only; do not infer organizational continuity, a stable alliance, or a definite conclusion.",
HET_AEV0040,AEV_HR015,AEV0040,actor_event_role,EV2020_OEJP_MMC_71,OEJP / MMC civil-society request and report,2020,,,A081,Protect Northernmost Dugong Team Zan,unverified_event_participant,co_signer_or_participant,institutional_request,正式请求／请愿,event_or_process_action,international_institution_request,V004,us_federal_advisory_or_scientific_body,international_institution,国际／美国机构,Henoko; Oura Bay,institution,U.S. Marine Mammal Commission,RU_0565950559,unique canonical_case_or_event_id x action_family x venue_group,E2,S006,human_checked,human_reviewed,existing_formal_fact_only,"ordered display, when used, is chronology/composition only and does not establish causal effect","E2 signatory-only evidence: one-off public participation only; do not infer organizational continuity, a stable alliance, or a definite conclusion.",
HET_AEV0041,AEV_HR015,AEV0041,actor_event_role,EV2020_OEJP_MMC_71,OEJP / MMC civil-society request and report,2020,,,A082,East Asian Community Institute Ryukyu Okinawa Center,unverified_event_participant,co_signer_or_participant,institutional_request,正式请求／请愿,event_or_process_action,international_institution_request,V004,us_federal_advisory_or_scientific_body,international_institution,国际／美国机构,Henoko; Oura Bay,institution,U.S. Marine Mammal Commission,RU_0565950559,unique canonical_case_or_event_id x action_family x venue_group,E2,S006,human_checked,human_reviewed,existing_formal_fact_only,"ordered display, when used, is chronology/composition only and does not establish causal effect","E2 signatory-only evidence: one-off public participation only; do not infer organizational continuity, a stable alliance, or a definite conclusion.",
HET_AEV0042,AEV_HR015,AEV0042,actor_event_role,EV2020_OEJP_MMC_71,OEJP / MMC civil-society request and report,2020,,,A083,Henoko Blue,unverified_event_participant,co_signer_or_participant,institutional_request,正式请求／请愿,event_or_process_action,international_institution_request,V004,us_federal_advisory_or_scientific_body,international_institution,国际／美国机构,Henoko; Oura Bay,institution,U.S. Marine Mammal Commission,RU_0565950559,unique canonical_case_or_event_id x action_family x venue_group,E2,S006,human_checked,human_reviewed,existing_formal_fact_only,"ordered display, when used, is chronology/composition only and does not establish causal effect","E2 signatory-only evidence: one-off public participation only; do not infer organizational continuity, a stable alliance, or a definite conclusion.",
HET_AEV0043,AEV_HR015,AEV0043,actor_event_role,EV2020_OEJP_MMC_71,OEJP / MMC civil-society request and report,2020,,,A084,Nago Democracy,unverified_event_participant,co_signer_or_participant,institutional_request,正式请求／请愿,event_or_process_action,international_institution_request,V004,us_federal_advisory_or_scientific_body,international_institution,国际／美国机构,Henoko; Oura Bay,institution,U.S. Marine Mammal Commission,RU_0565950559,unique canonical_case_or_event_id x action_family x venue_group,E2,S006,human_checked,human_reviewed,existing_formal_fact_only,"ordered display, when used, is chronology/composition only and does not establish causal effect","E2 signatory-only evidence: one-off public participation only; do not infer organizational continuity, a stable alliance, or a definite conclusion.",
