role_id,case_id,actor_id,provisional_entity_id,entity_kind,actor_name,role,role_family,side,target_or_recipient,role_evidence_summary,source_refs,evidence_level,review_status,human_decision,human_reviewer,review_date,interpretation_limit
R8R012,R8C03,A052,,registered_actor,嘉手納爆音訴訟原告団,plaintiff_group,plaintiff,claimant,Government of Japan,National Diet Library catalog identifies the Third Kadena Base Noise Injunction Litigation plaintiffs' group as author and the counsel group as publisher of the 2011-2022 litigation record.,S134,E3,human_checked,accept,user,2026-07-13,HR-014: A052 is accepted as the case-specific plaintiff-group crosswalk. Do not infer that every named resident was a formal member or that participant identity is constant across rounds.
R8R013,R8C03,,P8E004,procedural_collective,Third Kadena litigation counsel group,counsel,counsel,claimant,Government of Japan,National Diet Library catalog identifies the counsel group as publisher of the formal litigation record.,S134,E3,human_checked,accept,user,2026-07-13,HR-014: counsel role accepted as a Third Kadena procedural collective. No actor-registry entry or complete individual-lawyer roster is created.
R8R014,R8C03,,P8E005,public_institution,Government of Japan,defendant,defendant,respondent,Kadena resident plaintiffs,Named defendant responsible for provision of the U.S. facility under treaty arrangements in the official judgment.,S133,E4,human_checked,accept,user,2026-07-13,Does not imply operational control over every aircraft movement for injunction purposes.
R8R015,R8C04,,P8E006,procedural_collective,Futenma-area resident plaintiffs,plaintiff,plaintiff,claimant,Government of Japan,Official 2022 judgment identifies residents/former residents and heirs in two joined damages actions.,S135,E4,human_checked,accept,user,2026-07-13,Individual plaintiffs are not separately entered into the actor registry.
R8R016,R8C04,A053,,registered_actor,普天間爆音訴訟団,plaintiff_group,plaintiff,claimant,Government of Japan,Counsel's office formally identifies A053 as the plaintiff group and names the third Futenma case filed on 2020-12-25.,S136,E3,human_checked,accept,user,2026-07-13,HR-014: A053 is accepted as the case-specific Futenma plaintiff-group crosswalk. The joined actions and other rounds do not imply identical individual membership.
R8R017,R8C04,,P8E007,external_organization,沖縄合同法律事務所,counsel_secretariat,counsel,claimant,Government of Japan,The law office states that it serves as secretariat for the Futenma litigation counsel team.,S136,E4,human_checked,accept,user,2026-07-13,HR-014: the office's counsel-secretariat role is accepted; it does not make the office the sole counsel or a plaintiff.
R8R018,R8C04,,P8E005,public_institution,Government of Japan,defendant,defendant,respondent,Futenma resident plaintiffs,Official judgment names Japan as defendant under the Special Civil Act claim.,S135,E4,human_checked,accept,user,2026-07-13,Case outcome concerns damages and does not establish an operational injunction.
R8R019,R8C05,,P8E008,procedural_collective,Ishigaki resident representatives and signatories,plaintiff,plaintiff,claimant,Ishigaki City,Official judgment states that 27 request representatives and three signatories brought the mandatory-order claims; plaintiffs are anonymized.,S137,E4,human_checked,accept,user,2026-07-13,Do not infer organizational plaintiff status from individual participation.
R8R020,R8C05,A011,,registered_actor,石垣市住民投票を求める会,requester,requester,civic_campaign,Mayor of Ishigaki; Ishigaki City Council,Official city records confirm the referendum ordinance request and council action; the movement's formal materials connect the campaign to later litigation arguments.,S138;S139,E3,human_checked,accept,user,2026-07-13,HR-014: A011 is accepted as requester/campaign body and is explicitly not a named organizational plaintiff without a pleading.
R8R021,R8C05,,P8E009,person,大井琢,counsel,counsel,claimant,Ishigaki City,Formal counsel opinion identifies Oi as plaintiffs' attorney in the related status-confirmation litigation and describes the legal claims.,S139,E4,human_checked,accept,user,2026-07-13,HR-014: counsel role is limited to the related later status-confirmation phase and is not automatically transferred to every claim in the 2020 mandatory-order judgment.
R8R022,R8C05,,P8E010,public_institution_set,Ishigaki City and Mayor,defendant_and_target,defendant,respondent,Ishigaki residents,Official judgment identifies Ishigaki City as defendant and the mayor's alleged inaction/implementation duty as target.,S137,E4,human_checked,accept,user,2026-07-13,Council rejection and mayoral implementation duty are distinct institutional steps.
R8R023,R8C06,,P8E011,procedural_collective,Awase resident plaintiffs,plaintiff,plaintiff,claimant,Governor of Okinawa; Mayor of Okinawa City,Official judgments and JELF-hosted formal statement identify resident plaintiffs challenging public expenditure.,S140;S142,E4,human_checked,accept,user,2026-07-13,First- and second-wave plaintiff populations require separate person-level records if later needed.
R8R024,R8C06,,P8E012,procedural_collective,Awase litigation counsel group,counsel,counsel,claimant,Governor of Okinawa; Mayor of Okinawa City,Formal 2017 statement is signed by the second Awase plaintiffs and counsel groups.,S142,E4,human_checked,accept,user,2026-07-13,The statement does not provide a full attorney roster.
R8R025,R8C06,A055,,registered_actor,泡瀬干潟を守る連絡会,supporter,supporter,movement_support,Awase resident litigation,Formal JELF page identifies the group's co-representative at the plaintiffs/counsel press conference; it does not name A055 as an organizational plaintiff.,S142,E3,human_checked,accept,user,2026-07-13,"HR-014: A055 is a case-specific supporter, not an organizational plaintiff or counsel."
R8R026,R8C06,A020,,registered_actor,日本環境法律家連盟（JELF）,supporter,supporter,legal_network,Awase resident litigation,JELF published the formal plaintiffs/counsel statement and documents the case; the page does not establish JELF as named counsel or plaintiff.,S142,E3,human_checked,accept,user,2026-07-13,"HR-014: A020 is a supporter/formal-material host in Awase, not plaintiff or counsel. Its Dugong-case plaintiff role must not be generalized across cases."
R8R027,R8C06,,P8E013,public_institution_set,Governor of Okinawa; Mayor of Okinawa City,defendant_officials_and_targets,defendant,respondent,Awase resident plaintiffs,Official court record identifies the challenged prefectural and municipal public-expenditure decisions.,S140;S143,E4,human_checked,accept,user,2026-07-13,Institutional defendants are not civic actors.
