edge_id,actor_id,issue_id,issue_label,relation_basis,source_ref,evidence_level,review_status,notes,original_actor_id,human_decision,review_task_id,human_reviewer,review_date,reviewed_fields,scope_status,superseded_by_edge_id,decision_source_report,interpretation_limit,scope_kind,scope_review_status,scope_human_decision,scope_review_task_id,scope_human_reviewer,scope_review_date,scope_reviewed_fields,scope_claim_status,scope_approved_formulation,scope_boundary,scope_decision_source_report,invalidated_source_ref,claim_status,graph_eligibility,review_scope,confirmed_scope,missing_scope,case_id,package_source_keys,approved_formulation
AI011,A005,I005,biodiversity,2010 WWF statement host,S003,E4,ai_seeded,Environmental frame.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AI012,A006,I005,biodiversity,2010 WWF signatory list,S003,E4,ai_seeded,Environmental NGO.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AI013,A006,I001,anti_base,Henoko base construction opposition statement,S003,E4,ai_seeded,Statement-based.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AI014,A007,I019,peace,Peace Boat Henoko statement,S005,E4,ai_seeded,Peace movement bridge.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AI015,A007,I001,anti_base,Peace Boat Henoko statement,S005,E4,ai_seeded,Statement-based.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AI016,A007,I012,international_advocacy,ピースボート—international_advocacy 仅表示其在 2015 年 3 月 25 日作为国内外 31 个 NGO 紧急共同声明的赞同团体之一，参与边野古议题的跨组织公开倡议。,S005,E4,human_revised,Bridge actor. HR-035 Batch 2 principal-confirmed factual review (HR035-B02-AI016).,,revise,HR035-B02-AI016,project_principal_user,2026-07-20,relation_existence;actor_identity;issue_mapping;source_ref;evidence_level;interpretation_boundary,scope_revised_event_specific,,docs/human_review_return_HR035_batch02_v1.md,一次共同声明参与不生成稳定联盟、成员关系或全部时期定位，也不证明声明造成政策效果。,event_specific,human_revised,revise,HR035-B02-AI016,project_principal_user,2026-07-20,scope_kind;scope_status;scope_approved_formulation;scope_boundary,supported_bounded,ピースボート—international_advocacy 仅表示其在 2015 年 3 月 25 日作为国内外 31 个 NGO 紧急共同声明的赞同团体之一，参与边野古议题的跨组织公开倡议。,一次共同声明参与不生成稳定联盟、成员关系或全部时期定位，也不证明声明造成政策效果。,docs/human_review_return_HR035_batch02_v1.md,,supported_bounded,reviewed_actor_issue,event_specific,S005 是ピースボート官方页面，直接确认其作为赞同团体参与该次边野古紧急共同声明。,当前材料不确认长期 Okinawa project、持续对美传播或其他年份的国际倡议定位。,,,ピースボート—international_advocacy 仅表示其在 2015 年 3 月 25 日作为国内外 31 个 NGO 紧急共同声明的赞同团体之一，参与边野古议题的跨组织公开倡议。
AI017,A008,I019,peace,No-war/international-cooperation NGO network purpose,S065;S066;S067,E4,human_revised,HR-002 confirms peace/no-war as core purpose.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AI018,A008,I001,anti_base,Henoko referendum solidarity statement context,S064,E3,human_revised,"HR-002: anti-base relation is statement/solidarity context, not local core activity or stable alliance.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AI019,A009,I011,legal,Earthjustice dugong litigation explainer,S009,E4,ai_seeded,Legal route.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AI020,A009,I004,dugong,Earthjustice dugong litigation explainer,S009,E4,ai_seeded,Dugong protection.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AI021,A009,I012,international_advocacy,Earthjustice 的 international_advocacy 边只表示其作为冲绳儒艮案原告方 counsel，将边野古／儒艮争议带入美国联邦司法程序。,S009;S128,E4,human_revised,International advocacy actor. HR-035 batch 01 principal-confirmed factual freeze (HR035-B01-AI021).,,revise,HR035-B01-AI021,project_principal_user,2026-07-20,relation_existence;actor_identity;issue_mapping;source_ref;evidence_level;interpretation_boundary,scope_reviewed_institutional_or_case_role,,docs/human_review_return_HR035_batch01_v1.md,counsel 与 plaintiff 严格分开；案件代理不生成稳定联盟，不证明胜诉、停工或项目改变。,institutional_or_case_role,human_checked,accept,HR019-SCOPE-AI021,project_principal_user,2026-07-20,scope_kind;scope_status;scope_approved_formulation;scope_boundary,supported_bounded,Earthjustice 的 international_advocacy 边只表示其作为冲绳儒艮案原告方 counsel，将边野古／儒艮争议带入美国联邦司法程序。,counsel 与 plaintiff 严格分开；案件代理不生成稳定联盟，不证明胜诉、停工或项目改变。,docs/human_review_return_HR019_edge_scope_batch11_v1.md,,supported_bounded,reviewed_actor_issue,institutional_or_case_role,第九巡回法院判决列明 Earthjustice 律师代表原告上诉人；S009 记录其跨境法律倡议。,不确认 Earthjustice 是具名原告，也不确认其全部国际倡议或全部冲绳活动。,,,Earthjustice 的 international_advocacy 边只表示其作为冲绳儒艮案原告方 counsel，将边野古／儒艮争议带入美国联邦司法程序。
AI022,A010,I002,anti_military,Ishigaki anti-base civic group named in local news,S016;S017,E4,ai_seeded,Core Sakishima actor.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AI023,A010,I006,groundwater,Ishigaki construction halt request cites water/ecosystem concerns,S017,E4,ai_seeded,Life-safety/environment frame.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AI024,A010,I009,local_autonomy,Ishigaki public debate/civic mobilization,S016,E3,ai_seeded,Autonomy frame to verify.,,,,,,,scope_reviewed_organizational_positioning,,,A010—local_autonomy；按已批时间／案件／事件边界解释；共同出现不生成联盟，风险主张不升级为已证因果。,organizational_positioning,human_checked,accept,HR019-SCOPE-AI024,project_principal_user,2026-07-20,scope_kind;scope_status;scope_approved_formulation;scope_boundary,supported_bounded,多阶段持续提出住民同意、信息公开、居民说明和地方决策参与；不是 A011 的公投程序角色,A010—local_autonomy；按已批时间／案件／事件边界解释；共同出现不生成联盟，风险主张不升级为已证因果。,docs/human_review_return_HR019_edge_scope_batch15_v1.md,,,,,,,,,
AI025,A011,I010,referendum,石垣市住民投票を求める会是石垣陆自部署住民投票条例签名、直接请求及议会处理过程中的具名请求／推动组织。,S018;S019,E3,human_checked,Referendum actor. HR-035 batch 01 principal-confirmed factual freeze (HR035-B01-AI025).,,accept,HR035-B01-AI025,project_principal_user,2026-07-20,relation_existence;actor_identity;issue_mapping;source_ref;evidence_level;interpretation_boundary,scope_reviewed_institutional_or_case_role,,docs/human_review_return_HR035_batch01_v1.md,requester／campaign body 不等于诉讼 plaintiff；不推断政策因果或稳定联盟。,institutional_or_case_role,human_checked,accept,HR019-SCOPE-AI025,project_principal_user,2026-07-20,scope_kind;scope_status;scope_approved_formulation;scope_boundary,supported_bounded,石垣市住民投票を求める会是石垣陆自部署住民投票条例签名、直接请求及议会处理过程中的具名请求／推动组织。,requester／campaign body 不等于诉讼 plaintiff；不推断政策因果或稳定联盟。,docs/human_review_return_HR019_edge_scope_batch11_v1.md,,supported_bounded,reviewed_actor_issue,institutional_or_case_role,S018、S019 点名该会、代表、签名提交和住民投票条例程序。,不确认该会代表全市多数、实际投票结果、诉讼原告身份或无限期组织定位。,,,石垣市住民投票を求める会是石垣陆自部署住民投票条例签名、直接请求及议会处理过程中的具名请求／推动组织。
AI026,A011,I009,local_autonomy,Resident vote framing,S018;S019,E4,ai_seeded,Local autonomy frame.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AI027,A011,I002,anti_military,A011—anti_military 仅标记该会介入石垣陆自部署这一具体军事设施争议，并以住民投票直接请求推进市民表决。,S018;S019,E3,human_checked,Deployment issue. HR-035 batch 01 principal-confirmed factual freeze (HR035-B01-AI027).,,accept,HR035-B01-AI027,project_principal_user,2026-07-20,relation_existence;actor_identity;issue_mapping;source_ref;evidence_level;interpretation_boundary,scope_reviewed_institutional_or_case_role,,docs/human_review_return_HR035_batch01_v1.md,anti_military 在此是特定部署争议对象标签；与 AI025 属同一程序链，不重复计为独立行动。,institutional_or_case_role,human_checked,accept,HR019-SCOPE-AI027,project_principal_user,2026-07-20,scope_kind;scope_status;scope_approved_formulation;scope_boundary,supported_bounded,A011—anti_military 仅标记该会介入石垣陆自部署这一具体军事设施争议，并以住民投票直接请求推进市民表决。,anti_military 在此是特定部署争议对象标签；与 AI025 属同一程序链，不重复计为独立行动。,docs/human_review_return_HR019_edge_scope_batch11_v1.md,,supported_bounded,reviewed_actor_issue,institutional_or_case_role,S018、S019 明确住民投票对象为平得大俣地区陆上自卫队部署，并点名 A011 的请求／推动角色。,未证明 A011 对所有基地、自卫队或安全政策持一般性、长期反军事立场。,,,A011—anti_military 仅标记该会介入石垣陆自部署这一具体军事设施争议，并以住民投票直接请求推进市民表决。
AI028,A012,I006,groundwater,Miyako water preservation frame,S020,E3,needs_second_source,Exact organization name needs review.,,,,,,,scope_reviewed_event_specific,,,A012—groundwater；按已批时间／案件／事件边界解释；共同出现不生成联盟，风险主张不升级为已证因果。,event_specific,human_checked,accept,HR019-SCOPE-AI028,project_principal_user,2026-07-20,scope_kind;scope_status;scope_approved_formulation;scope_boundary,supported_bounded,只限 2016-06-11 集会执行委员会的水源保护框架；持续 actor 身份未闭合,A012—groundwater；按已批时间／案件／事件边界解释；共同出现不生成联盟，风险主张不升级为已证因果。,docs/human_review_return_HR019_edge_scope_batch15_v1.md,,,,,,,,,
AI029,A012,I002,anti_military,Miyako JSDF deployment opposition,S020,E3,needs_second_source,Confirm continuity.,,,,,,,scope_reviewed_event_specific,,,A012—anti_military；按已批时间／案件／事件边界解释；共同出现不生成联盟，风险主张不升级为已证因果。,event_specific,human_checked,accept,HR019-SCOPE-AI029,project_principal_user,2026-07-20,scope_kind;scope_status;scope_approved_formulation;scope_boundary,supported_bounded,只限同一 6・11 反陆自部署集会／次日抗议安排,A012—anti_military；按已批时间／案件／事件边界解释；共同出现不生成联盟，风险主张不升级为已证因果。,docs/human_review_return_HR019_edge_scope_batch15_v1.md,,,,,,,,,
AI030,A012,I007,life_safety,Water/life-safety frame,S020,E3,needs_second_source,Life safety.,,,,,,,scope_reviewed_event_specific,,,A012—life_safety；按已批时间／案件／事件边界解释；共同出现不生成联盟，风险主张不升级为已证因果。,event_specific,human_checked,accept,HR019-SCOPE-AI030,project_principal_user,2026-07-20,scope_kind;scope_status;scope_approved_formulation;scope_boundary,supported_bounded,只限同一事件把饮用水源、后代生活和部署风险并置；不新增健康因果,A012—life_safety；按已批时间／案件／事件边界解释；共同出现不生成联盟，风险主张不升级为已证因果。,docs/human_review_return_HR019_edge_scope_batch15_v1.md,,,,,,,,,
AI031,A013,I002,anti_military,Miyako anti-missile group,S021,E4,ai_seeded,Core Miyako actor.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AI032,A013,I006,groundwater,Miyako groundwater/water concern,S021,E3,ai_seeded,Source is party news; still actor seed.,,,,,,,scope_reviewed_organizational_positioning,,,A013—groundwater；按已批时间／案件／事件边界解释；共同出现不生成联盟，风险主张不升级为已证因果。,organizational_positioning,human_checked,accept,HR019-SCOPE-AI032,project_principal_user,2026-07-20,scope_kind;scope_status;scope_approved_formulation;scope_boundary,supported_bounded,2018–2020 多期调查、信息开示和抗议持续提出地下水／燃料设施风险,A013—groundwater；按已批时间／案件／事件边界解释；共同出现不生成联盟，风险主张不升级为已证因果。,docs/human_review_return_HR019_edge_scope_batch15_v1.md,,,,,,,,,
AI033,A013,I007,life_safety,Missile/base life-safety concern,S021,E3,ai_seeded,Needs local follow-up.,,,,,,,scope_reviewed_organizational_positioning,,,A013—life_safety；按已批时间／案件／事件边界解释；共同出现不生成联盟，风险主张不升级为已证因果。,organizational_positioning,human_checked,accept,HR019-SCOPE-AI033,project_principal_user,2026-07-20,scope_kind;scope_status;scope_approved_formulation;scope_boundary,supported_bounded,2020–2025 重复提出弹药库、运输、交通、说明和居民日常安全要求,A013—life_safety；按已批时间／案件／事件边界解释；共同出现不生成联盟，风险主张不升级为已证因果。,docs/human_review_return_HR019_edge_scope_batch15_v1.md,,,,,,,,,
AI034,A014,I002,anti_military,Yonaguni anti-deployment referendum committee lead,S069;S010;S070,E2,needs_local_retrieval,HR-003: replaces unsupported 与那国改革会議 seed; exact committee name and continuity need local confirmation.,,,,,,,scope_reviewed_event_specific,,,A014—anti_military；按已批时间／案件／事件边界解释；共同出现不生成联盟，风险主张不升级为已证因果。,event_specific,human_checked,accept,HR019-SCOPE-AI034,project_principal_user,2026-07-20,scope_kind;scope_status;scope_approved_formulation;scope_boundary,supported_bounded,只限 2015 与那国部署公投前总决起集会／投票事件链；身份和连续性仍需当地材料,A014—anti_military；按已批时间／案件／事件边界解释；共同出现不生成联盟，风险主张不升级为已证因果。,docs/human_review_return_HR019_edge_scope_batch18_v1.md,,,,,,,,,
AI035,A014,I009,local_autonomy,Yonaguni referendum/direct-request and vote-process concerns,S069;S010;S071,E2,needs_local_retrieval,HR-003: local autonomy relation retained as referendum committee lead; needs local/primary confirmation.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AI036,A015,I002,anti_military,Anti-deployment opinion-ad committee,S015,E2,needs_local_retrieval,HR-003: S015 confirms name but is single party-media source; needs Yaeyama local cross-check.,,,,,,,scope_reviewed_event_specific,,,A015—anti_military；按已批时间／案件／事件边界解释；共同出现不生成联盟，风险主张不升级为已证因果。,event_specific,human_checked,accept,HR019-SCOPE-AI036,project_principal_user,2026-07-20,scope_kind;scope_status;scope_approved_formulation;scope_boundary,supported_bounded,只限 2012 与那国反部署意见广告征集／刊登行动；保持 E2,A015—anti_military；按已批时间／案件／事件边界解释；共同出现不生成联盟，风险主张不升级为已证因果。,docs/human_review_return_HR019_edge_scope_batch18_v1.md,,,,,,,,,
AI037,A015,I009,local_autonomy,Public opinion/ad action and referendum solidarity,S015,E2,needs_local_retrieval,HR-003: local-autonomy relation is indirect through referendum/public-opinion action; needs local confirmation.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AI038,A016,I008,health_risk,Yonaguni health/life-safety concerns around deployment and exercises,,E3,needs_second_source,HR-003: organization/activity cross-supported; founding/representatives still need local retrieval.,,defer,HR019-SCOPE-AI038,project_principal_user,2026-07-20,issue_relation_support;source_ref;scope_status;interpretation_limit,deactivated_until_direct_evidence,,,A016—health_risk；按已批时间／案件／事件边界解释；共同出现不生成联盟，风险主张不升级为已证因果。,remain_unclear,human_checked,accept,HR019-SCOPE-AI038,project_principal_user,2026-07-20,scope_kind;scope_status;scope_approved_formulation;scope_boundary,candidate,当前三份 source ref 均不能支持 I008；建议从可发布层停用，等待直接健康／暴露材料,A016—health_risk；按已批时间／案件／事件边界解释；共同出现不生成联盟，风险主张不升级为已证因果。,docs/human_review_return_HR019_edge_scope_batch15_v1.md,S011;S052;S068,unsupported,excluded,relation_existence;interpretation_boundary,"Adjacent organizational, procedural or institutional context may be documented; the exact actor-issue mapping is not confirmed.",Direct evidence attributable to this exact actor unit and issue definition.,,,
AI039,A016,I002,anti_military,Yonaguni deployment and joint-exercise concerns,S052;S068,E3,human_checked,HR-003: active civic opposition to deployment/exercises confirmed by blog and local news.,,,,,,,scope_reviewed_organizational_positioning,,,A016—anti_military；按已批时间／案件／事件边界解释；共同出现不生成联盟，风险主张不升级为已证因果。,organizational_positioning,human_checked,accept,HR019-SCOPE-AI039,project_principal_user,2026-07-20,scope_kind;scope_status;scope_approved_formulation;scope_boundary,supported_bounded,2011 年以来博客及 2024 行动支持持续反部署／反演习定位,A016—anti_military；按已批时间／案件／事件边界解释；共同出现不生成联盟，风险主张不升级为已证因果。,docs/human_review_return_HR019_edge_scope_batch15_v1.md,,,,,,,,,
AI040,A017,I018,Taiwan_contingency,沖縄対話プロジェクト—Taiwan_contingency 表示其官方设立宗旨把防止“台湾有事／南西諸岛有事”和避免冲绳再次成为战场作为对话项目的核心问题框架。,S022,E4,human_checked,Recent security environment frame. HR-035 Batch 2 principal-confirmed factual review (HR035-B02-AI040).,,accept,HR035-B02-AI040,project_principal_user,2026-07-20,relation_existence;actor_identity;issue_mapping;source_ref;evidence_level;interpretation_boundary,scope_reviewed_organizational_positioning,,docs/human_review_return_HR035_batch02_v1.md,记录的是组织公开问题框架与预防性目的；风险判断不得升级为已发生事实或已证政策效果。,organizational_positioning,human_checked,accept,HR019-SCOPE-AI040,project_principal_user,2026-07-20,scope_kind;scope_status;scope_approved_formulation;scope_boundary,supported_bounded,台湾有事是其持续对话／前线化预防框架的一部分,A017 沖縄対話プロジェクト—Taiwan_contingency；按已批时间／案件／事件边界解释；共同出现不生成联盟，风险主张不升级为已证因果。,docs/human_review_return_HR019_edge_scope_batch11_v1.md,,supported_bounded,reviewed_actor_issue,organizational_positioning,S022 官方页面直接说明项目目的、发起背景、2022–2023 对话计划及台湾、冲绳前线化风险框架。,不确认项目代表全部冲绳市民，也不确认对话已改变政府政策、地区安全环境或冲突风险。,,,沖縄対話プロジェクト—Taiwan_contingency 表示其官方设立宗旨把防止“台湾有事／南西諸岛有事”和避免冲绳再次成为战场作为对话项目的核心问题框架。
AI041,A017,I017,frontline_prevention,Okinawa dialogue anti-war/frontline framing,S022,E4,ai_seeded,Recent frontline-prevention frame.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AI042,A017,I019,peace,沖縄対話プロジェクト—peace 表示其以跨越政治立场的市民对话、防止战争及推动和平国际社会为公开项目目的。,S022,E4,human_checked,Peace/anti-war. HR-035 Batch 2 principal-confirmed factual review (HR035-B02-AI042).,,accept,HR035-B02-AI042,project_principal_user,2026-07-20,relation_existence;actor_identity;issue_mapping;source_ref;evidence_level;interpretation_boundary,scope_reviewed_organizational_positioning,,docs/human_review_return_HR035_batch02_v1.md,项目目的与活动计划不等于效果评估；与台湾、中国、美国市民对话的计划不自动生成组织间关系边。,organizational_positioning,human_checked,accept,HR019-SCOPE-AI042,project_principal_user,2026-07-20,scope_kind;scope_status;scope_approved_formulation;scope_boundary,supported_bounded,和平／冲突预防是组织目的；不表示活动已产生和平政策效果,A017—peace；按已批时间／案件／事件边界解释；共同出现不生成联盟，风险主张不升级为已证因果。,docs/human_review_return_HR019_edge_scope_batch11_v1.md,,supported_bounded,reviewed_actor_issue,organizational_positioning,S022 官方页面明确写明战争与对话中断的关系、跨境市民对话计划及防止沖縄再成战场的项目目的。,不确认活动已产生和平政策效果、化解国家间冲突或形成稳定跨国组织联盟。,,,沖縄対話プロジェクト—peace 表示其以跨越政治立场的市民对话、防止战争及推动和平国际社会为公开项目目的。
AI043,A018,I017,frontline_prevention,No More Okinawa War public framing,S023;S024,E4,ai_seeded,Recent anti-frontline actor.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AI044,A018,I018,Taiwan_contingency,ノーモア沖縄戦 命どぅ宝の会—Taiwan_contingency 表示该会在 2021 年成立及 2022 年发足集会语境中，公开反对以“台湾有事”为前提使南西诸岛成为攻击据点。,S023,E4,human_revised,Current issue. HR-035 Batch 2 principal-confirmed factual review (HR035-B02-AI044).,,revise,HR035-B02-AI044,project_principal_user,2026-07-20,relation_existence;actor_identity;issue_mapping;source_ref;evidence_level;interpretation_boundary,scope_reviewed_organizational_positioning,,docs/human_review_return_HR035_batch02_v1.md,以第三方新闻直接归因的成立期组织主张为限；不把 S024 的沖縄対話プロジェクト内容转嫁给 A018，不推断政策效果或联盟。,organizational_positioning,human_checked,accept,HR019-SCOPE-AI044,project_principal_user,2026-07-20,scope_kind;scope_status;scope_approved_formulation;scope_boundary,supported_bounded,组织成立以来的持续框架；S024 错位，须改用 S023＋组织官网,A018 ノーモア沖縄戦 命どぅ宝の会—Taiwan_contingency；按已批时间／案件／事件边界解释；共同出现不生成联盟，风险主张不升级为已证因果。,docs/human_review_return_HR019_edge_scope_batch11_v1.md,S024,supported_bounded,reviewed_actor_issue,organizational_positioning,S023 点名该会并直接转述其成立目的、共同代表和反对台湾有事想定下南西诸岛攻击据点化的公开主张。,不确认 S023 所述成立期之后全部年份的持续活动，也没有组织自有官网材料闭合长期连续性。,,,ノーモア沖縄戦 命どぅ宝の会—Taiwan_contingency 表示该会在 2021 年成立及 2022 年发足集会语境中，公开反对以“台湾有事”为前提使南西诸岛成为攻击据点。
AI045,A018,I019,peace,Anti-war framing,S023,E4,ai_seeded,Peace/anti-war.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AI046,A019,I001,anti_base,Henoko on-site sit-in and maritime action,S049;S008,E4,human_checked,HR-004: official site supports direct action; joint statements are not stable alliance evidence.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AI047,A019,I003,Henoko,Henoko/Nago anti-heliport and on-site action,S049;S050;S008,E4,human_checked,HR-004: official site and structured secondary source support Henoko core role.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AI048,A020,I011,legal,JELF 的 legal 边按案件分列：冲绳儒艮案为具名组织原告／上诉人；泡濑公金支出诉讼仅为 supporter／正式材料承载者。,S061;S128;S142,E4,human_revised,Legal channel. HR-035 batch 01 principal-confirmed factual freeze (HR035-B01-AI048).,,revise,HR035-B01-AI048,project_principal_user,2026-07-20,relation_existence;actor_identity;issue_mapping;source_ref;evidence_level;interpretation_boundary,scope_reviewed_institutional_or_case_role,,docs/human_review_return_HR035_batch01_v1.md,逐案固定角色；原告、律师、supporter／host 严格分开；不推断稳定联盟或统一胜败。,institutional_or_case_role,human_checked,accept,HR019-SCOPE-AI048,project_principal_user,2026-07-20,scope_kind;scope_status;scope_approved_formulation;scope_boundary,supported_bounded,JELF 的 legal 边按案件分列：冲绳儒艮案为具名组织原告／上诉人；泡濑公金支出诉讼仅为 supporter／正式材料承载者。,逐案固定角色；原告、律师、supporter／host 严格分开；不推断稳定联盟或统一胜败。,docs/human_review_return_HR019_edge_scope_batch11_v1.md,,supported_bounded,reviewed_actor_issue,institutional_or_case_role,S061、S128 支持儒艮案 plaintiff／appellant；S142 及 HR-014 角色表支持泡濑 supporter／host。,不确认 JELF 在泡濑案是具名 plaintiff 或 counsel，也不把律师组织身份自动转移到其他案件。,,,JELF 的 legal 边按案件分列：冲绳儒艮案为具名组织原告／上诉人；泡濑公金支出诉讼仅为 supporter／正式材料承载者。
AI049,A020,I005,biodiversity,JELF—biodiversity 仅表示其作为 2020 年 OEJP／MMC 冲绳儒艮请求与公民社会报告的公开参与者。,S006;S007,E4,human_checked,Environmental law. HR-035 batch 01 principal-confirmed factual freeze (HR035-B01-AI049).,,accept,HR035-B01-AI049,project_principal_user,2026-07-20,relation_existence;actor_identity;issue_mapping;source_ref;evidence_level;interpretation_boundary,scope_reviewed_event_specific,,docs/human_review_return_HR035_batch01_v1.md,一次共同请求／报告参与不生成稳定联盟、成员关系、持续协调或影响效果。,event_specific,human_checked,accept,HR019-SCOPE-AI049,project_principal_user,2026-07-20,scope_kind;scope_status;scope_approved_formulation;scope_boundary,supported_bounded,JELF—biodiversity 仅表示其作为 2020 年 OEJP／MMC 冲绳儒艮请求与公民社会报告的公开参与者。,一次共同请求／报告参与不生成稳定联盟、成员关系、持续协调或影响效果。,docs/human_review_return_HR019_edge_scope_batch11_v1.md,,supported_bounded,reviewed_actor_issue,event_specific,S006 的 71 团体请求／报告名单及 S007 的事件叙述闭合 JELF 在该次生物多样性／儒艮语境中的参与。,不支持 JELF 的一般、长期 biodiversity 组织定位，也不证明其参与所有相关活动。,,,JELF—biodiversity 仅表示其作为 2020 年 OEJP／MMC 冲绳儒艮请求与公民社会报告的公开参与者。
AI050,A020,I004,dugong,JELF—dugong 包含两条分开的具名事实：冲绳儒艮案组织原告／上诉人角色，以及 2020 年 MMC 儒艮请求／报告参与。,S061;S128;S006;S007,E4,human_revised,Dugong issue. HR-035 batch 01 principal-confirmed factual freeze (HR035-B01-AI050).,,revise,HR035-B01-AI050,project_principal_user,2026-07-20,relation_existence;actor_identity;issue_mapping;source_ref;evidence_level;interpretation_boundary,scope_reviewed_institutional_or_case_role,,docs/human_review_return_HR035_batch01_v1.md,诉讼与共同请求分开记录；共同出现不等于稳定联盟，案件结果不等于工程停止。,institutional_or_case_role,human_checked,accept,HR019-SCOPE-AI050,project_principal_user,2026-07-20,scope_kind;scope_status;scope_approved_formulation;scope_boundary,supported_bounded,JELF—dugong 包含两条分开的具名事实：冲绳儒艮案组织原告／上诉人角色，以及 2020 年 MMC 儒艮请求／报告参与。,诉讼与共同请求分开记录；共同出现不等于稳定联盟，案件结果不等于工程停止。,docs/human_review_return_HR019_edge_scope_batch11_v1.md,,supported_bounded,reviewed_actor_issue,institutional_or_case_role,S061、S128 支持诉讼 plaintiff／appellant；S006、S007 支持 2020 MMC 事件参与。,不确认两次行动之间存在持续协调、同一联盟或其他年份的连续活动。,,,JELF—dugong 包含两条分开的具名事实：冲绳儒艮案组织原告／上诉人角色，以及 2020 年 MMC 儒艮请求／报告参与。
AI051,X001,I014,military_family_service,USO Okinawa service role,X001,E3,ai_seeded,Service actor; not movement stance.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AI052,X001,I016,base_community_welfare,USO Okinawa sponsor/service network,X001,E3,ai_seeded,Service/welfare ecology.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AI053,X002,I016,base_community_welfare,Donation to USO Okinawa,X002,E4,ai_seeded,Sponsor/donor actor.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AI054,X003,I016,base_community_welfare,Listed USO sponsor,X003,E3,ai_seeded,Amount/year needs check.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AI055,X004,I014,military_family_service,AWWA spouse-club umbrella network,S041;S055;S072,E4,human_checked,HR-005 confirms umbrella/member structure; not evidence of specific recipients.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
