amount_observation_id,relation_observation_id,fiscal_year,amount_value,currency,normalized_unit,reported_amount,reported_unit,amount_basis,amount_scope,attributed_actor_id,actor_payment_status,award_status,line_width_eligible,source_refs,source_locators,evidence_level,review_status,interpretation_limit,human_decision,human_reviewer,review_date,decision_source_report,review_scope
R10AM011,R10R008,2024,12842500,JPY,JPY,12842500,JPY,actual_contract_amount,named counterparty contract,A066,confirmed_contract,not_applicable,yes_same_currency_scope,R10S11,PDF p.1 row 2,E4,human_checked,12.843m 是取整项目费；不是 grant、政治支持或运动资金,accept,项目负责人,2026-07-20,docs/human_review_return_HR018_relations_batch19_v1.md,"实际合同 12,842,500 円；C2 提案型公募委托；边界：12.843m 是取整项目费；不是 grant、政治支持或运动资金"
R10AM012,R10R009,2024,25547000,JPY,JPY,25547,JPY_thousand,prefecture_collaboration_table_project_cost,collaboration survey project cost,,not_actor_payment,not_applicable,no,S002,PDF p.2 row 10,E4,human_checked,25.547m 是事业费；与 HR-018-10 是两份独立合同,accept,项目负责人,2026-07-20,docs/human_review_return_HR018_relations_batch20_v1.md,"C2 委托；实际合同 26,439,000 円；边界：25.547m 是事业费；与 HR-018-10 是两份独立合同"
R10AM013,R10R009,2024,26439000,JPY,JPY,26439000,JPY,actual_contract_amount,named counterparty contract,A088,confirmed_contract,not_applicable,yes_same_currency_scope,R10S11,PDF p.2 row 11,E4,human_checked,25.547m 是事业费；与 HR-018-10 是两份独立合同,accept,项目负责人,2026-07-20,docs/human_review_return_HR018_relations_batch20_v1.md,"C2 委托；实际合同 26,439,000 円；边界：25.547m 是事业费；与 HR-018-10 是两份独立合同"
R10AM014,R10R010,2024,6496000,JPY,JPY,6496,JPY_thousand,prefecture_collaboration_table_project_cost,collaboration survey project cost,,not_actor_payment,not_applicable,no,S002,PDF p.2 row 11,E4,human_checked,6.496m 是事业费；与 HR-018-09 是两份独立合同,accept,项目负责人,2026-07-20,docs/human_review_return_HR018_relations_batch20_v1.md,"C2 委托；实际合同 8,479,000 円；边界：6.496m 是事业费；与 HR-018-09 是两份独立合同"
R10AM015,R10R010,2024,8479000,JPY,JPY,8479000,JPY,actual_contract_amount,named counterparty contract,A088,confirmed_contract,not_applicable,yes_same_currency_scope,R10S11,PDF p.2 row 12,E4,human_checked,6.496m 是事业费；与 HR-018-09 是两份独立合同,accept,项目负责人,2026-07-20,docs/human_review_return_HR018_relations_batch20_v1.md,"C2 委托；实际合同 8,479,000 円；边界：6.496m 是事业费；与 HR-018-09 是两份独立合同"
R10AM016,R10R011,2024,21799000,JPY,JPY,21799,JPY_thousand,prefecture_collaboration_table_project_cost,JV project cost,,not_actor_payment,not_applicable,no,S002,PDF p.59 row 432,E4,human_revised,21.799m 是事业费；JV 为项目复合主体；合同额不得拆给成员,revise,项目负责人,2026-07-20,docs/human_review_return_HR018_relations_batch20_v1.md,"C2 委托；实际合同 27,199,000 円；边界：21.799m 是事业费；JV 为项目复合主体；合同额不得拆给成员"
R10AM017,R10R012,2024,10329000,JPY,JPY,10329,JPY_thousand,prefecture_collaboration_table_project_cost,program project cost,,not_actor_payment,not_applicable,no,S002,PDF pp.59-60 row 433,E4,human_checked,10.329m 是事业费／提案上限，不是实际合同额；registry crosswalk 留给 HR-032,accept,项目负责人,2026-07-20,docs/human_review_return_HR018_relations_batch20_v1.md,委托关系、对象、期间和 S002 C1 成立；边界：10.329m 是事业费／提案上限，不是实际合同额；registry crosswalk 留给 HR-032
R10AM018,R10R013,2024,39739000,JPY,JPY,39739,JPY_thousand,prefecture_collaboration_table_project_cost,JV project cost,,not_actor_payment,not_applicable,no,S002,PDF p.60 row 434,E4,human_revised,39.739m 是事业费；C1 是 S002 分类，proposal 是合同采购程序；不得拆额,revise,项目负责人,2026-07-20,docs/human_review_return_HR018_relations_batch20_v1.md,"委托关系；实际合同 37,220,999 円；边界：39.739m 是事业费；C1 是 S002 分类，proposal 是合同采购程序；不得拆额"
R10AM019,R10R014,2024,7171000,JPY,JPY,7171,JPY_thousand,prefecture_collaboration_table_project_cost,program project cost,,not_actor_payment,not_applicable,no,S002,PDF p.60 row 435,E4,human_checked,7.171m 只是事业费；事务所不是独立法人；registry crosswalk 留给 HR-032,accept,项目负责人,2026-07-20,docs/human_review_return_HR018_relations_batch20_v1.md,C2 委托关系、期间和教育功能成立；边界：7.171m 只是事业费；事务所不是独立法人；registry crosswalk 留给 HR-032
R10AM020,R10R015,2024,15442000,JPY,JPY,15442,JPY_thousand,prefecture_collaboration_table_project_cost,JV project cost,,not_actor_payment,not_applicable,no,S002,PDF p.60 row 436,E4,human_checked,15.442m 只是事业费；JV 为项目复合主体；不得拆额,accept,项目负责人,2026-07-20,docs/human_review_return_HR018_relations_batch20_v1.md,C2 委托关系、期间、JV 和成员构成成立；边界：15.442m 只是事业费；JV 为项目复合主体；不得拆额
R10AM021,R10R016,2024,17932000,JPY,JPY,17932,JPY_thousand,prefecture_collaboration_table_project_cost,grant-related program project cost,,not_actor_payment,relation_confirmed_amount_not_award,no,S002,PDF p.60 row 437,E4,human_checked,17.932m 是事业费；21.127m 是初始预算；均不是 award 或 paid amount,accept,项目负责人,2026-07-20,docs/human_review_return_HR018_relations_batch20_v1.md,C4 补助关系成立；边界：17.932m 是事业费；21.127m 是初始预算；均不是 award 或 paid amount
R10AM022,R10R019,2026,16000,USD,USD,16000,USD,documented_donation,named donation to USO Okinawa,X001,confirmed_donation,not_applicable,yes_same_currency_scope,S098,named donation report,E4,human_checked,捐赠不是 sponsor tier 的金额换算，也不代表政治立场。,,,,,
R10AM023,R10R022,2025,3250,USD,USD,3250,USD,documented_donation,named donation to USO Okinawa,X001,confirmed_donation,not_applicable,yes_same_currency_scope,S053,Dec. 2025 report,E4,human_checked,直接慈善捐赠。,,,,,
R10AM024,R10R029,,102000,USD,USD,102000,USD,aggregate_mixed_recipient_report,scholarships plus AWWA combined,,not_allocable_to_named_actor,not_applicable,no,S075,KOSC charity page,E4,human_revised,"合计 102,000 美元不能分配给 AWWA、任一 scholarship recipient 或任何单一 actor；明确财年与分项金额仍缺失。",,,,,
R10AM025,R10R030,,800000000,JPY,JPY,800000000,JPY,aggregate_long_term_history,approximately 40-year network total,,not_allocable_to_named_actor_or_year,not_applicable,no,S078,long-term aggregate report,E3,needs_local_retrieval,不能拆分到年度或具体 recipient。,,,,,
R10AM026,R10R031,2015,2000000,JPY,JPY,2000000,JPY,reported_in_kind_item_value,wheelchair-accessible vehicle value,R_YOMITAN_QUEGOEN,confirmed_in_kind_value_not_cash,not_applicable,no,S094,DVIDS 2015-12-02,E3,human_revised,校正设施名和运营法人；2m 是实物价值，不是现金,revise,项目负责人,2026-07-20,docs/human_review_return_HR018_relations_batch21_v1.md,2015-12-02 捐赠一辆价值 2m 円的无障碍车辆；边界：校正设施名和运营法人；2m 是实物价值，不是现金
R10AM027,R10R011,2024,27199000,JPY,JPY,27199000,JPY,actual_contract_amount,named project-composite counterparty contract,P_R10_IC_HRD_JV,confirmed_contract_not_member_allocation,not_applicable,yes_same_currency_scope,R10S13,PDF No.91,E4,human_revised,实际合同额属于 JV 复合相手方；不得拆给 JOCA 冲绳事务所或 JTB 成员。,revise,项目负责人,2026-07-20,docs/human_review_return_HR018_relations_batch20_v1.md,HR-018-11：新增实际合同额；保留 21.799m 项目费为不同口径。
R10AM028,R10R013,2024,37220999,JPY,JPY,37220999,JPY,actual_contract_amount,named project-composite counterparty contract,P_R10_TEAM_OKIYUA,confirmed_contract_not_member_allocation,not_applicable,yes_same_currency_scope,R10S13,PDF No.90,E4,human_revised,实际合同额属于 Team OKIYUA 复合相手方；不得拆给成员。,revise,项目负责人,2026-07-20,docs/human_review_return_HR018_relations_batch20_v1.md,HR-018-13：新增实际合同额；保留 39.739m 项目费为不同口径。
