source_id,source_type,title,year,url,what_it_supports,evidence_level,bias_note,review_status,notes,locator,support_scope,human_decision,review_task_id,human_reviewer,review_date,reviewed_fields,archive_resolution,decision_source_report,relation_or_claim_approved
S020,local_news,陸自配備阻止訴え 宮古で集会 市民 地下水保全求め,2016,https://ryukyushimpo.jp/news/entry-296563.html,Miyako 6/11 event executive committee and groundwater/life-safety frame,E3,Local newspaper verifies the event and named executive chair but not a persistent organization,needs_second_source,W1 online completion: recovered and archived the real URL; old 2018 placeholder metadata was wrong.,,,,,,,,,,
S021,party_news,ミサイル基地いらない 宮古島住民連絡会 結成集会,2016,https://www.jcp.or.jp/akahata/aik19/2019-08-28/2019082814_01_1.html,Miyako anti-missile citizen network existence and activity,E2,Party-media source; activity confirmation only,ai_seeded,MT-003 resolved (activity): Akahata confirms group and rep Nakazato Shigeshige (2019 request action); 2016 formation date unverified.,,,,,,,,,,
S022,organization_site,沖縄対話プロジェクト 公式ページ,2023,https://okinawataiwa.net/,Okinawa Dialogue Project frontline/Taiwan context,E4,Organization framing; verify for balance,ai_seeded,MT-003 resolved: official Okinawa Dialogue Project site.,,,,,,,,,,
S023,local_news,ノーモア沖縄戦 命どぅ宝の会 結成,2022,https://www.qab.co.jp/news/20220321148994.html,No More Okinawa War organization formation,E4,News source; core actor coverage,ai_seeded,MT-003 resolved: QAB reports launch meeting and organizational context.,,,,,,,,,,
S024,organization_site,台湾有事に備え 南西諸島の軍事化に懸念,2023,https://okinawataiwa.net/,Taiwan contingency / Sakishima militarization concern (framing),E2,Organization framing only; not original news headline,ai_seeded,MT-003 resolved (framing): Okinawa Dialogue Project site supports Taiwan-contingency frame; not a news-article replacement.,,,,,,,,,,
S025,official_referendum,辺野古米軍基地建設のための埋立ての賛否を問う県民投票 結果,2019,https://www.city.nago.okinawa.jp/kurashi/2019020300029/,2019 prefectural referendum: 反対434273票(71.7%) 投票率52.48%,E4,Official government source; Wikipedia also available,ai_seeded,Core governance/referendum event. All municipalities had majority opposition. 项目负责人确认：旧值只表示可用性/校验状态，缺少逐行 reviewer、decision 与 date；规范为 ai_seeded。来源入库不批准 actor、edge、联盟、资金、金额、因果或解释。,,,revise,HR034-SRC-001,project_principal_user,2026-07-20,review_status,,docs/human_review_return_remaining_online_145_v1.md,no
S026,local_news,嘉手納爆音訴訟 第三次 那覇地裁沖縄支部判決,2017,https://www.qab.co.jp/news/2017022388152.html,Kadena noise litigation third-round ruling,E3,News report of judgment; not the court record itself,ai_seeded,MT-003 resolved: QAB reports 3rd Kadena noise lawsuit Naha District Court Okinawa Branch judgment 2017-02-23 (approx 30.2 bn yen; flight-halt rejected); source_type court_record->local_news.,,,,,,,,,,
S027,local_news,普天間爆音訴訟 第二次 那覇地裁判決,2016,https://www.qab.co.jp/news/2016111785307.html,Futenma noise litigation second-round ruling,E3,News report of judgment; not the court record itself,ai_seeded,MT-003 resolved: QAB reports 2nd Futenma noise lawsuit Naha District Court judgment 2016-11-17 (approx 2.458 bn yen; flight-halt rejected); year corrected 2020->2016; source_type court_record->local_news.,,,,,,,,,,
S028,local_news,高江ヘリパッド建設 住民らが抗議,2016,https://ryukyushimpo.jp/news/entry-315940.html,Takae helipad construction and civilian protest,E3,News source; multiple incidents covered,ai_seeded,MT-003 resolved: Ryukyu Shimpo reports Takae resident protest against helipad construction.,,,,,,,,,,
S029,party_news,島ぐるみ会議 辺野古新基地反対で連帯,2015,https://www.jcp.or.jp/akahata/aik15/2015-06-29/2015062903_01_1.html,All-island conference activity and new-base opposition,E2,Party-media source; activity confirmation only,ai_seeded,MT-003 resolved (activity): Akahata confirms municipal Shimagurumi meeting and new-base opposition; not Okinawa Times; activity only.,,,,,,,,,,
S030,local_news,第2次泡瀬干潟埋め立て訴訟 那覇地裁判決,2015,https://ryukyushimpo.jp/news/prentry-239394.html,Awase tidal flat reclamation and litigation,E3,News report of judgment; legal case details,ai_seeded,MT-003 resolved: RS reports 2nd Awase reclamation lawsuit Naha District Court judgment 2015-02-24 (claims rejected); first lawsuit 2008 Naha / 2009 Fukuoka High Court Naha branch is background; year 2009->2015 and title corrected.,,,,,,,,,,
S031,organization_site,沖縄平和運動センター 公式,2026,http://www.peace-okinawa.net/,Okinawa Peace Movement Center organization info,E3,Organization self-description; verify structure,ai_seeded,MT-003 resolved: official Okinawa Peace Movement Center site; HTTP URL used because HTTPS host certificate returns an invalid-url page.,,,,,,,,,,
S032,organization_site,新外交イニシアティブ（ND）公式サイト,2026,https://www.nd-initiative.org/,ND think tank / policy advocacy,E4,Organization framing; verify for balance,ai_seeded,Key policy advocacy actor.,,,,,,,,,,
S033,academic_article,Tanji Miyume: Myth Protest and Struggle in Okinawa,2006,book_reference,Academic analysis of Okinawa protest movements,E4,Academic secondary source; useful for actor context,ai_seeded,Background academic source.,,,,,,,,,,
S034,organization_site,沖縄意見広告運動 全国紙に一面広告,2010,https://www.okinawaiken.org/,Opinion ad campaign in national newspapers,E3,Organization self-description; use as campaign history source.,ai_seeded,MT-003 resolved: official Okinawa opinion ad campaign site states 2010 start and newspaper ad placements.,,,,,,,,,,
S035,official_portal,内閣府NPO法人ポータル,2026,https://www.npo-homepage.go.jp/,NPO legal status verification portal,E4,Official government database,ai_seeded,Use for NPO verification.,,,,,,,,,,
S036,local_news,南西諸島ピースネット 結成,2015,https://ryukyushimpo.jp/news/entry-452562.html,Southwest Islands Peace Network existence and activity,E3,News source; existence/activity not formation,ai_seeded,MT-003 resolved (existence): RS confirms SW Islands Peace Network in later government negotiation; formation date unverified.,,,,,,,,,,
S037,ngo_statement,沖縄弁護士会 辺野古新基地建設に関する会長声明・決議,2017,https://okiben.org/column/10903/,Okinawa Bar Association president statement on Henoko,E3,Official professional-association page; summary of multiple statements,ai_seeded,MT-003 resolved: no 2015 statement found; Okinawa Bar issued Henoko chairman statements/resolutions in 2017/2018/2020; year corrected 2015->2017 (earliest confirmed).,,,,,,,,,,
S038,organization_site,一坪反戦地主会 軍用地契約拒否運動,1996,https://www.jca.apc.org/HHK/,Anti-war landowners military land lease refusal frame,E2,Organization-related site; historical background not dated primary record,ai_seeded,MT-003 resolved (background): jca.apc.org describes anti-war landowner contract-refusal frame; not a dated 1996 primary source; source_type local_news->organization_site.,,,,,,,,,,
S039,academic_article,基地・軍隊を許さない行動する女たちの会 結成（Akibayashi）,1995,https://www2.kobe-u.ac.jp/~alexroni/TR%202013%20readings/2013_3/05_73-85%20Akibayashi.pdf,Women Against Military Bases formation after 1995 incident,E3,Academic secondary source,ai_seeded,MT-003 resolved: Akibayashi academic PDF states 1995 founding context and press conference; source_type local_news->academic_article.,,,,,,,,,,
S040,magazine_news,辺野古土砂搬入反対全国連絡協議会 結成,2015,https://www.kinyobi.co.jp/kinyobinews/2016/06/24/%E8%BE%BA%E9%87%8E%E5%8F%A4%E5%9F%8B%E3%82%81%E7%AB%8B%E3%81%A6%E3%81%AB%E5%8A%A0%E6%8B%85%E3%81%97%E3%81%AA%E3%81%84%E2%80%95%E2%80%95%E5%9C%9F%E7%A0%82%E6%8E%A1%E5%8F%96%E5%9C%B0%E3%81%AE%E9%97%98/,National council against Henoko landfill soil import,E3,Weekly magazine source,ai_seeded,MT-003 resolved: kinyobi (2016) states national liaison council established May 2015 led by Kan-Setonaikai Kaigi and Amami nature-culture group; year corrected 2018->2015.,,,,,,,,,,
S041,organization_site,AWWA / OESC / NOSCO official sites and DVIDS reports,2024,https://okinawahai.com/american-womens-welfare-association/,AWWA structure (5 clubs); OESC official site okinawaesc.com; NOSCO AWWA page; DVIDS 40-year history,E4,Multiple confirmed sources: Okinawa Hai / DVIDS / NOSCO / OESC / ProPublica,ai_seeded,AWWA confirmed as umbrella of 5 spouse clubs. OESC EIN 980346507. Originally Ryukyu American Welfare Council (1952). 项目负责人确认：旧值只表示可用性/校验状态，缺少逐行 reviewer、decision 与 date；规范为 ai_seeded。来源入库不批准 actor、edge、联盟、资金、金额、因果或解释。,,,revise,HR034-SRC-002,project_principal_user,2026-07-20,review_status,,docs/human_review_return_remaining_online_145_v1.md,no
S042,local_official,名護市民投票 基地建設反対が多数,1997,https://www.city.nago.okinawa.jp/kurashi/2018071900226/,1997 Nago city referendum on Henoko base,E4,Local official timeline; useful for event chronology.,ai_seeded,MT-003 resolved: Nago city official timeline records 1997 referendum context.,,,,,,,,,,
S043,official_data,沖縄県 米軍基地の概要,2024,https://www.pref.okinawa.jp/heiwakichi/kichi/1017273/1017274/1025057/1029383.html,Okinawa prefecture official base burden data,E4,Official government data,ai_seeded,MT-003 resolved: Okinawa Prefecture official 2024 statistical materials page.,,,,,,,,,,
S044,academic_article,Inoue Masamichi: Okinawa and the U.S. Military,2007,book_reference,Academic analysis of Okinawa-US military relations,E4,Academic secondary source,ai_seeded,Background academic source.,,,,,,,,,,
S045,local_news,辺野古新基地 土砂投入開始,2018,https://www.okinawatimes.co.jp/articles/-/359236,Henoko landfill soil dumping begins,E4,Well-documented landmark event,ai_seeded,MT-003 resolved: soil input began 2018-12-14 ~11am (Okinawa Times / Ryukyu Shimpo); accessible supplement Akahata https://www.jcp.or.jp/akahata/aik18/2018-12-15/2018121501_01_1.html.,,,,,,,,,,
S046,ngo_statement,NACSJ 辺野古・大浦湾の生物多様性報告,2014,https://www.nacsj.or.jp/archives/files/katsudo/henoko/pdf/20140724youbou_boueidaijin.pdf,NACSJ scientific survey report on Oura Bay biodiversity,E4,Scientific NGO report,ai_seeded,MT-003 resolved: NACSJ-linked 2014 request document supports Henoko/Oura Bay biodiversity evidence line.,,,,,,,,,,
S047,official_data,沖縄防衛局 辺野古新基地建設事業 環境影響評価書,2012,https://www.mod.go.jp/rdb/okinawa/effort/base/evaluation/hyoukasyo.html,Henoko base EIA official document,E4,Official defense document; controversial methodology,ai_seeded,MT-003 resolved: Okinawa Defense Bureau EIA index page lists official EIA PDFs.,,,,,,,,,,
S048,organization_site,Veterans for Peace Ryukyu/Okinawa Chapter Kokusai,2024,https://www.veteransforpeace.org/who-we-are/2025-online-business-meeting/resolution-2025-1-us-military-expansion-and-environmental-destruction-okinawa,VFP activities in Okinawa,E2,Organization framing; existence evidence,needs_second_source,MT-003 resolved (existence): VFP names Veterans For Peace Ryukyu/Okinawa Chapter Kokusai as endorser; 2025 resolution later than source year; chapter page as second source still useful.,,,,,,,,,,
S049,organization_site,ヘリ基地反対協議会 公式サイト,2026,https://lovehenoko.org/,Henoko anti-base coordination; sit-in since 2004; co-reps verified,E4,Primary organization source,ai_seeded,Full name: 海上ヘリ基地建設反対・平和と名護市政民主化を求める協議会. 项目负责人确认：旧值只表示可用性/校验状态，缺少逐行 reviewer、decision 与 date；规范为 ai_seeded。来源入库不批准 actor、edge、联盟、资金、金额、因果或解释。,,,revise,HR034-SRC-003,project_principal_user,2026-07-20,review_status,,docs/human_review_return_remaining_online_145_v1.md,no
S050,encyclopedia,ヘリ基地反対協議会 Wikipedia,2026,https://ja.wikipedia.org/wiki/ヘリ基地反対協議会,Organization history and structure; est. 1998; co-representatives,E3,Wikipedia secondary source; cross-check with primary,ai_seeded,Confirms founding from 名護市民投票推進協議会. 项目负责人确认：旧值只表示可用性/校验状态，缺少逐行 reviewer、decision 与 date；规范为 ai_seeded。来源入库不批准 actor、edge、联盟、资金、金额、因果或解释。,,,revise,HR034-SRC-004,project_principal_user,2026-07-20,review_status,,docs/human_review_return_remaining_online_145_v1.md,no
S051,organization_site,石垣市住民投票を求める会 公式サイト,2024,https://ishigaki-tohyo.com/,No current claim: archived capture resolves to unrelated Ishigaki tourism/food site,E0,Archive/domain mismatch; cannot support the referendum organization,rejected,"Main-thread QA after R4/R9 cross-review: archived title is 石垣島ヘイヨー and content is unrelated tourism/food material. Do not use for A011 identity, signatures, continuity, or dissolution; historical-domain recovery remains a retrieval task. 项目负责人确认：归档内容与目标组织不符，且已是 E0 rejected_archive_mismatch；统一为 rejected，不得支持 A011。",,,reject,HR034-SRC-005,project_principal_user,2026-07-20,review_status,,docs/human_review_return_remaining_online_145_v1.md,no
S052,organization_blog,与那国イソバの会 ブログ,2026,https://isobanokai.ti-da.net/,Isobanoka civic group activities; anti-military-exercise protests,E3,Organization self-published blog,ai_seeded,Active blog and X/Twitter presence; protests joint exercises and missile deployment. 项目负责人确认：旧值只表示可用性/校验状态，缺少逐行 reviewer、decision 与 date；规范为 ai_seeded。来源入库不批准 actor、edge、联盟、资金、金额、因果或解释。,,,revise,HR034-SRC-006,project_principal_user,2026-07-20,review_status,,docs/human_review_return_remaining_online_145_v1.md,no
S053,news,OESC donates $3250 to USO Okinawa,2025,https://okinawa.stripes.com/community-news/okinawa-enlisted-spouses-club-uso-okinawa.html,OESC charitable donation to USO confirmed,E4,Stripes Okinawa; amount and date specified,ai_seeded,Dec 2025 donation. 项目负责人确认：旧值只表示可用性/校验状态，缺少逐行 reviewer、decision 与 date；规范为 ai_seeded。来源入库不批准 actor、edge、联盟、资金、金额、因果或解释。,,,revise,HR034-SRC-007,project_principal_user,2026-07-20,review_status,,docs/human_review_return_remaining_online_145_v1.md,no
S054,nonprofit_record,OESC ProPublica Nonprofit Explorer,2026,https://projects.propublica.org/nonprofits/organizations/980346507,OESC 501(c)(3) status and financial records,E4,ProPublica public records,ai_seeded,EIN 980346507. 项目负责人确认：旧值只表示可用性/校验状态，缺少逐行 reviewer、decision 与 date；规范为 ai_seeded。来源入库不批准 actor、edge、联盟、资金、金额、因果或解释。,,,revise,HR034-SRC-008,project_principal_user,2026-07-20,review_status,,docs/human_review_return_remaining_online_145_v1.md,no
S055,organization_site,NOSCO AWWA page,2026,https://nosco.wildapricot.org/awwa,AWWA umbrella structure and member clubs,E4,NOSCO official page,ai_seeded,Confirms AWWA as umbrella of 5 spouse clubs. 项目负责人确认：旧值只表示可用性/校验状态，缺少逐行 reviewer、decision 与 date；规范为 ai_seeded。来源入库不批准 actor、edge、联盟、资金、金额、因果或解释。,,,revise,HR034-SRC-009,project_principal_user,2026-07-20,review_status,,docs/human_review_return_remaining_online_145_v1.md,no
S056,grant_document,U.S. Consulate Naha Okinawa Youth Council NOFO PDF,2024,https://jp.usembassy.gov/wp-content/uploads/sites/7/2024/05/nofo-2024-naha-pas-02-okinawa-youth-council-e.pdf,OYC grant opportunity details; $5000-$10000; eligible applicants,E4,Official U.S. government document,ai_seeded,NOFO confirmed; recipient still unknown. 项目负责人确认：旧值只表示可用性/校验状态，缺少逐行 reviewer、decision 与 date；规范为 ai_seeded。来源入库不批准 actor、edge、联盟、资金、金额、因果或解释。,,,revise,HR034-SRC-010,project_principal_user,2026-07-20,review_status,,docs/human_review_return_remaining_online_145_v1.md,no
S057,organization_site,ジュゴン保護キャンペーンセンター公式サイト,2026,http://www.sdcc.jp/,A002 official site and contact identity,E4,Primary organization source,ai_seeded,HR-001 confirms SDCC official site; old HTTP site. 项目负责人确认：旧值只表示可用性/校验状态，缺少逐行 reviewer、decision 与 date；规范为 ai_seeded。来源入库不批准 actor、edge、联盟、资金、金额、因果或解释。,,,revise,HR034-SRC-011,project_principal_user,2026-07-20,review_status,,docs/human_review_return_remaining_online_145_v1.md,no
S058,ngo_directory,IUCN member page: Save the Dugong Campaign Center,2026,https://iucn.org/our-union/members/iucn-members/save-dugong-campaign-center,A002 IUCN National NGO member since Nov 2004,E4,Official IUCN member directory,ai_seeded,HR-001 confirms international membership and Japan statutory state. 项目负责人确认：旧值只表示可用性/校验状态，缺少逐行 reviewer、decision 与 date；规范为 ai_seeded。来源入库不批准 actor、edge、联盟、资金、金额、因果或解释。,,,revise,HR034-SRC-012,project_principal_user,2026-07-20,review_status,,docs/human_review_return_remaining_online_145_v1.md,no
S059,ngo_directory,GEOC団体情報: ジュゴン保護キャンペーンセンター,2019,https://www.geoc.jp/rashinban/dantai_detail_591.html,A002 legal status representative address contact fees and activities,E4,GEOC environmental partnership directory,ai_seeded,HR-001 confirms 任意団体 and organization details. 项目负责人确认：旧值只表示可用性/校验状态，缺少逐行 reviewer、decision 与 date；规范为 ai_seeded。来源入库不批准 actor、edge、联盟、资金、金额、因果或解释。,,,revise,HR034-SRC-013,project_principal_user,2026-07-20,review_status,,docs/human_review_return_remaining_online_145_v1.md,no
S060,legal_international,Earthjustice 2003 Okinawa Dugong lawsuit press release,2003,https://earthjustice.org/press/2003/us-japanese-conservation-groups-join-in-legal-effort-to-save-okinawa-dugong-from-extinction,A076 and related plaintiffs in Okinawa Dugong v Rumsfeld,E4,Advocacy legal press release; verify with case docs if central,ai_seeded,HR-001 supports distinction between Save the Dugong Foundation and SDCC. 项目负责人确认：旧值只表示可用性/校验状态，缺少逐行 reviewer、decision 与 date；规范为 ai_seeded。来源入库不批准 actor、edge、联盟、资金、金额、因果或解释。,,,revise,HR034-SRC-014,project_principal_user,2026-07-20,review_status,,docs/human_review_return_remaining_online_145_v1.md,no
S061,legal_source,JELF Okinawa Dugong NHPA lawsuit plaintiff material,2018,https://www.jelf-justice.org/base_issue/post-1430/,JELF plaintiff material for Okinawa Dugong NHPA lawsuit,E4,Organization legal source,ai_seeded,HR-001 source supplied by human reviewer; supports A076 plaintiff status. 项目负责人确认：旧值只表示可用性/校验状态，缺少逐行 reviewer、decision 与 date；规范为 ai_seeded。来源入库不批准 actor、edge、联盟、资金、金额、因果或解释。,,,revise,HR034-SRC-015,project_principal_user,2026-07-20,review_status,,docs/human_review_return_remaining_online_145_v1.md,no
S062,legal_international,Earthjustice Okinawa Dugong case page,2026,https://earthjustice.org/case/okinawa-dugong-proposed-airbase,Okinawa Dugong case background and litigation route,E4,Advocacy legal case page; verify case docket if central,ai_seeded,HR-001 source supplied by human reviewer; do not treat as A002 plaintiff evidence. 项目负责人确认：旧值只表示可用性/校验状态，缺少逐行 reviewer、decision 与 date；规范为 ai_seeded。来源入库不批准 actor、edge、联盟、资金、金额、因果或解释。,,,revise,HR034-SRC-016,project_principal_user,2026-07-20,review_status,,docs/human_review_return_remaining_online_145_v1.md,no
S063,encyclopedia,琉球新報 用語辞典 ジュゴン保護基金委員会,2026,https://ryukyushimpo.jp/okinawa-dic/prentry-41677.html,A076 name and background for Save the Dugong Foundation,E3,Newspaper dictionary secondary source,ai_seeded,HR-001 source supplied by human reviewer; useful for organization identity and local context. 项目负责人确认：旧值只表示可用性/校验状态，缺少逐行 reviewer、decision 与 date；规范为 ai_seeded。来源入库不批准 actor、edge、联盟、资金、金额、因果或解释。,,,revise,HR034-SRC-017,project_principal_user,2026-07-20,review_status,,docs/human_review_return_remaining_online_145_v1.md,no
S064,ngo_statement,NGO非戦ネット 辺野古県民投票結果の尊重を求める声明,2019,https://peaceboat.org/26488.html,A008 Okinawa/Henoko referendum solidarity statement by NGO非戦ネット and 11 groups,E3,Statement page; co-publication does not prove stable alliance,ai_seeded,HR-002 source supplied by human reviewer; supports Okinawa relation as statement/solidarity only. 项目负责人确认：旧值只表示可用性/校验状态，缺少逐行 reviewer、decision 与 date；规范为 ai_seeded。来源入库不批准 actor、edge、联盟、资金、金额、因果或解释。,,,revise,HR034-SRC-018,project_principal_user,2026-07-20,review_status,,docs/human_review_return_remaining_online_145_v1.md,no
S065,organization_site,NGO非戦ネット 公式サイト,2026,http://ngo-nowar.org/,A008 organization purpose/history as no-war international-cooperation NGO network,E4,Primary organization site; SSL/certificate issue noted by reviewer,ai_seeded,HR-002 source supplied by human reviewer; T1-C: no Wayback snapshot for ngo-nowar.org as of 2026-07; rely on live HTTP site + statement pages S064/S066/S067. 项目负责人确认：旧值只表示可用性/校验状态，缺少逐行 reviewer、decision 与 date；规范为 ai_seeded。来源入库不批准 actor、edge、联盟、资金、金额、因果或解释。,,,revise,HR034-SRC-019,project_principal_user,2026-07-20,review_status,,docs/human_review_return_remaining_online_145_v1.md,no
S066,ngo_report,アーユス NGO非戦ネット 2015 活動紹介,2015,https://ngo-ayus.jp/activity/situation_support/ngonowarnet2015/,A008 activity/history context,E3,Third-party NGO report; useful for continuity context,ai_seeded,HR-002 source supplied by human reviewer; not Okinawa-specific. 项目负责人确认：旧值只表示可用性/校验状态，缺少逐行 reviewer、decision 与 date；规范为 ai_seeded。来源入库不批准 actor、edge、联盟、资金、金额、因果或解释。,,,revise,HR034-SRC-020,project_principal_user,2026-07-20,review_status,,docs/human_review_return_remaining_online_145_v1.md,no
