audit_row_id,normalized_url,input_record_count,input_batches,proposal_refs,candidate_refs,original_urls,merge_disposition,cross_batch_duplicate,current_source_match,current_source_ids,current_archive_status,suggested_source_id_if_merged,suggested_id_status,snapshot_state,source_log_observed_count,provisional_merged_source_ids,provisional_archive_status,proposed_title,publisher_labels,input_source_types,suggested_source_type,source_type_status,publication_or_record_dates,suggested_year,date_status,locators,locator_status,support_scopes,input_evidence_levels,suggested_evidence_level,caveats,sensitive_boundary_tags,sensitive_boundary_status,relation_or_claim_approved,archive_eligibility,archive_access_risk,metadata_issue_codes,human_metadata_review_required,web_review_required,recommended_action
NW2FS011,https://ryukyushimpo.jp/news/entry-789039.html,1,NW2-B_R09,NW2-B_R09:R9EC_S011,,https://ryukyushimpo.jp/news/entry-789039.html,unique_proposed_new,no,no,,not_applicable,S258,proposal_only_not_reserved,postmerge_provisional_batch_match,295,S258,failed,沖縄県知事選 出遅れ危機感『結束優先』 玉城氏、出馬要請受諾,琉球新報,local_news,local_news,already_in_current_vocabulary,2018-08-24,2018,complete_year_or_date,"Reports 8/23 request by the adjustment council composed of assembly caucuses, parties, unions and firms",complete,2018 candidate-selection request by a temporary mixed coalition,E3,E3,"The temporary council is an event node, not an NGO or stable alliance.",election_causality_not_inferred;temporary_coalition_not_stable_alliance,pass_no_approval_and_caveat_present,no,eligible_http_archive;provisional_index_does_not_require_success,no_specific_flag;domain_history=14_archived_1_failed,,no,no,provisional source-log merge observed; retain ai_seeded status and complete HR-030 metadata/archive review before formal claim use
NW2FS012,https://www.jstage.jst.go.jp/article/isvsjapan/19/0/19_45/_pdf/-char/en,1,NW2-B_R09,NW2-B_R09:R9EC_S012,,https://www.jstage.jst.go.jp/article/isvsjapan/19/0/19_45/_pdf/-char/en,unique_proposed_new,no,no,,not_applicable,S259,proposal_only_not_reserved,postmerge_provisional_batch_match,295,S259,archived,主体的な主権者教育を育むための一考察―#みんなごと実践記録,国際ボランティア学会 / 玉城直美,academic_participant_record,academic_article,mechanical_vocabulary_normalization,2019,2019,complete_year_or_date,"pp.4-5 activity table: 9/5 debate, 9/13 workshop, 9/19 publication; p.7 identifies an informal eight-student group",complete,"2018 nonpartisan civic-learning, public-meeting, policy-proposal and observation windows",E4,E4,First-party academic record; candidates are kept as generic event nodes as the paper masks names.,election_causality_not_inferred;person_or_masked_actor_not_transferred,pass_no_approval_and_caveat_present,no,eligible_http_archive;provisional_index_does_not_require_success,verify_pdf_content_type_for_extensionless_jstage_endpoint,,no,yes,provisional source-log merge observed; retain ai_seeded status and complete HR-030 metadata/archive review before formal claim use
NW2FS013,https://www.shinfujin.gr.jp/wp-content/uploads/2018/11/20181003_seimei_okinawatidisen.pdf,1,NW2-B_R09,NW2-B_R09:R9EC_S013,,https://www.shinfujin.gr.jp/wp-content/uploads/2018/11/20181003_seimei_okinawatidisen.pdf,unique_proposed_new,no,no,,not_applicable,S260,proposal_only_not_reserved,postmerge_provisional_batch_match,295,S260,archived,声明：沖縄県知事選挙で歴史的勝利！新基地建設はただちに中止を,新日本婦人の会,organization_statement,organization_statement,already_in_current_vocabulary,2018-10-03,2018,complete_year_or_date,"Official statement, lines 13-16 self-report organization-wide activity for Tamaki",complete,2018 post-result public interpretation and bounded self-report,E4,E4,Does not independently prove participation scale or effect on votes.,election_causality_not_inferred;self_report_reach_or_effect_not_inferred,pass_no_approval_and_caveat_present,no,eligible_http_archive;provisional_index_does_not_require_success,no_specific_flag;domain_not_yet_in_manifest,,no,no,provisional source-log merge observed; retain ai_seeded status and complete HR-030 metadata/archive review before formal claim use
NW2FS014,https://www.pref.okinawa.jp/kensei/senkyo/1005009/1023802/1025046/index.html,1,NW2-B_R09,NW2-B_R09:R9EC_S014,,https://www.pref.okinawa.jp/kensei/senkyo/1005009/1023802/1025046/index.html,unique_proposed_new,no,no,,not_applicable,S261,proposal_only_not_reserved,postmerge_provisional_batch_match,295,S261,failed,令和4年沖縄県知事選挙 特設ページ,沖縄県選挙管理委員会,official_election_record,official_data,mechanical_vocabulary_normalization,2022-09,2022,complete_year_or_date,"Official election administration, final records and 9/11 vote date",complete,2022 election-window date and institutional context only,E4,E4,Does not support any civic-actor role or causal effect.,election_causality_not_inferred,pass_no_approval_and_caveat_present,no,eligible_http_archive;provisional_index_does_not_require_success,no_specific_flag;domain_history=17_archived_0_failed,,no,no,provisional source-log merge observed; retain ai_seeded status and complete HR-030 metadata/archive review before formal claim use
NW2FS015,https://ryukyushimpo.jp/news/entry-1499534.html,1,NW2-B_R09,NW2-B_R09:R9EC_S015,,https://ryukyushimpo.jp/news/entry-1499534.html,unique_proposed_new,no,no,,not_applicable,S262,proposal_only_not_reserved,postmerge_provisional_batch_match,295,S262,archived,沖縄県知事選、女性団体有志が玉城氏に出馬要請,琉球新報,local_news,local_news,already_in_current_vocabulary,2022-04-10,2022,complete_year_or_date,Reports 4/9 gathering and first public request to incumbent Tamaki to stand,complete,2022 women-led candidate-entry request,E3,E3,Ad hoc body; membership and continuity are not inferred.,election_causality_not_inferred;ad_hoc_body_or_roster_not_generalized,pass_no_approval_and_caveat_present,no,eligible_http_archive;provisional_index_does_not_require_success,no_specific_flag;domain_history=14_archived_1_failed,,no,no,provisional source-log merge observed; retain ai_seeded status and complete HR-030 metadata/archive review before formal claim use
NW2FS016,https://www.min-iren.gr.jp/news-press/shinbun/20220816_46093.html,1,NW2-B_R09,NW2-B_R09:R9EC_S016,,https://www.min-iren.gr.jp/news-press/shinbun/20220816_46093.html,unique_proposed_new,no,no,,not_applicable,S263,proposal_only_not_reserved,postmerge_provisional_batch_match,295,S263,failed,全国の連帯で平和な沖縄―沖縄県知事選集会ひらく,全日本民主医療機関連合会,organization_event_report,organization_action_record,mechanical_vocabulary_normalization,2022-08-16,2022,complete_year_or_date,"Reports 7/29 online support gathering, 436 access points, and explicit re-election call",complete,2022 mainland/medical-network endorsement meeting,E4,E4,Self-reported attendance/access; does not prove voter reach or effect.,election_causality_not_inferred;self_report_reach_or_effect_not_inferred,pass_no_approval_and_caveat_present,no,eligible_http_archive;provisional_index_does_not_require_success,no_specific_flag;domain_history=1_archived_0_failed,,no,no,provisional source-log merge observed; retain ai_seeded status and complete HR-030 metadata/archive review before formal claim use
NW2FS017,https://all-okinawa.jp/2005,1,NW2-B_R09,NW2-B_R09:R9EC_S017,,https://all-okinawa.jp/2005/,unique_proposed_new,no,no,,not_applicable,S264,proposal_only_not_reserved,postmerge_provisional_batch_match,295,S264,archived,7月30日オンライン配信『復帰50年！新たな基地負担を許さない県民大会』,辺野古新基地を造らせないオール沖縄会議,organization_event_record,organization_event_record,already_in_current_vocabulary,2022-07-30,2022,complete_year_or_date,"Official event page, speakers and issue statements",complete,2022 election-adjacent issue campaign,E4,E4,Organizer framing is issue campaign; classification remains HR-026 because election framing was disputed.,election_causality_not_inferred;issue_event_not_automatic_endorsement,pass_no_approval_and_caveat_present,no,eligible_http_archive;provisional_index_does_not_require_success,no_specific_flag;domain_not_yet_in_manifest,,no,no,provisional source-log merge observed; retain ai_seeded status and complete HR-030 metadata/archive review before formal claim use
NW2FS018,https://www.okinawatimes.co.jp/articles/-/1000372,1,NW2-B_R09,NW2-B_R09:R9EC_S018,,https://www.okinawatimes.co.jp/articles/-/1000372,unique_proposed_new,no,no,,not_applicable,S265,proposal_only_not_reserved,postmerge_provisional_batch_match,295,S265,archived,『知事選を前にいい発信』与野党の受け止め,沖縄タイムス,local_news,local_news,already_in_current_vocabulary,2022-07-31,2022,complete_year_or_date,Contrasting political interpretations of the 7/30 online event,complete,Classification dispute for 2022 All Okinawa issue event,E3,E3,"Quoted partisan interpretations are observations, not adjudicated event purpose.",election_causality_not_inferred;issue_event_not_automatic_endorsement,pass_no_approval_and_caveat_present,no,eligible_http_archive;provisional_index_does_not_require_success,verify_accessible_text_and_paywall_boundary,,no,yes,provisional source-log merge observed; retain ai_seeded status and complete HR-030 metadata/archive review before formal claim use
NW2FS019,https://www.shinfujin.gr.jp/up/newspaper/12908,1,NW2-B_R09,NW2-B_R09:R9EC_S019,,https://www.shinfujin.gr.jp/up/newspaper/12908/,unique_proposed_new,no,no,,not_applicable,S266,proposal_only_not_reserved,postmerge_provisional_batch_match,295,S266,archived,沖縄県知事選挙―二度と戦場にしない平和で誇りある豊かな沖縄を,新日本婦人の会,organization_campaign_statement,organization_statement,mechanical_vocabulary_normalization,2022-08-01,2022,complete_year_or_date,Official page explicitly calls for Tamaki re-election and nationwide support,complete,2022 organization endorsement/campaign call,E4,E4,Endorsement is observable; audience reach and electoral effect are not.,election_causality_not_inferred;self_report_reach_or_effect_not_inferred,pass_no_approval_and_caveat_present,no,eligible_http_archive;provisional_index_does_not_require_success,no_specific_flag;domain_not_yet_in_manifest,,no,no,provisional source-log merge observed; retain ai_seeded status and complete HR-030 metadata/archive review before formal claim use
NW2FS020,https://ryukyushimpo.jp/news/entry-1579341.html,1,NW2-B_R09,NW2-B_R09:R9EC_S020,,https://ryukyushimpo.jp/news/entry-1579341.html,unique_proposed_new,no,no,,not_applicable,S267,proposal_only_not_reserved,postmerge_provisional_batch_match,295,S267,archived,候補者アンケートを基に沖縄知事選の争点考える,琉球新報,local_news,local_news,already_in_current_vocabulary,2022-09-07,2022,complete_year_or_date,"Reports August 26-theme/74-question survey and 9/8, 9/10 public online talks",complete,2022 multi-issue candidate observation and public deliberation,E3,E3,Named individuals do not transfer roles to their organizations; original response sheet was not located.,election_causality_not_inferred;person_or_masked_actor_not_transferred,pass_no_approval_and_caveat_present,no,eligible_http_archive;provisional_index_does_not_require_success,no_specific_flag;domain_history=14_archived_1_failed,,no,no,provisional source-log merge observed; retain ai_seeded status and complete HR-030 metadata/archive review before formal claim use
NW2FS021,https://www.jcp.or.jp/akahata/aik22/2022-08-14/2022081403_01_0.html,1,NW2-B_R09,NW2-B_R09:R9EC_S021,,https://www.jcp.or.jp/akahata/aik22/2022-08-14/2022081403_01_0.html,unique_proposed_new,no,no,,not_applicable,S268,proposal_only_not_reserved,postmerge_provisional_batch_match,295,S268,archived,優しい県政 デニーさんと／沖縄知事選必勝へ女性集会,しんぶん赤旗,party_media,party_news,mechanical_vocabulary_normalization,2022-08-14,2022,complete_year_or_date,Reports 8/13 women gathering and explicit support call,complete,2022 women public endorsement meeting,E2,E2,Organizer identity is not named on the available page; no stable coalition inferred.,election_causality_not_inferred;ad_hoc_body_or_roster_not_generalized,pass_no_approval_and_caveat_present,no,eligible_http_archive;provisional_index_does_not_require_success,no_specific_flag;domain_history=4_archived_0_failed,,no,no,provisional source-log merge observed; retain ai_seeded status and complete HR-030 metadata/archive review before formal claim use
NW2FS022,https://miyakojima-tikasui.com/about_us.html,1,NW2-C_registry_gate,NW2-C_registry_gate:RV2SP001,RV2C001,https://miyakojima-tikasui.com/about_us.html,reuse_existing_source,no,yes,S158,archived,,not_applicable_reuse_existing,postmerge_reuse_existing,295,,not_applicable,宮古島地下水研究会 団体概要,宮古島地下水研究会,organization_website,organization_profile,already_in_current_vocabulary,2018-03-31 profile; accessed 2026-07-13,2026,reuse_existing_year_review_proposal_period,"設立趣旨; lines/paragraphs naming 2018 co-representatives, rules and secretariat",complete,"Exact identity, founding purpose, formal rules, named leadership and local secretariat",E4,E4,"The profile's 2018 representatives are a dated leadership observation, not a permanent roster.",stated_environmental_risk_not_proven_contamination;administrative_contact_not_agreement,pass_no_approval_and_caveat_present,no,already_registered_reuse_existing_archive,archived,existing_source_metadata_diff;existing_title_diff_preserve_current;existing_type_diff_preserve_current,yes,no,reuse existing source ID; human-review support-scope enrichment only
NW2FS023,https://miyakojima-tikasui.com/,1,NW2-C_registry_gate,NW2-C_registry_gate:RV2SP002,RV2C001,https://miyakojima-tikasui.com/,reuse_existing_source,no,yes,S204,archived,,not_applicable_reuse_existing,postmerge_reuse_existing,295,,not_applicable,宮古島地下水研究会 公式サイト,宮古島地下水研究会,organization_website,organization_site,already_in_current_vocabulary,2019-2025 activity archive; accessed 2026-07-13,2026,reuse_existing_year_review_proposal_period,"top page activity, report and news indexes",needs_pinpoint,"Current operation and repeated research, petition and public-learning outputs",E4,E4,Self-published continuity evidence; individual scientific claims require claim-level review.,stated_environmental_risk_not_proven_contamination;administrative_contact_not_agreement,pass_no_approval_and_caveat_present,no,already_registered_reuse_existing_archive,archived,existing_source_metadata_diff;activity_range_vs_access_year;locator_is_broad_index;existing_type_diff_preserve_current,yes,no,reuse existing source ID; human-review support-scope enrichment only
NW2FS024,https://miyakojima-tikasui.com/crisis.html,1,NW2-C_registry_gate,NW2-C_registry_gate:RV2SP003,RV2C001,https://miyakojima-tikasui.com/crisis.html,unique_proposed_new,no,no,,not_applicable,S269,proposal_only_not_reserved,postmerge_provisional_batch_match,295,S269,archived,地下水の危機とは？,宮古島地下水研究会,organization_issue_page,organization_site,mechanical_vocabulary_normalization,current page; accessed 2026-07-13,2026,access_date_only,自衛隊施設の排水 section,complete,The group's explicit framing of SDF-facility water use/wastewater as a groundwater-risk category,E3,E3,"Supports the group's public position, not a finding that contamination or a health effect occurred.",stated_environmental_risk_not_proven_contamination;administrative_contact_not_agreement,pass_no_approval_and_caveat_present,no,eligible_http_archive;provisional_index_does_not_require_success,snapshot_current_page_and_record_access_date,publication_date_unavailable_access_date_only,yes,yes,provisional source-log merge observed; retain ai_seeded status and complete HR-030 metadata/archive review before formal claim use
NW2FS025,https://miyakojima-tikasui.com/report_activity/2021-10-08-04.pdf,1,NW2-C_registry_gate,NW2-C_registry_gate:RV2SP004,RV2C001,https://miyakojima-tikasui.com/report_activity/2021-10-08-04.pdf,unique_proposed_new,no,no,,not_applicable,S270,proposal_only_not_reserved,postmerge_provisional_batch_match,295,S270,archived,水道水源保全区域を宮古島市全域に拡大する理由,宮古島地下水研究会,organization_policy_document,organization_program_document,mechanical_vocabulary_normalization,2021-10-08,2021,complete_year_or_date,"p.1, items 1 and 3-5",complete,A dated ordinance/monitoring proposal explicitly covering SDF-facility wastewater risks,E3,E3,Policy advocacy evidence; it does not independently verify the asserted environmental risk level.,stated_environmental_risk_not_proven_contamination;administrative_contact_not_agreement,pass_no_approval_and_caveat_present,no,eligible_http_archive;provisional_index_does_not_require_success,no_specific_flag;domain_history=2_archived_0_failed,,no,no,provisional source-log merge observed; retain ai_seeded status and complete HR-030 metadata/archive review before formal claim use
NW2FS026,https://www.city.miyakojima.lg.jp/kurashi/seikatsu/kankyohozen/files/tikasui.pdf,1,NW2-C_registry_gate,NW2-C_registry_gate:RV2SP005,RV2C001,https://www.city.miyakojima.lg.jp/kurashi/seikatsu/kankyohozen/files/tikasui.pdf,unique_proposed_new,no,no,,not_applicable,S271,proposal_only_not_reserved,postmerge_provisional_batch_match,295,S271,archived,宮古島地下水研究会の見解に対する回答書,宮古島市,municipal_official_response,local_official,mechanical_vocabulary_normalization,2023-02,2023,complete_year_or_date,title and response sections,needs_pinpoint,Independent municipal recognition of the group as a repeated administrative interlocutor,E4,E4,"Supports identity and recipient-side procedure, not agreement with the group's scientific interpretation.",stated_environmental_risk_not_proven_contamination;administrative_contact_not_agreement,pass_no_approval_and_caveat_present,no,eligible_http_archive;provisional_index_does_not_require_success,no_specific_flag;domain_history=4_archived_0_failed,pdf_locator_needs_page_pinpoint,yes,no,provisional source-log merge observed; retain ai_seeded status and complete HR-030 metadata/archive review before formal claim use
NW2FS027,https://ryukyushimpo.jp/news/entry-1254033.html,1,NW2-C_registry_gate,NW2-C_registry_gate:RV2SP006,RV2C001,https://ryukyushimpo.jp/news/entry-1254033.html,unique_proposed_new,no,no,,not_applicable,S272,proposal_only_not_reserved,postmerge_provisional_batch_match,295,S272,archived,宮古島の地下水施策 市長選立候補予定者の回答公表,琉球新報,local_news,local_news,already_in_current_vocabulary,2020-12-27,2020,complete_year_or_date,lead naming three co-representatives and three-question questionnaire,complete,"Independent 2020 identity, leadership and local-policy intervention",E3,E3,"An election questionnaire is a dated public intervention, not proof of later policy effect.",stated_environmental_risk_not_proven_contamination;administrative_contact_not_agreement,pass_no_approval_and_caveat_present,no,eligible_http_archive;provisional_index_does_not_require_success,no_specific_flag;domain_history=14_archived_1_failed,,no,no,provisional source-log merge observed; retain ai_seeded status and complete HR-030 metadata/archive review before formal claim use
NW2FS028,https://www.city.ginowan.lg.jp/material/files/group/61/hukusi_202212.pdf,1,NW2-C_registry_gate,NW2-C_registry_gate:RV2SP007,RV2C002,https://www.city.ginowan.lg.jp/material/files/group/61/hukusi_202212.pdf,unique_proposed_new,no,no,,not_applicable,S273,proposal_only_not_reserved,postmerge_provisional_batch_match,295,S273,archived,宜野湾市議会 福祉教育常任委員会審査記録（請願第1号）,宜野湾市議会,municipal_legislative_record,official_legislative_record,mechanical_vocabulary_normalization,2022-12 hearings; report dated 2023-08-31,2023,multiple_record_dates,"pp.5-8, especially testimony naming 町田直美・仲松典子 and activity history",complete,"Exact identity, named co-representatives, PFAS work history and health-investigation request",E4,E4,The testimony says work began with the 2016 PFOS disclosure; it does not give a precise legal formation date.,PFAS_health_or_source_causality_not_inferred;request_or_coparticipation_not_partnership,pass_no_approval_and_caveat_present,no,eligible_http_archive;provisional_index_does_not_require_success,no_specific_flag;domain_not_yet_in_manifest,hearing_date_vs_report_date_choose_source_log_year,yes,no,provisional source-log merge observed; retain ai_seeded status and complete HR-030 metadata/archive review before formal claim use
