matrix_row_id,case_id,case_short_label,case_name,place,jurisdiction,channel_type,procedure_type,start_date,end_or_decision_date,target_actor_or_institution,controversy_translation,procedural_entry,role_id,entity_ref,entity_boundary,entity_kind,actor_name,role,role_family,side,target_or_recipient,observed_procedure_output,relief_or_disposition,result_component_1,result_component_2,result_boundary,case_source_refs,role_source_refs,case_evidence_level,role_evidence_level,case_review_status,role_review_status,human_decision,case_interpretation_limit,role_interpretation_limit
R8M011,R8C03,第三次嘉手纳噪音,Third Kadena Air Base noise injunction litigation,Kadena; Chatan; Okinawa City,Japan; Naha District Court Okinawa Branch; Fukuoka High Court Naha Branch,noise_civil_litigation,injunction and damages litigation against Japan,2011-04,2019-09-11,Government of Japan,航空器噪音与日常负担 → 人格／生活损害,日本民事差止与过去／未来损害赔偿诉讼,R8R011,P8E003,provisional_procedural_node,procedural_collective,Kadena-area resident plaintiffs,plaintiff,plaintiff,claimant,Government of Japan,符合条件的过去噪音损害赔偿获维持,运营／噪音差止及未来损害请求被驳回,获得：部分过去损害赔偿,未获得：差止与未来损害救济,赔偿不表示噪音停止；A052 不代表所有个体或其他轮次成员恒定。,S133;S134,S133,E4,E4,human_checked,human_checked,accept,"HR-014 human check: the resident-plaintiff claims and case-specific outcome are accepted. A052 is accepted as the Third Kadena plaintiff-group crosswalk, but individual membership and participant identity must not be generalized across litigation rounds. The Third Kadena counsel group remains a role-table procedural collective and is not an actor-registry entry.",Individual plaintiffs are represented as a collective procedural role; no person registry is created.
R8M012,R8C03,第三次嘉手纳噪音,Third Kadena Air Base noise injunction litigation,Kadena; Chatan; Okinawa City,Japan; Naha District Court Okinawa Branch; Fukuoka High Court Naha Branch,noise_civil_litigation,injunction and damages litigation against Japan,2011-04,2019-09-11,Government of Japan,航空器噪音与日常负担 → 人格／生活损害,日本民事差止与过去／未来损害赔偿诉讼,R8R012,A052,registered_actor,registered_actor,嘉手納爆音訴訟原告団,plaintiff_group,plaintiff,claimant,Government of Japan,符合条件的过去噪音损害赔偿获维持,运营／噪音差止及未来损害请求被驳回,获得：部分过去损害赔偿,未获得：差止与未来损害救济,赔偿不表示噪音停止；A052 不代表所有个体或其他轮次成员恒定。,S133;S134,S134,E4,E3,human_checked,human_checked,accept,"HR-014 human check: the resident-plaintiff claims and case-specific outcome are accepted. A052 is accepted as the Third Kadena plaintiff-group crosswalk, but individual membership and participant identity must not be generalized across litigation rounds. The Third Kadena counsel group remains a role-table procedural collective and is not an actor-registry entry.",HR-014: A052 is accepted as the case-specific plaintiff-group crosswalk. Do not infer that every named resident was a formal member or that participant identity is constant across rounds.
R8M013,R8C03,第三次嘉手纳噪音,Third Kadena Air Base noise injunction litigation,Kadena; Chatan; Okinawa City,Japan; Naha District Court Okinawa Branch; Fukuoka High Court Naha Branch,noise_civil_litigation,injunction and damages litigation against Japan,2011-04,2019-09-11,Government of Japan,航空器噪音与日常负担 → 人格／生活损害,日本民事差止与过去／未来损害赔偿诉讼,R8R013,P8E004,provisional_procedural_node,procedural_collective,Third Kadena litigation counsel group,counsel,counsel,claimant,Government of Japan,符合条件的过去噪音损害赔偿获维持,运营／噪音差止及未来损害请求被驳回,获得：部分过去损害赔偿,未获得：差止与未来损害救济,赔偿不表示噪音停止；A052 不代表所有个体或其他轮次成员恒定。,S133;S134,S134,E4,E3,human_checked,human_checked,accept,"HR-014 human check: the resident-plaintiff claims and case-specific outcome are accepted. A052 is accepted as the Third Kadena plaintiff-group crosswalk, but individual membership and participant identity must not be generalized across litigation rounds. The Third Kadena counsel group remains a role-table procedural collective and is not an actor-registry entry.",HR-014: counsel role accepted as a Third Kadena procedural collective. No actor-registry entry or complete individual-lawyer roster is created.
R8M014,R8C03,第三次嘉手纳噪音,Third Kadena Air Base noise injunction litigation,Kadena; Chatan; Okinawa City,Japan; Naha District Court Okinawa Branch; Fukuoka High Court Naha Branch,noise_civil_litigation,injunction and damages litigation against Japan,2011-04,2019-09-11,Government of Japan,航空器噪音与日常负担 → 人格／生活损害,日本民事差止与过去／未来损害赔偿诉讼,R8R014,P8E005,provisional_procedural_node,public_institution,Government of Japan,defendant,defendant,respondent,Kadena resident plaintiffs,符合条件的过去噪音损害赔偿获维持,运营／噪音差止及未来损害请求被驳回,获得：部分过去损害赔偿,未获得：差止与未来损害救济,赔偿不表示噪音停止；A052 不代表所有个体或其他轮次成员恒定。,S133;S134,S133,E4,E4,human_checked,human_checked,accept,"HR-014 human check: the resident-plaintiff claims and case-specific outcome are accepted. A052 is accepted as the Third Kadena plaintiff-group crosswalk, but individual membership and participant identity must not be generalized across litigation rounds. The Third Kadena counsel group remains a role-table procedural collective and is not an actor-registry entry.",Does not imply operational control over every aircraft movement for injunction purposes.
R8M015,R8C04,普天间周边噪音,Futenma Airfield neighborhood noise damages litigation (2018/2020 joined actions),Futenma; Ginowan,Japan; Naha District Court Okinawa Branch,noise_civil_litigation,damages litigation under Special Civil Act Article 2,2018,2022-03-10,Government of Japan,航空器噪音与睡眠／健康负担 → 期间损害,2018／2020 并合损害赔偿诉讼,R8R015,P8E006,provisional_procedural_node,procedural_collective,Futenma-area resident plaintiffs,plaintiff,plaintiff,claimant,Government of Japan,法院命令日本向列名原告赔偿指定期间损害,其余请求被驳回；没有形成运营禁令,获得：部分原告、部分期间的损害赔偿,未获得：其余请求；本案不处理运营差止,A053 是案件特定 plaintiff group；并合案与其他轮次不等于人员完全相同。,S135;S136,S135,E4,E4,human_checked,human_checked,accept,"HR-014 human check: the resident-plaintiff claims and partial-damages outcome are accepted. A053 is accepted as the Futenma plaintiff-group crosswalk, but the two joined actions and other litigation rounds do not imply identical individual membership. Counsel and plaintiff group remain distinct roles.",Individual plaintiffs are not separately entered into the actor registry.
R8M016,R8C04,普天间周边噪音,Futenma Airfield neighborhood noise damages litigation (2018/2020 joined actions),Futenma; Ginowan,Japan; Naha District Court Okinawa Branch,noise_civil_litigation,damages litigation under Special Civil Act Article 2,2018,2022-03-10,Government of Japan,航空器噪音与睡眠／健康负担 → 期间损害,2018／2020 并合损害赔偿诉讼,R8R016,A053,registered_actor,registered_actor,普天間爆音訴訟団,plaintiff_group,plaintiff,claimant,Government of Japan,法院命令日本向列名原告赔偿指定期间损害,其余请求被驳回；没有形成运营禁令,获得：部分原告、部分期间的损害赔偿,未获得：其余请求；本案不处理运营差止,A053 是案件特定 plaintiff group；并合案与其他轮次不等于人员完全相同。,S135;S136,S136,E4,E3,human_checked,human_checked,accept,"HR-014 human check: the resident-plaintiff claims and partial-damages outcome are accepted. A053 is accepted as the Futenma plaintiff-group crosswalk, but the two joined actions and other litigation rounds do not imply identical individual membership. Counsel and plaintiff group remain distinct roles.",HR-014: A053 is accepted as the case-specific Futenma plaintiff-group crosswalk. The joined actions and other rounds do not imply identical individual membership.
R8M017,R8C04,普天间周边噪音,Futenma Airfield neighborhood noise damages litigation (2018/2020 joined actions),Futenma; Ginowan,Japan; Naha District Court Okinawa Branch,noise_civil_litigation,damages litigation under Special Civil Act Article 2,2018,2022-03-10,Government of Japan,航空器噪音与睡眠／健康负担 → 期间损害,2018／2020 并合损害赔偿诉讼,R8R017,P8E007,provisional_procedural_node,external_organization,沖縄合同法律事務所,counsel_secretariat,counsel,claimant,Government of Japan,法院命令日本向列名原告赔偿指定期间损害,其余请求被驳回；没有形成运营禁令,获得：部分原告、部分期间的损害赔偿,未获得：其余请求；本案不处理运营差止,A053 是案件特定 plaintiff group；并合案与其他轮次不等于人员完全相同。,S135;S136,S136,E4,E4,human_checked,human_checked,accept,"HR-014 human check: the resident-plaintiff claims and partial-damages outcome are accepted. A053 is accepted as the Futenma plaintiff-group crosswalk, but the two joined actions and other litigation rounds do not imply identical individual membership. Counsel and plaintiff group remain distinct roles.",HR-014: the office's counsel-secretariat role is accepted; it does not make the office the sole counsel or a plaintiff.
R8M018,R8C04,普天间周边噪音,Futenma Airfield neighborhood noise damages litigation (2018/2020 joined actions),Futenma; Ginowan,Japan; Naha District Court Okinawa Branch,noise_civil_litigation,damages litigation under Special Civil Act Article 2,2018,2022-03-10,Government of Japan,航空器噪音与睡眠／健康负担 → 期间损害,2018／2020 并合损害赔偿诉讼,R8R018,P8E005,provisional_procedural_node,public_institution,Government of Japan,defendant,defendant,respondent,Futenma resident plaintiffs,法院命令日本向列名原告赔偿指定期间损害,其余请求被驳回；没有形成运营禁令,获得：部分原告、部分期间的损害赔偿,未获得：其余请求；本案不处理运营差止,A053 是案件特定 plaintiff group；并合案与其他轮次不等于人员完全相同。,S135;S136,S135,E4,E4,human_checked,human_checked,accept,"HR-014 human check: the resident-plaintiff claims and partial-damages outcome are accepted. A053 is accepted as the Futenma plaintiff-group crosswalk, but the two joined actions and other litigation rounds do not imply identical individual membership. Counsel and plaintiff group remain distinct roles.",Case outcome concerns damages and does not establish an operational injunction.
R8M019,R8C05,石垣部署住民投票,Ishigaki GSDF-deployment referendum implementation litigation,Ishigaki; Hirae-Omata,Japan; Naha District Court,referendum_ordinance_administrative,inaction illegality confirmation and mandatory-order litigation,2019-09,2020-08-27,Mayor of Ishigaki; Ishigaki City,陆自部署争议 → 地方自治与住民投票实施义务,条例请求后进入不作为违法确认／义务付诉讼,R8R019,P8E008,provisional_procedural_node,procedural_collective,Ishigaki resident representatives and signatories,plaintiff,plaintiff,claimant,Ishigaki City,法院明确了义务付诉讼的行政处分门槛,因住民投票实施不属可义务付处分而全部驳回,前置步骤：条例请求与议会否决,司法处分：mandatory-order actions 程序性驳回,A011 是 requester／campaign body，不是具名组织原告；议会与市长步骤分开。,S137;S138;S139,S137,E4,E4,human_checked,human_checked,accept,"HR-014 human check: the mandatory-order dismissal and anonymized individual-plaintiff category are accepted. A011 is the referendum requester/campaign body, not a named organizational plaintiff. Council rejection and the mayoral implementation-duty claim are distinct procedural steps.",Do not infer organizational plaintiff status from individual participation.
R8M020,R8C05,石垣部署住民投票,Ishigaki GSDF-deployment referendum implementation litigation,Ishigaki; Hirae-Omata,Japan; Naha District Court,referendum_ordinance_administrative,inaction illegality confirmation and mandatory-order litigation,2019-09,2020-08-27,Mayor of Ishigaki; Ishigaki City,陆自部署争议 → 地方自治与住民投票实施义务,条例请求后进入不作为违法确认／义务付诉讼,R8R020,A011,registered_actor,registered_actor,石垣市住民投票を求める会,requester,requester,civic_campaign,Mayor of Ishigaki; Ishigaki City Council,法院明确了义务付诉讼的行政处分门槛,因住民投票实施不属可义务付处分而全部驳回,前置步骤：条例请求与议会否决,司法处分：mandatory-order actions 程序性驳回,A011 是 requester／campaign body，不是具名组织原告；议会与市长步骤分开。,S137;S138;S139,S138;S139,E4,E3,human_checked,human_checked,accept,"HR-014 human check: the mandatory-order dismissal and anonymized individual-plaintiff category are accepted. A011 is the referendum requester/campaign body, not a named organizational plaintiff. Council rejection and the mayoral implementation-duty claim are distinct procedural steps.",HR-014: A011 is accepted as requester/campaign body and is explicitly not a named organizational plaintiff without a pleading.
R8M021,R8C05,石垣部署住民投票,Ishigaki GSDF-deployment referendum implementation litigation,Ishigaki; Hirae-Omata,Japan; Naha District Court,referendum_ordinance_administrative,inaction illegality confirmation and mandatory-order litigation,2019-09,2020-08-27,Mayor of Ishigaki; Ishigaki City,陆自部署争议 → 地方自治与住民投票实施义务,条例请求后进入不作为违法确认／义务付诉讼,R8R021,P8E009,provisional_procedural_node,person,大井琢,counsel,counsel,claimant,Ishigaki City,法院明确了义务付诉讼的行政处分门槛,因住民投票实施不属可义务付处分而全部驳回,前置步骤：条例请求与议会否决,司法处分：mandatory-order actions 程序性驳回,A011 是 requester／campaign body，不是具名组织原告；议会与市长步骤分开。,S137;S138;S139,S139,E4,E4,human_checked,human_checked,accept,"HR-014 human check: the mandatory-order dismissal and anonymized individual-plaintiff category are accepted. A011 is the referendum requester/campaign body, not a named organizational plaintiff. Council rejection and the mayoral implementation-duty claim are distinct procedural steps.",HR-014: counsel role is limited to the related later status-confirmation phase and is not automatically transferred to every claim in the 2020 mandatory-order judgment.
R8M022,R8C05,石垣部署住民投票,Ishigaki GSDF-deployment referendum implementation litigation,Ishigaki; Hirae-Omata,Japan; Naha District Court,referendum_ordinance_administrative,inaction illegality confirmation and mandatory-order litigation,2019-09,2020-08-27,Mayor of Ishigaki; Ishigaki City,陆自部署争议 → 地方自治与住民投票实施义务,条例请求后进入不作为违法确认／义务付诉讼,R8R022,P8E010,provisional_procedural_node,public_institution_set,Ishigaki City and Mayor,defendant_and_target,defendant,respondent,Ishigaki residents,法院明确了义务付诉讼的行政处分门槛,因住民投票实施不属可义务付处分而全部驳回,前置步骤：条例请求与议会否决,司法处分：mandatory-order actions 程序性驳回,A011 是 requester／campaign body，不是具名组织原告；议会与市长步骤分开。,S137;S138;S139,S137,E4,E4,human_checked,human_checked,accept,"HR-014 human check: the mandatory-order dismissal and anonymized individual-plaintiff category are accepted. A011 is the referendum requester/campaign body, not a named organizational plaintiff. Council rejection and the mayoral implementation-duty claim are distinct procedural steps.",Council rejection and mayoral implementation duty are distinct institutional steps.
R8M023,R8C06,泡濑公金支出,Awase tidal-flat landfill public-funds resident litigation (first and second waves),Awase tidal flat; Okinawa City,Japan; Naha District Court; Fukuoka High Court Naha Branch; Supreme Court,resident_public_funds_litigation,resident audit and injunction against public expenditure/contracts for landfill and marine development,2005-05-20,2017-10-18,Governor of Okinawa; Mayor of Okinawa City,填海生态／经济／灾害风险 → 公共支出合法性与合理性,住民监查与地方自治法公金支出差止诉讼,R8R023,P8E011,provisional_procedural_node,procedural_collective,Awase resident plaintiffs,plaintiff,plaintiff,claimant,Governor of Okinawa; Mayor of Okinawa City,两波诉讼把生态争议转化为支出与裁量审查,第一波限制支出；第二波居民在上诉／最高裁阶段未获支持,第一波：无合理修订计划时限制未来支出,第二波：居民上诉败诉，2017 年上告／申请被驳回,两波相反结果必须分列；A055、A020 均为 supporter，不是本案组织原告／counsel。,S140;S141;S142;S143,S140;S142,E4,E4,human_checked,human_checked,accept,"HR-014 human check: first- and second-wave outcomes remain separate and must not be reduced to one win/loss. A055 and A020 are accepted as case-specific supporters/material hosts, not organizational plaintiffs or counsel. A020's plaintiff role in the Dugong case must not be generalized to the Awase case.",First- and second-wave plaintiff populations require separate person-level records if later needed.
R8M024,R8C06,泡濑公金支出,Awase tidal-flat landfill public-funds resident litigation (first and second waves),Awase tidal flat; Okinawa City,Japan; Naha District Court; Fukuoka High Court Naha Branch; Supreme Court,resident_public_funds_litigation,resident audit and injunction against public expenditure/contracts for landfill and marine development,2005-05-20,2017-10-18,Governor of Okinawa; Mayor of Okinawa City,填海生态／经济／灾害风险 → 公共支出合法性与合理性,住民监查与地方自治法公金支出差止诉讼,R8R024,P8E012,provisional_procedural_node,procedural_collective,Awase litigation counsel group,counsel,counsel,claimant,Governor of Okinawa; Mayor of Okinawa City,两波诉讼把生态争议转化为支出与裁量审查,第一波限制支出；第二波居民在上诉／最高裁阶段未获支持,第一波：无合理修订计划时限制未来支出,第二波：居民上诉败诉，2017 年上告／申请被驳回,两波相反结果必须分列；A055、A020 均为 supporter，不是本案组织原告／counsel。,S140;S141;S142;S143,S142,E4,E4,human_checked,human_checked,accept,"HR-014 human check: first- and second-wave outcomes remain separate and must not be reduced to one win/loss. A055 and A020 are accepted as case-specific supporters/material hosts, not organizational plaintiffs or counsel. A020's plaintiff role in the Dugong case must not be generalized to the Awase case.",The statement does not provide a full attorney roster.
R8M025,R8C06,泡濑公金支出,Awase tidal-flat landfill public-funds resident litigation (first and second waves),Awase tidal flat; Okinawa City,Japan; Naha District Court; Fukuoka High Court Naha Branch; Supreme Court,resident_public_funds_litigation,resident audit and injunction against public expenditure/contracts for landfill and marine development,2005-05-20,2017-10-18,Governor of Okinawa; Mayor of Okinawa City,填海生态／经济／灾害风险 → 公共支出合法性与合理性,住民监查与地方自治法公金支出差止诉讼,R8R025,A055,registered_actor,registered_actor,泡瀬干潟を守る連絡会,supporter,supporter,movement_support,Awase resident litigation,两波诉讼把生态争议转化为支出与裁量审查,第一波限制支出；第二波居民在上诉／最高裁阶段未获支持,第一波：无合理修订计划时限制未来支出,第二波：居民上诉败诉，2017 年上告／申请被驳回,两波相反结果必须分列；A055、A020 均为 supporter，不是本案组织原告／counsel。,S140;S141;S142;S143,S142,E4,E3,human_checked,human_checked,accept,"HR-014 human check: first- and second-wave outcomes remain separate and must not be reduced to one win/loss. A055 and A020 are accepted as case-specific supporters/material hosts, not organizational plaintiffs or counsel. A020's plaintiff role in the Dugong case must not be generalized to the Awase case.","HR-014: A055 is a case-specific supporter, not an organizational plaintiff or counsel."
