evidence_id,object_type,object_id,claim,source_id,evidence_summary_or_short_quote,source_locator,evidence_level,reviewer_status,notes,review_decision,human_reviewer,review_date,review_task_id,locator_status,interpretation_limit
EN0030,actor_event_role,AEV0058,The U.S. Department of Defense was the defendant institution.,S129,The official Ninth Circuit opinion caption names the U.S. Department of Defense among Defendants-Appellees.,"source_docs/source_archive/S129/raw.pdf — opinion p. 1 (PDF index 0), caption",E4,human_checked,HR-015 role and exact opinion locator confirmed against Ninth Circuit opinion No. 18-16836 (S129).,revise,project_principal_user,2026-07-13,HR-015,verified_exact_page,Defendant role only; keep defendant and plaintiff roles distinct.
EN0031,actor_event_role,AEV0059,SDCC A002 was not a named plaintiff in the caption.,S060,The named-party material distinguishes Save the Dugong Foundation from SDCC advocacy activity.,source_docs/source_archive/S060/raw.html — lawsuit press release and named parties/counsel,E3,human_checked,HR-015 human review retained the negative party-role boundary.,revise,project_principal_user,2026-07-13,HR-015,verified_as_cited,The organization is not a named plaintiff in the cited caption; person-level participation must not be transferred to an organization.
EN0032,actor_event_role,AEV0060,A019 was not a named organizational plaintiff.,S060,The named-party material lists individual Okinawan plaintiffs but not A019 as an organization.,source_docs/source_archive/S060/raw.html — lawsuit press release and named parties/counsel,E3,human_checked,Person-level overlap must not be transferred to the organization.,revise,project_principal_user,2026-07-13,HR-015,verified_as_cited,The organization is not a named plaintiff in the cited caption; person-level participation must not be transferred to an organization.
EN0033,funding_support_edge,F012,"The Okinawa Youth Council document is an opportunity, not proof of an award.",S056,The official NOFO states an open funding opportunity and eligibility; no recipient is identified in this record.,source_docs/source_archive/S056/raw.pdf — NOFO award range/eligibility sections; exact PDF page needs pinpointing,E4,human_checked,Do not infer an Okinawa NGO recipient.; HR-015: user requested no guessed page/section; exact locator remains pending.,revise,project_principal_user,2026-07-13,HR-015,needs_locator_revision,"Retain the row's stated relation type and confidence only: an opportunity, project cost, sponsorship, membership, service, or in-kind item is not movement funding or a contract payment unless the cited record says so."
EN0034,funding_support_edge,F021,OESC made a dated donation to USO Okinawa.,S053,"The report gives a December 2025 donation of USD 3,250.",source_docs/source_archive/S053/raw.html — donation amount/date paragraph,E4,human_checked,Upstream edge and this evidence note were human-reviewed under HR-015.,revise,project_principal_user,2026-07-13,HR-015,verified_as_cited,"Retain the row's stated relation type and confidence only: an opportunity, project cost, sponsorship, membership, service, or in-kind item is not movement funding or a contract payment unless the cited record says so."
EN0035,funding_support_edge,F026,AWWA supported a named USO Kinser kitchen-refresh project.,S077,The USO story identifies an AWWA grant for the Kinser kitchen refresh.,source_docs/source_archive/S077/raw.html — USO Kinser kitchen-refresh grant story,E3,human_checked,Amount is not established in this source.,revise,project_principal_user,2026-07-13,HR-015,verified_as_cited,"Retain the row's stated relation type and confidence only: an opportunity, project cost, sponsorship, membership, service, or in-kind item is not movement funding or a contract payment unless the cited record says so."
EN0036,funding_support_edge,F027,"AWWA has a reported aggregate donation history, not an annual recipient table.",S078,The article reports an aggregate long-term donation amount to Okinawa welfare facilities.,source_docs/source_archive/S078/raw_manual.html — aggregate donation-history article,E3,human_checked,Do not convert aggregate history into named annual edges.,revise,project_principal_user,2026-07-13,HR-015,verified_as_cited,"Retain the row's stated relation type and confidence only: an opportunity, project cost, sponsorship, membership, service, or in-kind item is not movement funding or a contract payment unless the cited record says so."
EN0037,funding_support_edge,F028,AWWA donated a wheelchair van to a named Yomitan facility.,S094,"The report names the recipient facility, the wheelchair van and a reported two-million-yen value.","source_docs/source_archive/S094/raw.html — recipient, item and amount paragraph",E3,human_checked,Military public-affairs source.,revise,project_principal_user,2026-07-13,HR-015,verified_as_cited,"Retain the row's stated relation type and confidence only: an opportunity, project cost, sponsorship, membership, service, or in-kind item is not movement funding or a contract payment unless the cited record says so."
EN0038,funding_support_edge,F031,ONC’s FY2024 report lists the MOFA NGO-consultant project and project cost.,S099,The statutory report records the NGO-consultant activity and a JPY 2.894m project cost.,source_docs/source_archive/S099/raw.pdf — FY2024 project statements/costs; project pages need human pinpointing,E4,human_checked,Project cost is not automatically contract payment or movement funding.; HR-015: user requested no guessed page/section; exact locator remains pending.,revise,project_principal_user,2026-07-13,HR-015,needs_locator_revision,"Retain the row's stated relation type and confidence only: an opportunity, project cost, sponsorship, membership, service, or in-kind item is not movement funding or a contract payment unless the cited record says so."
EN0039,funding_support_edge,F032,ONC’s FY2024 report lists a prefectural multicultural project and project cost.,S099,The statutory report records the prefecture-commissioned project and a JPY 5.53m project cost.,source_docs/source_archive/S099/raw.pdf — FY2024 project statements/costs; project pages need human pinpointing,E4,human_checked,Project cost is not automatically cash paid.; HR-015: user requested no guessed page/section; exact locator remains pending.,revise,project_principal_user,2026-07-13,HR-015,needs_locator_revision,"Retain the row's stated relation type and confidence only: an opportunity, project cost, sponsorship, membership, service, or in-kind item is not movement funding or a contract payment unless the cited record says so."
EN0040,funding_support_edge,F033,ONC’s FY2024 report lists the Okinawa City KIP management project and cost.,S099,The statutory report records the city-commissioned program and a JPY 16.04m project cost.,source_docs/source_archive/S099/raw.pdf — FY2024 project statements/costs; project pages need human pinpointing,E4,human_checked,"Administrative service relation, not anti-base movement funding.; HR-015: user requested no guessed page/section; exact locator remains pending.",revise,project_principal_user,2026-07-13,HR-015,needs_locator_revision,"Retain the row's stated relation type and confidence only: an opportunity, project cost, sponsorship, membership, service, or in-kind item is not movement funding or a contract payment unless the cited record says so."
EN0041,funding_support_edge,F002,AEC has a documented long-running USO relationship and named donation/project activity.,S098,"The report describes a 52-year relationship, the Camp Schwab center project and a USD 16,000 donation.","source_docs/source_archive/S098/raw.html — AEC partnership, project and donation paragraph",E4,human_checked,,revise,project_principal_user,2026-07-13,HR-015,verified_as_cited,"Retain the row's stated relation type and confidence only: an opportunity, project cost, sponsorship, membership, service, or in-kind item is not movement funding or a contract payment unless the cited record says so."
EN0042,funding_support_edge,F034,MBC appears in a named USO sponsor tier.,S097,The USO page lists MBC as a Platinum sponsor.,source_docs/source_archive/S097/raw.html — sponsor tiers and center list,E3,human_checked,Sponsor tier does not establish amount or year.,revise,project_principal_user,2026-07-13,HR-015,verified_as_cited,"Retain the row's stated relation type and confidence only: an opportunity, project cost, sponsorship, membership, service, or in-kind item is not movement funding or a contract payment unless the cited record says so."
EN0043,funding_support_edge,F035,Matson appears as a USO Mission Partner.,S097,The USO page lists Matson in the Mission Partner tier.,source_docs/source_archive/S097/raw.html — sponsor tiers and center list,E3,human_checked,Sponsor tier does not establish amount or year.,revise,project_principal_user,2026-07-13,HR-015,verified_as_cited,"Retain the row's stated relation type and confidence only: an opportunity, project cost, sponsorship, membership, service, or in-kind item is not movement funding or a contract payment unless the cited record says so."
EN0044,funding_support_edge,F036,NOSCO participated in a joint in-kind donation event.,S102,The report names NOSCO among multiple contributors delivering three cooling fans to a childcare center.,"source_docs/source_archive/S102/raw.html — joint donors, recipient and donated items paragraph",E3,human_checked,Do not attribute the whole donation or value to NOSCO.,revise,project_principal_user,2026-07-13,HR-015,verified_as_cited,"Retain the row's stated relation type and confidence only: an opportunity, project cost, sponsorship, membership, service, or in-kind item is not movement funding or a contract payment unless the cited record says so."
EN0045,funding_support_edge,F006,NOSCO is an AWWA member club; membership is not funding.,S055,The NOSCO page identifies AWWA and its member-club structure.,source_docs/source_archive/S055/raw.html — AWWA member-club section,E4,human_checked,Upstream relation and this evidence note were human-reviewed under HR-015.,revise,project_principal_user,2026-07-13,HR-015,verified_as_cited,"Retain the row's stated relation type and confidence only: an opportunity, project cost, sponsorship, membership, service, or in-kind item is not movement funding or a contract payment unless the cited record says so."
EN0046,funding_support_edge,F011,ONC had a documented JICA contractor/collaboration role.,S100,The JICA report names ONC as contractor for the program/report work.,"source_docs/source_archive/S100/raw.pdf — p. 103 (PDF index 102), contractor attribution",E4,human_checked,Contractor role is confirmed; amount is not stated.,revise,project_principal_user,2026-07-13,HR-015,verified_as_cited,"Retain the row's stated relation type and confidence only: an opportunity, project cost, sponsorship, membership, service, or in-kind item is not movement funding or a contract payment unless the cited record says so."
EN0047,actor_place_edge,AP029,USO publicly lists a Camp Schwab center/service presence.,S097,The USO page lists Okinawa centers including Camp Schwab.,source_docs/source_archive/S097/raw.html — sponsor tiers and center list,E4,human_checked,Service presence does not imply a political stance.,revise,project_principal_user,2026-07-13,HR-015,verified_as_cited,Service-location evidence does not establish an anti-base or pro-base political stance.
EN0048,actor_issue_edge,AI055,AWWA functions as a spouse-club umbrella network.,S055,The official member page identifies the five-club umbrella structure.,source_docs/source_archive/S055/raw.html — AWWA member-club section,E4,human_checked,Umbrella membership is not evidence of specific grants.,revise,project_principal_user,2026-07-13,HR-015,verified_as_cited,"Observed functional or service role only; do not infer a political stance, stable alliance, or unrecorded funding relationship."
EN0049,actor_issue_edge,AI056,AWWA has a welfare/grantmaking role but incomplete annual recipient evidence.,S077,The USO story confirms one named grant project while not establishing a full annual recipient table.,source_docs/source_archive/S077/raw.html — USO Kinser kitchen-refresh grant story,E3,human_checked,,revise,project_principal_user,2026-07-13,HR-015,verified_as_cited,"Observed functional or service role only; do not infer a political stance, stable alliance, or unrecorded funding relationship."
