edge_id,actor_id,actor_name,actor_class,analysis_family_v1,origin_type,issue_id,issue_label,issue_group,relation_basis_original,temporal_scope_v1,temporal_scope_rule,source_ref,evidence_level,review_status,review_layer,analysis_inclusion,analysis_exclusion_reason,conclusion_eligibility,notes,interpretation_limit
AI013,A006,グリーンピース・ジャパン,domestic_japan_ngo,日本国内 NGO／声援,japan_domestic,I001,anti_base,base_politics,Henoko base construction opposition statement,event_specific,explicit statement/signatory/request/action marker,S003,E4,ai_seeded,candidate,active,,candidate_or_clue,Statement-based.,actor--issue evidence only; does not establish stable inter-organizational alliance
AI014,A007,ピースボート,domestic_japan_ngo,日本国内 NGO／声援,japan_domestic,I019,peace,peace_human_rights,Peace Boat Henoko statement,event_specific,explicit statement/signatory/request/action marker,S005,E4,ai_seeded,candidate,active,,candidate_or_clue,Peace movement bridge.,actor--issue evidence only; does not establish stable inter-organizational alliance
AI015,A007,ピースボート,domestic_japan_ngo,日本国内 NGO／声援,japan_domestic,I001,anti_base,base_politics,Peace Boat Henoko statement,event_specific,explicit statement/signatory/request/action marker,S005,E4,ai_seeded,candidate,active,,candidate_or_clue,Statement-based.,actor--issue evidence only; does not establish stable inter-organizational alliance
AI016,A007,ピースボート,domestic_japan_ngo,日本国内 NGO／声援,japan_domestic,I012,international_advocacy,transnational,ピースボート—international_advocacy 仅表示其在 2015 年 3 月 25 日作为国内外 31 个 NGO 紧急共同声明的赞同团体之一，参与边野古议题的跨组织公开倡议。,event_specific,human-reviewed scope_kind from central actor-issue edge,S005,E4,human_revised,human_reviewed,active,,human_reviewed_E3_E4,Bridge actor. HR-035 Batch 2 principal-confirmed factual review (HR035-B02-AI016).,actor--issue evidence only; does not establish stable inter-organizational alliance
AI017,A008,NGO非戦ネット,citizen_network,冲绳本地公民行动,japan_domestic,I019,peace,peace_human_rights,No-war/international-cooperation NGO network purpose,organizational_positioning,mission/purpose/sustained-role marker,S065;S066;S067,E4,human_revised,human_reviewed,active,,human_reviewed_E3_E4,HR-002 confirms peace/no-war as core purpose.,actor--issue evidence only; does not establish stable inter-organizational alliance
AI018,A008,NGO非戦ネット,citizen_network,冲绳本地公民行动,japan_domestic,I001,anti_base,base_politics,Henoko referendum solidarity statement context,event_specific,explicit statement/signatory/request/action marker,S064,E3,human_revised,human_reviewed,active,,human_reviewed_E3_E4,"HR-002: anti-base relation is statement/solidarity context, not local core activity or stable alliance.",actor--issue evidence only; does not establish stable inter-organizational alliance
AI019,A009,Earthjustice,international_advocacy_actor,跨国 NGO／国际倡议,us_origin,I011,legal,legal_policy,Earthjustice dugong litigation explainer,institutional_or_case_role,legal/service/program/support role marker,S009,E4,ai_seeded,candidate,active,,candidate_or_clue,Legal route.,actor--issue evidence only; does not establish stable inter-organizational alliance
AI020,A009,Earthjustice,international_advocacy_actor,跨国 NGO／国际倡议,us_origin,I004,dugong,environment,Earthjustice dugong litigation explainer,institutional_or_case_role,legal/service/program/support role marker,S009,E4,ai_seeded,candidate,active,,candidate_or_clue,Dugong protection.,actor--issue evidence only; does not establish stable inter-organizational alliance
AI021,A009,Earthjustice,international_advocacy_actor,跨国 NGO／国际倡议,us_origin,I012,international_advocacy,transnational,Earthjustice 的 international_advocacy 边只表示其作为冲绳儒艮案原告方 counsel，将边野古／儒艮争议带入美国联邦司法程序。,institutional_or_case_role,human-reviewed scope_kind from central actor-issue edge,S009;S128,E4,human_revised,human_reviewed,active,,human_reviewed_E3_E4,International advocacy actor. HR-035 batch 01 principal-confirmed factual freeze (HR035-B01-AI021).,actor--issue evidence only; does not establish stable inter-organizational alliance
AI022,A010,石垣島に軍事基地をつくらせない市民連絡会,citizen_network,冲绳本地公民行动,okinawa_local,I002,anti_military,security_politics,Ishigaki anti-base civic group named in local news,organizational_positioning,mission/purpose/sustained-role marker,S016;S017,E4,ai_seeded,candidate,active,,candidate_or_clue,Core Sakishima actor.,actor--issue evidence only; does not establish stable inter-organizational alliance
AI023,A010,石垣島に軍事基地をつくらせない市民連絡会,citizen_network,冲绳本地公民行动,okinawa_local,I006,groundwater,life_safety,Ishigaki construction halt request cites water/ecosystem concerns,event_specific,explicit statement/signatory/request/action marker,S017,E4,ai_seeded,candidate,active,,candidate_or_clue,Life-safety/environment frame.,actor--issue evidence only; does not establish stable inter-organizational alliance
AI024,A010,石垣島に軍事基地をつくらせない市民連絡会,citizen_network,冲绳本地公民行动,okinawa_local,I009,local_autonomy,governance,Ishigaki public debate/civic mobilization,organizational_positioning,human-reviewed scope_kind from central actor-issue edge,S016,E3,ai_seeded,candidate,active,,candidate_or_clue,Autonomy frame to verify.,actor--issue evidence only; does not establish stable inter-organizational alliance
AI025,A011,石垣市住民投票を求める会,citizen_group,冲绳本地公民行动,okinawa_local,I010,referendum,governance,石垣市住民投票を求める会是石垣陆自部署住民投票条例签名、直接请求及议会处理过程中的具名请求／推动组织。,institutional_or_case_role,human-reviewed scope_kind from central actor-issue edge,S018;S019,E3,human_checked,human_reviewed,active,,human_reviewed_E3_E4,Referendum actor. HR-035 batch 01 principal-confirmed factual freeze (HR035-B01-AI025).,actor--issue evidence only; does not establish stable inter-organizational alliance
AI026,A011,石垣市住民投票を求める会,citizen_group,冲绳本地公民行动,okinawa_local,I009,local_autonomy,governance,Resident vote framing,organizational_positioning,mission/purpose/sustained-role marker,S018;S019,E4,ai_seeded,candidate,active,,candidate_or_clue,Local autonomy frame.,actor--issue evidence only; does not establish stable inter-organizational alliance
AI027,A011,石垣市住民投票を求める会,citizen_group,冲绳本地公民行动,okinawa_local,I002,anti_military,security_politics,A011—anti_military 仅标记该会介入石垣陆自部署这一具体军事设施争议，并以住民投票直接请求推进市民表决。,institutional_or_case_role,human-reviewed scope_kind from central actor-issue edge,S018;S019,E3,human_checked,human_reviewed,active,,human_reviewed_E3_E4,Deployment issue. HR-035 batch 01 principal-confirmed factual freeze (HR035-B01-AI027).,actor--issue evidence only; does not establish stable inter-organizational alliance
AI028,A012,宮古島いのちの水を守ろう！,citizen_group,冲绳本地公民行动,okinawa_local,I006,groundwater,life_safety,Miyako water preservation frame,event_specific,human-reviewed scope_kind from central actor-issue edge,S020,E3,needs_second_source,candidate,active,,candidate_or_clue,Exact organization name needs review.,actor--issue evidence only; does not establish stable inter-organizational alliance
AI029,A012,宮古島いのちの水を守ろう！,citizen_group,冲绳本地公民行动,okinawa_local,I002,anti_military,security_politics,Miyako JSDF deployment opposition,event_specific,human-reviewed scope_kind from central actor-issue edge,S020,E3,needs_second_source,candidate,active,,candidate_or_clue,Confirm continuity.,actor--issue evidence only; does not establish stable inter-organizational alliance
AI030,A012,宮古島いのちの水を守ろう！,citizen_group,冲绳本地公民行动,okinawa_local,I007,life_safety,life_safety,Water/life-safety frame,event_specific,human-reviewed scope_kind from central actor-issue edge,S020,E3,needs_second_source,candidate,active,,candidate_or_clue,Life safety.,actor--issue evidence only; does not establish stable inter-organizational alliance
AI031,A013,ミサイル基地いらない宮古島住民連絡会,citizen_network,冲绳本地公民行动,okinawa_local,I002,anti_military,security_politics,Miyako anti-missile group,organizational_positioning,mission/purpose/sustained-role marker,S021,E4,ai_seeded,candidate,active,,candidate_or_clue,Core Miyako actor.,actor--issue evidence only; does not establish stable inter-organizational alliance
AI032,A013,ミサイル基地いらない宮古島住民連絡会,citizen_network,冲绳本地公民行动,okinawa_local,I006,groundwater,life_safety,Miyako groundwater/water concern,organizational_positioning,human-reviewed scope_kind from central actor-issue edge,S021,E3,ai_seeded,candidate,active,,candidate_or_clue,Source is party news; still actor seed.,actor--issue evidence only; does not establish stable inter-organizational alliance
AI033,A013,ミサイル基地いらない宮古島住民連絡会,citizen_network,冲绳本地公民行动,okinawa_local,I007,life_safety,life_safety,Missile/base life-safety concern,organizational_positioning,human-reviewed scope_kind from central actor-issue edge,S021,E3,ai_seeded,candidate,active,,candidate_or_clue,Needs local follow-up.,actor--issue evidence only; does not establish stable inter-organizational alliance
AI034,A014,住民投票を成功させるための実行委員会,executive_committee,冲绳本地公民行动,okinawa_local,I002,anti_military,security_politics,Yonaguni anti-deployment referendum committee lead,event_specific,human-reviewed scope_kind from central actor-issue edge,S069;S010;S070,E2,needs_local_retrieval,candidate,active,,candidate_or_clue,HR-003: replaces unsupported 与那国改革会議 seed; exact committee name and continuity need local confirmation.,actor--issue evidence only; does not establish stable inter-organizational alliance
AI035,A014,住民投票を成功させるための実行委員会,executive_committee,冲绳本地公民行动,okinawa_local,I009,local_autonomy,governance,Yonaguni referendum/direct-request and vote-process concerns,event_specific,explicit statement/signatory/request/action marker,S069;S010;S071,E2,needs_local_retrieval,candidate,active,,candidate_or_clue,HR-003: local autonomy relation retained as referendum committee lead; needs local/primary confirmation.,actor--issue evidence only; does not establish stable inter-organizational alliance
AI036,A015,与那国自衛隊配備反対意見広告実行委員会,executive_committee,冲绳本地公民行动,okinawa_local,I002,anti_military,security_politics,Anti-deployment opinion-ad committee,event_specific,human-reviewed scope_kind from central actor-issue edge,S015,E2,needs_local_retrieval,candidate,active,,candidate_or_clue,HR-003: S015 confirms name but is single party-media source; needs Yaeyama local cross-check.,actor--issue evidence only; does not establish stable inter-organizational alliance
AI037,A015,与那国自衛隊配備反対意見広告実行委員会,executive_committee,冲绳本地公民行动,okinawa_local,I009,local_autonomy,governance,Public opinion/ad action and referendum solidarity,event_specific,explicit statement/signatory/request/action marker,S015,E2,needs_local_retrieval,candidate,active,,candidate_or_clue,HR-003: local-autonomy relation is indirect through referendum/public-opinion action; needs local confirmation.,actor--issue evidence only; does not establish stable inter-organizational alliance
AI038,A016,与那国島の明るい未来を願うイソバの会,citizen_group,冲绳本地公民行动,okinawa_local,I008,health_risk,life_safety,Yonaguni health/life-safety concerns around deployment and exercises,mixed_or_unclear,human-reviewed scope_kind from central actor-issue edge,,E3,needs_second_source,excluded_history,excluded_history,edge_claim_status_unsupported,excluded_historical_record,HR-003: organization/activity cross-supported; founding/representatives still need local retrieval.,actor--issue evidence only; does not establish stable inter-organizational alliance
AI039,A016,与那国島の明るい未来を願うイソバの会,citizen_group,冲绳本地公民行动,okinawa_local,I002,anti_military,security_politics,Yonaguni deployment and joint-exercise concerns,organizational_positioning,human-reviewed scope_kind from central actor-issue edge,S052;S068,E3,human_checked,human_reviewed,active,,human_reviewed_E3_E4,HR-003: active civic opposition to deployment/exercises confirmed by blog and local news.,actor--issue evidence only; does not establish stable inter-organizational alliance
AI040,A017,沖縄対話プロジェクト,citizen_network,冲绳本地公民行动,okinawa_local,I018,Taiwan_contingency,security_politics,沖縄対話プロジェクト—Taiwan_contingency 表示其官方设立宗旨把防止“台湾有事／南西諸岛有事”和避免冲绳再次成为战场作为对话项目的核心问题框架。,organizational_positioning,human-reviewed scope_kind from central actor-issue edge,S022,E4,human_checked,human_reviewed,active,,human_reviewed_E3_E4,Recent security environment frame. HR-035 Batch 2 principal-confirmed factual review (HR035-B02-AI040).,actor--issue evidence only; does not establish stable inter-organizational alliance
AI041,A017,沖縄対話プロジェクト,citizen_network,冲绳本地公民行动,okinawa_local,I017,frontline_prevention,security_politics,Okinawa dialogue anti-war/frontline framing,organizational_positioning,mission/purpose/sustained-role marker,S022,E4,ai_seeded,candidate,active,,candidate_or_clue,Recent frontline-prevention frame.,actor--issue evidence only; does not establish stable inter-organizational alliance
AI042,A017,沖縄対話プロジェクト,citizen_network,冲绳本地公民行动,okinawa_local,I019,peace,peace_human_rights,沖縄対話プロジェクト—peace 表示其以跨越政治立场的市民对话、防止战争及推动和平国际社会为公开项目目的。,organizational_positioning,human-reviewed scope_kind from central actor-issue edge,S022,E4,human_checked,human_reviewed,active,,human_reviewed_E3_E4,Peace/anti-war. HR-035 Batch 2 principal-confirmed factual review (HR035-B02-AI042).,actor--issue evidence only; does not establish stable inter-organizational alliance
AI043,A018,ノーモア沖縄戦 命どぅ宝の会,citizen_group,冲绳本地公民行动,okinawa_local,I017,frontline_prevention,security_politics,No More Okinawa War public framing,organizational_positioning,mission/purpose/sustained-role marker,S023;S024,E4,ai_seeded,candidate,active,,candidate_or_clue,Recent anti-frontline actor.,actor--issue evidence only; does not establish stable inter-organizational alliance
AI044,A018,ノーモア沖縄戦 命どぅ宝の会,citizen_group,冲绳本地公民行动,okinawa_local,I018,Taiwan_contingency,security_politics,ノーモア沖縄戦 命どぅ宝の会—Taiwan_contingency 表示该会在 2021 年成立及 2022 年发足集会语境中，公开反对以“台湾有事”为前提使南西诸岛成为攻击据点。,organizational_positioning,human-reviewed scope_kind from central actor-issue edge,S023,E4,human_revised,human_reviewed,active,,human_reviewed_E3_E4,Current issue. HR-035 Batch 2 principal-confirmed factual review (HR035-B02-AI044).,actor--issue evidence only; does not establish stable inter-organizational alliance
AI045,A018,ノーモア沖縄戦 命どぅ宝の会,citizen_group,冲绳本地公民行动,okinawa_local,I019,peace,peace_human_rights,Anti-war framing,organizational_positioning,mission/purpose/sustained-role marker,S023,E4,ai_seeded,candidate,active,,candidate_or_clue,Peace/anti-war.,actor--issue evidence only; does not establish stable inter-organizational alliance
AI046,A019,ヘリ基地反対協議会（海上ヘリ基地建設反対・平和と名護市政民主化を求める協議会）,citizen_network,冲绳本地公民行动,okinawa_local,I001,anti_base,base_politics,Henoko on-site sit-in and maritime action,event_specific,explicit statement/signatory/request/action marker,S049;S008,E4,human_checked,human_reviewed,active,,human_reviewed_E3_E4,HR-004: official site supports direct action; joint statements are not stable alliance evidence.,actor--issue evidence only; does not establish stable inter-organizational alliance
AI047,A019,ヘリ基地反対協議会（海上ヘリ基地建設反対・平和と名護市政民主化を求める協議会）,citizen_network,冲绳本地公民行动,okinawa_local,I003,Henoko,place_issue,Henoko/Nago anti-heliport and on-site action,organizational_positioning,mission/purpose/sustained-role marker,S049;S050;S008,E4,human_checked,human_reviewed,active,,human_reviewed_E3_E4,HR-004: official site and structured secondary source support Henoko core role.,actor--issue evidence only; does not establish stable inter-organizational alliance
AI048,A020,日本環境法律家連盟（JELF）,lawyers_network,法律／制度程序,japan_domestic,I011,legal,legal_policy,JELF 的 legal 边按案件分列：冲绳儒艮案为具名组织原告／上诉人；泡濑公金支出诉讼仅为 supporter／正式材料承载者。,institutional_or_case_role,human-reviewed scope_kind from central actor-issue edge,S061;S128;S142,E4,human_revised,human_reviewed,active,,human_reviewed_E3_E4,Legal channel. HR-035 batch 01 principal-confirmed factual freeze (HR035-B01-AI048).,actor--issue evidence only; does not establish stable inter-organizational alliance
AI049,A020,日本環境法律家連盟（JELF）,lawyers_network,法律／制度程序,japan_domestic,I005,biodiversity,environment,JELF—biodiversity 仅表示其作为 2020 年 OEJP／MMC 冲绳儒艮请求与公民社会报告的公开参与者。,event_specific,human-reviewed scope_kind from central actor-issue edge,S006;S007,E4,human_checked,human_reviewed,active,,human_reviewed_E3_E4,Environmental law. HR-035 batch 01 principal-confirmed factual freeze (HR035-B01-AI049).,actor--issue evidence only; does not establish stable inter-organizational alliance
AI050,A020,日本環境法律家連盟（JELF）,lawyers_network,法律／制度程序,japan_domestic,I004,dugong,environment,JELF—dugong 包含两条分开的具名事实：冲绳儒艮案组织原告／上诉人角色，以及 2020 年 MMC 儒艮请求／报告参与。,institutional_or_case_role,human-reviewed scope_kind from central actor-issue edge,S061;S128;S006;S007,E4,human_revised,human_reviewed,active,,human_reviewed_E3_E4,Dugong issue. HR-035 batch 01 principal-confirmed factual freeze (HR035-B01-AI050).,actor--issue evidence only; does not establish stable inter-organizational alliance
AI051,X001,USO Okinawa,base_community_service_actor,基地社区服务／慈善,us_origin,I014,military_family_service,base_community,USO Okinawa service role,institutional_or_case_role,legal/service/program/support role marker,X001,E3,ai_seeded,candidate,active,,candidate_or_clue,Service actor; not movement stance.,actor--issue evidence only; does not establish stable inter-organizational alliance
AI052,X001,USO Okinawa,base_community_service_actor,基地社区服务／慈善,us_origin,I016,base_community_welfare,base_community,USO Okinawa sponsor/service network,institutional_or_case_role,legal/service/program/support role marker,X001,E3,ai_seeded,candidate,active,,candidate_or_clue,Service/welfare ecology.,actor--issue evidence only; does not establish stable inter-organizational alliance
AI053,X002,Phoenix Corporation / Phoenix Park Hotel,local_business_sponsor,资助／赞助／公共机构,corporate,I016,base_community_welfare,base_community,Donation to USO Okinawa,institutional_or_case_role,legal/service/program/support role marker,X002,E4,ai_seeded,candidate,active,,candidate_or_clue,Sponsor/donor actor.,actor--issue evidence only; does not establish stable inter-organizational alliance
AI054,X003,American Engineering Corporation AEC,corporate_sponsor,资助／赞助／公共机构,corporate,I016,base_community_welfare,base_community,Listed USO sponsor,institutional_or_case_role,legal/service/program/support role marker,X003,E3,ai_seeded,candidate,active,,candidate_or_clue,Amount/year needs check.,actor--issue evidence only; does not establish stable inter-organizational alliance
AI055,X004,American Welfare & Works Association (AWWA / 米国福祉事業協会),base_spouse_charity_network,基地社区服务／慈善,us_origin,I014,military_family_service,base_community,AWWA spouse-club umbrella network,organizational_positioning,mission/purpose/sustained-role marker,S041;S055;S072,E4,human_checked,human_reviewed,active,,human_reviewed_E3_E4,HR-005 confirms umbrella/member structure; not evidence of specific recipients.,actor--issue evidence only; does not establish stable inter-organizational alliance
AI056,X004,American Welfare & Works Association (AWWA / 米国福祉事業協会),base_spouse_charity_network,基地社区服务／慈善,us_origin,I016,base_community_welfare,base_community,AWWA grantmaking/welfare network,organizational_positioning,human-reviewed scope_kind from central actor-issue edge,S041;S055;S077;S078,E3,human_checked,human_reviewed,active,,human_reviewed_E3_E4,HR-005 confirms general welfare grantmaking; annual named recipient lists still need Form 990/records.,actor--issue evidence only; does not establish stable inter-organizational alliance
AI057,X005,Naval Officers' Spouses' Club of Okinawa NOSCO,base_spouse_club,基地社区服务／慈善,us_origin,I014,military_family_service,base_community,NOSCO spouse club / AWWA member relation,organizational_positioning,human-reviewed scope_kind from central actor-issue edge,S055,E4,human_checked,human_reviewed,active,,human_reviewed_E3_E4,HR-005 confirms NOSCO identity and AWWA membership; recipient records still need follow-up.,actor--issue evidence only; does not establish stable inter-organizational alliance
AI058,X006,Kadena Officers' Spouses' Club KOSC,base_spouse_club,基地社区服务／慈善,us_origin,I014,military_family_service,base_community,KOSC spouse club and Kadena Gift Corner charity role,institutional_or_case_role,legal/service/program/support role marker,S075;S076,E4,human_checked,human_reviewed,active,,human_reviewed_E3_E4,HR-005 confirms KOSC identity and tax record.,actor--issue evidence only; does not establish stable inter-organizational alliance
AI059,X007,Okinawa Enlisted Spouses' Club (OESC),base_spouse_club,基地社区服务／慈善,us_origin,I014,military_family_service,base_community,OESC spouse club/thrift shop and nonprofit record,institutional_or_case_role,legal/service/program/support role marker,S053;S054,E4,human_checked,human_reviewed,active,,human_reviewed_E3_E4,HR-005 confirms OESC 501c3 and named USO donation.,actor--issue evidence only; does not establish stable inter-organizational alliance
AI060,X008,American Red Cross Okinawa,base_community_service_actor,基地社区服务／慈善,us_origin,I014,military_family_service,base_community,Red Cross Okinawa volunteer/service role,institutional_or_case_role,legal/service/program/support role marker,X008,E4,ai_seeded,candidate,active,,candidate_or_clue,Service node.,actor--issue evidence only; does not establish stable inter-organizational alliance
AI061,X009,Navy-Marine Corps Relief Society Okinawa,base_community_service_actor,基地社区服务／慈善,us_origin,I014,military_family_service,base_community,NMCRS emergency assistance role,event_specific,explicit statement/signatory/request/action marker,X009,E4,ai_seeded,candidate,active,,candidate_or_clue,Service node.,actor--issue evidence only; does not establish stable inter-organizational alliance
AI062,X010,沖縄NGOセンター,local_international_cooperation_ngo,国际合作／公共外交,okinawa_local,I015,international_cooperation,external_network,MOFA NGO consultant/JICA relation,institutional_or_case_role,legal/service/program/support role marker,X010;X011,E4,ai_seeded,candidate,active,,candidate_or_clue,Institutional relation.,actor--issue evidence only; does not establish stable inter-organizational alliance
AI063,X010,沖縄NGOセンター,local_international_cooperation_ngo,国际合作／公共外交,okinawa_local,I013,public_diplomacy,external_network,International cooperation/development education adjacent,mixed_or_unclear,human-reviewed scope_kind from central actor-issue edge,,E3,needs_second_source,excluded_history,excluded_history,edge_claim_status_unsupported,excluded_historical_record,Use cautiously.,actor--issue evidence only; does not establish stable inter-organizational alliance
AI064,X011,JICA沖縄,public_institution_partner,资助／赞助／公共机构,public_institution,I015,international_cooperation,external_network,JICA Okinawa institutional role,institutional_or_case_role,legal/service/program/support role marker,X011,E4,ai_seeded,candidate,active,,candidate_or_clue,Institutional node.,actor--issue evidence only; does not establish stable inter-organizational alliance
AI065,X012,TOMODACHI Initiative,public_diplomacy_or_exchange_actor,国际合作／公共外交,mixed_or_network,I013,public_diplomacy,external_network,TOMODACHI public-private partnership,institutional_or_case_role,legal/service/program/support role marker,X012,E4,ai_seeded,candidate,active,,candidate_or_clue,Okinawa-specific link not yet confirmed.,actor--issue evidence only; does not establish stable inter-organizational alliance
AI066,X013,U.S. Consulate General Naha Okinawa Youth Council Program,public_diplomacy_grant_program,国际合作／公共外交,us_origin,I013,public_diplomacy,external_network,Okinawa Youth Council grant opportunity,institutional_or_case_role,legal/service/program/support role marker,X013,E3,needs_local_retrieval,candidate,active,,candidate_or_clue,Opportunity only; recipient unknown.,actor--issue evidence only; does not establish stable inter-organizational alliance
AI067,X014,NED National Endowment for Democracy,funder_or_intermediary,资助／赞助／公共机构,us_origin,I013,public_diplomacy,external_network,NED watchlist / democracy funding context,mixed_or_unclear,human-reviewed scope_kind from central actor-issue edge,,E2,rejected,excluded_history,excluded_history,edge_review_status_rejected,excluded_historical_record,No Okinawa recipient confirmed.,actor--issue evidence only; does not establish stable inter-organizational alliance
AI068,X015,Peace Winds Japan,international_ngo,跨国 NGO／国际倡议,japan_domestic,I015,international_cooperation,external_network,Peace Winds Japan USAID method sample,event_specific,human-reviewed scope_kind from central actor-issue edge,X015,E4,ai_seeded,excluded_history,excluded_history,edge_graph_eligibility_excluded,excluded_historical_record,No Okinawa issue link confirmed. 项目负责人确认：HR-019只批准了默认叙事排除等 scope 处理，actor—issue claim 本身没有逐行人审决定；review_status 仍归 ai_seeded，并继续排除于默认冲绳叙事。,actor--issue evidence only; does not establish stable inter-organizational alliance
AI069,A021,国際環境NGO FoE Japan,domestic_japan_ngo,日本国内 NGO／声援,japan_domestic,I005,biodiversity,environment,2015 NACSJ emergency statement signatory,event_specific,explicit statement/signatory/request/action marker,S004,E4,ai_seeded,candidate,active,,candidate_or_clue,Signatory seed.,actor--issue evidence only; does not establish stable inter-organizational alliance
AI070,A021,国際環境NGO FoE Japan,domestic_japan_ngo,日本国内 NGO／声援,japan_domestic,I001,anti_base,base_politics,Statement opposes Henoko base construction,event_specific,explicit statement/signatory/request/action marker,S004,E4,ai_seeded,candidate,active,,candidate_or_clue,Signatory relation; not stable alliance.,actor--issue evidence only; does not establish stable inter-organizational alliance
AI071,A022,NPO法人 ラムサール・ネットワーク日本,domestic_japan_ngo,日本国内 NGO／声援,japan_domestic,I005,biodiversity,environment,2015 NACSJ emergency statement signatory,event_specific,explicit statement/signatory/request/action marker,S004,E4,ai_seeded,candidate,active,,candidate_or_clue,Signatory seed.,actor--issue evidence only; does not establish stable inter-organizational alliance
AI072,A022,NPO法人 ラムサール・ネットワーク日本,domestic_japan_ngo,日本国内 NGO／声援,japan_domestic,I001,anti_base,base_politics,Statement opposes Henoko base construction,event_specific,explicit statement/signatory/request/action marker,S004,E4,ai_seeded,candidate,active,,candidate_or_clue,Signatory relation.,actor--issue evidence only; does not establish stable inter-organizational alliance
