edge_id,actor_id,actor_name,actor_class,actor_origin_type,actor_review_status,place_id,place_name_original,place_name_registry,place_type,place_region,place_name_integrity,relation_basis_original,semantic_candidate_v1,semantic_candidate_zh,semantic_classification_basis,semantic_confidence,semantic_freeze_status,semantic_review_status,source_ref_original,evidence_level_original,edge_review_status_original,edge_review_layer,analysis_inclusion,claim_status,graph_eligibility,approved_formulation,confirmed_scope,missing_scope,dossier_place,interpretation_limit,notes_original
AP011,A007,ピースボート,domestic_japan_ngo,japan_domestic,ai_seeded,P002,Henoko,Henoko,site,Nago,match,Peace Boat Henoko statement,advocacy_target,倡议／争议对象,"place is the object or issue geography of advocacy, litigation, statement, or solidarity",high,mechanically_classified_candidate,ai_seeded_candidate,S005,E4,ai_seeded,candidate_edge,active,,,,,,,地点是公开诉求、声明、诉讼或声援的对象；不证明组织在当地设点、驻在或结盟。,Statement place.
AP012,A008,NGO非戦ネット,citizen_network,japan_domestic,human_revised,P001,Okinawa Prefecture,Okinawa Prefecture,prefecture,Okinawa,match,Henoko referendum solidarity statement context,advocacy_target,倡议／争议对象,"place is the object or issue geography of advocacy, litigation, statement, or solidarity",high,mechanically_classified_candidate,ai_seeded_candidate,S064,E3,human_revised,human_reviewed_edge,active,,,,,,,地点是公开诉求、声明、诉讼或声援的对象；不证明组织在当地设点、驻在或结盟。 HR-002 已限定为声明／声援语境，不是现场在场。,"HR-002: Okinawa relation is statement/solidarity context, not site presence."
AP013,A009,Earthjustice,international_advocacy_actor,us_origin,ai_seeded,P002,Henoko,Henoko,site,Nago,match,Earthjustice dugong litigation explainer,advocacy_target,倡议／争议对象,"place is the object or issue geography of advocacy, litigation, statement, or solidarity",high,mechanically_classified_candidate,ai_seeded_candidate,S009,E4,ai_seeded,candidate_edge,active,,,,,,,地点是公开诉求、声明、诉讼或声援的对象；不证明组织在当地设点、驻在或结盟。,Legal place.
AP014,A009,Earthjustice,international_advocacy_actor,us_origin,ai_seeded,P003,Oura Bay,Oura Bay,site,Nago,match,Earthjustice dugong litigation explainer,advocacy_target,倡议／争议对象,"place is the object or issue geography of advocacy, litigation, statement, or solidarity",high,mechanically_classified_candidate,ai_seeded_candidate,S009,E4,ai_seeded,candidate_edge,active,,,,,,,地点是公开诉求、声明、诉讼或声援的对象；不证明组织在当地设点、驻在或结盟。,Dugong habitat place.
AP015,A010,石垣島に軍事基地をつくらせない市民連絡会,citizen_network,okinawa_local,human_revised,P012,Ishigaki City,Ishigaki City,municipality,Sakishima,match,Local news names Ishigaki civic network,site_presence,持续活动／服务在场,"edge text describes recurring activity, service, chapter, monitoring, or local organizational presence",high,mechanically_classified_candidate,ai_seeded_candidate,S016;S017,E4,ai_seeded,candidate_edge,active,,,,,,Ishigaki,候选仅表示公开活动、服务或网络节点在场；不等于总部、法定登记地、稳定联盟或政治立场。,Core Sakishima place.
AP016,A011,石垣市住民投票を求める会,citizen_group,okinawa_local,human_checked,P012,Ishigaki City,Ishigaki City,municipality,Sakishima,match,Ishigaki referendum campaign,event_site,事件／程序场域,"edge text locates a bounded referendum, campaign, request, or mobilization process",high,mechanically_classified_candidate,ai_seeded_candidate,S018;S019,E4,ai_seeded,candidate_edge,active,,,,,,Ishigaki,候选仅表示特定活动／公投／程序的发生场域；不外推为长期据点或持续组织能力。,Core Sakishima place.
AP017,A012,宮古島いのちの水を守ろう！,citizen_group,okinawa_local,needs_second_source,P013,Miyakojima City,Miyakojima City,municipality,Sakishima,match,Miyako water/deployment local news,site_presence,持续活动／服务在场,"edge text describes recurring activity, service, chapter, monitoring, or local organizational presence",high,mechanically_classified_candidate,ai_seeded_candidate,S020,E3,needs_second_source,candidate_edge,active,,,,,,Miyako,候选仅表示公开活动、服务或网络节点在场；不等于总部、法定登记地、稳定联盟或政治立场。,Exact name/continuity needs review.
AP018,A013,ミサイル基地いらない宮古島住民連絡会,citizen_network,okinawa_local,ai_seeded,P013,Miyakojima City,Miyakojima City,municipality,Sakishima,match,Miyako anti-missile group,site_presence,持续活动／服务在场,"edge text describes recurring activity, service, chapter, monitoring, or local organizational presence",high,mechanically_classified_candidate,ai_seeded_candidate,S021,E4,ai_seeded,candidate_edge,active,,,,,,Miyako,候选仅表示公开活动、服务或网络节点在场；不等于总部、法定登记地、稳定联盟或政治立场。,Core Sakishima place.
AP019,A014,住民投票を成功させるための実行委員会,executive_committee,okinawa_local,needs_local_retrieval,P011,Yonaguni Town,Yonaguni Town,municipality,Sakishima,match,Yonaguni referendum committee lead,event_site,事件／程序场域,"edge text locates a bounded referendum, campaign, request, or mobilization process",high,mechanically_classified_candidate,ai_seeded_candidate,S069;S010;S071,E2,needs_local_retrieval,candidate_edge,active,,,,,,Yonaguni,候选仅表示特定活动／公投／程序的发生场域；不外推为长期据点或持续组织能力。,HR-003: A014 replaced with referendum committee; exact name/continuity need local confirmation.
AP020,A015,与那国自衛隊配備反対意見広告実行委員会,executive_committee,okinawa_local,needs_local_retrieval,P011,Yonaguni Town,Yonaguni Town,municipality,Sakishima,match,Yonaguni as solidarity target for Yaeyama opinion-ad committee,advocacy_target,倡议／争议对象,"place is the object or issue geography of advocacy, litigation, statement, or solidarity",high,mechanically_classified_candidate,ai_seeded_candidate,S015,E2,needs_local_retrieval,candidate_edge,active,,,,,,Yonaguni,地点是公开诉求、声明、诉讼或声援的对象；不证明组织在当地设点、驻在或结盟。 HR-003 指出该意见广告委员会主要由八重山／石垣侧推动；与那国是议题对象，不是办公室位置。,HR-003: committee appears Yaeyama/Ishigaki-led; Yonaguni is issue target not necessarily office location.
AP021,A016,与那国島の明るい未来を願うイソバの会,citizen_group,okinawa_local,human_checked,P011,Yonaguni Town,Yonaguni Town,municipality,Sakishima,match,Yonaguni civic group activity around deployment/exercises/life safety,site_presence,持续活动／服务在场,"edge text describes recurring activity, service, chapter, monitoring, or local organizational presence",high,mechanically_classified_candidate,ai_seeded_candidate,S052;S068,E3,human_checked,human_reviewed_edge,active,,,,,,Yonaguni,候选仅表示公开活动、服务或网络节点在场；不等于总部、法定登记地、稳定联盟或政治立场。,HR-003: organization/activity cross-supported; local details still need retrieval.
AP022,A017,沖縄対話プロジェクト,citizen_network,okinawa_local,ai_seeded,P001,Okinawa Prefecture,Okinawa Prefecture,prefecture,Okinawa,match,Okinawa dialogue project,site_presence,持续活动／服务在场,"edge text describes recurring activity, service, chapter, monitoring, or local organizational presence",human_confirmed,human_frozen,human_checked,S022,E4,human_checked,human_reviewed_edge,active,supported_bounded,administrative_record,A017 沖縄対話プロジェクト→P001 site_presence；执行 accept,A017 沖縄対話プロジェクト→P001 site_presence；执行 accept,"No headquarters, branch, alliance, political stance or causal effect beyond the approved place semantic.",,组织规约明确在名护设主事务所，并记录冲绳内连续对话活动；P001 只保留县域在场,Broad Okinawa actor.
AP023,A017,沖縄対話プロジェクト,citizen_network,okinawa_local,ai_seeded,P011,Yonaguni Town,Yonaguni Town,municipality,Sakishima,match,Ryukyu arc/frontline context includes Yonaguni,advocacy_target,倡议／争议对象,"place is the object or issue geography of advocacy, litigation, statement, or solidarity",high,mechanically_classified_candidate,ai_seeded_candidate,S022,E3,ai_seeded,candidate_edge,active,,,,,,Yonaguni,地点是公开诉求、声明、诉讼或声援的对象；不证明组织在当地设点、驻在或结盟。,Confirm if used centrally.
AP024,A018,ノーモア沖縄戦 命どぅ宝の会,citizen_group,okinawa_local,ai_seeded,P001,Okinawa Prefecture,Okinawa Prefecture,prefecture,Okinawa,match,No More Okinawa War organization site,site_presence,持续活动／服务在场,"edge text describes recurring activity, service, chapter, monitoring, or local organizational presence",human_confirmed,human_frozen,human_checked,S023,E4,human_checked,human_reviewed_edge,active,supported_bounded,administrative_record,A018 ノーモア沖縄戦 命どぅ宝の会→P001 site_presence；执行 accept,A018 ノーモア沖縄戦 命どぅ宝の会→P001 site_presence；执行 accept,"No headquarters, branch, alliance, political stance or causal effect beyond the approved place semantic.",,官方网站持续记录冲绳县内活动并更新至 2026 年，足以支持县域在场,Broad Okinawa actor.
AP025,A018,ノーモア沖縄戦 命どぅ宝の会,citizen_group,okinawa_local,ai_seeded,P011,Yonaguni Town,Yonaguni Town,municipality,Sakishima,match,Ryukyu arc/frontline context,advocacy_target,倡议／争议对象,"place is the object or issue geography of advocacy, litigation, statement, or solidarity",high,mechanically_classified_candidate,ai_seeded_candidate,S023;S024,E3,ai_seeded,candidate_edge,active,,,,,,Yonaguni,地点是公开诉求、声明、诉讼或声援的对象；不证明组织在当地设点、驻在或结盟。,Confirm if used centrally.
AP026,A019,ヘリ基地反対協議会（海上ヘリ基地建設反対・平和と名護市政民主化を求める協議会）,citizen_network,okinawa_local,human_checked,P002,Henoko,Henoko,site,Nago,match,Henoko on-site sit-in and maritime action,site_presence,持续活动／服务在场,"edge text describes recurring activity, service, chapter, monitoring, or local organizational presence",high,mechanically_classified_candidate,ai_seeded_candidate,S049;S008,E4,human_checked,human_reviewed_edge,active,,,,,,,候选仅表示公开活动、服务或网络节点在场；不等于总部、法定登记地、稳定联盟或政治立场。,HR-004: official site supports Henoko site role; 2004 sit-in and maritime action.
AP027,A020,日本環境法律家連盟（JELF）,lawyers_network,japan_domestic,ai_seeded,P002,Henoko,Henoko,site,Nago,match,JELF/OEJP legal-environmental channel,advocacy_target,倡议／争议对象,"place is the object or issue geography of advocacy, litigation, statement, or solidarity",high,mechanically_classified_candidate,ai_seeded_candidate,S006;S007,E4,ai_seeded,candidate_edge,active,,,,,,,地点是公开诉求、声明、诉讼或声援的对象；不证明组织在当地设点、驻在或结盟。,Henoko issue.
AP028,A020,日本環境法律家連盟（JELF）,lawyers_network,japan_domestic,ai_seeded,P003,Oura Bay,Oura Bay,site,Nago,match,JELF/OEJP dugong/Oura Bay context,advocacy_target,倡议／争议对象,"place is the object or issue geography of advocacy, litigation, statement, or solidarity",high,mechanically_classified_candidate,ai_seeded_candidate,S006;S007,E4,ai_seeded,candidate_edge,active,,,,,,,地点是公开诉求、声明、诉讼或声援的对象；不证明组织在当地设点、驻在或结盟。,Oura Bay issue.
AP029,X001,USO Okinawa,base_community_service_actor,us_origin,ai_seeded,P006,Camp Schwab,Camp Schwab,base_site,Nago/Henoko,match,USO Okinawa base/service network,site_presence,持续活动／服务在场,"edge text describes recurring activity, service, chapter, monitoring, or local organizational presence",human_confirmed,human_frozen,human_checked,X001,E3,human_checked,human_reviewed_edge,active,supported_bounded,administrative_record,X001 USO Okinawa→Camp Schwab site_presence；执行 accept,X001 USO Okinawa→Camp Schwab site_presence；执行 accept,"No headquarters, branch, alliance, political stance or causal effect beyond the approved place semantic.",,USO Okinawa 官方页面确认 Camp Schwab Bldg. 3000 的常设中心、联系方式和服务,Service presence; exact center/program needs check.
AP030,X001,USO Okinawa,base_community_service_actor,us_origin,ai_seeded,P005,Kadena Air Base,Kadena Air Base,base_site,Kadena/Chatan/Okinawa City,match,USO Okinawa base/service network,site_presence,持续活动／服务在场,"edge text describes recurring activity, service, chapter, monitoring, or local organizational presence",high,mechanically_classified_candidate,ai_seeded_candidate,X001,E3,ai_seeded,candidate_edge,active,,,,,,,候选仅表示公开活动、服务或网络节点在场；不等于总部、法定登记地、稳定联盟或政治立场。,Service presence.
AP031,X001,USO Okinawa,base_community_service_actor,us_origin,ai_seeded,P007,Camp Foster,Camp Foster,base_site,Central Okinawa,match,USO Okinawa base/service network,site_presence,持续活动／服务在场,"edge text describes recurring activity, service, chapter, monitoring, or local organizational presence",high,mechanically_classified_candidate,ai_seeded_candidate,X001,E3,ai_seeded,candidate_edge,active,,,,,,,候选仅表示公开活动、服务或网络节点在场；不等于总部、法定登记地、稳定联盟或政治立场。,Service presence.
AP032,X001,USO Okinawa,base_community_service_actor,us_origin,ai_seeded,P008,Camp Hansen,Camp Hansen,base_site,Central/Northern Okinawa,match,USO Okinawa base/service network,site_presence,持续活动／服务在场,"edge text describes recurring activity, service, chapter, monitoring, or local organizational presence",high,mechanically_classified_candidate,ai_seeded_candidate,X001,E3,ai_seeded,candidate_edge,active,,,,,,,候选仅表示公开活动、服务或网络节点在场；不等于总部、法定登记地、稳定联盟或政治立场。,Service presence.
AP033,X001,USO Okinawa,base_community_service_actor,us_origin,ai_seeded,P009,Camp Kinser,Camp Kinser,base_site,Urasoe,match,USO Okinawa base/service network,site_presence,持续活动／服务在场,"edge text describes recurring activity, service, chapter, monitoring, or local organizational presence",high,mechanically_classified_candidate,ai_seeded_candidate,X001,E3,ai_seeded,candidate_edge,active,,,,,,,候选仅表示公开活动、服务或网络节点在场；不等于总部、法定登记地、稳定联盟或政治立场。,Service presence.
AP034,X001,USO Okinawa,base_community_service_actor,us_origin,ai_seeded,P010,MCAS Futenma,MCAS Futenma,base_site,Ginowan,match,USO Okinawa base/service network,site_presence,持续活动／服务在场,"edge text describes recurring activity, service, chapter, monitoring, or local organizational presence",high,mechanically_classified_candidate,ai_seeded_candidate,X001,E3,ai_seeded,candidate_edge,active,,,,,,,候选仅表示公开活动、服务或网络节点在场；不等于总部、法定登记地、稳定联盟或政治立场。,Service presence.
AP035,X002,Phoenix Corporation / Phoenix Park Hotel,local_business_sponsor,corporate,ai_seeded,P001,Okinawa Prefecture,Okinawa Prefecture,prefecture,Okinawa,match,Local business donation to USO Okinawa,site_presence,持续活动／服务在场,"edge text describes recurring activity, service, chapter, monitoring, or local organizational presence",human_confirmed,human_frozen,human_revised,X002,E4,human_revised,human_reviewed_edge,active,supported_bounded,administrative_record,X002 Phoenix Corporation / Phoenix Park Hotel→P001 unclear；执行 accept_with_revision：site_presence,X002 Phoenix Corporation / Phoenix Park Hotel→P001 unclear；执行 accept_with_revision：site_presence,"No headquarters, branch, alliance, political stance or causal effect beyond the approved place semantic.",,USO Okinawa 报道直接定位 Phoenix Park Hotel 在名护，并确认其属于 Phoenix Corporation；不得由捐赠反推企业总部,Local sponsor.
AP036,X003,American Engineering Corporation AEC,corporate_sponsor,corporate,ai_seeded,P018,Ginowan,Ginowan,municipality,Central Okinawa,match,USO Okinawa sponsor listing,headquarters,总部／办公室,"edge text explicitly locates a headquarters, office, or organizational base",human_confirmed,human_frozen,human_revised,X003,E3,human_revised,human_reviewed_edge,active,supported_bounded,administrative_record,X003 AEC→P001 unclear；执行 accept_with_revision：改键 P018 Ginowan、headquarters,X003 AEC→P001 unclear；执行 accept_with_revision：改键 P018 Ginowan、headquarters,"No headquarters, branch, alliance, political stance or causal effect beyond the approved place semantic.",,AEC 官方公司页明确“沖縄本社”位于宜野湾市大山,Local/base-related sponsor.
AP037,X004,American Welfare & Works Association (AWWA / 米国福祉事業協会),base_spouse_charity_network,us_origin,human_revised,P001,Okinawa Prefecture,Okinawa Prefecture,prefecture,Okinawa,match,AWWA Okinawa spouse-club umbrella network,site_presence,持续活动／服务在场,"edge text describes recurring activity, service, chapter, monitoring, or local organizational presence",human_confirmed,human_frozen,human_checked,S041;S055;S072,E4,human_checked,human_reviewed_edge,active,supported_bounded,administrative_record,X004 AWWA→P001 site_presence；执行 accept,X004 AWWA→P001 site_presence；执行 accept,"No headquarters, branch, alliance, political stance or causal effect beyond the approved place semantic.",,多个来源确认其由冲绳美军配偶组织组成、在冲绳定期协调及开展慈善活动,HR-005 confirms Okinawa base-community umbrella role.
AP038,X005,Naval Officers' Spouses' Club of Okinawa NOSCO,base_spouse_club,us_origin,human_checked,P001,Okinawa Prefecture,Okinawa Prefecture,prefecture,Okinawa,match,NOSCO Okinawa spouse club / AWWA member relation,site_presence,持续活动／服务在场,"edge text describes recurring activity, service, chapter, monitoring, or local organizational presence",human_confirmed,human_frozen,human_checked,S055,E4,human_checked,human_reviewed_edge,active,supported_bounded,administrative_record,X005 NOSCO→P001 site_presence；执行 accept,X005 NOSCO→P001 site_presence；执行 accept,"No headquarters, branch, alliance, political stance or causal effect beyond the approved place semantic.",,组织名、AWWA 成员身份及冲绳配偶会功能共同支持县域在场,HR-005 confirms member club; exact base-site specificity can be refined later.
AP039,X006,Kadena Officers' Spouses' Club KOSC,base_spouse_club,us_origin,human_checked,P005,Kadena Air Base,Kadena Air Base,base_site,Kadena/Chatan/Okinawa City,match,KOSC Kadena spouse club and Kadena Gift Corner,site_presence,持续活动／服务在场,"edge text describes recurring activity, service, chapter, monitoring, or local organizational presence",high,mechanically_classified_candidate,ai_seeded_candidate,S075;S076,E4,human_checked,human_reviewed_edge,active,,,,,,,候选仅表示公开活动、服务或网络节点在场；不等于总部、法定登记地、稳定联盟或政治立场。,HR-005 confirms Kadena base-community actor.
AP040,X007,Okinawa Enlisted Spouses' Club (OESC),base_spouse_club,us_origin,human_checked,P001,Okinawa Prefecture,Okinawa Prefecture,prefecture,Okinawa,match,OESC Okinawa thrift shop/nonprofit and AWWA member role,site_presence,持续活动／服务在场,"edge text describes recurring activity, service, chapter, monitoring, or local organizational presence",human_confirmed,human_frozen,human_checked,S053;S054;S055,E4,human_checked,human_reviewed_edge,active,supported_bounded,administrative_record,X007 OESC→P001 site_presence；执行 accept,X007 OESC→P001 site_presence；执行 accept,"No headquarters, branch, alliance, political stance or causal effect beyond the approved place semantic.",,捐赠报道、非营利记录及 AWWA 材料共同支持冲绳持续服务组织身份,HR-005 confirms OESC identity and USO donation.
AP041,X008,American Red Cross Okinawa,base_community_service_actor,us_origin,ai_seeded,P007,Camp Foster,Camp Foster,base_site,Central Okinawa,match,Red Cross volunteer program / U.S. Naval Hospital Okinawa,site_presence,持续活动／服务在场,"edge text describes recurring activity, service, chapter, monitoring, or local organizational presence",high,mechanically_classified_candidate,ai_seeded_candidate,X008,E4,ai_seeded,candidate_edge,active,,,,,,,候选仅表示公开活动、服务或网络节点在场；不等于总部、法定登记地、稳定联盟或政治立场。,Service place.
AP042,X009,Navy-Marine Corps Relief Society Okinawa,base_community_service_actor,us_origin,ai_seeded,P007,Camp Foster,Camp Foster,base_site,Central Okinawa,match,NMCRS emergency assistance office,site_presence,持续活动／服务在场,"edge text describes recurring activity, service, chapter, monitoring, or local organizational presence",high,mechanically_classified_candidate,ai_seeded_candidate,X009,E4,ai_seeded,candidate_edge,active,,,,,,,候选仅表示公开活动、服务或网络节点在场；不等于总部、法定登记地、稳定联盟或政治立场。,Service place.
AP043,X010,沖縄NGOセンター,local_international_cooperation_ngo,okinawa_local,ai_seeded,P014,JICA Okinawa,JICA Okinawa,institutional_site,Urasoe/Okinawa,match,ONC/JICA Okinawa relation,institutional_venue,制度／机构场域,"place functions as an administrative, service, grant, or institutional channel",high,mechanically_classified_candidate,ai_seeded_candidate,X010;X011,E4,ai_seeded,candidate_edge,active,,,,,,,地点是制度／服务／行政渠道；不等于与场所拥有者结盟、获资助或共享政治立场。,Institutional relation.
AP044,X010,沖縄NGOセンター,local_international_cooperation_ngo,okinawa_local,ai_seeded,P018,Ginowan,Ginowan,municipality,Central Okinawa,match,ONC Okinawa NGO actor,headquarters,总部／办公室,"edge text explicitly locates a headquarters, office, or organizational base",human_confirmed,human_frozen,human_revised,X010,E4,human_revised,human_reviewed_edge,active,supported_bounded,administrative_record,X010 沖縄NGOセンター→P001 site_presence；执行 accept_with_revision：改键 P018 Ginowan、headquarters,X010 沖縄NGOセンター→P001 site_presence；执行 accept_with_revision：改键 P018 Ginowan、headquarters,"No headquarters, branch, alliance, political stance or causal effect beyond the approved place semantic.",,政府法人资料明确本店位于宜野湾市宜野湾 3-23-52,Okinawa international cooperation actor.
AP045,X011,JICA沖縄,public_institution_partner,public_institution,ai_seeded,P014,JICA Okinawa,JICA Okinawa,institutional_site,Urasoe/Okinawa,match,JICA Okinawa institutional node,institutional_venue,制度／机构场域,"place functions as an administrative, service, grant, or institutional channel",high,mechanically_classified_candidate,ai_seeded_candidate,X011,E4,ai_seeded,candidate_edge,active,,,,,,,地点是制度／服务／行政渠道；不等于与场所拥有者结盟、获资助或共享政治立场。,Institutional place.
AP046,X012,TOMODACHI Initiative,public_diplomacy_or_exchange_actor,mixed_or_network,ai_seeded,P001,Okinawa Prefecture,Okinawa Prefecture,prefecture,Okinawa,match,TOMODACHI Okinawa relevance possible,site_presence,持续活动／服务在场,"edge text describes recurring activity, service, chapter, monitoring, or local organizational presence",human_confirmed,human_frozen,human_revised,X012,E2,human_revised,human_reviewed_edge,active,supported_bounded,administrative_record,X012 TOMODACHI Initiative→P001 unclear；执行 accept_with_revision：site_presence,X012 TOMODACHI Initiative→P001 unclear；执行 accept_with_revision：site_presence,"No headquarters, branch, alliance, political stance or causal effect beyond the approved place semantic.",,TOMODACHI 官方设有“冲绳区域”校友框架及冲绳联系人，并有冲绳特定项目；不是冲绳总部,Okinawa-specific link not confirmed.
AP047,X013,U.S. Consulate General Naha Okinawa Youth Council Program,public_diplomacy_grant_program,us_origin,human_checked,P015,U.S. Consulate General Naha,U.S. Consulate General Naha,institutional_site,Naha,match,Okinawa Youth Council grant opportunity,institutional_venue,制度／机构场域,"place functions as an administrative, service, grant, or institutional channel",high,mechanically_classified_candidate,ai_seeded_candidate,X013,E3,needs_local_retrieval,candidate_edge,active,,,,,,,地点是制度／服务／行政渠道；不等于与场所拥有者结盟、获资助或共享政治立场。 NOFO／grant opportunity 只证明机会及发布场域，不证明受款者。,Recipient unknown.
AP048,X014,NED National Endowment for Democracy,funder_or_intermediary,us_origin,human_checked,P001,Okinawa Prefecture,Okinawa Prefecture,prefecture,Okinawa,match,NED watchlist only,unclear,语义未明,"current edge text does not distinguish location, scope, target, or relation venue",excluded,retired_by_human_review,human_checked,X014,E2,rejected,excluded_edge,excluded,unsupported,excluded,删除 NED—Okinawa actor-place candidate；X014 watchlist 记录保留,,The rejected or redundant place proposition is not available for analysis.,,无公开证据支持冲绳 recipient／project／地点关系；未确认不等于跨年度从未存在。,No Okinawa recipient confirmed.
AP049,X015,Peace Winds Japan,international_ngo,japan_domestic,human_checked,P021,Sakishima Islands,Sakishima Islands,region,Okinawa,match,PWJ reports FY2024 expansion of a community disaster-prevention contact network to the Sakishima Islands.,site_presence,持续活动／服务在场,"edge text describes recurring activity, service, chapter, monitoring, or local organizational presence",human_confirmed,human_frozen,human_revised,,E4,needs_second_source,candidate_edge,active,candidate,administrative_record,X015→P021 Sakishima Islands；site_presence,X015→P021 Sakishima Islands；site_presence,Direct central source-ID integration remains pending.,,仅指 FY2024 先岛整体社区防灾联系网络；不得向与那国／石垣／宫古扇出，不表示总部、分支或永久驻点。,Keep as method sample only.
