stage_id,case_id,case_name,place,process_branch,stage_order,date_start,date_end,date_precision,stage_type,short_label,process_action,formal_basis,decision_body_or_forum,outcome,source_refs,evidence_level,review_status,needs_local_retrieval,interpretation_limit,notes,formal_inclusion_status
R9ST014,R9C_PREF_2019,2019 Okinawa Henoko prefectural referendum,Okinawa Prefecture,prefectural_direct_request,1,2018-04-16,2018-05-22,day_range,initiation,A051 organizes initiative,「辺野古」県民投票の会成立并准备条例制定直接请求,civic initiative,Civil-society organizing,形成发起组织与请求代表层,R9S021;R9S030;R9S031,E3,ai_seeded,no,成立日来自后续讲座记录；官方材料确认事件期组织与请求代表角色，但不能证明全部签名者为成员。,,accepted
R9ST015,R9C_PREF_2019,2019 Okinawa Henoko prefectural referendum,Okinawa Prefecture,prefectural_direct_request,2,2018-05-23,2018-07-23,day_range,signature_collection,"92,848 valid signatures",全县签名活动并经市町村选管审查,地方自治法第74条,Municipal election commissions,"有效签名92,848，超过法定23,171",R9S013,E4,ai_seeded,no,签名者不是组织成员。,,accepted
R9ST016,R9C_PREF_2019,2019 Okinawa Henoko prefectural referendum,Okinawa Prefecture,prefectural_direct_request,3,2018-09-05,2018-09-05,day,direct_request,Formal direct request,33名条例制定请求代表者向冲绳县提出直接请求,地方自治法第74条第1项,Okinawa Prefecture,县受理并付议,R9S009;R9S030;R9S031,E4,ai_seeded,no,33名请求代表者不自动等于A051全部成员。,,accepted
R9ST017,R9C_PREF_2019,2019 Okinawa Henoko prefectural referendum,Okinawa Prefecture,prefectural_direct_request,4,2018-09-20,2018-10-31,day_range,assembly_ordinance,Ordinance No. 62,县议会审议并制定县民投票条例第62号,Okinawa Prefectural Ordinance No.62,Okinawa Prefectural Assembly / Governor,两选项条例公布,R9S010,E4,ai_seeded,no,条例由直接请求启动，但经过议会／知事制度化。,,accepted
R9ST018,R9C_PREF_2019,2019 Okinawa Henoko prefectural referendum,Okinawa Prefecture,prefectural_direct_request,5,2019-01-29,2019-01-31,day_range,ordinance_amendment,Third option added,为全县实施加入‘どちらでもない’第三选项,Okinawa Prefectural Ordinance No.1,Okinawa Prefectural Assembly / Governor,三选项修正公布，五市转为实施,R9S011,E4,ai_seeded,no,选项变化是制度转换，不是简单技术调整。,,accepted
R9ST019,R9C_PREF_2019,2019 Okinawa Henoko prefectural referendum,Okinawa Prefecture,prefectural_direct_request,6,2019-02-24,2019-02-24,day,vote,All 41 municipalities vote,全41市町村实施县民投票,Prefectural Ordinance No.62 as amended,Governor / municipal election administration,"投票总数605,385，投票率52.48%",R9S012,E4,ai_seeded,no,投票是咨询／民意表达机制。,,accepted
R9ST020,R9C_PREF_2019,2019 Okinawa Henoko prefectural referendum,Okinawa Prefecture,post_result,7,2019-02-24,2019-03-01,day_range,result_notification,"434,273 oppose; external notice","反对434,273（71.7%）、赞成114,933、どちらでもない52,682；知事向日美政府通知",条例第10条,Governor / Japan and U.S. executive targets,反对多数被转化为外部通知与倡议资源,R9S012,E4,ai_seeded,no,结果没有直接停止工程的法律效力。,,accepted
R9ST021,R9C_ISHIGAKI_2018_2024,Ishigaki JSDF referendum drive and two litigation chains,Ishigaki,direct_request,1,2018-10,2018-12-20,month_to_day,signature_collection,"14,263 valid signatures",居民收集有效签名并请求实施住民投票,自治基本条例第28条、地方自治法第74条,Ishigaki residents / Election Administration Commission,"14,263有效签名，超过38,799选民四分之一",R9S015,E4,ai_seeded,no,法院确认程序事实，但没有把全部行动归给A011或把全部签名者认定为组织成员。,,accepted
R9ST022,R9C_ISHIGAKI_2018_2024,Ishigaki JSDF referendum drive and two litigation chains,Ishigaki,direct_request,2,2018-12-20,2018-12-20,day,direct_request,27 request representatives,27名请求代表向石垣市长提出条例制定／实施请求,自治基本条例第28条、地方自治法第74条,Ishigaki Mayor,市长收受请求并提交第一次条例案,R9S015,E4,ai_seeded,no,27名请求代表与A011成员的逐一映射未闭合。,,accepted
R9ST023,R9C_ISHIGAKI_2018_2024,Ishigaki JSDF referendum drive and two litigation chains,Ishigaki,direct_request,3,2019-02-01,2019-02-01,day,council_rejection,First ordinance rejected,石垣市议会否决市长提交的住民投票条例案,municipal ordinance bill,Ishigaki City Council,条例未成立、投票未实施,R9S014;R9S023,E4,ai_seeded,no,2月1日是议会决定日；2月4日是市政府通知日。,,accepted
R9ST024,R9C_ISHIGAKI_2018_2024,Ishigaki JSDF referendum drive and two litigation chains,Ishigaki,councillor_proposal,4,2019-06-17,2019-06-17,day,second_council_rejection,Councillor bill rejected,市议员提出議案第2号住民投票条例案，市议会再次否决,councillor-proposed municipal ordinance bill,Ishigaki City Council,议员提案未成立,R9S024,E4,ai_seeded,no,第二案是市议员提案；不得写成运动方直接提交或市长第二次付议。,,accepted
R9ST025,R9C_ISHIGAKI_2018_2024,Ishigaki JSDF referendum drive and two litigation chains,Ishigaki,mandatory_order_chain,5,2019-09,,month,judicial_filing,Mandatory-order suit filed,请求代表／签名居民提起实施义务付け等行政诉讼,Administrative Case Litigation Act,Naha District Court,令和元年（行ウ）第14号・第15号进入司法,R9S015;R9S016,E4,ai_seeded,no,法院匿名化个人原告；A011不能因此写成组织原告。,,accepted
R9ST026,R9C_ISHIGAKI_2018_2024,Ishigaki JSDF referendum drive and two litigation chains,Ishigaki,mandatory_order_chain,6,2020-08-27,2020-08-27,day,district_court_result,All actions procedurally dismissed,那霸地裁审理实施义务付け等请求,Administrative Case Litigation Act,Naha District Court,令和元年（行ウ）第14号・第15号之诉全部却下,R9S015;R9S016,E4,ai_seeded,no,‘却下’是程序性／适法性判断，不是对部署政策是非的实体裁判。,,accepted
R9ST027,R9C_ISHIGAKI_2018_2024,Ishigaki JSDF referendum drive and two litigation chains,Ishigaki,status_confirmation_chain,7,2021-04-26,2021-04-26,day,second_chain_filing,Status-confirmation chain filed,三名石垣市民提起地位确认等当事者诉讼,party/status-confirmation litigation,Naha District Court,那覇地方裁判所令和3年（行ウ）第5号进入第二条诉讼链,R9S036;R9S037,E3,human_revised,no,三名自然人原告不等于A011；不得与第一条实施义务付け诉讼合并。,HR-017 online human review accepted/revised by project principal on 2026-07-20.,accepted
R9ST028,R9C_ISHIGAKI_2018_2024,Ishigaki JSDF referendum drive and two litigation chains,Ishigaki,mandatory_order_chain,8,,2021-03-23,end_day_only,first_chain_appeal,First-chain appeal ends,第一条实施义务付け诉讼进入福冈高裁那霸支部,Administrative Case Litigation Act,Fukuoka High Court Naha Branch,令和2年（行コ）第3号已终结；精确主文待取得判决全文,R9S026;R9S029,E3,human_checked,no,只确认2021-03-23终结与案号；上诉起日和具体主文未取得。,HR-017 online human review accepted/revised by project principal on 2026-07-20.,accepted
R9ST029,R9C_ISHIGAKI_2018_2024,Ishigaki JSDF referendum drive and two litigation chains,Ishigaki,institutional_framework,9,2021-06-28,2021-06-28,day,ordinance_framework_change,Referendum clauses deleted,市议会通过议员提出的自治基本条例修正案，删除住民投票第27/28条,municipal ordinance amendment,Ishigaki City Council,常设住民投票条款被删除,R9S018;R9S025,E4,ai_seeded,no,只说明制度机会结构改变；不推断由诉讼直接导致。,,accepted
R9ST030,R9C_ISHIGAKI_2018_2024,Ishigaki JSDF referendum drive and two litigation chains,Ishigaki,status_confirmation_chain,10,2023-05-23,2023-05-23,day,status_confirmation_district_result,Second-chain district judgment,那霸地裁审理地位确认等第二诉讼链,party/status-confirmation litigation,Naha District Court,三名原告之诉全部却下；诉讼费用由原告承担,R9S035,E3,human_revised,no,却下是程序处理，不是对自卫队部署政策实体是非的判断。,HR-017 online human review accepted/revised by project principal on 2026-07-20.,accepted
R9ST031,R9C_ISHIGAKI_2018_2024,Ishigaki JSDF referendum drive and two litigation chains,Ishigaki,status_confirmation_chain,11,2024-03-12,2024-03-12,day,status_confirmation_high_court_result,Second-chain high-court judgment,福冈高裁那霸支部审理地位确认等上诉,party/status-confirmation litigation,Fukuoka High Court Naha Branch,本件各控诉均被棄却；控诉费用由控诉人承担,R9S026;R9S027,E3,human_revised,no,CALL4托管裁判书正本影印为E3；官方保存表只交叉确认案号。,HR-017 online human review accepted/revised by project principal on 2026-07-20.,accepted
R9ST032,R9C_ISHIGAKI_2018_2024,Ishigaki JSDF referendum drive and two litigation chains,Ishigaki,status_confirmation_chain,12,2024-09-26,2024-09-26,day,supreme_court_finalization,Supreme Court decision; loss final,2024-09-26最高裁决定后第二诉讼链败诉确定,Supreme Court procedure,Supreme Court,最高裁程序结束，第二诉讼链败诉确定；官方决定书与案号未取得,R9S028;R9S029,E2,human_checked,no,保持中性终结措辞；不得确定写成上告棄却或上告不受理。,HR-017 online human review accepted/revised by project principal on 2026-07-20.,accepted
