source_id,source_title,source_type,source_channel_heuristic,source_year_raw,parsed_year_min,parsed_year_max,url_domain,organization_hosted_trace_candidate,official_or_formal_trace_candidate,external_mention_trace_candidate,legal_procedural_trace,title_language_heuristic,case_number_or_legal_title_marker,high_capacity_list_source,archive_status,archive_content_type,source_evidence_level,source_review_status,classification_method,research_status,display_tier,claim_status,review_status,frontend_eligibility,interpretation_limit
S011,与那国住民投票 陸自配備を容認　賛成632票、反対445票,local_news,media,2015,2015,2015,ryukyushimpo.jp,no,no,yes,no,likely_japanese_title,no,no,archived,text/html; charset=UTF-8,E3,human_revised,mechanical source_type/title/url/archive classification; organization hosting is not actor ownership and title language is not document or staff language capacity,research_only,research,candidate,ai_seeded,not_frontend_ready,"Observed documentation and encoded evidence-layer visibility only; no causal documentation effect, social-network influence, activity strength, alliance, staff capacity, language capacity, or organizational lifespan."
S012,与那国駐屯地,official_defense,official_administrative,n.d.; accessed 2026,2026,2026,mod.go.jp,no,yes,no,no,likely_japanese_title,no,no,archived,text/html,E4,human_revised,mechanical source_type/title/url/archive classification; organization hosting is not actor ownership and title language is not document or staff language capacity,research_only,research,candidate,ai_seeded,not_frontend_ready,"Observed documentation and encoded evidence-layer visibility only; no causal documentation effect, social-network influence, activity strength, alliance, staff capacity, language capacity, or organizational lifespan."
S013,令和4年版防衛白書 与那国と台湾,official_defense,official_administrative,2022,2022,2022,mod.go.jp,no,yes,no,no,likely_japanese_title,no,no,archived,text/html,E4,ai_seeded,mechanical source_type/title/url/archive classification; organization hosting is not actor ownership and title language is not document or staff language capacity,research_only,research,candidate,ai_seeded,not_frontend_ready,"Observed documentation and encoded evidence-layer visibility only; no causal documentation effect, social-network influence, activity strength, alliance, staff capacity, language capacity, or organizational lifespan."
S014,与那国町長期営農計画,local_official,official_administrative,2023,2023,2023,town.yonaguni.okinawa.jp,no,yes,no,no,likely_japanese_title,no,no,archived,application/pdf,E4,ai_seeded,mechanical source_type/title/url/archive classification; organization hosting is not actor ownership and title language is not document or staff language capacity,research_only,research,candidate,ai_seeded,not_frontend_ready,"Observed documentation and encoded evidence-layer visibility only; no causal documentation effect, social-network influence, activity strength, alliance, staff capacity, language capacity, or organizational lifespan."
S015,与那国に自衛隊いらない／配備反対の意見広告呼びかけ,party_news,media,2012,2012,2012,jcp.or.jp,no,no,yes,no,likely_japanese_title,no,no,archived,text/html,E2,human_revised,mechanical source_type/title/url/archive classification; organization hosting is not actor ownership and title language is not document or staff language capacity,research_only,research,candidate,ai_seeded,not_frontend_ready,"Observed documentation and encoded evidence-layer visibility only; no causal documentation effect, social-network influence, activity strength, alliance, staff capacity, language capacity, or organizational lifespan."
S016,石垣自衛隊配備 初の市民討論会,local_news,media,2016,2016,2016,ryukyushimpo.jp,no,no,yes,no,likely_japanese_title,no,no,archived,text/html; charset=UTF-8,E3,ai_seeded,mechanical source_type/title/url/archive classification; organization hosting is not actor ownership and title language is not document or staff language capacity,research_only,research,candidate,ai_seeded,not_frontend_ready,"Observed documentation and encoded evidence-layer visibility only; no causal documentation effect, social-network influence, activity strength, alliance, staff capacity, language capacity, or organizational lifespan."
S017,石垣陸自配備 市民が工事中止要請,local_news,media,2020,2020,2020,ryukyushimpo.jp,no,no,yes,no,likely_japanese_title,no,no,archived,text/html; charset=UTF-8,E3,ai_seeded,mechanical source_type/title/url/archive classification; organization hosting is not actor ownership and title language is not document or staff language capacity,research_only,research,candidate,ai_seeded,not_frontend_ready,"Observed documentation and encoded evidence-layer visibility only; no causal documentation effect, social-network influence, activity strength, alliance, staff capacity, language capacity, or organizational lifespan."
S018,石垣市 住民投票条例案 市議会で否決,local_news,media,2019,2019,2019,qab.co.jp,no,no,yes,no,likely_japanese_title,no,no,archived,text/html; charset=UTF-8,E3,ai_seeded,mechanical source_type/title/url/archive classification; organization hosting is not actor ownership and title language is not document or staff language capacity,research_only,research,candidate,ai_seeded,not_frontend_ready,"Observed documentation and encoded evidence-layer visibility only; no causal documentation effect, social-network influence, activity strength, alliance, staff capacity, language capacity, or organizational lifespan."
S019,有効署名１万４千筆超　２０日に条例制定請求　住民投票、来月の議会で審議　石垣陸自配備,local_news,media,2018,2018,2018,yaeyama-nippo.co.jp,no,no,yes,no,likely_japanese_title,no,no,archived,text/html; charset=UTF-8,E2,human_revised,mechanical source_type/title/url/archive classification; organization hosting is not actor ownership and title language is not document or staff language capacity,research_only,research,candidate,ai_seeded,not_frontend_ready,"Observed documentation and encoded evidence-layer visibility only; no causal documentation effect, social-network influence, activity strength, alliance, staff capacity, language capacity, or organizational lifespan."
S020,陸自配備阻止訴え 宮古で集会 市民 地下水保全求め,local_news,media,2016,2016,2016,ryukyushimpo.jp,no,no,yes,no,likely_japanese_title,no,no,archived,text/html; charset=UTF-8,E3,needs_second_source,mechanical source_type/title/url/archive classification; organization hosting is not actor ownership and title language is not document or staff language capacity,research_only,research,candidate,ai_seeded,not_frontend_ready,"Observed documentation and encoded evidence-layer visibility only; no causal documentation effect, social-network influence, activity strength, alliance, staff capacity, language capacity, or organizational lifespan."
S021,ミサイル基地いらない 宮古島住民連絡会 結成集会,party_news,media,2016,2016,2016,jcp.or.jp,no,no,yes,no,likely_japanese_title,no,no,archived,text/html,E2,ai_seeded,mechanical source_type/title/url/archive classification; organization hosting is not actor ownership and title language is not document or staff language capacity,research_only,research,candidate,ai_seeded,not_frontend_ready,"Observed documentation and encoded evidence-layer visibility only; no causal documentation effect, social-network influence, activity strength, alliance, staff capacity, language capacity, or organizational lifespan."
S022,沖縄対話プロジェクト 公式ページ,organization_site,organization_hosted,2023,2023,2023,okinawataiwa.net,yes,yes,no,no,likely_japanese_title,no,no,archived,text/html; charset=UTF-8,E4,ai_seeded,mechanical source_type/title/url/archive classification; organization hosting is not actor ownership and title language is not document or staff language capacity,research_only,research,candidate,ai_seeded,not_frontend_ready,"Observed documentation and encoded evidence-layer visibility only; no causal documentation effect, social-network influence, activity strength, alliance, staff capacity, language capacity, or organizational lifespan."
S023,ノーモア沖縄戦 命どぅ宝の会 結成,local_news,media,2022,2022,2022,qab.co.jp,no,no,yes,no,likely_japanese_title,no,no,archived,text/html; charset=UTF-8,E4,ai_seeded,mechanical source_type/title/url/archive classification; organization hosting is not actor ownership and title language is not document or staff language capacity,research_only,research,candidate,ai_seeded,not_frontend_ready,"Observed documentation and encoded evidence-layer visibility only; no causal documentation effect, social-network influence, activity strength, alliance, staff capacity, language capacity, or organizational lifespan."
S024,台湾有事に備え 南西諸島の軍事化に懸念,organization_site,organization_hosted,2023,2023,2023,okinawataiwa.net,yes,yes,no,no,likely_japanese_title,no,no,archived,text/html; charset=UTF-8,E2,ai_seeded,mechanical source_type/title/url/archive classification; organization hosting is not actor ownership and title language is not document or staff language capacity,research_only,research,candidate,ai_seeded,not_frontend_ready,"Observed documentation and encoded evidence-layer visibility only; no causal documentation effect, social-network influence, activity strength, alliance, staff capacity, language capacity, or organizational lifespan."
S025,辺野古米軍基地建設のための埋立ての賛否を問う県民投票 結果,official_referendum,official_administrative,2019,2019,2019,city.nago.okinawa.jp,no,yes,no,no,likely_japanese_title,no,no,archived,text/html,E4,verified,mechanical source_type/title/url/archive classification; organization hosting is not actor ownership and title language is not document or staff language capacity,research_only,research,candidate,ai_seeded,not_frontend_ready,"Observed documentation and encoded evidence-layer visibility only; no causal documentation effect, social-network influence, activity strength, alliance, staff capacity, language capacity, or organizational lifespan."
S026,嘉手納爆音訴訟 第三次 那覇地裁沖縄支部判決,local_news,media,2017,2017,2017,qab.co.jp,no,no,yes,yes,likely_japanese_title,yes,no,archived,text/html; charset=UTF-8,E3,ai_seeded,mechanical source_type/title/url/archive classification; organization hosting is not actor ownership and title language is not document or staff language capacity,research_only,research,candidate,ai_seeded,not_frontend_ready,"Observed documentation and encoded evidence-layer visibility only; no causal documentation effect, social-network influence, activity strength, alliance, staff capacity, language capacity, or organizational lifespan."
S027,普天間爆音訴訟 第二次 那覇地裁判決,local_news,media,2016,2016,2016,qab.co.jp,no,no,yes,yes,likely_japanese_title,yes,no,archived,text/html; charset=UTF-8,E3,ai_seeded,mechanical source_type/title/url/archive classification; organization hosting is not actor ownership and title language is not document or staff language capacity,research_only,research,candidate,ai_seeded,not_frontend_ready,"Observed documentation and encoded evidence-layer visibility only; no causal documentation effect, social-network influence, activity strength, alliance, staff capacity, language capacity, or organizational lifespan."
S028,高江ヘリパッド建設 住民らが抗議,local_news,media,2016,2016,2016,ryukyushimpo.jp,no,no,yes,no,likely_japanese_title,no,no,archived,text/html; charset=UTF-8,E3,ai_seeded,mechanical source_type/title/url/archive classification; organization hosting is not actor ownership and title language is not document or staff language capacity,research_only,research,candidate,ai_seeded,not_frontend_ready,"Observed documentation and encoded evidence-layer visibility only; no causal documentation effect, social-network influence, activity strength, alliance, staff capacity, language capacity, or organizational lifespan."
S029,島ぐるみ会議 辺野古新基地反対で連帯,party_news,media,2015,2015,2015,jcp.or.jp,no,no,yes,no,likely_japanese_title,no,no,archived,text/html,E2,ai_seeded,mechanical source_type/title/url/archive classification; organization hosting is not actor ownership and title language is not document or staff language capacity,research_only,research,candidate,ai_seeded,not_frontend_ready,"Observed documentation and encoded evidence-layer visibility only; no causal documentation effect, social-network influence, activity strength, alliance, staff capacity, language capacity, or organizational lifespan."
S030,第2次泡瀬干潟埋め立て訴訟 那覇地裁判決,local_news,media,2015,2015,2015,ryukyushimpo.jp,no,no,yes,yes,likely_japanese_title,yes,no,archived,text/html; charset=UTF-8,E3,ai_seeded,mechanical source_type/title/url/archive classification; organization hosting is not actor ownership and title language is not document or staff language capacity,research_only,research,candidate,ai_seeded,not_frontend_ready,"Observed documentation and encoded evidence-layer visibility only; no causal documentation effect, social-network influence, activity strength, alliance, staff capacity, language capacity, or organizational lifespan."
S031,沖縄平和運動センター 公式,organization_site,organization_hosted,2026,2026,2026,peace-okinawa.net,yes,yes,no,no,likely_japanese_title,no,no,archived,text/html,E3,ai_seeded,mechanical source_type/title/url/archive classification; organization hosting is not actor ownership and title language is not document or staff language capacity,research_only,research,candidate,ai_seeded,not_frontend_ready,"Observed documentation and encoded evidence-layer visibility only; no causal documentation effect, social-network influence, activity strength, alliance, staff capacity, language capacity, or organizational lifespan."
S032,新外交イニシアティブ（ND）公式サイト,organization_site,organization_hosted,2026,2026,2026,nd-initiative.org,yes,yes,no,no,likely_japanese_title,no,no,archived,text/html; charset=UTF-8,E4,ai_seeded,mechanical source_type/title/url/archive classification; organization hosting is not actor ownership and title language is not document or staff language capacity,research_only,research,candidate,ai_seeded,not_frontend_ready,"Observed documentation and encoded evidence-layer visibility only; no causal documentation effect, social-network influence, activity strength, alliance, staff capacity, language capacity, or organizational lifespan."
S033,Tanji Miyume: Myth Protest and Struggle in Okinawa,academic_article,academic_secondary,2006,2006,2006,,no,no,yes,no,likely_english_title,no,no,skipped_non_url_reference,,E4,ai_seeded,mechanical source_type/title/url/archive classification; organization hosting is not actor ownership and title language is not document or staff language capacity,research_only,research,candidate,ai_seeded,not_frontend_ready,"Observed documentation and encoded evidence-layer visibility only; no causal documentation effect, social-network influence, activity strength, alliance, staff capacity, language capacity, or organizational lifespan."
S034,沖縄意見広告運動 全国紙に一面広告,organization_site,organization_hosted,2010,2010,2010,okinawaiken.org,yes,yes,no,no,likely_japanese_title,no,no,archived,text/html,E3,ai_seeded,mechanical source_type/title/url/archive classification; organization hosting is not actor ownership and title language is not document or staff language capacity,research_only,research,candidate,ai_seeded,not_frontend_ready,"Observed documentation and encoded evidence-layer visibility only; no causal documentation effect, social-network influence, activity strength, alliance, staff capacity, language capacity, or organizational lifespan."
S035,内閣府NPO法人ポータル,official_portal,official_administrative,2026,2026,2026,npo-homepage.go.jp,no,yes,no,no,likely_japanese_title,no,no,archived,text/html; charset=UTF-8,E4,ai_seeded,mechanical source_type/title/url/archive classification; organization hosting is not actor ownership and title language is not document or staff language capacity,research_only,research,candidate,ai_seeded,not_frontend_ready,"Observed documentation and encoded evidence-layer visibility only; no causal documentation effect, social-network influence, activity strength, alliance, staff capacity, language capacity, or organizational lifespan."
S036,南西諸島ピースネット 結成,local_news,media,2015,2015,2015,ryukyushimpo.jp,no,no,yes,no,likely_japanese_title,no,no,archived,text/html; charset=UTF-8,E3,ai_seeded,mechanical source_type/title/url/archive classification; organization hosting is not actor ownership and title language is not document or staff language capacity,research_only,research,candidate,ai_seeded,not_frontend_ready,"Observed documentation and encoded evidence-layer visibility only; no causal documentation effect, social-network influence, activity strength, alliance, staff capacity, language capacity, or organizational lifespan."
S037,沖縄弁護士会 辺野古新基地建設に関する会長声明・決議,ngo_statement,organization_hosted,2017,2017,2017,okiben.org,yes,yes,no,no,likely_japanese_title,no,no,archived,text/html; charset=UTF-8,E3,ai_seeded,mechanical source_type/title/url/archive classification; organization hosting is not actor ownership and title language is not document or staff language capacity,research_only,research,candidate,ai_seeded,not_frontend_ready,"Observed documentation and encoded evidence-layer visibility only; no causal documentation effect, social-network influence, activity strength, alliance, staff capacity, language capacity, or organizational lifespan."
S038,一坪反戦地主会 軍用地契約拒否運動,organization_site,organization_hosted,1996,1996,1996,jca.apc.org,yes,yes,no,no,likely_japanese_title,no,no,archived,text/html,E2,ai_seeded,mechanical source_type/title/url/archive classification; organization hosting is not actor ownership and title language is not document or staff language capacity,research_only,research,candidate,ai_seeded,not_frontend_ready,"Observed documentation and encoded evidence-layer visibility only; no causal documentation effect, social-network influence, activity strength, alliance, staff capacity, language capacity, or organizational lifespan."
S039,基地・軍隊を許さない行動する女たちの会 結成（Akibayashi）,academic_article,academic_secondary,1995,1995,1995,www2.kobe-u.ac.jp,no,no,yes,no,likely_japanese_title,no,no,archived,application/pdf,E3,ai_seeded,mechanical source_type/title/url/archive classification; organization hosting is not actor ownership and title language is not document or staff language capacity,research_only,research,candidate,ai_seeded,not_frontend_ready,"Observed documentation and encoded evidence-layer visibility only; no causal documentation effect, social-network influence, activity strength, alliance, staff capacity, language capacity, or organizational lifespan."
S040,辺野古土砂搬入反対全国連絡協議会 結成,magazine_news,media,2015,2015,2015,kinyobi.co.jp,no,no,yes,no,likely_japanese_title,no,no,archived,text/html; charset=UTF-8,E3,ai_seeded,mechanical source_type/title/url/archive classification; organization hosting is not actor ownership and title language is not document or staff language capacity,research_only,research,candidate,ai_seeded,not_frontend_ready,"Observed documentation and encoded evidence-layer visibility only; no causal documentation effect, social-network influence, activity strength, alliance, staff capacity, language capacity, or organizational lifespan."
S041,AWWA / OESC / NOSCO official sites and DVIDS reports,organization_site,organization_hosted,2024,2024,2024,okinawahai.com,yes,yes,no,no,likely_english_title,no,no,archived,text/html; charset=UTF-8,E4,verified,mechanical source_type/title/url/archive classification; organization hosting is not actor ownership and title language is not document or staff language capacity,research_only,research,candidate,ai_seeded,not_frontend_ready,"Observed documentation and encoded evidence-layer visibility only; no causal documentation effect, social-network influence, activity strength, alliance, staff capacity, language capacity, or organizational lifespan."
S042,名護市民投票 基地建設反対が多数,local_official,official_administrative,1997,1997,1997,city.nago.okinawa.jp,no,yes,no,no,likely_japanese_title,no,no,archived,text/html,E4,ai_seeded,mechanical source_type/title/url/archive classification; organization hosting is not actor ownership and title language is not document or staff language capacity,research_only,research,candidate,ai_seeded,not_frontend_ready,"Observed documentation and encoded evidence-layer visibility only; no causal documentation effect, social-network influence, activity strength, alliance, staff capacity, language capacity, or organizational lifespan."
S043,沖縄県 米軍基地の概要,official_data,official_administrative,2024,2024,2024,pref.okinawa.jp,no,yes,no,no,likely_japanese_title,no,no,archived,text/html,E4,ai_seeded,mechanical source_type/title/url/archive classification; organization hosting is not actor ownership and title language is not document or staff language capacity,research_only,research,candidate,ai_seeded,not_frontend_ready,"Observed documentation and encoded evidence-layer visibility only; no causal documentation effect, social-network influence, activity strength, alliance, staff capacity, language capacity, or organizational lifespan."
S044,Inoue Masamichi: Okinawa and the U.S. Military,academic_article,academic_secondary,2007,2007,2007,,no,no,yes,no,likely_english_title,no,no,skipped_non_url_reference,,E4,ai_seeded,mechanical source_type/title/url/archive classification; organization hosting is not actor ownership and title language is not document or staff language capacity,research_only,research,candidate,ai_seeded,not_frontend_ready,"Observed documentation and encoded evidence-layer visibility only; no causal documentation effect, social-network influence, activity strength, alliance, staff capacity, language capacity, or organizational lifespan."
S045,辺野古新基地 土砂投入開始,local_news,media,2018,2018,2018,okinawatimes.co.jp,no,no,yes,no,likely_japanese_title,no,no,archived,text/html; charset=utf-8,E4,ai_seeded,mechanical source_type/title/url/archive classification; organization hosting is not actor ownership and title language is not document or staff language capacity,research_only,research,candidate,ai_seeded,not_frontend_ready,"Observed documentation and encoded evidence-layer visibility only; no causal documentation effect, social-network influence, activity strength, alliance, staff capacity, language capacity, or organizational lifespan."
S046,NACSJ 辺野古・大浦湾の生物多様性報告,ngo_statement,organization_hosted,2014,2014,2014,nacsj.or.jp,yes,yes,no,no,likely_japanese_title,no,no,archived,application/pdf,E4,ai_seeded,mechanical source_type/title/url/archive classification; organization hosting is not actor ownership and title language is not document or staff language capacity,research_only,research,candidate,ai_seeded,not_frontend_ready,"Observed documentation and encoded evidence-layer visibility only; no causal documentation effect, social-network influence, activity strength, alliance, staff capacity, language capacity, or organizational lifespan."
S047,沖縄防衛局 辺野古新基地建設事業 環境影響評価書,official_data,official_administrative,2012,2012,2012,mod.go.jp,no,yes,no,no,likely_japanese_title,no,no,archived,text/html,E4,ai_seeded,mechanical source_type/title/url/archive classification; organization hosting is not actor ownership and title language is not document or staff language capacity,research_only,research,candidate,ai_seeded,not_frontend_ready,"Observed documentation and encoded evidence-layer visibility only; no causal documentation effect, social-network influence, activity strength, alliance, staff capacity, language capacity, or organizational lifespan."
S048,Veterans for Peace Ryukyu/Okinawa Chapter Kokusai,organization_site,organization_hosted,2024,2024,2024,veteransforpeace.org,yes,yes,no,no,likely_english_title,no,no,archived,text/html; charset=UTF-8,E2,needs_second_source,mechanical source_type/title/url/archive classification; organization hosting is not actor ownership and title language is not document or staff language capacity,research_only,research,candidate,ai_seeded,not_frontend_ready,"Observed documentation and encoded evidence-layer visibility only; no causal documentation effect, social-network influence, activity strength, alliance, staff capacity, language capacity, or organizational lifespan."
S049,ヘリ基地反対協議会 公式サイト,organization_site,organization_hosted,2026,2026,2026,lovehenoko.org,yes,yes,no,no,likely_japanese_title,no,no,archived,text/html; charset=UTF-8,E4,verified,mechanical source_type/title/url/archive classification; organization hosting is not actor ownership and title language is not document or staff language capacity,research_only,research,candidate,ai_seeded,not_frontend_ready,"Observed documentation and encoded evidence-layer visibility only; no causal documentation effect, social-network influence, activity strength, alliance, staff capacity, language capacity, or organizational lifespan."
S050,ヘリ基地反対協議会 Wikipedia,encyclopedia,media,2026,2026,2026,ja.wikipedia.org,no,no,yes,no,likely_japanese_title,no,no,archived,text/html; charset=UTF-8,E3,verified,mechanical source_type/title/url/archive classification; organization hosting is not actor ownership and title language is not document or staff language capacity,research_only,research,candidate,ai_seeded,not_frontend_ready,"Observed documentation and encoded evidence-layer visibility only; no causal documentation effect, social-network influence, activity strength, alliance, staff capacity, language capacity, or organizational lifespan."
S051,石垣市住民投票を求める会 公式サイト,organization_site,organization_hosted,2024,2024,2024,ishigaki-tohyo.com,yes,yes,no,no,likely_japanese_title,no,no,archived,text/html; charset=UTF-8,E0,rejected_archive_mismatch,mechanical source_type/title/url/archive classification; organization hosting is not actor ownership and title language is not document or staff language capacity,research_only,research,candidate,ai_seeded,not_frontend_ready,"Observed documentation and encoded evidence-layer visibility only; no causal documentation effect, social-network influence, activity strength, alliance, staff capacity, language capacity, or organizational lifespan."
S052,与那国イソバの会 ブログ,organization_blog,organization_hosted,2026,2026,2026,isobanokai.ti-da.net,yes,yes,no,no,likely_japanese_title,no,no,archived,text/html; charset=UTF-8,E3,verified,mechanical source_type/title/url/archive classification; organization hosting is not actor ownership and title language is not document or staff language capacity,research_only,research,candidate,ai_seeded,not_frontend_ready,"Observed documentation and encoded evidence-layer visibility only; no causal documentation effect, social-network influence, activity strength, alliance, staff capacity, language capacity, or organizational lifespan."
S053,OESC donates $3250 to USO Okinawa,news,media,2025,2025,2025,okinawa.stripes.com,no,no,yes,no,likely_english_title,no,no,archived,text/html; charset=UTF-8,E4,verified,mechanical source_type/title/url/archive classification; organization hosting is not actor ownership and title language is not document or staff language capacity,research_only,research,candidate,ai_seeded,not_frontend_ready,"Observed documentation and encoded evidence-layer visibility only; no causal documentation effect, social-network influence, activity strength, alliance, staff capacity, language capacity, or organizational lifespan."
S054,OESC ProPublica Nonprofit Explorer,nonprofit_record,funding_nonprofit_record,2026,2026,2026,projects.propublica.org,no,yes,no,no,likely_english_title,no,no,archived,text/html; charset=utf-8,E4,verified,mechanical source_type/title/url/archive classification; organization hosting is not actor ownership and title language is not document or staff language capacity,research_only,research,candidate,ai_seeded,not_frontend_ready,"Observed documentation and encoded evidence-layer visibility only; no causal documentation effect, social-network influence, activity strength, alliance, staff capacity, language capacity, or organizational lifespan."
S055,NOSCO AWWA page,organization_site,organization_hosted,2026,2026,2026,nosco.wildapricot.org,yes,yes,no,no,likely_english_title,no,no,archived,text/html; charset=utf-8,E4,verified,mechanical source_type/title/url/archive classification; organization hosting is not actor ownership and title language is not document or staff language capacity,research_only,research,candidate,ai_seeded,not_frontend_ready,"Observed documentation and encoded evidence-layer visibility only; no causal documentation effect, social-network influence, activity strength, alliance, staff capacity, language capacity, or organizational lifespan."
S056,U.S. Consulate Naha Okinawa Youth Council NOFO PDF,grant_document,funding_nonprofit_record,2024,2024,2024,jp.usembassy.gov,no,yes,no,no,likely_english_title,no,no,archived,application/pdf,E4,verified,mechanical source_type/title/url/archive classification; organization hosting is not actor ownership and title language is not document or staff language capacity,research_only,research,candidate,ai_seeded,not_frontend_ready,"Observed documentation and encoded evidence-layer visibility only; no causal documentation effect, social-network influence, activity strength, alliance, staff capacity, language capacity, or organizational lifespan."
S057,ジュゴン保護キャンペーンセンター公式サイト,organization_site,organization_hosted,2026,2026,2026,sdcc.jp,yes,yes,no,no,likely_japanese_title,no,no,archived,text/html,E4,human_verified,mechanical source_type/title/url/archive classification; organization hosting is not actor ownership and title language is not document or staff language capacity,research_only,research,candidate,ai_seeded,not_frontend_ready,"Observed documentation and encoded evidence-layer visibility only; no causal documentation effect, social-network influence, activity strength, alliance, staff capacity, language capacity, or organizational lifespan."
