actor_id,actor_name,actor_class,analysis_family,origin_type,origin_bucket,legal_status_guess,legal_formality_bucket,actor_evidence_level,actor_review_status,linked_source_count,linked_source_ids,unresolved_reference_count,unresolved_reference_tokens,source_crosswalk_status,registry_source_count,actor_issue_support_source_count,strict_triple_source_count,event_source_count,case_role_source_count,typed_dyadic_source_count,non_issue_linked_source_count,non_strict_triple_linked_source_count,non_event_linked_source_count,non_case_role_linked_source_count,non_typed_dyadic_linked_source_count,non_big3_linked_source_count,source_channel_count,source_channels,source_domain_count,archive_success_count,archive_failure_or_skip_count,archive_success_share,organization_hosted_trace_candidate,own_website_status,official_administrative_trace,external_media_or_academic_trace,legal_procedural_trace,english_title_trace,japanese_title_trace,multilingual_title_trace,language_capacity_status,document_year_min,document_year_max,document_record_span_years,lifecycle_status,lifespan_status,documentation_trace_feature_count_0to7,documentation_trace_stratum,registry_trace_stratum,active_actor_issue_degree,e3plus_actor_issue_degree,reviewed_actor_issue_degree,candidate_actor_issue_degree,active_actor_issue_betweenness,e3plus_actor_issue_betweenness,reviewed_actor_issue_betweenness,candidate_actor_issue_betweenness,active_issue_frame_count,s004_only_actor_issue_edge_count,strict_triple_row_count,strict_unique_place_issue_pair_count,strict_unique_shared_source_count,human_checked_event_degree,human_checked_event_betweenness,accepted_case_degree,accepted_case_betweenness,substantive_case_role_count,reviewed_typed_dyadic_degree,reviewed_typed_dyadic_betweenness,graph_object_boundary,research_status,display_tier,claim_status,review_status,frontend_eligibility,interpretation_limit
A011,石垣市住民投票を求める会,citizen_group,冲绳本地公民行动,okinawa_local,okinawa_local,informal,informal_unclear_or_program,E4,human_checked,5,S018;S019;S137;S138;S139,0,,resolved_s_sources,4,2,2,1,2,0,3,3,4,3,5,5,3,legal_procedural;media;official_administrative,5,4,1,0.8,no,not_measured_actor_owner_crosswalk_missing,yes,yes,yes,no,yes,no,not_measured_title_language_is_only_a_trace,2018,2020,2,dissolved,not_measured_record_span_is_not_organizational_lifespan,4,dense_4plus,dense_4plus,3,3,0,3,0.00276366,0.0029534,0.0,0.00458314,2,0,6,3,2,1,0.0,1,0.0,1,0,0.0,"actor_issue, event_incidence, typed_dyadic, case_role and strict_triple measures are separate and must not be summed or called one network centrality",research_only,research,candidate,ai_seeded,not_frontend_ready,"Observed documentation and encoded evidence-layer visibility only; no causal documentation effect, social-network influence, activity strength, alliance, staff capacity, language capacity, or organizational lifespan."
A012,宮古島いのちの水を守ろう！,citizen_group,冲绳本地公民行动,okinawa_local,okinawa_local,informal,informal_unclear_or_program,E3,needs_second_source,1,S020,0,,resolved_s_sources,1,1,1,0,0,0,0,0,1,1,1,1,1,media,1,1,0,1.0,no,not_measured_actor_owner_crosswalk_missing,no,yes,no,no,yes,no,not_measured_title_language_is_only_a_trace,2016,2016,0,not_measured,not_measured_record_span_is_not_organizational_lifespan,1,thin_0to1,thin_0to1,3,3,0,3,0.00405565,0.00368572,0.0,0.00475116,3,0,3,3,1,0,0.0,0,0.0,0,0,0.0,"actor_issue, event_incidence, typed_dyadic, case_role and strict_triple measures are separate and must not be summed or called one network centrality",research_only,research,candidate,ai_seeded,not_frontend_ready,"Observed documentation and encoded evidence-layer visibility only; no causal documentation effect, social-network influence, activity strength, alliance, staff capacity, language capacity, or organizational lifespan."
A013,ミサイル基地いらない宮古島住民連絡会,citizen_network,冲绳本地公民行动,okinawa_local,okinawa_local,informal,informal_unclear_or_program,E4,ai_seeded,1,S021,0,,resolved_s_sources,1,1,1,0,0,0,0,0,1,1,1,1,1,media,1,1,0,1.0,no,not_measured_actor_owner_crosswalk_missing,no,yes,no,no,yes,no,not_measured_title_language_is_only_a_trace,2016,2016,0,not_measured,not_measured_record_span_is_not_organizational_lifespan,1,thin_0to1,thin_0to1,3,3,0,3,0.00405565,0.00368572,0.0,0.00475116,3,0,3,3,1,0,0.0,0,0.0,0,0,0.0,"actor_issue, event_incidence, typed_dyadic, case_role and strict_triple measures are separate and must not be summed or called one network centrality",research_only,research,candidate,ai_seeded,not_frontend_ready,"Observed documentation and encoded evidence-layer visibility only; no causal documentation effect, social-network influence, activity strength, alliance, staff capacity, language capacity, or organizational lifespan."
A014,住民投票を成功させるための実行委員会,executive_committee,冲绳本地公民行动,okinawa_local,okinawa_local,informal（任意の実行委員会）,informal_unclear_or_program,E2,needs_local_retrieval,4,S010;S069;S070;S071,0,,resolved_s_sources,4,4,3,1,0,0,0,1,3,4,4,4,2,legal_procedural;media,4,4,0,1.0,no,not_measured_actor_owner_crosswalk_missing,no,yes,yes,no,yes,no,not_measured_title_language_is_only_a_trace,2014,2015,1,not_measured,not_measured_record_span_is_not_organizational_lifespan,3,dense_4plus,dense_4plus,2,0,0,2,0.00070782,0.0,0.0,0.00102381,2,0,5,2,3,1,0.0,0,0.0,0,0,0.0,"actor_issue, event_incidence, typed_dyadic, case_role and strict_triple measures are separate and must not be summed or called one network centrality",research_only,research,candidate,ai_seeded,not_frontend_ready,"Observed documentation and encoded evidence-layer visibility only; no causal documentation effect, social-network influence, activity strength, alliance, staff capacity, language capacity, or organizational lifespan."
A015,与那国自衛隊配備反対意見広告実行委員会,executive_committee,冲绳本地公民行动,okinawa_local,okinawa_local,informal,informal_unclear_or_program,E2,needs_local_retrieval,1,S015,0,,resolved_s_sources,1,1,1,1,0,0,0,0,0,1,1,1,1,media,1,1,0,1.0,no,not_measured_actor_owner_crosswalk_missing,no,yes,no,no,yes,no,not_measured_title_language_is_only_a_trace,2012,2012,0,not_measured,not_measured_record_span_is_not_organizational_lifespan,1,thin_0to1,thin_0to1,2,0,0,2,0.00070782,0.0,0.0,0.00102381,2,0,2,2,1,1,0.0,0,0.0,0,0,0.0,"actor_issue, event_incidence, typed_dyadic, case_role and strict_triple measures are separate and must not be summed or called one network centrality",research_only,research,candidate,ai_seeded,not_frontend_ready,"Observed documentation and encoded evidence-layer visibility only; no causal documentation effect, social-network influence, activity strength, alliance, staff capacity, language capacity, or organizational lifespan."
A016,与那国島の明るい未来を願うイソバの会,citizen_group,冲绳本地公民行动,okinawa_local,okinawa_local,informal,informal_unclear_or_program,E3,human_checked,3,S011;S052;S068,0,,resolved_s_sources,3,2,2,0,0,0,1,1,3,3,3,3,2,media;organization_hosted,3,3,0,1.0,yes,not_measured_actor_owner_crosswalk_missing,no,yes,no,no,yes,no,not_measured_title_language_is_only_a_trace,2015,2026,11,not_measured,not_measured_record_span_is_not_organizational_lifespan,4,moderate_2to3,moderate_2to3,1,1,1,0,0.0,0.0,0.0,0.0,1,0,2,1,2,0,0.0,0,0.0,0,0,0.0,"actor_issue, event_incidence, typed_dyadic, case_role and strict_triple measures are separate and must not be summed or called one network centrality",research_only,research,candidate,ai_seeded,not_frontend_ready,"Observed documentation and encoded evidence-layer visibility only; no causal documentation effect, social-network influence, activity strength, alliance, staff capacity, language capacity, or organizational lifespan."
A017,沖縄対話プロジェクト,citizen_network,冲绳本地公民行动,okinawa_local,okinawa_local,informal_or_project,informal_unclear_or_program,E4,ai_seeded,1,S022,0,,resolved_s_sources,1,1,1,0,0,0,0,0,1,1,1,1,1,organization_hosted,1,1,0,1.0,yes,not_measured_actor_owner_crosswalk_missing,no,no,no,no,yes,no,not_measured_title_language_is_only_a_trace,2023,2023,0,not_measured,not_measured_record_span_is_not_organizational_lifespan,1,thin_0to1,thin_0to1,3,3,0,3,0.00748212,0.00774214,0.0,0.01308821,2,0,4,4,1,0,0.0,0,0.0,0,0,0.0,"actor_issue, event_incidence, typed_dyadic, case_role and strict_triple measures are separate and must not be summed or called one network centrality",research_only,research,candidate,ai_seeded,not_frontend_ready,"Observed documentation and encoded evidence-layer visibility only; no causal documentation effect, social-network influence, activity strength, alliance, staff capacity, language capacity, or organizational lifespan."
A018,ノーモア沖縄戦 命どぅ宝の会,citizen_group,冲绳本地公民行动,okinawa_local,okinawa_local,informal,informal_unclear_or_program,E4,ai_seeded,2,S023;S024,0,,resolved_s_sources,2,2,2,0,0,0,0,0,2,2,2,2,2,media;organization_hosted,2,2,0,1.0,yes,not_measured_actor_owner_crosswalk_missing,no,yes,no,no,yes,no,not_measured_title_language_is_only_a_trace,2022,2023,1,not_measured,not_measured_record_span_is_not_organizational_lifespan,3,moderate_2to3,moderate_2to3,3,3,0,3,0.00748212,0.00774214,0.0,0.01308821,2,0,4,3,2,0,0.0,0,0.0,0,0,0.0,"actor_issue, event_incidence, typed_dyadic, case_role and strict_triple measures are separate and must not be summed or called one network centrality",research_only,research,candidate,ai_seeded,not_frontend_ready,"Observed documentation and encoded evidence-layer visibility only; no causal documentation effect, social-network influence, activity strength, alliance, staff capacity, language capacity, or organizational lifespan."
A019,ヘリ基地反対協議会（海上ヘリ基地建設反対・平和と名護市政民主化を求める協議会）,citizen_network,冲绳本地公民行动,okinawa_local,okinawa_local,任意団体,informal_unclear_or_program,E4,human_checked,6,S008;S049;S050;S060;S093;S128,0,,resolved_s_sources,3,3,2,1,2,0,3,4,5,4,6,6,3,legal_procedural;media;organization_hosted,6,6,0,1.0,yes,not_measured_actor_owner_crosswalk_missing,no,yes,yes,yes,yes,yes,not_measured_title_language_is_only_a_trace,2003,2026,23,not_measured,not_measured_record_span_is_not_organizational_lifespan,6,dense_4plus,moderate_2to3,2,2,2,0,0.00150463,0.00155447,0.0046961,0.0,1,0,4,2,2,1,0.0,1,0.0,0,0,0.0,"actor_issue, event_incidence, typed_dyadic, case_role and strict_triple measures are separate and must not be summed or called one network centrality",research_only,research,candidate,ai_seeded,not_frontend_ready,"Observed documentation and encoded evidence-layer visibility only; no causal documentation effect, social-network influence, activity strength, alliance, staff capacity, language capacity, or organizational lifespan."
A020,日本環境法律家連盟（JELF）,lawyers_network,法律／制度程序,japan_domestic,nonlocal_or_institutional,ngo_or_association,formal_or_incorporated_guess,E4,ai_seeded,6,S006;S007;S061;S062;S128;S142,0,,resolved_s_sources,2,2,2,2,3,0,4,4,4,3,6,5,3,academic_secondary;legal_procedural;other,5,6,0,1.0,no,not_measured_actor_owner_crosswalk_missing,no,yes,yes,yes,yes,yes,not_measured_title_language_is_only_a_trace,2017,2026,9,not_measured,not_measured_record_span_is_not_organizational_lifespan,5,dense_4plus,moderate_2to3,3,3,0,3,0.00612172,0.00619986,0.0,0.01046201,2,0,12,6,2,2,0.04839685,2,0.10294118,2,0,0.0,"actor_issue, event_incidence, typed_dyadic, case_role and strict_triple measures are separate and must not be summed or called one network centrality",research_only,research,candidate,ai_seeded,not_frontend_ready,"Observed documentation and encoded evidence-layer visibility only; no causal documentation effect, social-network influence, activity strength, alliance, staff capacity, language capacity, or organizational lifespan."
A021,国際環境NGO FoE Japan,domestic_japan_ngo,日本国内 NGO／声援,japan_domestic,nonlocal_or_institutional,ngo,formal_or_incorporated_guess,E4,ai_seeded,1,S004,0,,resolved_s_sources,1,1,1,1,0,0,0,0,0,1,1,0,1,organization_hosted,1,1,0,1.0,yes,not_measured_actor_owner_crosswalk_missing,no,no,no,no,yes,no,not_measured_title_language_is_only_a_trace,2015,2015,0,not_measured,not_measured_record_span_is_not_organizational_lifespan,1,thin_0to1,thin_0to1,2,2,0,2,0.0075232,0.00756309,0.0,0.00941007,2,2,2,2,1,1,0.0,0,0.0,0,0,0.0,"actor_issue, event_incidence, typed_dyadic, case_role and strict_triple measures are separate and must not be summed or called one network centrality",research_only,research,candidate,ai_seeded,not_frontend_ready,"Observed documentation and encoded evidence-layer visibility only; no causal documentation effect, social-network influence, activity strength, alliance, staff capacity, language capacity, or organizational lifespan."
A022,NPO法人 ラムサール・ネットワーク日本,domestic_japan_ngo,日本国内 NGO／声援,japan_domestic,nonlocal_or_institutional,npo,formal_or_incorporated_guess,E4,ai_seeded,1,S004,0,,resolved_s_sources,1,1,1,1,0,0,0,0,0,1,1,0,1,organization_hosted,1,1,0,1.0,yes,not_measured_actor_owner_crosswalk_missing,no,no,no,no,yes,no,not_measured_title_language_is_only_a_trace,2015,2015,0,not_measured,not_measured_record_span_is_not_organizational_lifespan,1,thin_0to1,thin_0to1,2,2,0,2,0.0075232,0.00756309,0.0,0.00941007,2,2,2,2,1,1,0.0,0,0.0,0,0,0.0,"actor_issue, event_incidence, typed_dyadic, case_role and strict_triple measures are separate and must not be summed or called one network centrality",research_only,research,candidate,ai_seeded,not_frontend_ready,"Observed documentation and encoded evidence-layer visibility only; no causal documentation effect, social-network influence, activity strength, alliance, staff capacity, language capacity, or organizational lifespan."
A023,美ら海にもやんばるにも基地はいらない市民の会,local_civic_actor,冲绳本地公民行动,japan_domestic,nonlocal_or_institutional,informal,informal_unclear_or_program,E4,ai_seeded,1,S004,0,,resolved_s_sources,1,1,1,1,0,0,0,0,0,1,1,0,1,organization_hosted,1,1,0,1.0,yes,not_measured_actor_owner_crosswalk_missing,no,no,no,no,yes,no,not_measured_title_language_is_only_a_trace,2015,2015,0,not_measured,not_measured_record_span_is_not_organizational_lifespan,1,thin_0to1,thin_0to1,2,2,0,2,0.0075232,0.00756309,0.0,0.00941007,2,2,4,4,1,1,0.0,0,0.0,0,0,0.0,"actor_issue, event_incidence, typed_dyadic, case_role and strict_triple measures are separate and must not be summed or called one network centrality",research_only,research,candidate,ai_seeded,not_frontend_ready,"Observed documentation and encoded evidence-layer visibility only; no causal documentation effect, social-network influence, activity strength, alliance, staff capacity, language capacity, or organizational lifespan."
A024,辺野古リレー,citizen_network,冲绳本地公民行动,okinawa_local,okinawa_local,informal,informal_unclear_or_program,E4,ai_seeded,1,S004,0,,resolved_s_sources,1,1,1,1,0,0,0,0,0,1,1,0,1,organization_hosted,1,1,0,1.0,yes,not_measured_actor_owner_crosswalk_missing,no,no,no,no,yes,no,not_measured_title_language_is_only_a_trace,2015,2015,0,not_measured,not_measured_record_span_is_not_organizational_lifespan,1,thin_0to1,thin_0to1,2,2,0,2,0.00150463,0.00155447,0.0,0.00245882,1,2,2,2,1,1,0.0,0,0.0,0,0,0.0,"actor_issue, event_incidence, typed_dyadic, case_role and strict_triple measures are separate and must not be summed or called one network centrality",research_only,research,candidate,ai_seeded,not_frontend_ready,"Observed documentation and encoded evidence-layer visibility only; no causal documentation effect, social-network influence, activity strength, alliance, staff capacity, language capacity, or organizational lifespan."
A025,辺野古への基地建設を許さない実行委員会,executive_committee,冲绳本地公民行动,okinawa_local,okinawa_local,informal,informal_unclear_or_program,E4,ai_seeded,1,S004,0,,resolved_s_sources,1,1,1,1,0,0,0,0,0,1,1,0,1,organization_hosted,1,1,0,1.0,yes,not_measured_actor_owner_crosswalk_missing,no,no,no,no,yes,no,not_measured_title_language_is_only_a_trace,2015,2015,0,not_measured,not_measured_record_span_is_not_organizational_lifespan,1,thin_0to1,thin_0to1,2,2,0,2,0.00150463,0.00155447,0.0,0.00245882,1,2,2,2,1,1,0.0,0,0.0,0,0,0.0,"actor_issue, event_incidence, typed_dyadic, case_role and strict_triple measures are separate and must not be summed or called one network centrality",research_only,research,candidate,ai_seeded,not_frontend_ready,"Observed documentation and encoded evidence-layer visibility only; no causal documentation effect, social-network influence, activity strength, alliance, staff capacity, language capacity, or organizational lifespan."
A026,ピース・ニュース,citizen_group,冲绳本地公民行动,japan_domestic,nonlocal_or_institutional,unclear,informal_unclear_or_program,E4,needs_second_source,1,S004,0,,resolved_s_sources,1,1,0,1,0,0,0,1,0,1,1,0,1,organization_hosted,1,1,0,1.0,yes,not_measured_actor_owner_crosswalk_missing,no,no,no,no,yes,no,not_measured_title_language_is_only_a_trace,2015,2015,0,not_measured,not_measured_record_span_is_not_organizational_lifespan,1,thin_0to1,thin_0to1,1,1,0,1,0.0,0.0,0.0,0.0,1,1,0,0,0,1,0.0,0,0.0,0,0,0.0,"actor_issue, event_incidence, typed_dyadic, case_role and strict_triple measures are separate and must not be summed or called one network centrality",research_only,research,candidate,ai_seeded,not_frontend_ready,"Observed documentation and encoded evidence-layer visibility only; no causal documentation effect, social-network influence, activity strength, alliance, staff capacity, language capacity, or organizational lifespan."
A027,公共事業改革市民会議,citizen_network,冲绳本地公民行动,japan_domestic,nonlocal_or_institutional,informal_or_npo,formal_or_incorporated_guess,E4,ai_seeded,1,S004,0,,resolved_s_sources,1,1,1,1,0,0,0,0,0,1,1,0,1,organization_hosted,1,1,0,1.0,yes,not_measured_actor_owner_crosswalk_missing,no,no,no,no,yes,no,not_measured_title_language_is_only_a_trace,2015,2015,0,not_measured,not_measured_record_span_is_not_organizational_lifespan,1,thin_0to1,thin_0to1,2,2,0,2,0.0075232,0.00756309,0.0,0.00941007,2,2,2,2,1,1,0.0,0,0.0,0,0,0.0,"actor_issue, event_incidence, typed_dyadic, case_role and strict_triple measures are separate and must not be summed or called one network centrality",research_only,research,candidate,ai_seeded,not_frontend_ready,"Observed documentation and encoded evidence-layer visibility only; no causal documentation effect, social-network influence, activity strength, alliance, staff capacity, language capacity, or organizational lifespan."
