role_id,case_id,actor_id,display_label,actor_ecology,entity_kind,role,role_family,side,source_review_status,evidence_level,source_ids,interpretation_limit,package_scope,package_claim_status,frontend_eligibility
R8R015,R8C04,,Futenma-area resident plaintiffs,blank_or_collective_endpoint,procedural_collective,plaintiff,plaintiff,claimant,human_checked,E4,S135,Case roles are case-specific and do not establish a stable alliance or a person-level bridge.,research_only,candidate_analysis,excluded_research_only
R8R016,R8C04,A053,普天間爆音訴訟団,accountability_comparison,registered_actor,plaintiff_group,plaintiff,claimant,human_checked,E3,S136,Case roles are case-specific and do not establish a stable alliance or a person-level bridge.,research_only,candidate_analysis,excluded_research_only
R8R017,R8C04,,沖縄合同法律事務所,blank_or_collective_endpoint,external_organization,counsel_secretariat,counsel,claimant,human_checked,E4,S136,Case roles are case-specific and do not establish a stable alliance or a person-level bridge.,research_only,candidate_analysis,excluded_research_only
R8R018,R8C04,,Government of Japan,blank_or_collective_endpoint,public_institution,defendant,defendant,respondent,human_checked,E4,S135,Case roles are case-specific and do not establish a stable alliance or a person-level bridge.,research_only,candidate_analysis,excluded_research_only
R8R019,R8C05,,Ishigaki resident representatives and signatories,blank_or_collective_endpoint,procedural_collective,plaintiff,plaintiff,claimant,human_checked,E4,S137,Case roles are case-specific and do not establish a stable alliance or a person-level bridge.,research_only,candidate_analysis,excluded_research_only
R8R020,R8C05,A011,石垣市住民投票を求める会,accountability_comparison,registered_actor,requester,requester,civic_campaign,human_checked,E3,S138;S139,Case roles are case-specific and do not establish a stable alliance or a person-level bridge.,research_only,candidate_analysis,excluded_research_only
R8R021,R8C05,,大井琢,blank_or_collective_endpoint,person,counsel,counsel,claimant,human_checked,E4,S139,Case roles are case-specific and do not establish a stable alliance or a person-level bridge.,research_only,candidate_analysis,excluded_research_only
R8R022,R8C05,,Ishigaki City and Mayor,blank_or_collective_endpoint,public_institution_set,defendant_and_target,defendant,respondent,human_checked,E4,S137,Case roles are case-specific and do not establish a stable alliance or a person-level bridge.,research_only,candidate_analysis,excluded_research_only
R8R023,R8C06,,Awase resident plaintiffs,blank_or_collective_endpoint,procedural_collective,plaintiff,plaintiff,claimant,human_checked,E4,S140;S142,Case roles are case-specific and do not establish a stable alliance or a person-level bridge.,research_only,candidate_analysis,excluded_research_only
R8R024,R8C06,,Awase litigation counsel group,blank_or_collective_endpoint,procedural_collective,counsel,counsel,claimant,human_checked,E4,S142,Case roles are case-specific and do not establish a stable alliance or a person-level bridge.,research_only,candidate_analysis,excluded_research_only
R8R025,R8C06,A055,泡瀬干潟を守る連絡会,other_registry_actor,registered_actor,supporter,supporter,movement_support,human_checked,E3,S142,Case roles are case-specific and do not establish a stable alliance or a person-level bridge.,research_only,candidate_analysis,excluded_research_only
R8R026,R8C06,A020,日本環境法律家連盟（JELF）,accountability_comparison,registered_actor,supporter,supporter,legal_network,human_checked,E3,S142,Case roles are case-specific and do not establish a stable alliance or a person-level bridge.,research_only,candidate_analysis,excluded_research_only
R8R027,R8C06,,Governor of Okinawa; Mayor of Okinawa City,blank_or_collective_endpoint,public_institution_set,defendant_officials_and_targets,defendant,respondent,human_checked,E4,S140;S143,Case roles are case-specific and do not establish a stable alliance or a person-level bridge.,research_only,candidate_analysis,excluded_research_only
