relation_id,input_layer,source_endpoint,source_name,source_ecology,target_endpoint,target_name,target_ecology,ecology_relation,relation_family,relation_type,source_claim_status,source_review_status,evidence_level,source_ids,interpretation_limit,package_scope,package_claim_status,frontend_eligibility
F038,reviewed,A103,全国基地爆音訴訟原告団連絡会議,accountability_comparison,A053,普天間基地爆音訴訟団,accountability_comparison,accountability_internal,structural_affiliation,network_membership,supported,human_checked,E4,S122;S123,A zero count of cross-ecology rows means only that no direct dyadic relation is encoded in these current reviewed/research inputs. It does not prove social separation or no shared people.,research_only,candidate_analysis,excluded_research_only
F039,reviewed,A104,普天間基地爆音訴訟弁護団,accountability_comparison,A053,普天間基地爆音訴訟団,accountability_comparison,accountability_internal,legal_collaboration,legal_counsel,supported,human_checked,E4,S124,A zero count of cross-ecology rows means only that no direct dyadic relation is encoded in these current reviewed/research inputs. It does not prove social separation or no shared people.,research_only,candidate_analysis,excluded_research_only
F042,reviewed,A109,第4次嘉手納基地爆音差止訴訟弁護団,accountability_comparison,A052,嘉手納基地爆音差止訴訟原告団,accountability_comparison,accountability_internal,legal_collaboration,legal_counsel,supported,human_checked,E4,S149;S151;S152,A zero count of cross-ecology rows means only that no direct dyadic relation is encoded in these current reviewed/research inputs. It does not prove social separation or no shared people.,research_only,candidate_analysis,excluded_research_only
F043,reviewed,A105,日本YWCA,accountability_comparison,A107,沖縄YWCA,accountability_comparison,accountability_internal,structural_affiliation,organizational_affiliation,supported,human_checked,E3,S144;S145,A zero count of cross-ecology rows means only that no direct dyadic relation is encoded in these current reviewed/research inputs. It does not prove social separation or no shared people.,research_only,candidate_analysis,excluded_research_only
F001,research,X002,Phoenix Corporation / Phoenix Park Hotel,service_periphery,X001,USO Okinawa,service_core,service_ecology_internal,resources_funding,donation,candidate,ai_seeded,E4,,A zero count of cross-ecology rows means only that no direct dyadic relation is encoded in these current reviewed/research inputs. It does not prove social separation or no shared people.,research_only,candidate_analysis,excluded_research_only
F014,research,A047,沖縄平和運動センター,accountability_comparison,A048,沖縄一坪反戦地主会,accountability_comparison,accountability_internal,coordination,coordination,candidate,ai_seeded,E3,S031,A zero count of cross-ecology rows means only that no direct dyadic relation is encoded in these current reviewed/research inputs. It does not prove social separation or no shared people.,research_only,candidate_analysis,excluded_research_only
F015,research,A059,沖縄「建白書」を実現し未来を拓く島ぐるみ会議,accountability_comparison,A047,沖縄平和運動センター,accountability_comparison,accountability_internal,coordination,coordination,candidate,ai_seeded,E3,S029;S031,A zero count of cross-ecology rows means only that no direct dyadic relation is encoded in these current reviewed/research inputs. It does not prove social separation or no shared people.,research_only,candidate_analysis,excluded_research_only
F016,research,A066,新外交イニシアティブ（ND）,accountability_comparison,A050,沖縄弁護士会,accountability_comparison,accountability_internal,coordination,partnership,candidate,ai_seeded,E3,S032,A zero count of cross-ecology rows means only that no direct dyadic relation is encoded in these current reviewed/research inputs. It does not prove social separation or no shared people.,research_only,candidate_analysis,excluded_research_only
F017,research,A063,一坪反戦地主会関東ブロック,accountability_comparison,A048,沖縄一坪反戦地主会,accountability_comparison,accountability_internal,structural_affiliation,solidarity_branch,candidate,ai_seeded,E3,S038,A zero count of cross-ecology rows means only that no direct dyadic relation is encoded in these current reviewed/research inputs. It does not prove social separation or no shared people.,research_only,candidate_analysis,excluded_research_only
F018,research,A067,辺野古土砂搬出反対全国連絡協議会,accountability_comparison,A025,辺野古への基地建設を許さない実行委員会,accountability_comparison,accountability_internal,coordination,coordination,candidate,ai_seeded,E3,S040,A zero count of cross-ecology rows means only that no direct dyadic relation is encoded in these current reviewed/research inputs. It does not prove social separation or no shared people.,research_only,candidate_analysis,excluded_research_only
F019,research,X010,沖縄NGOセンター,other_registry_actor,A074,沖縄県知事公室基地対策課,other_registry_actor,outside_two_group_comparison,coordination,administrative_collaboration,candidate,needs_second_source,E2,S043,A zero count of cross-ecology rows means only that no direct dyadic relation is encoded in these current reviewed/research inputs. It does not prove social separation or no shared people.,research_only,candidate_analysis,excluded_research_only
F020,research,A051,「辺野古」県民投票の会,accountability_comparison,A050,沖縄弁護士会,accountability_comparison,accountability_internal,legal_collaboration,legal_support,candidate,ai_seeded,E3,S025;S037,A zero count of cross-ecology rows means only that no direct dyadic relation is encoded in these current reviewed/research inputs. It does not prove social separation or no shared people.,research_only,candidate_analysis,excluded_research_only
