actor_id,canonical_name,actor_class,origin_type,evidence_level,actor_review_status,scope_status,active_issue_edge_count,human_reviewed_issue_edge_count,anchor_issue_ids,active_anchor_issue_edge_count,human_reviewed_anchor_issue_edge_count,candidate_anchor_issue_edge_count,anchor_selection_evidence_status,all_active_issue_ids,active_place_ids,source_ids,non_source_refs,selection_rule,interpretation_limit,package_scope,package_claim_status,frontend_eligibility
A017,沖縄対話プロジェクト,citizen_network,okinawa_local,E4,ai_seeded,,3,0,I017;I018,2,0,2,candidate_anchor_only,I017;I018;I019,P001;P011,S022,,active registry actor; at least one active edge in the declared accountability anchor issue set; service and non-civic institution/sponsor classes excluded,"Selection into this research comparison is not a political-identity judgment, alliance claim, or population census.",research_only,candidate_analysis,excluded_research_only
A018,ノーモア沖縄戦 命どぅ宝の会,citizen_group,okinawa_local,E4,ai_seeded,,3,0,I017;I018,2,0,2,candidate_anchor_only,I017;I018;I019,P001;P011,S023;S024,,active registry actor; at least one active edge in the declared accountability anchor issue set; service and non-civic institution/sponsor classes excluded,"Selection into this research comparison is not a political-identity judgment, alliance claim, or population census.",research_only,candidate_analysis,excluded_research_only
A019,ヘリ基地反対協議会（海上ヘリ基地建設反対・平和と名護市政民主化を求める協議会）,citizen_network,okinawa_local,E4,human_checked,,2,2,I001;I003,2,2,0,at_least_one_human_reviewed_anchor,I001;I003,P002,S008;S049;S050,,active registry actor; at least one active edge in the declared accountability anchor issue set; service and non-civic institution/sponsor classes excluded,"Selection into this research comparison is not a political-identity judgment, alliance claim, or population census.",research_only,candidate_analysis,excluded_research_only
A020,日本環境法律家連盟（JELF）,lawyers_network,japan_domestic,E4,ai_seeded,,3,0,I004,1,0,1,candidate_anchor_only,I004;I005;I011,P002;P003,S006;S007,,active registry actor; at least one active edge in the declared accountability anchor issue set; service and non-civic institution/sponsor classes excluded,"Selection into this research comparison is not a political-identity judgment, alliance claim, or population census.",research_only,candidate_analysis,excluded_research_only
A021,国際環境NGO FoE Japan,domestic_japan_ngo,japan_domestic,E4,ai_seeded,,2,0,I001,1,0,1,candidate_anchor_only,I001;I005,P002,S004,,active registry actor; at least one active edge in the declared accountability anchor issue set; service and non-civic institution/sponsor classes excluded,"Selection into this research comparison is not a political-identity judgment, alliance claim, or population census.",research_only,candidate_analysis,excluded_research_only
A022,NPO法人 ラムサール・ネットワーク日本,domestic_japan_ngo,japan_domestic,E4,ai_seeded,,2,0,I001,1,0,1,candidate_anchor_only,I001;I005,P002,S004,,active registry actor; at least one active edge in the declared accountability anchor issue set; service and non-civic institution/sponsor classes excluded,"Selection into this research comparison is not a political-identity judgment, alliance claim, or population census.",research_only,candidate_analysis,excluded_research_only
A023,美ら海にもやんばるにも基地はいらない市民の会,local_civic_actor,japan_domestic,E4,ai_seeded,,2,0,I001,1,0,1,candidate_anchor_only,I001;I005,P001;P002,S004,,active registry actor; at least one active edge in the declared accountability anchor issue set; service and non-civic institution/sponsor classes excluded,"Selection into this research comparison is not a political-identity judgment, alliance claim, or population census.",research_only,candidate_analysis,excluded_research_only
A024,辺野古リレー,citizen_network,okinawa_local,E4,ai_seeded,,2,0,I001;I003,2,0,2,candidate_anchor_only,I001;I003,P002,S004,,active registry actor; at least one active edge in the declared accountability anchor issue set; service and non-civic institution/sponsor classes excluded,"Selection into this research comparison is not a political-identity judgment, alliance claim, or population census.",research_only,candidate_analysis,excluded_research_only
A025,辺野古への基地建設を許さない実行委員会,executive_committee,okinawa_local,E4,ai_seeded,,2,0,I001;I003,2,0,2,candidate_anchor_only,I001;I003,P002,S004,,active registry actor; at least one active edge in the declared accountability anchor issue set; service and non-civic institution/sponsor classes excluded,"Selection into this research comparison is not a political-identity judgment, alliance claim, or population census.",research_only,candidate_analysis,excluded_research_only
A027,公共事業改革市民会議,citizen_network,japan_domestic,E4,ai_seeded,,2,0,I001,1,0,1,candidate_anchor_only,I001;I005,P002,S004,,active registry actor; at least one active edge in the declared accountability anchor issue set; service and non-civic institution/sponsor classes excluded,"Selection into this research comparison is not a political-identity judgment, alliance claim, or population census.",research_only,candidate_analysis,excluded_research_only
A028,沖縄のための日米市民ネットワーク（JUCON）,international_advocacy_actor,mixed_or_network,E4,ai_seeded,,2,0,I001,1,0,1,candidate_anchor_only,I001;I012,P001;P002,S004,,active registry actor; at least one active edge in the declared accountability anchor issue set; service and non-civic institution/sponsor classes excluded,"Selection into this research comparison is not a political-identity judgment, alliance claim, or population census.",research_only,candidate_analysis,excluded_research_only
A029,沖縄・生物多様性市民ネットワーク,citizen_network,okinawa_local,E4,ai_seeded,,2,0,I003,1,0,1,candidate_anchor_only,I003;I005,P001;P002,S004,,active registry actor; at least one active edge in the declared accountability anchor issue set; service and non-civic institution/sponsor classes excluded,"Selection into this research comparison is not a political-identity judgment, alliance claim, or population census.",research_only,candidate_analysis,excluded_research_only
A047,沖縄平和運動センター,citizen_network,okinawa_local,E4,ai_seeded,,4,0,I001;I002;I003,3,0,3,candidate_anchor_only,I001;I002;I003;I019,P001;P002,S031,,active registry actor; at least one active edge in the declared accountability anchor issue set; service and non-civic institution/sponsor classes excluded,"Selection into this research comparison is not a political-identity judgment, alliance claim, or population census.",research_only,candidate_analysis,excluded_research_only
A048,沖縄一坪反戦地主会,citizen_group,okinawa_local,E4,ai_seeded,,2,0,I001,1,0,1,candidate_anchor_only,I001;I019,P001,S038,,active registry actor; at least one active edge in the declared accountability anchor issue set; service and non-civic institution/sponsor classes excluded,"Selection into this research comparison is not a political-identity judgment, alliance claim, or population census.",research_only,candidate_analysis,excluded_research_only
A049,基地・軍隊を許さない行動する女たちの会,citizen_group,okinawa_local,E4,ai_seeded,,3,0,I001;I002;I007,3,0,3,candidate_anchor_only,I001;I002;I007,P001,S039,,active registry actor; at least one active edge in the declared accountability anchor issue set; service and non-civic institution/sponsor classes excluded,"Selection into this research comparison is not a political-identity judgment, alliance claim, or population census.",research_only,candidate_analysis,excluded_research_only
A050,沖縄弁護士会,lawyers_network,okinawa_local,E4,ai_seeded,,3,0,I001,1,0,1,candidate_anchor_only,I001;I009;I011,P001;P020,S037,,active registry actor; at least one active edge in the declared accountability anchor issue set; service and non-civic institution/sponsor classes excluded,"Selection into this research comparison is not a political-identity judgment, alliance claim, or population census.",research_only,candidate_analysis,excluded_research_only
A051,「辺野古」県民投票の会,citizen_group,okinawa_local,E4,ai_seeded,,3,0,I003;I010,2,0,2,candidate_anchor_only,I003;I009;I010,P001;P002,S025,,active registry actor; at least one active edge in the declared accountability anchor issue set; service and non-civic institution/sponsor classes excluded,"Selection into this research comparison is not a political-identity judgment, alliance claim, or population census.",research_only,candidate_analysis,excluded_research_only
A052,嘉手納基地爆音差止訴訟原告団,citizen_group,okinawa_local,E4,human_checked,,4,1,I001;I007;I021,3,1,2,at_least_one_human_reviewed_anchor,I001;I007;I011;I021,P005,S026;S149;S151;S155,,active registry actor; at least one active edge in the declared accountability anchor issue set; service and non-civic institution/sponsor classes excluded,"Selection into this research comparison is not a political-identity judgment, alliance claim, or population census.",research_only,candidate_analysis,excluded_research_only
A053,普天間基地爆音訴訟団,citizen_group,okinawa_local,E4,human_checked,,4,1,I001;I007;I021,3,1,2,at_least_one_human_reviewed_anchor,I001;I007;I011;I021,P004;P018,S027;S135;S156,,active registry actor; at least one active edge in the declared accountability anchor issue set; service and non-civic institution/sponsor classes excluded,"Selection into this research comparison is not a political-identity judgment, alliance claim, or population census.",research_only,candidate_analysis,excluded_research_only
A056,沖縄環境ネットワーク,citizen_network,okinawa_local,E3,needs_second_source,,2,0,I001,1,0,1,candidate_anchor_only,I001;I005,P001,S033,,active registry actor; at least one active edge in the declared accountability anchor issue set; service and non-civic institution/sponsor classes excluded,"Selection into this research comparison is not a political-identity judgment, alliance claim, or population census.",research_only,candidate_analysis,excluded_research_only
A057,沖縄意見広告運動,citizen_network,japan_domestic,E3,ai_seeded,,2,0,I001,1,0,1,candidate_anchor_only,I001;I019,P001,S034,,active registry actor; at least one active edge in the declared accountability anchor issue set; service and non-civic institution/sponsor classes excluded,"Selection into this research comparison is not a political-identity judgment, alliance claim, or population census.",research_only,candidate_analysis,excluded_research_only
A058,安保廃棄・くらしと民主主義を守る沖縄県統一行動連絡会議,citizen_network,okinawa_local,E3,needs_second_source,,2,0,I001,1,0,1,candidate_anchor_only,I001;I019,P001,S031,,active registry actor; at least one active edge in the declared accountability anchor issue set; service and non-civic institution/sponsor classes excluded,"Selection into this research comparison is not a political-identity judgment, alliance claim, or population census.",research_only,candidate_analysis,excluded_research_only
A059,沖縄「建白書」を実現し未来を拓く島ぐるみ会議,citizen_network,okinawa_local,E3,ai_seeded,,3,0,I001;I003,2,0,2,candidate_anchor_only,I001;I003;I009,P001;P002,S029,,active registry actor; at least one active edge in the declared accountability anchor issue set; service and non-civic institution/sponsor classes excluded,"Selection into this research comparison is not a political-identity judgment, alliance claim, or population census.",research_only,candidate_analysis,excluded_research_only
A060,高江のヘリパッドいらない住民の会,citizen_group,okinawa_local,E3,ai_seeded,,2,0,I001,1,0,1,candidate_anchor_only,I001;I005,P001;P016,S028,,active registry actor; at least one active edge in the declared accountability anchor issue set; service and non-civic institution/sponsor classes excluded,"Selection into this research comparison is not a political-identity judgment, alliance claim, or population census.",research_only,candidate_analysis,excluded_research_only
A063,一坪反戦地主会関東ブロック,citizen_group,japan_domestic,E3,ai_seeded,,2,0,I001,1,0,1,candidate_anchor_only,I001;I019,P001,S038,,active registry actor; at least one active edge in the declared accountability anchor issue set; service and non-civic institution/sponsor classes excluded,"Selection into this research comparison is not a political-identity judgment, alliance claim, or population census.",research_only,candidate_analysis,excluded_research_only
A064,外国軍事基地撤去国際ネットワーク（No Bases Network）,international_advocacy_actor,international,E3,needs_second_source,,2,0,I001,1,0,1,candidate_anchor_only,I001;I012,P001,S033,,active registry actor; at least one active edge in the declared accountability anchor issue set; service and non-civic institution/sponsor classes excluded,"Selection into this research comparison is not a political-identity judgment, alliance claim, or population census.",research_only,candidate_analysis,excluded_research_only
A065,南西諸島ピースネット,citizen_network,okinawa_local,E3,needs_second_source,,3,0,I002;I017;I018,3,0,3,candidate_anchor_only,I002;I017;I018,P011;P013,S036,,active registry actor; at least one active edge in the declared accountability anchor issue set; service and non-civic institution/sponsor classes excluded,"Selection into this research comparison is not a political-identity judgment, alliance claim, or population census.",research_only,candidate_analysis,excluded_research_only
A066,新外交イニシアティブ（ND）,domestic_japan_ngo,japan_domestic,E4,ai_seeded,,3,0,I001,1,0,1,candidate_anchor_only,I001;I009;I011,P001;P020,S032,,active registry actor; at least one active edge in the declared accountability anchor issue set; service and non-civic institution/sponsor classes excluded,"Selection into this research comparison is not a political-identity judgment, alliance claim, or population census.",research_only,candidate_analysis,excluded_research_only
A067,辺野古土砂搬出反対全国連絡協議会,citizen_network,japan_domestic,E3,ai_seeded,,3,0,I001;I003,2,0,2,candidate_anchor_only,I001;I003;I005,P002,S040,,active registry actor; at least one active edge in the declared accountability anchor issue set; service and non-civic institution/sponsor classes excluded,"Selection into this research comparison is not a political-identity judgment, alliance claim, or population census.",research_only,candidate_analysis,excluded_research_only
A068,ヘリポート基地建設の是非を問う名護市民投票推進協議会,citizen_group,okinawa_local,E3,ai_seeded,,3,0,I001;I003;I010,3,0,3,candidate_anchor_only,I001;I003;I010,P002;P017,S042,,active registry actor; at least one active edge in the declared accountability anchor issue set; service and non-civic institution/sponsor classes excluded,"Selection into this research comparison is not a political-identity judgment, alliance claim, or population census.",research_only,candidate_analysis,excluded_research_only
A069,沖縄ジュゴン環境アセスメント監視団,citizen_group,okinawa_local,E3,needs_second_source,,3,0,I003;I004,2,0,2,candidate_anchor_only,I003;I004;I005,P002;P003,S047,,active registry actor; at least one active edge in the declared accountability anchor issue set; service and non-civic institution/sponsor classes excluded,"Selection into this research comparison is not a political-identity judgment, alliance claim, or population census.",research_only,candidate_analysis,excluded_research_only
A070,Veterans For Peace Ryukyu/Okinawa Chapter Kokusai (VFP-ROCK),international_advocacy_actor,us_origin,E3,needs_second_source,,3,0,I001,1,0,1,candidate_anchor_only,I001;I012;I019,P001,S048,,active registry actor; at least one active edge in the declared accountability anchor issue set; service and non-civic institution/sponsor classes excluded,"Selection into this research comparison is not a political-identity judgment, alliance claim, or population census.",research_only,candidate_analysis,excluded_research_only
A071,沖縄から基地をなくし世界の平和を求める市民連絡会,citizen_network,okinawa_local,E3,needs_second_source,,2,0,I001,1,0,1,candidate_anchor_only,I001;I019,P001,,,active registry actor; at least one active edge in the declared accountability anchor issue set; service and non-civic institution/sponsor classes excluded,"Selection into this research comparison is not a political-identity judgment, alliance claim, or population census.",research_only,candidate_analysis,excluded_research_only
A076,ジュゴン保護基金委員会（Save the Dugong Foundation）,local_civic_actor,okinawa_local,E3,needs_second_source,,3,3,I003;I004,2,2,0,at_least_one_human_reviewed_anchor,I003;I004;I011,,S060;S093,,active registry actor; at least one active edge in the declared accountability anchor issue set; service and non-civic institution/sponsor classes excluded,"Selection into this research comparison is not a political-identity judgment, alliance claim, or population census.",research_only,candidate_analysis,excluded_research_only
A086,Turtle Island Restoration Network,international_ngo,us_origin,E4,ai_seeded,,4,4,I004,1,1,0,at_least_one_human_reviewed_anchor,I004;I005;I011;I012,,S060;S228;S229,,active registry actor; at least one active edge in the declared accountability anchor issue set; service and non-civic institution/sponsor classes excluded,"Selection into this research comparison is not a political-identity judgment, alliance claim, or population census.",research_only,candidate_analysis,excluded_research_only
A102,全国公害弁護団連絡会議,lawyers_network,japan_domestic,E4,human_checked,,4,4,I007;I021,2,2,0,at_least_one_human_reviewed_anchor,I007;I011;I020;I021,,S121,,active registry actor; at least one active edge in the declared accountability anchor issue set; service and non-civic institution/sponsor classes excluded,"Selection into this research comparison is not a political-identity judgment, alliance claim, or population census.",research_only,candidate_analysis,excluded_research_only
A103,全国基地爆音訴訟原告団連絡会議,citizen_network,japan_domestic,E4,human_checked,,4,4,I001;I007;I021,3,3,0,at_least_one_human_reviewed_anchor,I001;I007;I011;I021,,S122;S123,,active registry actor; at least one active edge in the declared accountability anchor issue set; service and non-civic institution/sponsor classes excluded,"Selection into this research comparison is not a political-identity judgment, alliance claim, or population census.",research_only,candidate_analysis,excluded_research_only
A104,普天間基地爆音訴訟弁護団,lawyers_network,okinawa_local,E4,human_checked,,4,4,I001;I007;I021,3,3,0,at_least_one_human_reviewed_anchor,I001;I007;I011;I021,,S124,,active registry actor; at least one active edge in the declared accountability anchor issue set; service and non-civic institution/sponsor classes excluded,"Selection into this research comparison is not a political-identity judgment, alliance claim, or population census.",research_only,candidate_analysis,excluded_research_only
A105,日本YWCA,womens_organization,japan_domestic,E4,human_checked,,4,4,I003,1,1,0,at_least_one_human_reviewed_anchor,I003;I019;I022;I023,,S125,,active registry actor; at least one active edge in the declared accountability anchor issue set; service and non-civic institution/sponsor classes excluded,"Selection into this research comparison is not a political-identity judgment, alliance claim, or population census.",research_only,candidate_analysis,excluded_research_only
A106,辺野古の海を土砂で埋めるな！首都圏連絡会,citizen_network,japan_domestic,E4,human_checked,,4,4,I001;I003,2,2,0,at_least_one_human_reviewed_anchor,I001;I003;I020;I024,,S126;S127,,active registry actor; at least one active edge in the declared accountability anchor issue set; service and non-civic institution/sponsor classes excluded,"Selection into this research comparison is not a political-identity judgment, alliance claim, or population census.",research_only,candidate_analysis,excluded_research_only
A107,沖縄YWCA,womens_organization,okinawa_local,E3,human_checked,,4,4,I001,1,1,0,at_least_one_human_reviewed_anchor,I001;I019;I022;I023,P001,S144;S295,,active registry actor; at least one active edge in the declared accountability anchor issue set; service and non-civic institution/sponsor classes excluded,"Selection into this research comparison is not a political-identity judgment, alliance claim, or population census.",research_only,candidate_analysis,excluded_research_only
A108,沖縄を再び戦場にさせない県民の会,citizen_network,okinawa_local,E4,human_checked,,4,4,I017;I018;I025,3,3,0,at_least_one_human_reviewed_anchor,I017;I018;I019;I025,P001,S146;S147;S148,,active registry actor; at least one active edge in the declared accountability anchor issue set; service and non-civic institution/sponsor classes excluded,"Selection into this research comparison is not a political-identity judgment, alliance claim, or population census.",research_only,candidate_analysis,excluded_research_only
A109,第4次嘉手納基地爆音差止訴訟弁護団,lawyers_network,okinawa_local,E4,human_checked,,4,4,I001;I007;I021,3,3,0,at_least_one_human_reviewed_anchor,I001;I007;I011;I021,P005,S149;S150;S151;S152,,active registry actor; at least one active edge in the declared accountability anchor issue set; service and non-civic institution/sponsor classes excluded,"Selection into this research comparison is not a political-identity judgment, alliance claim, or population census.",research_only,candidate_analysis,excluded_research_only
A110,辺野古に基地を絶対つくらせない大阪行動,citizen_group,japan_domestic,E3,human_checked,,4,4,I001;I003,2,2,0,at_least_one_human_reviewed_anchor,I001;I003;I024;I026,P002,S153;S154,,active registry actor; at least one active edge in the declared accountability anchor issue set; service and non-civic institution/sponsor classes excluded,"Selection into this research comparison is not a political-identity judgment, alliance claim, or population census.",research_only,candidate_analysis,excluded_research_only
A111,沖縄県女性団体連絡協議会,womens_organization,okinawa_local,E4,human_checked,,4,4,I001,1,1,0,at_least_one_human_reviewed_anchor,I001;I019;I022;I023,P001,S200;S201,,active registry actor; at least one active edge in the declared accountability anchor issue set; service and non-civic institution/sponsor classes excluded,"Selection into this research comparison is not a political-identity judgment, alliance claim, or population census.",research_only,candidate_analysis,excluded_research_only
A112,宮古島地下水研究会,citizen_group,okinawa_local,E4,human_checked,,4,0,I006;I007;I008,3,0,3,candidate_anchor_only,I006;I007;I008;I020,P013,S158;S204;S269;S270;S271,,active registry actor; at least one active edge in the declared accountability anchor issue set; service and non-civic institution/sponsor classes excluded,"Selection into this research comparison is not a political-identity judgment, alliance claim, or population census.",research_only,candidate_analysis,excluded_research_only
A113,宜野湾ちゅら水会,citizen_group,okinawa_local,E4,human_checked,,5,0,I006;I007;I008,3,0,3,candidate_anchor_only,I006;I007;I008;I011;I020,P004;P018,S273;S274;S275;S276;S277;S278,,active registry actor; at least one active edge in the declared accountability anchor issue set; service and non-civic institution/sponsor classes excluded,"Selection into this research comparison is not a political-identity judgment, alliance claim, or population census.",research_only,candidate_analysis,excluded_research_only
A114,全日本港湾労働組合沖縄地方本部,labor_union,okinawa_local,E4,human_checked,,5,0,I001;I002;I007,3,0,3,candidate_anchor_only,I001;I002;I007;I019;I026,P012;P020,S286;S287;S288;S289,,active registry actor; at least one active edge in the declared accountability anchor issue set; service and non-civic institution/sponsor classes excluded,"Selection into this research comparison is not a political-identity judgment, alliance claim, or population census.",research_only,candidate_analysis,excluded_research_only
A115,新日本婦人の会沖縄県本部,womens_organization,okinawa_local,E4,human_checked,,5,0,I001;I010,2,0,2,candidate_anchor_only,I001;I010;I019;I022;I023,P001,S254;S280;S281;S282;S283,,active registry actor; at least one active edge in the declared accountability anchor issue set; service and non-civic institution/sponsor classes excluded,"Selection into this research comparison is not a political-identity judgment, alliance claim, or population census.",research_only,candidate_analysis,excluded_research_only
