relation_observation_id,source_entity_id,source_entity_name,source_ecology,target_entity_id,target_entity_name,target_ecology,ecology_relation,program_name,relation_type,relation_scope,financial_semantics,source_review_status,evidence_level,source_refs,interpretation_limit,package_scope,package_claim_status,frontend_eligibility
R10R011,PUB_OKINAWA_PREF,冲绳县,non_registry_or_provisional,P_R10_IC_HRD_JV,国际协力人才培养事业共同企业体,non_registry_or_provisional,outside_two_group_comparison,冲绳国际协力人才培养事业,commission,public_to_composite,confirmed_contract_plus_project_cost,human_revised,E4,S002;R10S12;R10S13,"21.799m 是事业费；27.199m 是该 JV 的实际合同额；合同额不得拆给成员。 R10 observations do not by themselves establish political stance, shared personnel, or movement ties.",research_only,candidate_analysis,excluded_research_only
R10R012,PUB_OKINAWA_PREF,冲绳县,non_registry_or_provisional,P_R10_WYUR,世界若者ウチナーンチュ连合会,non_registry_or_provisional,outside_two_group_comparison,次世代ウチナーネットワーク继承基础建设（UNC 运营）,commission,public_to_actor,commission_relation_project_cost_only,human_checked,E4,S002;R10S12,"10.329m 是事业费／提案上限，不是实际合同额；registry crosswalk 留给 HR-032 R10 observations do not by themselves establish political stance, shared personnel, or movement ties.",research_only,candidate_analysis,excluded_research_only
R10R013,PUB_OKINAWA_PREF,冲绳县,non_registry_or_provisional,P_R10_TEAM_OKIYUA,Team OKIYUA,non_registry_or_provisional,outside_two_group_comparison,次世代ウチナーネットワーク继承基础建设（留学生接收）,commission,public_to_composite,confirmed_contract_plus_project_cost,human_revised,E4,S002;R10S12;R10S13,"39.739m 是事业费；37,220,999 円是该复合主体的实际合同额；不得拆给成员。 R10 observations do not by themselves establish political stance, shared personnel, or movement ties.",research_only,candidate_analysis,excluded_research_only
R10R014,PUB_OKINAWA_PREF,冲绳县,non_registry_or_provisional,P_R10_JOCA_OKINAWA,青年海外协力协会冲绳事务所,non_registry_or_provisional,outside_two_group_comparison,Let's Study! Uchina Network,commission,public_to_actor,commission_relation_project_cost_only,human_checked,E4,S002;R10S12,"7.171m 只是事业费；事务所不是独立法人；registry crosswalk 留给 HR-032 R10 observations do not by themselves establish political stance, shared personnel, or movement ties.",research_only,candidate_analysis,excluded_research_only
R10R015,PUB_OKINAWA_PREF,冲绳县,non_registry_or_provisional,P_R10_JUNIOR_STUDY_JV,Uchina Junior Study 共同企业体,non_registry_or_provisional,outside_two_group_comparison,Uchina Junior Study 事业,commission,public_to_composite,commission_relation_project_cost_only,human_checked,E4,S002;R10S12,"15.442m 只是事业费；JV 为项目复合主体；不得拆额 R10 observations do not by themselves establish political stance, shared personnel, or movement ties.",research_only,candidate_analysis,excluded_research_only
R10R016,PUB_OKINAWA_PREF,冲绳县,non_registry_or_provisional,P_R10_OIHF,冲绳县国际交流·人才育成财团,non_registry_or_provisional,outside_two_group_comparison,国际交流·协力推进事业,grant,public_to_actor,grant_relation_project_cost_not_award,human_checked,E4,S002;R10S12,"17.932m 是事业费；21.127m 是初始预算；均不是 award 或 paid amount R10 observations do not by themselves establish political stance, shared personnel, or movement ties.",research_only,candidate_analysis,excluded_research_only
R10R017,X010,沖縄NGOセンター,other_registry_actor,X011,JICA沖縄,other_registry_actor,outside_two_group_comparison,国际协力 festival 协作,event_collaboration,actor_to_actor,non_funding_collaboration,human_checked,E4,S095,"共同参与活动不是资金关系或稳定联盟。 R10 observations do not by themselves establish political stance, shared personnel, or movement ties.",research_only,candidate_analysis,excluded_research_only
R10R018,X001,USO Okinawa,service_core,BENEF_US_MIL_FAMILIES,美军现役人员、预备役/国民警卫队、配偶及家属,non_registry_or_provisional,service_to_other_interface,USO Okinawa 基地社区服务,service_presence,actor_to_beneficiary_group,service_presence_no_funding,human_checked,E4,S097,"不生成资金、政治立场或八条组织关系 R10 observations do not by themselves establish political stance, shared personnel, or movement ties.",research_only,candidate_analysis,excluded_research_only
R10R019,X003,American Engineering Corporation (AEC),service_periphery,X001,USO Okinawa,service_core,service_ecology_internal,USO Okinawa 长期企业伙伴,sponsorship,actor_to_actor,sponsor_tier_plus_named_donation,human_checked,E4,S097;S098,"赞助与捐赠可确认；不据此推断企业或 USO 的基地政策立场。 R10 observations do not by themselves establish political stance, shared personnel, or movement ties.",research_only,candidate_analysis,excluded_research_only
R10R020,P_R10_MBC,"Mediatti Broadband Communications, Inc. (MBC Okinawa)",non_registry_or_provisional,X001,USO Okinawa,service_core,service_to_other_interface,USO Okinawa sponsor tier,sponsorship,direct_okinawa_service_sponsorship,sponsor_tier_and_support_types_no_amount,human_checked,E3,S097,"Platinum 层级和支持类型不能换算金额；赞助不证明基地政策立场。 R10 observations do not by themselves establish political stance, shared personnel, or movement ties.",research_only,candidate_analysis,excluded_research_only
R10R021,P_R10_MATSON,Matson,non_registry_or_provisional,P_R10_USO_INDO_PACIFIC,USO Indo-Pacific,non_registry_or_provisional,outside_two_group_comparison,Matson — USO Indo-Pacific Mission Partner,sponsorship,regional_context_not_okinawa_direct,sponsor_tier_no_amount_or_local_allocation,human_revised,E3,S097,"不写成 Matson 对 USO Okinawa 的本地定向资助；无金额、无本地 allocation、无政治立场推断。 R10 observations do not by themselves establish political stance, shared personnel, or movement ties.",research_only,candidate_analysis,excluded_research_only
R10R022,X007,Okinawa Enlisted Spouses' Club (OESC),service_core,X001,USO Okinawa,service_core,service_ecology_internal,OESC 向 USO Okinawa 捐赠,donation,actor_to_actor,named_donation,human_revised,E4,S053,"直接慈善捐赠，不代表政治立场或运动关系。 R10 observations do not by themselves establish political stance, shared personnel, or movement ties.",research_only,candidate_analysis,excluded_research_only
R10R023,X004,American Welfare & Works Association (AWWA),service_core,X001,USO Okinawa,service_core,service_ecology_internal,USO Kinser kitchen refresh,grant,actor_to_actor,named_grant_no_amount,human_checked,E3,S077,"只确认这项 grant，不外推完整年度 recipient 网络。 R10 observations do not by themselves establish political stance, shared personnel, or movement ties.",research_only,candidate_analysis,excluded_research_only
R10R024,X004,AWWA,service_core,X005,NOSCO,service_core,service_ecology_internal,AWWA umbrella membership,network_membership,actor_to_actor,membership_no_funding,human_checked,E4,S041;S055;S072,"成员关系不构成资助。 R10 observations do not by themselves establish political stance, shared personnel, or movement ties.",research_only,candidate_analysis,excluded_research_only
R10R025,X004,AWWA,service_core,X006,KOSC,service_core,service_ecology_internal,AWWA umbrella membership,network_membership,actor_to_actor,membership_no_funding,human_checked,E4,S041;S055;S072;S075,"成员关系不构成资助。 R10 observations do not by themselves establish political stance, shared personnel, or movement ties.",research_only,candidate_analysis,excluded_research_only
R10R026,X004,AWWA,service_core,X007,OESC,service_core,service_ecology_internal,AWWA umbrella membership,network_membership,actor_to_actor,membership_no_funding,human_checked,E4,S041;S055,"成员关系不构成资助。 R10 observations do not by themselves establish political stance, shared personnel, or movement ties.",research_only,candidate_analysis,excluded_research_only
R10R027,X004,AWWA,service_core,X016,MOSCO,service_core,service_ecology_internal,AWWA umbrella membership,network_membership,actor_to_actor,membership_no_funding,human_checked,E4,S041;S055;S079,"成员关系不构成资助。 R10 observations do not by themselves establish political stance, shared personnel, or movement ties.",research_only,candidate_analysis,excluded_research_only
R10R028,X017,Army Community Group of Okinawa,service_core,X004,AWWA,service_core,service_ecology_internal,ACGO 的 AWWA 历史成员关系,network_membership,historical_actor_to_umbrella,membership_no_funding,human_revised,E3,S072;S094;S081,"历史 membership 不是资助；不写精确退出年份，也不因当前未列名推定组织解散。 R10 observations do not by themselves establish political stance, shared personnel, or movement ties.",research_only,candidate_analysis,excluded_research_only
R10R029,X006,KOSC,service_core,P_R10_KOSC_MIXED_RECIPIENTS,scholarships 与 AWWA 混合口径,non_registry_or_provisional,service_to_other_interface,KOSC prior-year contribution report,aggregate_financial_contribution,actor_to_composite,aggregate_mixed_recipient_no_allocation,human_revised,E4,S075,"The aggregate cannot be allocated to AWWA, any scholarship recipient, or any single actor; it does not enter the organization relation graph. R10 observations do not by themselves establish political stance, shared personnel, or movement ties.",research_only,candidate_analysis,excluded_research_only
R10R030,X004,AWWA,service_core,UNKNOWN_OKINAWA_WELFARE,冲绳福利设施（未逐一列名）,non_registry_or_provisional,service_to_other_interface,AWWA long-term donation history,aggregate_history,actor_to_aggregate,aggregate_history_no_allocation,needs_local_retrieval,E3,S078,"累计口径不能拆给任何具体 recipient 或年度。 R10 observations do not by themselves establish political stance, shared personnel, or movement ties.",research_only,candidate_analysis,excluded_research_only
R10R031,X004,AWWA,service_core,R_YOMITAN_QUEGOEN,よみたん救護園,non_registry_or_provisional,service_to_other_interface,无障碍车辆实物捐赠,in_kind_donation,actor_to_recipient,named_in_kind_item_value,human_revised,E3,S094,"2,000,000 円是实物价值，不是现金、付款或长期资助。 R10 observations do not by themselves establish political stance, shared personnel, or movement ties.",research_only,candidate_analysis,excluded_research_only
R10R032,X004,AWWA,service_core,R_URUMA_SOCIAL_WELFARE,社会福祉法人うるま市社会福祉協議会,non_registry_or_provisional,service_to_other_interface,无障碍车辆实物捐赠,in_kind_donation,actor_to_recipient,named_in_kind_no_amount,human_revised,E3,S072,"只确认 2012 年报道中的法人 recipient 与实物支持；不补金额或具体下属设施。 R10 observations do not by themselves establish political stance, shared personnel, or movement ties.",research_only,candidate_analysis,excluded_research_only
R10R033,X004,AWWA,service_core,R_BSA_FAR_EAST,Boy Scouts of America Far East Council,non_registry_or_provisional,service_to_other_interface,AWWA 帮助 Far East Council 获得皮划艇,in_kind_acquisition_assistance,actor_to_recipient,no_amount_no_quantity_no_share_allocation,human_revised,E3,S072,"事件日期、数量、金额与 AWWA 份额均未知；不得改写成“2012 年 AWWA 独自捐赠皮划艇”。 R10 observations do not by themselves establish political stance, shared personnel, or movement ties.",research_only,candidate_analysis,excluded_research_only
R10R034,X005,NOSCO,service_core,R_HESHIKIYA_CHILDCARE,平敷屋地区の放課後児童クラブ（正式名称未確認）,non_registry_or_provisional,service_to_other_interface,三台工业冷风机共同交付（事件级）,joint_in_kind_contribution,actor_to_recipient,no_amount_no_contributor_share_allocation,human_revised,E3,S102,"recipient 正式名称未确认；不把三台设备或全部价值归给 NOSCO，也不从共同交付推定联盟。 R10 observations do not by themselves establish political stance, shared personnel, or movement ties.",research_only,candidate_analysis,excluded_research_only
R10R035,X013,U.S. Consulate General Naha Okinawa Youth Council Program,other_registry_actor,UNKNOWN_RECIPIENT,未公开 recipient,non_registry_or_provisional,outside_two_group_comparison,Okinawa Youth Council Program NOFO,grant_opportunity,program_to_unknown,opportunity_only_no_award,human_checked,E4,S056;S082;S083;S084,"不得写成已拨款、已有 recipient 或与 TOFU 项目相同。 R10 observations do not by themselves establish political stance, shared personnel, or movement ties.",research_only,candidate_analysis,excluded_research_only
