source_id,source_type,title,year,service_actor_ids,accountability_actor_ids,overlap_status,interpretation_limit,package_scope,package_claim_status,frontend_eligibility
S068,local_news,沖縄タイムス 日米の合同演習 市民が中止要請 与那国イソバの会,2024,,A016,one_ecology_only_in_current_issue_layer,"Source-ID overlap is a documentation-channel measure, not a social tie. No overlap may reflect language, archive, source-selection, or module-design bias.",research_only,candidate_analysis,excluded_research_only
S069,magazine_news,週刊金曜日 自衛隊配備賛否を問う与那国島住民投票 反対派は選挙過程も疑問視,2015,,A014,one_ecology_only_in_current_issue_layer,"Source-ID overlap is a documentation-channel measure, not a social tie. No overlap may reflect language, archive, source-selection, or module-design bias.",research_only,candidate_analysis,excluded_research_only
S070,party_news,赤旗 与那国 住民投票へ 条例案可決,2014,,A014,one_ecology_only_in_current_issue_layer,"Source-ID overlap is a documentation-channel measure, not a social tie. No overlap may reflect language, archive, source-selection, or module-design bias.",research_only,candidate_analysis,excluded_research_only
S071,legal_database,与那国町住民投票条例（平成26年与那国町条例第25号／平成27年条例第1号改正、失効）,2014–2015,,A014,one_ecology_only_in_current_issue_layer,"Source-ID overlap is a documentation-channel measure, not a social tie. No overlap may reflect language, archive, source-selection, or module-design bias.",research_only,candidate_analysis,excluded_research_only
S072,military_news,DVIDS American Women's Welfare Association celebrates 40 years,2012,X004;X017,,one_ecology_only_in_current_issue_layer,"Source-ID overlap is a documentation-channel measure, not a social tie. No overlap may reflect language, archive, source-selection, or module-design bias.",research_only,candidate_analysis,excluded_research_only
S075,organization_site,Kadena Officers' Spouses' Club charity page,2026,X006,,one_ecology_only_in_current_issue_layer,"Source-ID overlap is a documentation-channel measure, not a social tie. No overlap may reflect language, archive, source-selection, or module-design bias.",research_only,candidate_analysis,excluded_research_only
S076,nonprofit_record,Kadena Officers Spouses Club ProPublica Nonprofit Explorer,2026,X006,,one_ecology_only_in_current_issue_layer,"Source-ID overlap is a documentation-channel measure, not a social tie. No overlap may reflect language, archive, source-selection, or module-design bias.",research_only,candidate_analysis,excluded_research_only
S077,organization_story,USO Okinawa AWWA grant to USO Kinser,2020,X004,,one_ecology_only_in_current_issue_layer,"Source-ID overlap is a documentation-channel measure, not a social tie. No overlap may reflect language, archive, source-selection, or module-design bias.",research_only,candidate_analysis,excluded_research_only
S078,local_news_english,Ryukyu Shimpo English AWWA donated 800 million yen over 40 years,2012,X004,,one_ecology_only_in_current_issue_layer,"Source-ID overlap is a documentation-channel measure, not a social tie. No overlap may reflect language, archive, source-selection, or module-design bias.",research_only,candidate_analysis,excluded_research_only
S079,organization_site,MOSCO official site,2026,X016,,one_ecology_only_in_current_issue_layer,"Source-ID overlap is a documentation-channel measure, not a social tie. No overlap may reflect language, archive, source-selection, or module-design bias.",research_only,candidate_analysis,excluded_research_only
S080,nonprofit_record,Marine Officers Spouses Club Okinawa ProPublica Nonprofit Explorer,2026,X016,,one_ecology_only_in_current_issue_layer,"Source-ID overlap is a documentation-channel measure, not a social tie. No overlap may reflect language, archive, source-selection, or module-design bias.",research_only,candidate_analysis,excluded_research_only
S081,community_site,Army on Okinawa Gift Shop Okinawa Hai,2009,X017,,one_ecology_only_in_current_issue_layer,"Source-ID overlap is a documentation-channel measure, not a social tie. No overlap may reflect language, archive, source-selection, or module-design bias.",research_only,candidate_analysis,excluded_research_only
S093,court_record,Okinawa Dugong v Rumsfeld docket USCOURTS-cand-3_03-cv-04350,2003,,A076,one_ecology_only_in_current_issue_layer,"Source-ID overlap is a documentation-channel measure, not a social tie. No overlap may reflect language, archive, source-selection, or module-design bias.",research_only,candidate_analysis,excluded_research_only
S121,organization_site,全国公害弁護団連絡会議,2026,,A102,one_ecology_only_in_current_issue_layer,"Source-ID overlap is a documentation-channel measure, not a social tie. No overlap may reflect language, archive, source-selection, or module-design bias.",research_only,candidate_analysis,excluded_research_only
S122,member_organization_website,全国基地爆音訴訟原告団連絡会議介绍,2026,,A103,one_ecology_only_in_current_issue_layer,"Source-ID overlap is a documentation-channel measure, not a social tie. No overlap may reflect language, archive, source-selection, or module-design bias.",research_only,candidate_analysis,excluded_research_only
S123,member_organization_action_record,全国基地爆音訴訟原告団連絡会政府要请报道,2026,,A103,one_ecology_only_in_current_issue_layer,"Source-ID overlap is a documentation-channel measure, not a social tie. No overlap may reflect language, archive, source-selection, or module-design bias.",research_only,candidate_analysis,excluded_research_only
S124,legal_network_report,普天間基地爆音訴訟报告,2026,,A104,one_ecology_only_in_current_issue_layer,"Source-ID overlap is a documentation-channel measure, not a social tie. No overlap may reflect language, archive, source-selection, or module-design bias.",research_only,candidate_analysis,excluded_research_only
S125,organization_statement,日本YWCA辺野古新基地建設声明,2026,,A105,one_ecology_only_in_current_issue_layer,"Source-ID overlap is a documentation-channel measure, not a social tie. No overlap may reflect language, archive, source-selection, or module-design bias.",research_only,candidate_analysis,excluded_research_only
S126,organization_site,辺野古の海を土砂で埋めるな首都圏連絡会,2026,,A106,one_ecology_only_in_current_issue_layer,"Source-ID overlap is a documentation-channel measure, not a social tie. No overlap may reflect language, archive, source-selection, or module-design bias.",research_only,candidate_analysis,excluded_research_only
S127,partner_organization_record,JAWAN对首都圈联络会行动记录,2026,,A106,one_ecology_only_in_current_issue_layer,"Source-ID overlap is a documentation-channel measure, not a social tie. No overlap may reflect language, archive, source-selection, or module-design bias.",research_only,candidate_analysis,excluded_research_only
S135,court_record,令和4年3月10日 普天間飛行場周辺損害賠償請求事件判決,2022,,A053,one_ecology_only_in_current_issue_layer,"Source-ID overlap is a documentation-channel measure, not a social tie. No overlap may reflect language, archive, source-selection, or module-design bias.",research_only,candidate_analysis,excluded_research_only
S144,parent_organization_profile,日本YWCA『沖縄YWCAのご紹介』,2022,,A107,one_ecology_only_in_current_issue_layer,"Source-ID overlap is a documentation-channel measure, not a social tie. No overlap may reflect language, archive, source-selection, or module-design bias.",research_only,candidate_analysis,excluded_research_only
S146,organization_site,沖縄を再び戦場にさせない県民の会 公式サイト,2023,,A108,one_ecology_only_in_current_issue_layer,"Source-ID overlap is a documentation-channel measure, not a social tie. No overlap may reflect language, archive, source-selection, or module-design bias.",research_only,candidate_analysis,excluded_research_only
S147,local_news,QAB『沖縄を再び戦場にさせない「県民平和大集会」』,2023,,A108,one_ecology_only_in_current_issue_layer,"Source-ID overlap is a documentation-channel measure, not a social tie. No overlap may reflect language, archive, source-selection, or module-design bias.",research_only,candidate_analysis,excluded_research_only
S148,local_news,沖縄を再び戦場にさせない県民の会 发足报道,2023,,A108,one_ecology_only_in_current_issue_layer,"Source-ID overlap is a documentation-channel measure, not a social tie. No overlap may reflect language, archive, source-selection, or module-design bias.",research_only,candidate_analysis,excluded_research_only
S149,local_news,嘉手納爆音、第4次訴訟を提起―原告3万5566人,2022,,A052;A109,one_ecology_only_in_current_issue_layer,"Source-ID overlap is a documentation-channel measure, not a social tie. No overlap may reflect language, archive, source-selection, or module-design bias.",research_only,candidate_analysis,excluded_research_only
S150,local_news,QAB 第4次嘉手納基地爆音差止訴訟 第1回口頭弁論前夜集会,2023,,A109,one_ecology_only_in_current_issue_layer,"Source-ID overlap is a documentation-channel measure, not a social tie. No overlap may reflect language, archive, source-selection, or module-design bias.",research_only,candidate_analysis,excluded_research_only
S151,organization_site,嘉手納基地爆音差止訴訟原告団 公式サイト,2026,,A052;A109,one_ecology_only_in_current_issue_layer,"Source-ID overlap is a documentation-channel measure, not a social tie. No overlap may reflect language, archive, source-selection, or module-design bias.",research_only,candidate_analysis,excluded_research_only
S152,participating_law_firm_record,第4次嘉手納基地爆音差止訴訟 提訴说明,2022,,A109,one_ecology_only_in_current_issue_layer,"Source-ID overlap is a documentation-channel measure, not a social tie. No overlap may reflect language, archive, source-selection, or module-design bias.",research_only,candidate_analysis,excluded_research_only
S153,organization_site,辺野古に基地を絶対つくらせない大阪行動 公式博客,2026,,A110,one_ecology_only_in_current_issue_layer,"Source-ID overlap is a documentation-channel measure, not a social tie. No overlap may reflect language, archive, source-selection, or module-design bias.",research_only,candidate_analysis,excluded_research_only
S154,media_record,IWJ 大阪・辺野古声援行动记录,2014,,A110,one_ecology_only_in_current_issue_layer,"Source-ID overlap is a documentation-channel measure, not a social tie. No overlap may reflect language, archive, source-selection, or module-design bias.",research_only,candidate_analysis,excluded_research_only
S155,organization_history,嘉手納基地爆音差止訴訟原告団 訴訟の歴史,2026,,A052,one_ecology_only_in_current_issue_layer,"Source-ID overlap is a documentation-channel measure, not a social tie. No overlap may reflect language, archive, source-selection, or module-design bias.",research_only,candidate_analysis,excluded_research_only
S156,organization_site,普天間基地爆音訴訟団 公式サイト,2026,,A053,one_ecology_only_in_current_issue_layer,"Source-ID overlap is a documentation-channel measure, not a social tie. No overlap may reflect language, archive, source-selection, or module-design bias.",research_only,candidate_analysis,excluded_research_only
S158,organization_profile,宮古島地下水研究会 団体概要,2026,,A112,one_ecology_only_in_current_issue_layer,"Source-ID overlap is a documentation-channel measure, not a social tie. No overlap may reflect language, archive, source-selection, or module-design bias.",research_only,candidate_analysis,excluded_research_only
S200,local_news,沖縄タイムス―女団協、米軍性暴力を受け県民大会開催へ,2024,,A111,one_ecology_only_in_current_issue_layer,"Source-ID overlap is a documentation-channel measure, not a social tie. No overlap may reflect language, archive, source-selection, or module-design bias.",research_only,candidate_analysis,excluded_research_only
S201,local_news,琉球新報―女団協、米軍性暴力を巡る県民大会を呼び掛け,2024,,A111,one_ecology_only_in_current_issue_layer,"Source-ID overlap is a documentation-channel measure, not a social tie. No overlap may reflect language, archive, source-selection, or module-design bias.",research_only,candidate_analysis,excluded_research_only
S204,organization_site,宮古島地下水研究会 公式サイト,2026,,A112,one_ecology_only_in_current_issue_layer,"Source-ID overlap is a documentation-channel measure, not a social tie. No overlap may reflect language, archive, source-selection, or module-design bias.",research_only,candidate_analysis,excluded_research_only
S228,organization_financial_filing,Turtle Island Restoration Network Form 990 public disclosure,2023,,A086,one_ecology_only_in_current_issue_layer,"Source-ID overlap is a documentation-channel measure, not a social tie. No overlap may reflect language, archive, source-selection, or module-design bias.",research_only,candidate_analysis,excluded_research_only
S229,party_legal_filing,"Opening Brief, Center for Biological Diversity et al. v. Esper",2019,,A086,one_ecology_only_in_current_issue_layer,"Source-ID overlap is a documentation-channel measure, not a social tie. No overlap may reflect language, archive, source-selection, or module-design bias.",research_only,candidate_analysis,excluded_research_only
S254,organization_statement,談話：沖縄県知事選で圧勝の民意に応え、ただちに新基地建設中止を,2014,,A115,one_ecology_only_in_current_issue_layer,"Source-ID overlap is a documentation-channel measure, not a social tie. No overlap may reflect language, archive, source-selection, or module-design bias.",research_only,candidate_analysis,excluded_research_only
S269,organization_site,地下水の危機とは？,2026,,A112,one_ecology_only_in_current_issue_layer,"Source-ID overlap is a documentation-channel measure, not a social tie. No overlap may reflect language, archive, source-selection, or module-design bias.",research_only,candidate_analysis,excluded_research_only
S270,organization_program_document,水道水源保全区域を宮古島市全域に拡大する理由,2021,,A112,one_ecology_only_in_current_issue_layer,"Source-ID overlap is a documentation-channel measure, not a social tie. No overlap may reflect language, archive, source-selection, or module-design bias.",research_only,candidate_analysis,excluded_research_only
S271,local_official,宮古島地下水研究会の見解に対する回答書,2023,,A112,one_ecology_only_in_current_issue_layer,"Source-ID overlap is a documentation-channel measure, not a social tie. No overlap may reflect language, archive, source-selection, or module-design bias.",research_only,candidate_analysis,excluded_research_only
S273,official_legislative_record,宜野湾市議会 福祉教育常任委員会審査記録（請願第1号）,2023,,A113,one_ecology_only_in_current_issue_layer,"Source-ID overlap is a documentation-channel measure, not a social tie. No overlap may reflect language, archive, source-selection, or module-design bias.",research_only,candidate_analysis,excluded_research_only
S274,official_legislative_record,有機フッ素化合物PFOS及びPFOA汚染の対策を求める意見書,2022,,A113,one_ecology_only_in_current_issue_layer,"Source-ID overlap is a documentation-channel measure, not a social tie. No overlap may reflect language, archive, source-selection, or module-design bias.",research_only,candidate_analysis,excluded_research_only
S275,news,学校敷地から化学物質PFOS 沖縄米軍基地に隣接 米基準の29倍,2022,,A113,one_ecology_only_in_current_issue_layer,"Source-ID overlap is a documentation-channel measure, not a social tie. No overlap may reflect language, archive, source-selection, or module-design bias.",research_only,candidate_analysis,excluded_research_only
S276,local_news,米軍PFAS汚染で血液検査を要請 宜野湾ちゅら水会,2021,,A113,one_ecology_only_in_current_issue_layer,"Source-ID overlap is a documentation-channel measure, not a social tie. No overlap may reflect language, archive, source-selection, or module-design bias.",research_only,candidate_analysis,excluded_research_only
S277,local_news,PFAS汚染 米軍との意見交換に市民の参加を,2023,,A113,one_ecology_only_in_current_issue_layer,"Source-ID overlap is a documentation-channel measure, not a social tie. No overlap may reflect language, archive, source-selection, or module-design bias.",research_only,candidate_analysis,excluded_research_only
S278,news,泡が消えた後に残った白い粉からPFAS検出 宜野湾市のマンホール,2026,,A113,one_ecology_only_in_current_issue_layer,"Source-ID overlap is a documentation-channel measure, not a social tie. No overlap may reflect language, archive, source-selection, or module-design bias.",research_only,candidate_analysis,excluded_research_only
S280,organization_website,新婦人の紹介,2026,,A115,one_ecology_only_in_current_issue_layer,"Source-ID overlap is a documentation-channel measure, not a social tie. No overlap may reflect language, archive, source-selection, or module-design bias.",research_only,candidate_analysis,excluded_research_only
S281,organization_statement,沖縄米兵少女暴行事件とその隠蔽につよく抗議し根本的対策を求める要請,2024,,A115,one_ecology_only_in_current_issue_layer,"Source-ID overlap is a documentation-channel measure, not a social tie. No overlap may reflect language, archive, source-selection, or module-design bias.",research_only,candidate_analysis,excluded_research_only
S282,prefectural_official,沖縄県行政記録 平成20年,2008,,A115,one_ecology_only_in_current_issue_layer,"Source-ID overlap is a documentation-channel measure, not a social tie. No overlap may reflect language, archive, source-selection, or module-design bias.",research_only,candidate_analysis,excluded_research_only
S283,party_news,沖縄県民投票条例へ 新婦人が署名開始,2018,,A115,one_ecology_only_in_current_issue_layer,"Source-ID overlap is a documentation-channel measure, not a social tie. No overlap may reflect language, archive, source-selection, or module-design bias.",research_only,candidate_analysis,excluded_research_only
S286,local_news,全港湾沖縄が安保法案反対訴え抗議集会,2015,,A114,one_ecology_only_in_current_issue_layer,"Source-ID overlap is a documentation-channel measure, not a social tie. No overlap may reflect language, archive, source-selection, or module-design bias.",research_only,candidate_analysis,excluded_research_only
S287,official_legislative_record,米海軍ミサイル駆逐艦ラファエル・ペラルタ寄港反対決議,2024,,A114,one_ecology_only_in_current_issue_layer,"Source-ID overlap is a documentation-channel measure, not a social tie. No overlap may reflect language, archive, source-selection, or module-design bias.",research_only,candidate_analysis,excluded_research_only
