record_id,actor_id,actor_name,person_name,person_name_normalized,role,role_family,period_start,period_end,period_label,period_semantics,source_type,source_url,source_locator,identity_status,review_status,package_scope,claim_status,frontend_eligibility,claim_boundary,notes
"H2PR024","X004","American Welfare & Works Association (AWWA / 米国福祉事業協会)","Brooke Epps","Brooke Epps","Financial Officer","financial_officer","2024","2024","fiscal year ending 2024","fiscal_year_roster","IRS filing via ProPublica","https://projects.propublica.org/nonprofits/organizations/980227149","FY2024 Key Employees and Officers","exact_name_observation","ai_seeded","research_only","candidate","excluded_research_only","Near-name overlap with KOSC's Brooke Epp requires human review.","No cross-organization identity is asserted."
"H2PR025","X005","Naval Officers' Spouses' Club of Okinawa NOSCO","Patricia Ford","Patricia Ford","President","executive_lead","2021","2021","fiscal year ending 2021","fiscal_year_roster","IRS filing via ProPublica","https://projects.propublica.org/nonprofits/organizations/980210979","FY2021 Key Employees and Officers","exact_name_observation","ai_seeded","research_only","candidate","excluded_research_only","A filing-year roster does not by itself establish exact appointment and departure dates.","Filing role is President."
"H2PR026","X005","Naval Officers' Spouses' Club of Okinawa NOSCO","Sally Braud","Sally Braud","NOSCO President","executive_lead","2022","2023","listed in FY2022 and FY2023 rosters","multiple_fiscal_year_rosters","IRS filings via ProPublica","https://projects.propublica.org/nonprofits/organizations/980210979","FY2022 and FY2023 Key Employees and Officers","exact_name_observation","ai_seeded","research_only","candidate","excluded_research_only","Repeated filing-year listings do not prove an uninterrupted term between filing dates.","Filing role is NOSCO President."
"H2PR027","X005","Naval Officers' Spouses' Club of Okinawa NOSCO","Lindsey Richardson","Lindsey Richardson","NOSCO President","executive_lead","2024","2025","listed in FY2024 and FY2025 rosters","multiple_fiscal_year_rosters","IRS filings via ProPublica","https://projects.propublica.org/nonprofits/organizations/980210979","FY2024 and FY2025 Key Employees and Officers","exact_name_observation","ai_seeded","research_only","candidate","excluded_research_only","Repeated filing-year listings do not prove an uninterrupted term between filing dates.","Filing role is NOSCO President."
"H2PR028","X005","Naval Officers' Spouses' Club of Okinawa NOSCO","Jennifer Yapshing","Jennifer Yapshing","NOSCO Vice President of Operations","operations_officer","2022","2023","listed in FY2022 and FY2023 rosters","multiple_fiscal_year_rosters","IRS filings via ProPublica","https://projects.propublica.org/nonprofits/organizations/980210979","FY2022 and FY2023 Key Employees and Officers","exact_name_observation","ai_seeded","research_only","candidate","excluded_research_only","The filing name must not be merged with Jen Yapsing without human review.","Spelling differs from the AWWA filing."
"H2PR029","X005","Naval Officers' Spouses' Club of Okinawa NOSCO","Kristin Kerekgyarto","Kristin Kerekgyarto","NOSCO Vice President of Charities","charity_officer","2024","2025","listed in FY2024 and FY2025 rosters","multiple_fiscal_year_rosters","IRS filings via ProPublica","https://projects.propublica.org/nonprofits/organizations/980210979","FY2024 and FY2025 Key Employees and Officers","exact_name_observation","ai_seeded","research_only","candidate","excluded_research_only","Repeated filing-year listings do not prove an uninterrupted term between filing dates.","Public role only."
"H2PR030","X006","Kadena Officers' Spouses' Club KOSC","Elizabeth Du Be","Elizabeth Du Be","President","executive_lead","2018","2018","fiscal year ending 2018","fiscal_year_roster","IRS filing via ProPublica","https://projects.propublica.org/nonprofits/organizations/980214323","FY2018 Key Employees and Officers","exact_name_observation","ai_seeded","research_only","candidate","excluded_research_only","A filing-year roster does not by itself establish exact appointment and departure dates.","Name preserved as filed."
"H2PR031","X006","Kadena Officers' Spouses' Club KOSC","Trinicia Kloepper","Trinicia Kloepper","President","executive_lead","2021","2021","fiscal year ending 2021","fiscal_year_roster","IRS filing via ProPublica","https://projects.propublica.org/nonprofits/organizations/980214323","FY2021 Key Employees and Officers","exact_name_observation","ai_seeded","research_only","candidate","excluded_research_only","Exact-name overlap with AWWA remains a crosswalk candidate until human review.","Public role only."
"H2PR032","X006","Kadena Officers' Spouses' Club KOSC","Trinicia Kloepper","Trinicia Kloepper","Kadena Gift Corner Liaison","gift_shop_liaison","2023","2024","listed in FY2023 and FY2024 rosters","multiple_fiscal_year_rosters","IRS filings via ProPublica","https://projects.propublica.org/nonprofits/organizations/980214323","FY2023 and FY2024 Key Employees and Officers","exact_name_observation","ai_seeded","research_only","candidate","excluded_research_only","Repeated filing-year listings do not prove an uninterrupted term between filing dates.","Public role only."
"H2PR033","X006","Kadena Officers' Spouses' Club KOSC","Melissa Russell","Melissa Russell","President","executive_lead","2023","2024","listed in FY2023 and FY2024 rosters","multiple_fiscal_year_rosters","IRS filings via ProPublica","https://projects.propublica.org/nonprofits/organizations/980214323","FY2023 and FY2024 Key Employees and Officers","exact_name_observation","ai_seeded","research_only","candidate","excluded_research_only","Repeated filing-year listings do not prove an uninterrupted term between filing dates.","Public role only."
"H2PR034","X006","Kadena Officers' Spouses' Club KOSC","Brooke Epp","Brooke Epp","Outgoing President","executive_lead","2025","2025","fiscal year ending 2025","fiscal_year_roster","IRS filing via ProPublica","https://projects.propublica.org/nonprofits/organizations/980214323","FY2025 Key Employees and Officers","exact_name_observation","ai_seeded","research_only","candidate","excluded_research_only","Outgoing status is preserved as filed; exact transition date is unknown.","Near-name overlap with AWWA's Brooke Epps requires human review."
"H2PR035","X006","Kadena Officers' Spouses' Club KOSC","Hannah Schaffer","Hannah Schaffer","Incoming President","executive_lead","2025","2025","fiscal year ending 2025","fiscal_year_roster","IRS filing via ProPublica","https://projects.propublica.org/nonprofits/organizations/980214323","FY2025 Key Employees and Officers","exact_name_observation","ai_seeded","research_only","candidate","excluded_research_only","Incoming status is preserved as filed; exact transition date is unknown.","Public role only."
"H2PR036","X007","Okinawa Enlisted Spouses' Club (OESC)","Jordan Lambay","Jordan Lambay","President","executive_lead","2020","2020","fiscal year ending 2020","fiscal_year_roster","IRS filing via ProPublica","https://projects.propublica.org/nonprofits/organizations/980346507","FY2020 Key Employees and Officers","exact_name_observation","ai_seeded","research_only","candidate","excluded_research_only","A filing-year roster does not by itself establish exact appointment and departure dates.","Public role only."
"H2PR037","X007","Okinawa Enlisted Spouses' Club (OESC)","Jill Limjoco","Jill Limjoco","President","executive_lead","2021","2021","fiscal year ending 2021","fiscal_year_roster","IRS filing via ProPublica","https://projects.propublica.org/nonprofits/organizations/980346507","FY2021 Key Employees and Officers","exact_name_observation","ai_seeded","research_only","candidate","excluded_research_only","A filing-year roster does not by itself establish exact appointment and departure dates.","Public role only."
"H2PR038","X007","Okinawa Enlisted Spouses' Club (OESC)","Amber Tracy","Amber Tracy","President","executive_lead","2022","2023","listed in FY2022 and FY2023 rosters","multiple_fiscal_year_rosters","IRS filings via ProPublica","https://projects.propublica.org/nonprofits/organizations/980346507","FY2022 and FY2023 Key Employees and Officers","exact_name_observation","ai_seeded","research_only","candidate","excluded_research_only","Repeated filing-year listings do not prove an uninterrupted term; cross-organization identity remains unreviewed.","Potential match to the AWWA FY2024 president."
"H2PR039","X007","Okinawa Enlisted Spouses' Club (OESC)","Kayla Sprinkel","Kayla Sprinkel","President","executive_lead","2024","2025","listed in FY2024 and FY2025 rosters","multiple_fiscal_year_rosters","IRS filings via ProPublica","https://projects.propublica.org/nonprofits/organizations/980346507","FY2024 and FY2025 Key Employees and Officers","exact_name_observation","ai_seeded","research_only","candidate","excluded_research_only","Repeated filing-year listings do not prove an uninterrupted term between filing dates.","Independently observed in a December 2025 Stripes-hosted OESC story."
"H2PR040","X007","Okinawa Enlisted Spouses' Club (OESC)","Kayla Sprinkel","Kayla Sprinkel","President","executive_lead","2025-12-02","2025-12-02","observed 2025-12-02","event_date","Stripes page carrying organization contribution","https://okinawa.stripes.com/community-news/okinawa-enlisted-spouses-club-uso-okinawa.html","OESC donation to USO Okinawa","exact_name_observation","ai_seeded","research_only","candidate","excluded_research_only","The dated title is an event observation and does not establish the full term.","The event corroborates but does not convert filing years into exact tenure."
"H2PR041","X007","Okinawa Enlisted Spouses' Club (OESC)","Danica Cosca","Danica Cosca","Outreach","community_outreach","2025","2025","fiscal year ending 2025","fiscal_year_roster","IRS filing via ProPublica","https://projects.propublica.org/nonprofits/organizations/980346507","FY2025 Key Employees and Officers","exact_name_observation","ai_seeded","research_only","candidate","excluded_research_only","Do not merge with Danica Eckhart without identity evidence.","Possible surname or person discrepancy."
"H2PR042","X007","Okinawa Enlisted Spouses' Club (OESC)","Danica Eckhart","Danica Eckhart","Community Outreach Coordinator","community_outreach","2025-12-02","2025-12-02","observed 2025-12-02","event_date","Stripes page carrying organization contribution","https://okinawa.stripes.com/community-news/okinawa-enlisted-spouses-club-uso-okinawa.html","OESC donation to USO Okinawa","exact_name_observation","ai_seeded","research_only","candidate","excluded_research_only","Do not merge with Danica Cosca without identity evidence.","Same organization and role family but different surname."
"H2PR043","X008","American Red Cross Okinawa","Don Gardner","Don Gardner","Regional Program Manager, MCB Butler American Red Cross","program_management","2019-02-28","2019-02-28","observed 2019-02-28","broadcast_date","AFN Okinawa / DVIDS audio index","https://www.dvidshub.net/audio/most-recent/page/3357","NWS190228 - 1-1 ADA / American Red Cross entry","exact_name_observation","ai_seeded","research_only","candidate","excluded_research_only","The dated broadcast establishes one public role observation, not a complete Okinawa Red Cross roster.","No reliable 2012-2018 or 2020-2026 local officer roster was located in this pass."
"H2PR044","X009","Navy-Marine Corps Relief Society Okinawa","Michelle Budzien","Michelle Budzien","Okinawa Director","executive_lead","2016-04-29","2016-05-25","observed in April-May 2016 sources","bounded_event_observations","DVIDS government news and image","https://www.dvidshub.net/news/197018/navy-marine-corps-relief-society-raises-money-others-with-sports","story text; related 2016 recognition imagery","exact_name_observation","ai_seeded","research_only","candidate","excluded_research_only","Two dated observations do not establish exact term boundaries.","Public role only."
"H2PR045","X009","Navy-Marine Corps Relief Society Okinawa","Elizabeth Moore","Elizabeth Moore","Okinawa Director","executive_lead","2021-05-17","2021-05-17","observed 2021-05-17","event_date","DVIDS government image","https://www.dvidshub.net/image/6647429/cfao-nmcrs-volunteer-recognized","image caption","exact_name_observation","ai_seeded","research_only","candidate","excluded_research_only","The dated title is an event observation and does not establish the full term.","Public role only."
"H2PR046","X009","Navy-Marine Corps Relief Society Okinawa","Madisa Marlor","Madisa Marlor","Director","executive_lead","2024-03-01","2024-03-01","observed 2024-03-01","event_date","DVIDS government image","https://www.dvidshub.net/image/8267919/marines-gather-active-duty-fund-drive-support-navy-marine-corps-relief-society","image caption","exact_name_observation","ai_seeded","research_only","candidate","excluded_research_only","The dated title is an event observation and does not establish the full term.","Caption explicitly identifies NMCRS Okinawa."
"H2PR047","X009","Navy-Marine Corps Relief Society Okinawa","Sara Rizzo","Sara Rizzo","Okinawa Office Director","executive_lead","2026-03-02","2026-05-12","observed 2026-03-02 and 2026-05-12","bounded_event_observations","DVIDS government video and image","https://www.dvidshub.net/video/998299/navy-marine-corps-relief-society-afn-commercial-2026","video description; corroborated by DVIDS image 9679939","exact_name_observation","ai_seeded","research_only","candidate","excluded_research_only","Two dated observations do not establish exact term boundaries.","Public role only."
"H2PR048","X016","Marine Officers' Spouses' Club Okinawa (MOSCO / MOSC)","Melinda Rau","Melinda Rau","President","executive_lead","2015","2015","fiscal year ending 2015","fiscal_year_roster","IRS filing via ProPublica","https://projects.propublica.org/nonprofits/organizations/460598583","FY2015 Key Employees and Officers","exact_name_observation","ai_seeded","research_only","candidate","excluded_research_only","A filing-year roster does not by itself establish exact appointment and departure dates.","Public role only."
"H2PR049","X016","Marine Officers' Spouses' Club Okinawa (MOSCO / MOSC)","Diane Papaj","Diane Papaj","President","executive_lead","2016","2016","fiscal year ending 2016","fiscal_year_roster","IRS filing via ProPublica","https://projects.propublica.org/nonprofits/organizations/460598583","FY2016 Key Employees and Officers","exact_name_observation","ai_seeded","research_only","candidate","excluded_research_only","A filing-year roster does not by itself establish exact appointment and departure dates.","A December 2015 event independently observes the same title."
"H2PR050","X016","Marine Officers' Spouses' Club Okinawa (MOSCO / MOSC)","Diane Papaj","Diane Papaj","President","executive_lead","2015-12-02","2015-12-02","observed 2015-12-02","event_date","DVIDS government news","https://www.dvidshub.net/news/184071/american-womens-welfare-association-donates-van-disabled-okinawan-residents","AWWA van-donation story","exact_name_observation","ai_seeded","research_only","candidate","excluded_research_only","The event date and FY2016 filing are compatible observations and do not establish exact term boundaries.","Public role only."
"H2PR051","X016","Marine Officers' Spouses' Club Okinawa (MOSCO / MOSC)","Karen Flores","Karen Flores","President","executive_lead","2017","2017","fiscal year ending 2017","fiscal_year_roster","IRS filing via ProPublica","https://projects.propublica.org/nonprofits/organizations/460598583","FY2017 Key Employees and Officers","exact_name_observation","ai_seeded","research_only","candidate","excluded_research_only","A filing-year roster does not by itself establish exact appointment and departure dates.","Public role only."
"H2PR052","X016","Marine Officers' Spouses' Club Okinawa (MOSCO / MOSC)","Teri McMahon","Teri McMahon","President","executive_lead","2018","2019","listed in FY2018 and FY2019 rosters","multiple_fiscal_year_rosters","IRS filings via ProPublica","https://projects.propublica.org/nonprofits/organizations/460598583","FY2018 and FY2019 Key Employees and Officers","exact_name_observation","ai_seeded","research_only","candidate","excluded_research_only","Repeated filing-year listings do not prove an uninterrupted term between filing dates.","Public role only."
"H2PR053","X016","Marine Officers' Spouses' Club Okinawa (MOSCO / MOSC)","Lauren Flores","Lauren Flores","President","executive_lead","2021","2021","fiscal year ending 2021","fiscal_year_roster","IRS filing via ProPublica","https://projects.propublica.org/nonprofits/organizations/460598583","FY2021 Key Employees and Officers","exact_name_observation","ai_seeded","research_only","candidate","excluded_research_only","A filing-year roster does not by itself establish exact appointment and departure dates.","No relationship to Karen Flores is inferred."
"H2PR054","X016","Marine Officers' Spouses' Club Okinawa (MOSCO / MOSC)","Natalie Gaston","Natalie Gaston","President","executive_lead","2022","2023","listed in FY2022 and FY2023 rosters","multiple_fiscal_year_rosters","IRS filings via ProPublica","https://projects.propublica.org/nonprofits/organizations/460598583","FY2022 and FY2023 Key Employees and Officers","exact_name_observation","ai_seeded","research_only","candidate","excluded_research_only","Repeated filing-year listings do not prove an uninterrupted term between filing dates.","Public role only."
"H2PR055","X016","Marine Officers' Spouses' Club Okinawa (MOSCO / MOSC)","Sarah Endreola","Sarah Endreola","President","executive_lead","2024","2024","fiscal year ending 2024","fiscal_year_roster","IRS filing via ProPublica","https://projects.propublica.org/nonprofits/organizations/460598583","FY2024 Key Employees and Officers","exact_name_observation","ai_seeded","research_only","candidate","excluded_research_only","A filing-year roster does not by itself establish exact appointment and departure dates.","Public role only."
