review_item_id,task_id,task_kind,upstream_table,record_id_field,object_id,object_label,field_name,current_value,affected_row_count,observed_context,review_question,allowed_review_status_values,required_boundary,decision,revised_review_status,human_reviewer,review_date,review_note
HR034-SRC-026,HR-034,row_crosswalk,data/interim/05_source_log_initial_v0.csv,source_id,S073,AWWA official Facebook American Welfare & Works Association,review_status,human_verified,1,evidence_level=E3; human_decision=(blank); reviewer=(blank); review_date=(blank),Which legal review_status follows from the actual reviewed fields and decision record for this source row?,ai_seeded;human_checked;human_revised;needs_local_retrieval;needs_second_source;rejected,"Source review never approves an actor, relation, funding flow or interpretive claim; do not map by string similarity alone.",,,,,
HR034-SRC-027,HR-034,row_crosswalk,data/interim/05_source_log_initial_v0.csv,source_id,S074,Cause IQ American Welfare and Works Association EIN 98-0227149,review_status,human_verified,1,evidence_level=E3; human_decision=(blank); reviewer=(blank); review_date=(blank),Which legal review_status follows from the actual reviewed fields and decision record for this source row?,ai_seeded;human_checked;human_revised;needs_local_retrieval;needs_second_source;rejected,"Source review never approves an actor, relation, funding flow or interpretive claim; do not map by string similarity alone.",,,,,
HR034-SRC-028,HR-034,row_crosswalk,data/interim/05_source_log_initial_v0.csv,source_id,S075,Kadena Officers' Spouses' Club charity page,review_status,human_verified,1,evidence_level=E4; human_decision=(blank); reviewer=(blank); review_date=(blank),Which legal review_status follows from the actual reviewed fields and decision record for this source row?,ai_seeded;human_checked;human_revised;needs_local_retrieval;needs_second_source;rejected,"Source review never approves an actor, relation, funding flow or interpretive claim; do not map by string similarity alone.",,,,,
HR034-SRC-029,HR-034,row_crosswalk,data/interim/05_source_log_initial_v0.csv,source_id,S076,Kadena Officers Spouses Club ProPublica Nonprofit Explorer,review_status,human_verified,1,evidence_level=E4; human_decision=(blank); reviewer=(blank); review_date=(blank),Which legal review_status follows from the actual reviewed fields and decision record for this source row?,ai_seeded;human_checked;human_revised;needs_local_retrieval;needs_second_source;rejected,"Source review never approves an actor, relation, funding flow or interpretive claim; do not map by string similarity alone.",,,,,
HR034-SRC-030,HR-034,row_crosswalk,data/interim/05_source_log_initial_v0.csv,source_id,S077,USO Okinawa AWWA grant to USO Kinser,review_status,human_verified,1,evidence_level=E3; human_decision=(blank); reviewer=(blank); review_date=(blank),Which legal review_status follows from the actual reviewed fields and decision record for this source row?,ai_seeded;human_checked;human_revised;needs_local_retrieval;needs_second_source;rejected,"Source review never approves an actor, relation, funding flow or interpretive claim; do not map by string similarity alone.",,,,,
HR034-SRC-031,HR-034,row_crosswalk,data/interim/05_source_log_initial_v0.csv,source_id,S078,Ryukyu Shimpo English AWWA donated 800 million yen over 40 years,review_status,human_verified,1,evidence_level=E3; human_decision=(blank); reviewer=(blank); review_date=(blank),Which legal review_status follows from the actual reviewed fields and decision record for this source row?,ai_seeded;human_checked;human_revised;needs_local_retrieval;needs_second_source;rejected,"Source review never approves an actor, relation, funding flow or interpretive claim; do not map by string similarity alone.",,,,,
HR034-SRC-032,HR-034,row_crosswalk,data/interim/05_source_log_initial_v0.csv,source_id,S079,MOSCO official site,review_status,human_verified,1,evidence_level=E4; human_decision=(blank); reviewer=(blank); review_date=(blank),Which legal review_status follows from the actual reviewed fields and decision record for this source row?,ai_seeded;human_checked;human_revised;needs_local_retrieval;needs_second_source;rejected,"Source review never approves an actor, relation, funding flow or interpretive claim; do not map by string similarity alone.",,,,,
HR034-SRC-033,HR-034,row_crosswalk,data/interim/05_source_log_initial_v0.csv,source_id,S080,Marine Officers Spouses Club Okinawa ProPublica Nonprofit Explorer,review_status,human_verified,1,evidence_level=E4; human_decision=(blank); reviewer=(blank); review_date=(blank),Which legal review_status follows from the actual reviewed fields and decision record for this source row?,ai_seeded;human_checked;human_revised;needs_local_retrieval;needs_second_source;rejected,"Source review never approves an actor, relation, funding flow or interpretive claim; do not map by string similarity alone.",,,,,
HR034-SRC-034,HR-034,row_crosswalk,data/interim/05_source_log_initial_v0.csv,source_id,S081,Army on Okinawa Gift Shop Okinawa Hai,review_status,human_verified,1,evidence_level=E3; human_decision=(blank); reviewer=(blank); review_date=(blank),Which legal review_status follows from the actual reviewed fields and decision record for this source row?,ai_seeded;human_checked;human_revised;needs_local_retrieval;needs_second_source;rejected,"Source review never approves an actor, relation, funding flow or interpretive claim; do not map by string similarity alone.",,,,,
HR034-SRC-035,HR-034,row_crosswalk,data/interim/05_source_log_initial_v0.csv,source_id,S082,Grants.gov Okinawa Youth Council Program opportunity,review_status,human_verified,1,evidence_level=E4; human_decision=(blank); reviewer=(blank); review_date=(blank),Which legal review_status follows from the actual reviewed fields and decision record for this source row?,ai_seeded;human_checked;human_revised;needs_local_retrieval;needs_second_source;rejected,"Source review never approves an actor, relation, funding flow or interpretive claim; do not map by string similarity alone.",,,,,
HR034-SRC-036,HR-034,row_crosswalk,data/interim/05_source_log_initial_v0.csv,source_id,S083,FederalGrants Okinawa Youth Council Program listing,review_status,human_verified,1,evidence_level=E3; human_decision=(blank); reviewer=(blank); review_date=(blank),Which legal review_status follows from the actual reviewed fields and decision record for this source row?,ai_seeded;human_checked;human_revised;needs_local_retrieval;needs_second_source;rejected,"Source review never approves an actor, relation, funding flow or interpretive claim; do not map by string similarity alone.",,,,,
HR034-SRC-037,HR-034,row_crosswalk,data/interim/05_source_log_initial_v0.csv,source_id,S084,GrantedAI Okinawa Youth Council Program expired listing,review_status,human_verified,1,evidence_level=E2; human_decision=(blank); reviewer=(blank); review_date=(blank),Which legal review_status follows from the actual reviewed fields and decision record for this source row?,ai_seeded;human_checked;human_revised;needs_local_retrieval;needs_second_source;rejected,"Source review never approves an actor, relation, funding flow or interpretive claim; do not map by string similarity alone.",,,,,
HR034-SRC-038,HR-034,row_crosswalk,data/interim/05_source_log_initial_v0.csv,source_id,S085,NED FY2024 Asia Grant Listing PDF,review_status,human_verified,1,evidence_level=E4; human_decision=(blank); reviewer=(blank); review_date=(blank),Which legal review_status follows from the actual reviewed fields and decision record for this source row?,ai_seeded;human_checked;human_revised;needs_local_retrieval;needs_second_source;rejected,"Source review never approves an actor, relation, funding flow or interpretive claim; do not map by string similarity alone.",,,,,
HR034-SRC-039,HR-034,row_crosswalk,data/interim/05_source_log_initial_v0.csv,source_id,S086,NED 2024 Grant Listings entry page,review_status,human_verified,1,evidence_level=E4; human_decision=(blank); reviewer=(blank); review_date=(blank),Which legal review_status follows from the actual reviewed fields and decision record for this source row?,ai_seeded;human_checked;human_revised;needs_local_retrieval;needs_second_source;rejected,"Source review never approves an actor, relation, funding flow or interpretive claim; do not map by string similarity alone.",,,,,
HR034-SRC-040,HR-034,row_crosswalk,data/interim/05_source_log_initial_v0.csv,source_id,S087,Peace Winds Japan USAID funding for West Japan Floods and Hokkaido Earthquake,review_status,human_verified,1,evidence_level=E4; human_decision=(blank); reviewer=(blank); review_date=(blank),Which legal review_status follows from the actual reviewed fields and decision record for this source row?,ai_seeded;human_checked;human_revised;needs_local_retrieval;needs_second_source;rejected,"Source review never approves an actor, relation, funding flow or interpretive claim; do not map by string similarity alone.",,,,,
HR034-SRC-041,HR-034,row_crosswalk,data/interim/05_source_log_initial_v0.csv,source_id,S088,Peace Winds America Peace Winds in Japan disaster relief overview,review_status,human_verified,1,evidence_level=E3; human_decision=(blank); reviewer=(blank); review_date=(blank),Which legal review_status follows from the actual reviewed fields and decision record for this source row?,ai_seeded;human_checked;human_revised;needs_local_retrieval;needs_second_source;rejected,"Source review never approves an actor, relation, funding flow or interpretive claim; do not map by string similarity alone.",,,,,
HR034-SRC-042,HR-034,row_crosswalk,data/interim/05_source_log_initial_v0.csv,source_id,S089,Pro Public official site,review_status,human_verified,1,evidence_level=E4; human_decision=(blank); reviewer=(blank); review_date=(blank),Which legal review_status follows from the actual reviewed fields and decision record for this source row?,ai_seeded;human_checked;human_revised;needs_local_retrieval;needs_second_source;rejected,"Source review never approves an actor, relation, funding flow or interpretive claim; do not map by string similarity alone.",,,,,
HR034-SRC-043,HR-034,row_crosswalk,data/interim/05_source_log_initial_v0.csv,source_id,S090,FoE International member page Nepal Pro Public,review_status,human_verified,1,evidence_level=E4; human_decision=(blank); reviewer=(blank); review_date=(blank),Which legal review_status follows from the actual reviewed fields and decision record for this source row?,ai_seeded;human_checked;human_revised;needs_local_retrieval;needs_second_source;rejected,"Source review never approves an actor, relation, funding flow or interpretive claim; do not map by string similarity alone.",,,,,
HR034-SRC-044,HR-034,row_crosswalk,data/interim/05_source_log_initial_v0.csv,source_id,S091,IUCN member page Pro Natura / Friends of the Earth Switzerland,review_status,human_verified,1,evidence_level=E4; human_decision=(blank); reviewer=(blank); review_date=(blank),Which legal review_status follows from the actual reviewed fields and decision record for this source row?,ai_seeded;human_checked;human_revised;needs_local_retrieval;needs_second_source;rejected,"Source review never approves an actor, relation, funding flow or interpretive claim; do not map by string similarity alone.",,,,,
HR034-SRC-045,HR-034,row_crosswalk,data/interim/05_source_log_initial_v0.csv,source_id,S092,FoE International member page Switzerland Pro Natura,review_status,human_verified,1,evidence_level=E4; human_decision=(blank); reviewer=(blank); review_date=(blank),Which legal review_status follows from the actual reviewed fields and decision record for this source row?,ai_seeded;human_checked;human_revised;needs_local_retrieval;needs_second_source;rejected,"Source review never approves an actor, relation, funding flow or interpretive claim; do not map by string similarity alone.",,,,,
HR034-AI-001,HR-034,row_crosswalk,data/interim/07_actor_issue_edges_initial_v0.csv,edge_id,AI068,X015—international_cooperation,review_status,watchlist_only,1,scope_review_status=human_checked; scope_human_decision=accept; scope_status=event_specific_excluded_from_default_okinawa_narrative; claim_status=(blank),"After preserving the HR-019 scope decision, which legal review_status describes the underlying actor–issue claim?",ai_seeded;human_checked;human_revised;needs_local_retrieval;needs_second_source;rejected,"The requested note named AI067, but current data show AI067 already rejected and AI068 carrying watchlist_only. Review AI068 only; do not reactivate either edge or infer an Okinawa link.",,,,,
HR034-POL-001,HR-034,table_policy,data/interim/19_sakishima_frame_corpus_v0.csv,,TABLE_R4_QA_SAFE_ONLINE,19_sakishima_frame_corpus_v0.csv,review_status policy,qa_safe_online,10,Online QA/safety label is currently stored in review_status.,"Which separate field should preserve online-QA usability, and what review_status should these rows receive without assuming human review?",ai_seeded;human_checked;human_revised;needs_local_retrieval;needs_second_source;rejected,"qa_safe_online is a usability/QA label, not evidence of a principal's acceptance; a table policy must preserve the frame and relationship limits.",,,,,
HR034-POL-002,HR-034,table_policy,data/interim/20_referendum_process_stages_v0.csv,,TABLE_R9_ACCEPTED,20_referendum_process_stages_v0.csv,review_status policy,accepted,29,Process-stage acceptance is stored in review_status.,"Does accepted describe formal-layer inclusion, a prior human decision, or another workflow state, and which legal review_status follows?",ai_seeded;human_checked;human_revised;needs_local_retrieval;needs_second_source;rejected,"Do not convert accepted to human_checked without identifying the reviewer, reviewed fields and decision provenance.",,,,,
HR034-POL-003,HR-034,table_policy,data/interim/35_heterogeneous_event_repertoire_v1.csv,,TABLE_HET_ACCEPTED,35_heterogeneous_event_repertoire_v1.csv,review_status policy,accepted,49,"The accepted rows are heterogeneous-repertoire projections of R9 formal stage/role records, not 49 new facts.","Which status field should carry formal-layer inclusion in this derived table, and how should legal review_status be propagated from upstream?",ai_seeded;human_checked;human_revised;needs_local_retrieval;needs_second_source;rejected,"Resolve the upstream policy once, then propagate mechanically by source record; do not conduct 49 duplicate row reviews.",,,,,
HR034-POL-004,HR-034,table_policy,outputs/actor_lifecycle_v1/actor_lifecycle_v0.csv,,TABLE_LIFECYCLE_WORKFLOW_STATUS,actor_lifecycle_v0.csv,review_status policy,needs_continuity_review;needs_human_review;needs_identity_repair,4,"Identity repair, continuity review and human-review queue states are currently stored in review_status beside legal review statuses.","Which lifecycle workflow field should hold these queue states, and which legal review_status should each unresolved lifecycle row carry?",ai_seeded;human_checked;human_revised;needs_local_retrieval;needs_second_source;rejected,Absence of recent online evidence is not dissolution. LCR001–LCR004 decisions remain blank and lifecycle status must not be changed by HR-034.,,,,,
